# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	astB//slt//allC//rutB//
AlaS-L-alanine	zwf//
AllS-allantoin	purC//dmsA//srlD//
AraC-L-arabinose	alaA//prpE//eda//moaD//appA//tauD//gltB//
ArcA-Phosphorylated	nagB//patZ//rutB//dadX//cyaA//pta//tktB//melA//caiD//srlD//ubiA//aldA//narG//rhaA//napH//cyaA//fadH//dnaE//purK//psd//glpD//sdaA//gatD//pck//pgaB//sgbH//purA//citD//allE//nrfA//ldtB//dkgB//icd//yfdE//gapA//manA//oxc//dadA//aldA//iscS//citX//bcsA//tdcG//cadA//gpsA//aspA//puuB//fumA//mutY//hycD//citE//mtlD//purH//purD//glgA//gatD//rbsK//ubiC//citX//nrfA//cynT//ilvG_2//xdhC//ppiA//cysC//srlD//cadA//atoD//citX//frdD//cysN//lpd//aldA//ilvE//citE//lpxB//ubiX//napH//trpA//araA//purF//ilvI//ulaE//edd//deoA//ogt//acnB//nrdE//nirD//glgB//lysC//gabT//pgaB//gltD//ynfE//sucA//metH//
ArgP-L-arginine	rdoA//araD//appA//fadA//lysA//bioB//cynT//ispE//gpmA//pncB//ahpC//
ArgR-L-arginine	caiB//aroH//glyA//nrdD//adhE//astD//trpB//ndh//prpB//chbF//ubiG//malS//hmp//carA//pgaB//ansB//garR//pgaC//malP//deoB//pgaB//araB//frdC//
AtoC-phosphorylated	lsrG//ogt//rdoA//
BaeR-Phosphorylated	mltC//hcp//
BirA-bio-5-AMP	rbsD//citX//glcB//sucD//garL//
CRP-cAMP	puuD//icd//alaA//glcF//folA//oxc//yiaK//tyrB//sdhB//paaJ//paaJ//purK//dapB//argB//phoA//cyoE//caiC//gcvP//sgbE//acs//bcsZ//fadA//argI//uxaC//ubiA//hpt//fumA//aceE//hyaC//entC//gutQ//bglB//astD//mhpD//acs//tyrA//hycC//serC//xylA//tyrB//feaB//glpC//bioF//alkB//ilvG_1//kbaZ//gutQ//puuB//codA//alaA//argA//narG//mutY//lacZ//udp//atoB//mltC//phnG//ilvM//pheT//cpdB//uxaB//lacZ//rutC//mpl//xdhB//metL//caiC//hyaB//phnN//fucA//mdh//mdh//gcvH//paaB//metB//rutE//ubiG//nrdA//upp//galM//citG//gltD//ilvD//gapA//paaG//uxuA//paaK//lacZ//abgB//gcd//fumA//mhpE//purL//gabD//aroF//glgB//dmsB//gltD//ilvA//atoA//ubiX//ubiC//sdhC//phnO//lysU//ubiG//mhpE//ilvG_1//glgB//lpxB//gltB//hemA//cysH//phnI//cysD//purF//uxuB//xylA//ilvB//malY//gatD//nrdD//moaD//uxuB//lsrK//mhpA//pyrD//cyaA//epd//betB//hycE//hycF//argE//appA//ilvE//citF//phnI//dmsB//citE//gcvH//fadA//purM//bioF//napB//purF//acs//pyrC//nanE//glgA//glcB//metH//gltD//ilvB//cadA//glcE//frdA//moeA//puuD//prpB//purA//moeB//caiB//dmsC//gadB//yfeW//ung//nanM//astE//acnA//preA//ilvD//gpsA//preT//gltD//citX//torC//gcvT//gltB//cyoE//lyxK//caiD//nrdE//bglB//cysI//gltA//metE//chbF//gltB//mltC//tsaE//argC//tyrB//citX//ampD//aceE//cyoE//pnp//glgC//icd//galM//betB//fadA//agp//uxaC//pyrC//lpd//sdhD//gpsA//ynfF//fadE//cysN//alkA//ilvN//argD//polA//hmp//nrdB//ilvH//phoA//nrdA//umpH//glgX//cdd//nrfD//glpK//talA//napC//entD//paaZ//appA//phnL//thrS//dmsB//hyaB//ugpQ//citE//gabT//ndh//prpB//glpD//caiD//argH//gabD//gntK//mhpB//codA//ynfE//ssuE//phnG//bioC//yeaE//argB//metF//phnJ//trpD//alaA//cysM//speB//astA//dusB//nadC//lsrF//bioC//pheS//caiC//prmC//gatY//lpxB//hycD//pheS//chbF//fadI//speA//bcsZ//dmsB//ilvG_2//hmp//uidA//prpC//pyrC//purE//cysN//gpsA//malP//moaA//carB//lpxD//malY//rbsD//
ChbR-Monoacetylchitobiose-6P	sucB//pta//psd//
CpxR-Phosphorylated	lysC//malZ//entC//rutA//ahpF//prmC//aroA//sucC//pheT//pyrC//gatZ//yiaK//hycD//uxaC//ilvB//betA//rdoA//phnH//fadD//katE//guaA//pck//
CreB-Phosphorylated	torC//ilvA//cdd//
CueR-Ag	mpl//fucK//metE//purF//
