# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	fau//pgpC//torA//cheR//
AlaS-L-alanine	bioD//
AllS-allantoin	ilvG_1//hycE//caiC//
AraC-L-arabinose	yfeW//fucI//fadA//fdhF//sucD//prpD//truB//
ArcA-Phosphorylated	aroL//sgbH//guaA//chbG//hycC//adhE//glpA//sodA//uidA//tdcG//ynfH//atoD//chbF//aroG//ynfG//ubiG//ispE//zwf//uxuA//atoD//ackA//xylA//manA//ahpF//pdeF//hypF//purC//tdcB//cadA//purB//glpX//deoB//gcd//tehB//lpxD//fucU//fucU//glgA//ssuE//yfdE//xdhC//cysC//miaA//napC//gatD//fabZ//aldB//folE//dgcZ//argA//pncB//ssuE//yjeF//napC//malP//betA//gadB//phnH//serA//alaS//kbaZ//fes//gpmA//moaA//araB//ubiX//atoB//pck//prs//phnL//bioC//speC//entF//rnpB//cpdB//ynfH//araB//xylA//lysC//pta//gcvT//ldtB//ilvM//pyrC//ahpF//cysI//ldtB//araA//lsrG//uxaA//nrfD//argC//prmC//astB//pgk//moaE//hycD//
ArgP-L-arginine	fucI//xdhA//phnM//prpD//glpE//glpB//malY//rutE//fadB//sucA//cpdB//
ArgR-L-arginine	metH//aspA//umpH//lpxA//paaZ//purB//hypB//umpH//dmsC//zwf//citF//lldD//frc//torC//carB//glgB//cynT//allC//aceA//serA//xylB//preT//lhgO//
AtoC-phosphorylated	cheR//hycC//argF//
BaeR-Phosphorylated	lpxB//prpC//
BirA-bio-5-AMP	ilvG_1//fumB//nrfC//idnO//prmC//
CRP-cAMP	ilvE//garR//aceA//metH//fadJ//malZ//xdhA//pta//fucI//betA//nrdD//rhaD//cysD//ahpC//dgcZ//fbaA//slt//sdaA//cyoE//lysC//ilvG_1//fbaA//uxuA//glpD//tdcE//ynfG//cheR//dusB//lyxK//metC//entC//frc//hflX//tnaA//ung//tsaE//fucI//speC//nrfA//ahpF//idnD//rutD//ugpQ//sgbU//fau//metK//gpmA//hemA//gdhA//phnM//sgbH//pyrD//purK//glcB//ybjG//pdeF//ispE//preA//fumA//fumB//uxuA//rhaA//aspC//cysC//edd//ung//sdhC//ispE//lpxD//fabZ//lsrG//aceB//napC//hpt//glpK//hemA//cdd//phnI//napC//miaA//rbsK//hypF//glpA//mhpB//cheB//paaC//sucC//ynfG//bcsA//ldtC//nadC//sdhB//rbsK//paaZ//speC//speB//glgA//nadC//gltD//hycB//metA//astE//aceA//tsaE//nagB//ubiA//tdh//moaE//lsrK//torC//uxuA//kbl//caiD//astB//hpt//bcsB//argH//entF//caiB//phnP//argG//glcF//trpC//upp//speB//bglB//cyaA//ppiA//aroL//aceE//gdhA//fumA//aroL//epd//cysM//ilvD//aceA//paaZ//ppiA//mhpE//bioD//ndh//dnaE//paaE//hyaC//araB//ilvA//argF//phoA//puuC//glpK//lysC//yfeW//patZ//dgcZ//metC//sdhB//cpdB//appA//cysJ//sgbU//sgbE//slt//abgB//cdd//entC//phnN//dgcZ//astC//sodA//astB//hmp//mutL//purD//ilvB//codA//metH//aspC//aceE//paaJ//ilvN//acnA//ansB//ilvC//ubiG//gcd//paaA//dmsC//paaJ//cynT//moaA//uxaC//argE//ilvI//allD//glpA//truB//avtA//citF//zwf//napC//tdcB//rutB//edd//phnH//purC//lpxD//garL//ilvI//katG//ahpC//trmD//gatY//gnd//thrS//frdB//ahpC//tauD//hycB//pck//katE//mhpF//gcvH//argD//rbsK//tdcG//ilvG_1//ynfH//puuC//ampD//fbaA//melA//phnM//torC//paaJ//bioB//glgC//caiA//glgA//bcsA//icd//alkB//agp//hyaB//rutB//sdhA//ilvG_2//lyxK//dnaE//garL//dmsB//allD//gnd//fadJ//gdhA//rutC//narG//aceB//betB//xylA//guaB//dsdA//ybjG//cpdB//garK//hemL//ubiC//aroF//nadC//hyaB//speB//metB//frdB//frdA//yfbR//gcvT//pgaD//citX//speC//rbsK//atoA//purL//ogt//dapB//paaJ//codA//metK//nrdB//entD//gcvT//
ChbR-Monoacetylchitobiose-6P	phnM//sdhD//gatY//
CpxR-Phosphorylated	sdhD//paaA//bcsB//lacZ//tam//torC//rhaB//ynfH//miaA//xylB//lpxD//purH//acnA//metK//nrfD//serC//nrfC//fadI//nanK//cysH//lpxA//cysM//
CreB-Phosphorylated	tktB//oxc//ampD//
CueR-Ag	eda//glgX//nanM//ilvN//
CueR-Cu+	nrdA//ndh//glnA//idnK//
CuerR-Au	hemA//nrfC//rutD//bacA//
CusR-Pasp	ada//garR//xylA//
CynR-Cyanate	hpt//garR//atoD//
CysB-N-acetyl-L-serine	ldtC//glgA//hyaA//iscS//nrfA//pck//codA//astA//gnd//dapD//acs//trpB//phnN//aceF//astC//phnJ//
CysB-O-acetyl-L-serine	ilvH//tyrA//puuC//argF//cpdB//paaE//ampD//paaA//agp//aroA//sucC//rbsK//uxaC//aroL//gltA//argH//purC//
DcuR-Phosphorylated	acnB//dapB//glcF//ilvB//
DnaA-ATP	katG//ogt//speB//napB//aroF//pagP//
DpiA-Pasp	frc//lhgO//ung//bcsZ//purA//
DsdC-D-serine	gltB//aceF//
EvgA-Phosphorylated	galM//alaA//uvrA//tdcB//guaB//
