# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	glpK//purM//fucU//dapB//
AlaS-L-alanine	napH//
AllS-allantoin	phnL//aroH//epd//
AraC-L-arabinose	sgbU//ldtC//alkA//rutE//codA//puuB//purH//
ArcA-Phosphorylated	ascB//slt//cysC//idnD//talA//fadE//fumA//gatD//ynfF//sucD//fadI//appA//sdhA//nrdE//serA//chbF//pnp//nrdD//ulaF//mtlD//gcvP//puuD//phnO//pyrC//argG//serC//dmsC//nrfA//deoD//deoB//araB//uxaC//puuE//glgB//entF//hyaA//uxaA//cynT//tdcD//idnD//gpsA//ilvN//frdB//puuB//phnP//pncB//malZ//fau//yiaK//paaZ//pgpC//narI//argG//ldtB//edd//lpxD//nanM//atoA//puuB//cheR//sufS//allC//tktB//preT//astC//waaH//hycC//folE//malZ//ilvH//phnL//hyaB//gpmA//fdhF//fumA//torA//ahpC//nadC//eda//hyaB//ldtC//betB//narI//nrfC//gadB//atoD//aroH//polA//paaA//sgbH//dsdA//deoB//argB//lsrG//ackA//caiA//rutC//
ArgP-L-arginine	purE//fucK//lldD//fucA//umpH//trpD//trpE//fadI//cheB//trpC//glpK//
ArgR-L-arginine	lysC//cpdB//bcsZ//metC//ampD//dsdA//citD//mhpA//fadD//tdcE//atoA//glcB//rhaB//uxaC//cadA//rhaB//deoD//dmsA//argH//ilvG_1//pgaB//appA//appA//
AtoC-phosphorylated	lysA//nanK//dapB//
BaeR-Phosphorylated	glcD//slt//
BirA-bio-5-AMP	nrfD//phnG//garR//rnpB//yqjH//
CRP-cAMP	glpB//allC//galM//mpl//hcp//caiD//trpB//sdhB//aroG//argA//lhgO//bcsZ//nanM//cynT//nirB//hyaB//hpt//caiB//purL//hycB//frdA//chbF//bcsB//ackA//xylA//sucC//hemL//paaB//fumA//narG//alaS//dnaE//lacZ//glcB//miaA//xapA//prs//fucI//purA//fucI//paaZ//ftnA//narG//fau//phnI//slt//deoB//purB//carA//malZ//nanE//nanK//fau//glpA//hcp//fucI//speC//argF//ynfF//tsaE//hycD//icd//glpQ//argA//speC//metF//aceA//rnpB//atoA//gabD//uvrA//sodB//sucA//napC//nrdB//hypF//xdhA//argE//hycE//trpE//metB//hcp//atoB//gntK//hyaB//mpl//fucA//moeA//preT//rutB//trmD//xdhA//iscS//gatZ//cysK//dmsA//purK//moeB//aroL//ubiX//sodA//cheB//feaB//ynfE//xdhA//bioA//entF//katG//torC//nanE//fdhF//gcvH//mhpE//caiC//tyrA//ubiX//phnN//aspC//gnd//cynT//avtA//truB//pgpC//ybjG//purF//gatD//aroL//alkB//rbsK//ogt//rutC//pyrC//ybjG//atoB//idnO//pnp//alaS//nrfC//pgaB//ilvE//sgbE//pagP//appA//glyA//waaH//dapB//ppiA//tam//kbl//ispE//aroF//lyxK//araB//ampD//yfbR//waaH//argI//tdcG//glgP//ynfG//lsrK//uxaC//atoA//alaA//phnN//tadA//puuA//pta//pyrD//hemA//entF//ulaF//rhaD//caiC//alkB//dkgB//phnI//metA//aceE//malS//aceB//bcsZ//frc//miaA//xdhB//gadB//ampD//xdhA//purA//phnJ//cysC//chbG//sucB//betB//aroA//ilvG_2//rhaD//prs//dmsA//pta//citC//ogt//gadB//cadA//speC//mpl//gatZ//paaZ//ilvC//dmsB//pheS//rutB//frdD//katG//eda//tadA//cysD//garL//nanK//ldtB//rutD//nadC//sdhC//gadB//paaJ//paaK//sucD//glpQ//tnaA//cyoE//xdhA//edd//xdhC//bioA//nrdE//tdcE//pgaB//pagP//cdd//ynfF//glcF//gnd//moeB//caiB//caiA//carB//recF//gltD//galM//dnaE//deoB//hyaB//fucK//galK//serA//phnN//uxaA//prpE//mtlD//fadA//purN//trmD//fdhF//yfdE//tyrB//metA//lyxK//nrdF//bglB//hmp//paaI//cysJ//deoC//gcvH//gutQ//glyA//lysA//ldtC//serC//glnA//chbG//mhpA//paaJ//sucC//glpB//pgaC//gabD//atoB//aroA//aspA//
ChbR-Monoacetylchitobiose-6P	cadA//metK//tehB//
CpxR-Phosphorylated	umpH//nirB//pflB//purD//cynT//mhpE//glpE//entF//avtA//idnD//aroA//hpt//metK//pheS//adhE//tdcB//rutB//glcE//folA//fadJ//argI//dkgB//
CreB-Phosphorylated	rbsK//rutA//sdhC//
CueR-Ag	sodB//sucD//idnK//serA//
CueR-Cu+	ldtC//araA//yjeF//prpC//
CuerR-Au	cynT//pagP//trpB//nagA//
CusR-Pasp	gdhA//hycE//hflX//
CynR-Cyanate	gcvT//malS//atoD//
CysB-N-acetyl-L-serine	frdB//tktB//iscS//frdB//napB//cpdB//ulaF//yfbR//cyoE//allD//ilvG_1//rbsD//patZ//cysH//preA//pncB//
CysB-O-acetyl-L-serine	oxc//ilvM//ansB//sufS//gapA//dnaE//phnO//aroL//ilvE//serC//lysU//bioA//katE//glpX//gadB//truB//cysD//
DcuR-Phosphorylated	rutC//gcvH//folA//hyaC//
DnaA-ATP	alaA//lpxD//mdh//metK//lpxB//acs//
DpiA-Pasp	nanM//mpl//sgbE//ahpF//nrdD//
DsdC-D-serine	atoD//serA//
EvgA-Phosphorylated	pgaC//glpQ//gatZ//metE//glcF//
