# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	prpE//fumC//fucO//narI//
AlaS-L-alanine	alaS//
AllS-allantoin	metA//purK//lpxD//
AraC-L-arabinose	xylB//polA//argI//araA//betA//ilvD//ilvE//
ArcA-Phosphorylated	gltA//nanK//ftnA//phnG//nanM//nrdA//nadC//ubiG//ilvG_1//ilvE//purM//cysI//nirB//paaC//idnO//recF//pck//aceB//ilvH//argA//fumC//fucA//xdhB//mhpC//alkB//trpD//dmsB//hcp//iscS//treC//glpC//lsrK//argG//kbl//moeA//nrdF//garK//prmC//paaF//napG//argI//cysM//puuA//idnD//caiD//rbsK//sufS//lacZ//prpC//frdD//lhgO//aroH//ppiA//caiC//aspC//aceA//gutQ//metA//bacA//hemL//rutC//ampD//udp//nrfD//gcvH//argF//iscS//pgaD//allE//nirB//fdhF//slt//lacZ//glcD//mhpB//fbaA//narG//narG//hflX//prpD//upp//appA//cysH//citD//hycD//tam//lacA//trpA//garR//xdhB//glcE//adhE//cysI//gabD//aceA//idnK//tauD//
ArgP-L-arginine	lpd//phoA//tam//tsaE//aspA//gabD//puuD//ugpQ//uxaB//icd//metC//
ArgR-L-arginine	tdcG//puuA//caiC//prpE//uxaA//glyA//hycD//lpxD//araB//sdhD//cyaA//glgC//ilvC//metF//ahpC//trpD//ynfF//betA//glcD//napA//moaE//napB//bcsZ//
AtoC-phosphorylated	garR//chbG//ulaF//
BaeR-Phosphorylated	lsrF//bioD//
BirA-bio-5-AMP	glpB//caiA//glpC//pta//yqjH//
CRP-cAMP	abgA//rhaA//serC//nirD//malP//aceE//astE//hemA//aldA//sufS//aroG//narI//pagP//cysD//xapA//galE//metA//speC//caiA//murQ//paaE//folE//phnL//rhaB//truB//malS//xylA//garR//ynfG//ulaD//thrS//deoA//glnA//nrdD//hyaB//aceA//prpC//rhaA//tam//hycE//mutY//trpC//purN//preA//xdhC//sgbE//bcsA//yfdE//lpd//serA//ispE//argE//hmp//tyrB//nrdE//glgC//glpE//gltB//lpxD//trpB//bcsB//gntK//citD//pflB//abgB//galE//fucO//tam//gatY//phnG//ybjG//aceF//hflX//ssuE//prpC//melA//hycE//citC//mhpB//nanA//lyxK//lpxA//cheB//phnH//fadE//bioD//tadA//dusB//alkB//paaH//ubiX//yjeF//galK//gatD//cyoE//xdhB//bioD//cyaA//miaA//gabT//aceF//ubiG//aroA//polA//ascB//sucB//trpA//bacA//cdd//cdd//atoA//paaF//ldtB//rutA//sdhA//gabT//fes//yjeF//sucD//srlD//paaH//pdeF//glpQ//cysM//rutA//cysN//prs//lpxB//moaE//garL//trpB//metK//moeB//preA//citG//argI//garL//lldD//ilvA//tyrB//tdh//ndh//pgaC//uidA//talA//trmD//ssuD//yfeW//torC//aceB//nanE//sdhA//allD//aceB//phnP//glcE//appA//napB//nanK//appA//puuB//cysC//puuC//atoD//lacA//sgbE//caiA//tsaE//ppiA//fabZ//psd//sdaA//idnD//fadI//glgA//tehB//lpxB//uxaC//ynfF//rhaA//aspA//glcF//glgP//cysK//tauD//galE//narH//gltA//folA//sgbE//gnd//garK//paaJ//yfbR//pgaC//moaA//uvrA//umpH//garK//dkgB//fumC//paaH//guaB//cheR//fadH//cpdB//tdcG//gcvH//gadB//argC//purD//uxaC//recF//prpD//cyoE//fucI//bcsB//fadE//glpE//ilvC//napG//glgA//carB//argI//ung//prs//lpd//phnJ//bcsZ//guaA//psd//gltB//paaZ//citE//ogt//sdhA//napH//moaD//prs//alaS//aroG//hycD//deoA//tdcG//puuB//galM//argD//cysN//glgX//pagP//aroG//ulaF//dadX//tnaA//phnI//metA//glgB//abgB//moaD//fadB//astD//betA//pncB//yfbR//gcvP//eda//mhpC//polA//glcF//xylB//alaA//lpd//metB//garK//pgaB//lpxB//phnJ//yjeF//yfdE//metA//cyaA//feaB//ybjG//galM//glpQ//glpK//phnP//cyaA//kbaZ//aceA//
