# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	preA//astC//glyA//mhpF//
AlaS-L-alanine	folE//
AllS-allantoin	citE//phnJ//mutL//
AraC-L-arabinose	dapD//sdhB//uxaA//gcd//prpC//katE//agp//
ArcA-Phosphorylated	adhE//glpA//metC//glcF//yfeW//puuB//mutY//hyaB//cysN//idnO//purH//metF//ugpQ//malY//gabT//hycD//lysC//napH//hemA//hycD//eda//paaA//hcp//mdh//yqjH//speA//bacA//hypB//ilvM//treC//pnp//araB//yfeW//ilvG_2//garR//mhpC//puuE//atoB//nirB//appA//folA//uxuA//cysI//tyrB//aceB//paaG//kbl//ilvM//glpC//aroL//sdhD//uxuB//argC//miaA//uxaB//puuB//tdcG//paaG//codA//phnI//lysU//lysU//fumB//ynfH//sgbE//napC//citD//pgk//cynT//moeB//lysU//garK//agp//ilvD//glpC//umpH//torC//idnK//malQ//ulaD//ulaF//serA//sdhA//ynfF//speA//torC//prpC//ilvN//dmsB//fumC//lpxA//serC//nrdE//idnO//lsrG//rhaD//caiA//
ArgP-L-arginine	phnJ//gnd//entD//phnI//metA//lyxK//lhgO//cadA//aceA//puuB//alkA//
ArgR-L-arginine	gltB//phnI//mltC//hycE//araD//lpxA//melA//acnB//phnP//metK//caiB//pagP//xylB//truB//caiB//astE//sufS//phnN//allE//dadA//puuD//hycD//gntK//
AtoC-phosphorylated	cpdB//puuB//nrdE//
BaeR-Phosphorylated	hycC//metE//
BirA-bio-5-AMP	bioD//preA//araB//hycF//purE//
CRP-cAMP	nrfC//cysH//purB//hycB//dsdA//purD//glcE//chbG//tehB//fucK//hycB//citG//cysG//mtlD//phoA//tyrB//phnM//nanA//argI//rbsK//rhaD//cysI//cueO//cysH//rutD//nadC//cysC//nanK//cysJ//malQ//phnH//fadD//hycE//serC//frdD//ftnA//lysU//dusB//caiB//cheR//ugpQ//acs//garL//hypF//mhpC//gcvH//purK//mhpE//ubiA//purF//lacZ//pta//metB//waaH//atoD//chbF//moeA//pagP//metH//speB//cysD//ispE//gabT//ulaD//glpE//paaZ//ispE//ynfH//glpA//cheR//dapD//guaA//argC//pgpC//cpdB//moaD//fucU//atoA//caiD//nrdE//glpX//ilvA//preT//betA//ldtC//argC//entC//yfbR//deoC//paaC//fes//ilvI//prpB//lpd//metL//sgbH//argF//hyaC//cysK//glcB//lpxB//hycG//tdh//cyaA//sgbU//ascB//carA//aroA//nagA//codA//atoB//caiA//folA//preT//tdcD//acs//paaH//purE//lhgO//citX//pgaD//purE//ilvB//slt//carB//hcp//ahpC//nanA//mpl//cysK//speA//uxaA//lysA//ilvC//frdA//preA//sgbH//hyaC//hemA//aroH//abgB//hemA//cysG//serA//agp//nrdE//kbl//allE//zwf//rhaA//argI//prmC//paaE//fucK//torA//hyaA//lsrK//avtA//pnp//hycC//pck//allC//aceA//moaD//paaE//nirD//narI//bacA//cysJ//mutY//pyrD//purN//katE//bioF//cysI//argA//entD//aroH//murQ//citD//gcvH//aroH//dmsA//rnpB//tsaE//paaA//ackA//pgaD//lpd//mtlD//trpC//codA//astD//citG//xylA//frdB//metF//tadA//fadB//allE//hemL//puuC//tyrA//pta//dadA//tehB//hycG//dusB//folE//acnB//dmsA//prs//narI//mltC//yjeF//fadD//rhaB//sodB//paaA//hycB//galK//pgpC//srlD//xdhB//trpB//gatD//moaA//aroG//pheS//abgA//glcE//patZ//serA//patZ//fau//purL//ldtB//cheR//ilvC//cysJ//hemL//upp//xylB//napG//fbaA//fbaA//paaJ//pdeF//tyrA//araD//mhpB//mpl//tyrA//miaA//caiC//fabZ//tam//galE//puuE//ubiC//metB//bioC//gltD//glnA//cynT//glpB//purH//acs//ilvH//trmD//alkA//mhpD//ynfE//alaS//uxuB//folE//allD//sdhD//ssuD//bioF//glpC//treC//aroG//purC//rbsD//prpD//ftnA//rbsD//dadX//paaI//
