# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	uxaA//fadA//zwf//trpB//
AlaS-L-alanine	tdcE//
AllS-allantoin	metL//dusB//entH//
AraC-L-arabinose	icd//cysJ//cysH//glcD//pgk//narG//argC//
ArcA-Phosphorylated	narG//metE//lyxK//tnaA//yeaE//nrfC//fabZ//aroF//trpB//slt//narI//ascB//srlD//phnH//ansB//dnaE//dnaE//alaS//sufS//entB//paaF//malY//garK//sodA//rbsK//xylA//sucA//cheR//avtA//phoA//fadA//dadA//aroA//mhpA//ynfG//glpB//acs//cheB//ilvH//carA//lysA//narI//gcd//aroG//astA//cpdB//tsaE//tauD//lsrK//napC//glcD//sufS//aceB//pncB//treC//lpd//galT//ilvI//tdcG//sucC//xapA//tauD//mpl//codA//sdhD//aroA//dnaE//sdhD//lpxD//cysM//aroA//citC//carB//fadD//malS//deoB//sdhC//ulaE//dnaE//nrdB//aceF//metF//phnG//guaA//purA//ilvA//phnM//alaS//napB//napA//ada//ilvG_1//puuE//mhpC//srlD//ubiX//sucA//
ArgP-L-arginine	hycE//fumA//nrfA//metK//gnd//allD//xapA//aroG//trpE//citG//carA//
ArgR-L-arginine	purM//gabT//argD//puuD//argA//adhE//idnO//fadA//lysU//bioB//uidA//phnH//hypF//mhpD//lpxB//ilvE//glpK//cpdB//sodB//fucU//nanA//sufS//dapB//
AtoC-phosphorylated	phnN//folE//dgcZ//
BaeR-Phosphorylated	napG//ampD//
BirA-bio-5-AMP	cysC//avtA//yiaK//aroL//gatY//
CRP-cAMP	aldB//napG//ubiG//nadC//cynS//dusB//araA//betA//caiC//idnK//lpxD//argD//nrfD//fumB//entA//astC//tyrA//purK//ftnA//astD//lsrK//paaZ//ftnA//paaI//rutC//fucI//chbG//fucO//mhpD//nrfB//hypB//bioA//tdcD//hycF//glpB//entD//cynS//xdhA//paaI//fdhF//napG//pheS//rbsK//gabD//tyrB//upp//tyrA//metL//preT//trpC//ascB//cynT//araD//tsaE//cdd//mhpA//ilvE//fumB//caiB//glnA//fdhF//carA//glgP//ispE//rutE//rbsD//ssuE//xylB//citX//xdhC//gcd//glgP//hmp//agp//paaG//paaK//rdoA//fadJ//ogt//cyoE//dadX//pck//tnaA//aceF//bioA//hmp//ulaE//xylA//uidA//argC//fadE//ilvD//phnL//glgB//moaA//ppiA//bioD//gcvP//puuA//purN//sgbH//gdhA//metK//metL//bioF//yqjH//caiD//lldD//bcsZ//rutC//gltD//nrdD//paaF//entB//betA//mpl//deoB//argH//aceB//citX//yeaE//uvrA//ldtC//mutY//truB//phnM//mhpD//glgX//sdaA//glpC//ilvE//puuA//prpE//cysH//torC//tdcE//cysK//lpd//narI//sdhC//acs//sdhC//ilvM//phnI//ynfH//galM//umpH//iscS//paaC//astE//preT//bioD//lysA//yjeF//malY//frdD//entB//pnp//pdeF//prpE//ansB//deoA//napC//pck//yfdE//paaJ//sdhD//ampD//bcsB//alaS//napH//metC//nanM//lyxK//araD//aldB//bacA//entA//dmsC//tdh//rutD//sufS//deoC//yjeF//rutD//prpD//tsaE//ispE//katE//mpl//glpD//prmC//metF//zwf//ubiA//ilvD//talA//xapA//bcsB//cadA//xdhA//garR//ilvC//nirB//pgk//puuD//yfbR//argF//lsrF//nagB//moeB//deoD//glpQ//gltB//manA//uxaC//paaI//fucO//sdhB//argF//moaE//mhpA//sdhA//cysK//carA//guaB//lpxB//pheT//mhpD//galK//puuC//mpl//citF//fabZ//sdhD//serC//trpE//entH//mhpD//hycF//phnI//nadC//ulaF//tyrB//gatY//serA//dmsA//cueO//paaK//ilvB//napA//malQ//hyaB//aroF//glgP//carA//nanK//recF//abgA//fadE//lhgO//caiC//acnA//ldtC//nagA//bglB//edd//glnA//agp//alaA//sucA//trpA//yfbR//ubiA//gcvH//ada//gcd//glpB//fadD//trpB//uidA//xylA//pta//katE//caiA//pncB//cysG//alaA//pck//sucD//
ChbR-Monoacetylchitobiose-6P	citE//araA//cysN//
CpxR-Phosphorylated	ldtB//phnL//glcE//purF//argF//sgbU//ilvE//metH//glgB//gntK//hycB//sdhC//caiB//speB//fbaA//gltA//alkA//ilvA//metA//bglB//nrfB//mhpE//
CreB-Phosphorylated	cynS//gatZ//rnpB//
CueR-Ag	hypF//gapA//garR//ilvD//
CueR-Cu+	ilvG_1//garK//lsrF//hemL//
CuerR-Au	aspA//hycG//mhpA//pgaC//
CusR-Pasp	ilvE//pyrC//gcd//
CynR-Cyanate	rbsK//pyrC//garR//
CysB-N-acetyl-L-serine	uxaB//citX//eda//alaA//cysM//mhpE//phnI//trpD//moaD//idnK//hyaB//lysC//sdaA//moaE//zwf//bcsZ//
CysB-O-acetyl-L-serine	sdhD//paaJ//argI//melA//dadA//pagP//acnA//ulaF//folE//purN//galE//ubiX//lysC//deoC//nanK//gcd//sucC//
DcuR-Phosphorylated	purM//dusB//pgk//araA//
DnaA-ATP	atoB//umpH//garK//cueO//bacA//hemL//
DpiA-Pasp	mhpC//paaZ//icd//paaE//puuC//
DsdC-D-serine	glgP//yfeW//
EvgA-Phosphorylated	glcB//glpQ//preT//sdhA//tktB//
FNR-Fe_reduced	torA//rutD//ackA//araD//oxc//sucC//purE//aroA//ada//xylB//malS//lysA//serA//deoA//atoD//slt//astE//dusB//dmsA//mhpD//citX//sdhD//amn//manA//araB//lysU//puuB//thrS//paaB//slt//nagA//betB//deoD//araB//mhpD//talA//ansB//feaB//nrfA//lysA//mltC//nrdD//yfbR//nanA//phnM//tsaE//fucU//udp//gatZ//gapA//phnP//agp//glgX//bioD//fucK//ulaD//preA//aroG//paaE//lhgO//hycF//prpC//fucO//garL//gcvH//lhgO//bglB//rhaB//cadA//oxc//deoA//fucI//tauD//rutA//gatD//citD//lsrK//mutY//mltC//epd//lpd//fadD//ung//paaG//moeA//phnM//gatD//manA//ansB//trpA//cysD//gapA//gapA//pck//phnI//bcsA//idnO//ppiA//fadH//fucI//glgB//mutL//appA//gadB//hemL//aspA//pyrD//manA//uxuA//astA//sdaA//hypF//dadA//astC//dadA//kbaZ//fes//pgpC//entF//bioA//entB//lacZ//pgpC//uidA//aldA//purK//ynfH//
FhlA-Formate	miaA//cyaA//acs//paaG//pgk//cdd//avtA//
FucR-L-fuculose-1-phosphate	entB//argD//lsrF//glyA//bioF//cysN//
Fur-Fe2+	sdhC//tsaE//paaG//tauD//astA//edd//ybjG//phnP//cysK//ndh//nanM//lyxK//cysJ//trpC//ampD//caiA//fadJ//bcsA//ackA//gltD//sufS//yfeW//paaE//bglB//fadB//aspC//idnO//araD//galE//nrfD//waaH//fadI//ubiX//hcp//aceF//paaB//hycG//pheS//yiaK//fucI//dapB//nanM//purM//glcE//argC//kbaZ//lyxK//ulaF//purK//kbaZ//recF//betB//amn//ilvH//galE//mhpE//gadB//cpdB//trpC//glcF//gltA//nrdD//appA//glpB//zwf//patZ//glpC//cadA//gabT//
Fur-Mn2+	phnI//gutQ//gatY//argB//aceA//trpD//glpD//amn//torC//cdd//sucA//ilvG_1//metF//dgcZ//argG//dnaE//katE//alaS//rhaD//adhE//mhpC//tdcE//phnI//glgB//lldD//astB//agp//gcvP//tehB//pgaC//sucB//napA//acs//rbsD//gpmA//aspC//lacA//narI//glpC//glpE//hyaC//purL//pyrD//pncB//glgC//lsrF//aceB//aroL//fbaA//guaA//yeaE//ppiA//gabT//glgP//slt//alkA//pgaB//nrdE//pdeF//allC//bacA//argA//dkgB//deoC//ynfH//purK//sucB//lacZ//astC//
GlcC-Acetate	cueO//rhaB//metK//
GlcC-Glycolate	rutC//purA//pflB//
GlrR-Pasp56	
IclR-pyruvate	malP//lysU//moeA//
IdnR-5-ketogluconate	bioF//fabZ//sgbU//gatZ//folA//astA//
IdnR-Idonate	argA//cynT//tdcE//purM//fbaA//puuC//
IlvY-2-acetolactate	glcF//
IlvY-Alfa-acetohydroxybutirate	pgaB//
IscR-2Fe	fumA//aceB//caiD//rbsD//metH//gntK//katE//
LldR-L-lactate	malP//guaA//
Lrp-Leucine	fdhF//puuC//rutC//trpA//glpA//dapB//adhE//fucI//yeaE//fucI//abgA//torC//glpA//preT//xylB//caiD//aceE//glpD//aroA//paaF//citG//tehB//ynfG//ssuD//prpB//garK//idnK//prpD//cysK//caiD//garK//ilvB//lsrG//xdhA//ppiA//bglB//narG//gatZ//glpA//
LsrR	aroH//lpxB//fadE//glpK//ung//
MalT-ADP-Maltotriose	purB//araD//lacZ//trpB//rhaA//uxuA//
MalT-Maltotriose-ATP	alaS//ldtC//paaI//yfeW//garL//phnM//
MelR-Melibiose	sdhC//sdhD//
MetJ-S-adenosylmethionine	mhpF//ssuE//allE//fumA//rhaB//phnM//cheB//bcsZ//nrfD//aroF//
MetR-L-homocysteine	acnB//sucC//ispE//tdh//
MhpR-3-DHPP	acs//nanK//metF//ssuD//abgB//cysC//
MhpR-3HPP	rhaD//sgbH//ugpQ//frdC//gcvP//hpt//
MntR-Cd2+	allC//yfbR//
ModE-MoO42-	astE//lysA//ilvB//pgk//feaB//puuC//uvrA//citF//idnD//fes//gcvH//galM//moaD//glcB//
NarL-Phosphorylated	sdhA//ampD//caiC//cysM//glpE//garL//galK//talA//nanM//astC//cysH//prpE//ada//rdoA//gapA//recF//astD//metF//atoB//frdB//nrdA//napG//aroA//metK//ispE//gapA//tauD//sucA//dadA//fabZ//gpsA//umpH//bioC//paaB//argB//bioF//tnaA//acs//
NarP-Phosphorylated	galT//fdhF//bioF//truB//argB//rutA//nrdA//metA//yeaE//fadE//melA//
NhaR-Na+	ilvI//nrdE//rutC//nrdD//prpC//
NikR-Cd2+	slt//
NikR-Co2+	argA//
NikR-Cu2+	guaB//
NikR-Ni2+	ssuE//
NikR-Zn2+	nanK//
NrdR-ATP	kbaZ//glgP//recF//dnaE//
NrdR-Zn2+	phoA//glpE//atoD//talA//
NrdR-dATP	ilvD//argC//galK//yfeW//
NsrR-2Fe	entE//ascB//dkgB//narH//acs//avtA//yfdE//speA//caiD//bcsB//lpxB//ndh//ilvE//dadX//nrdA//cysI//tnaA//guaB//citD//fadD//lysC//allD//sucD//feaB//ung//hemA//purK//glcF//tadA//sucA//
PhoB-Phosphorylated	sucD//rnpB//citG//aldA//phoA//cysG//hycB//yqjH//garL//ilvN//cysH//atoA//hycG//dsdA//ynfH//astE//gabD//hypB//purN//phnI//
PhoP-Phosphorylated	abgB//iscS//nirD//serC//paaI//nagA//speA//caiD//icd//paaC//phnI//sdhD//rnpB//mtlD//hflX//citC//guaA//hycF//hycF//lhgO//bioA//betB//atoA//melA//trmD//gadB//garK//thrS//araB//rhaB//hycC//yqjH//torC//xdhA//argI//
PrpR-2-methylcitrate	nirD//glcD//rutC//psd//
PurR-Guanine	aldB//ilvA//cysC//paaB//glpB//glpE//trpB//fadH//phnN//gcd//torC//moaA//moeB//bcsZ//hypF//alaA//phnO//betB//astD//idnD//gapA//trpD//katG//ssuE//miaA//nrfB//puuB//
PurR-Hypoxanthine	nirB//hycB//argG//gnd//cysM//guaA//atoB//nrfB//metL//nagA//udp//aceB//phnG//fucU//uxaA//hflX//galE//ilvE//atoD//aroG//hmp//xapA//caiD//aceB//pgaC//cadA//dsdA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	zwf//carA//glpQ//napC//
RstA-Phosphorylated	aroG//aceE//argB//
SoxR-2Fe_oxydized	mpl//melA//
TorR-Phosphorylated	hycB//tdcE//mhpE//
TrpR-Tryptophan	betB//phnH//pgk//pck//sucA//entA//rbsK//purB//zwf//
TyrR-L-tryptophan	entE//hycC//lpxA//fes//citC//speB//caiD//metF//trpB//
TyrR-Phenylalanine	phnP//napA//sdhB//hemL//cheR//tyrA//zwf//citF//hycD//
TyrR-Tyrosine	ssuD//ssuE//ilvH//galE//speA//kbl//mpl//nrfD//deoA//
UhpA-Phosphorylated	betB//
XapR-xanthosine	alaS//mutL//
XylR-Xylose	lldD//deoD//napA//
ZntR-Cd2+	mtlD//
ZntR-Hg	lsrK//
ZntR-Zn2+	frc//
ZraR-Phosphorylated	
Zur-Zn2+	fadB//
