# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	glpX//trpE//preT//hycC//
AlaS-L-alanine	ilvC//
AllS-allantoin	ldtB//garL//umpH//
AraC-L-arabinose	cysK//nrfC//rnpB//uxaA//paaE//nanA//folE//
ArcA-Phosphorylated	galK//glgA//fadA//malZ//ssuD//ilvM//pgk//sufS//avtA//aroG//pgk//ldtB//ugpQ//cueO//talA//pgaC//ssuE//acnA//cysM//frdC//tyrA//paaI//argG//ubiA//argB//hcp//feaB//malS//pyrC//amn//sodB//cysN//dadA//phnO//gcvH//lysC//lpd//rbsD//ispE//katG//dkgB//glgB//citE//ilvB//ssuD//ynfH//uxuA//araA//dmsA//rhaA//atoD//argG//sodB//appA//hypF//metB//rdoA//dkgB//frdA//cyaA//purA//glcF//alkA//ilvC//trmD//lpxB//lsrK//mhpA//astE//glgC//ynfE//narI//ansB//glpX//metC//astB//hycE//xylB//pncB//glpC//dusB//aspA//gcvP//aceF//cysC//gabD//patZ//purL//cadA//glgA//trmD//malY//glpB//bioA//ldtC//glcE//srlD//
ArgP-L-arginine	gcvH//gabD//adhE//paaF//udp//astE//cheB//carA//idnO//rutA//paaE//
ArgR-L-arginine	feaB//pgaD//tdh//bcsZ//carB//araD//sdhD//argD//tdcD//mhpC//lysU//uxuB//frdC//tehB//bioF//cysG//cadA//yeaE//phnN//sufS//garR//dkgB//pagP//
AtoC-phosphorylated	phnN//aroH//ldtC//
BaeR-Phosphorylated	sdhD//ilvA//
BirA-bio-5-AMP	pck//gatD//glcD//ogt//argA//
CRP-cAMP	murQ//psd//prpB//tauD//gpmA//cynT//rutE//torA//astA//gltB//fadJ//moeB//slt//mutL//lpxA//fadB//hmp//lyxK//ung//mhpF//pgaC//alaA//galT//aceF//metC//prpB//rutB//ulaF//rutE//alaA//katG//aroH//cysK//sdhA//phnM//bioF//araD//fumC//phnJ//alkA//melA//nrfA//pdeF//rutB//ssuD//cyaA//tdcE//torA//metF//gpsA//fucK//sucA//hflX//hemA//allD//gcvP//speB//acnA//cpdB//galT//ndh//paaC//cysD//zwf//garK//glcB//gatY//oxc//purC//dapB//glcE//alkA//glcF//glgX//argA//trpB//lacA//rbsK//sgbH//astE//nirB//chbG//malS//ilvB//rutE//polA//ilvD//gdhA//uvrA//fumA//argI//guaB//nanK//phoA//gdhA//polA//sgbE//fucU//argD//metH//purL//yjeF//cysN//glcF//tyrB//bioB//mhpB//ilvA//pgaD//nrdB//truB//yeaE//nirD//puuE//xdhB//gcvH//guaB//frdD//prpB//argG//sucB//purH//garL//glcF//kbaZ//manA//rutC//fadB//metL//fau//cysK//araD//ilvD//puuE//glcD//ybjG//malY//metH//chbF//cyoE//kbl//gcvT//psd//gltB//sucD//malY//gcvP//yfeW//fucO//napC//lysA//fadJ//glpA//ascB//araA//rutB//hemA//paaI//fucI//glcD//lyxK//aroF//chbG//guaB//glgC//nrdB//manA//astC//fadD//gabT//galK//deoA//pyrC//sdhC//ulaE//uxuA//pgaC//dkgB//bcsA//argD//lyxK//sgbE//pgk//deoB//xdhC//nrfA//narI//frdC//fau//guaA//paaK//paaF//gnd//galM//dapB//pyrD//trmD//aspA//lhgO//lpxA//allD//cpdB//pgaD//yfdE//cynS//rhaD//ubiG//ilvG_1//deoC//hmp//alaA//garR//feaB//sdhC//rutC//uxaA//hycE//napH//argC//hmp//argG//bioF//gcvT//citG//ilvE//cysC//napB//bioD//folE//acs//aspC//trpA//caiB//glpQ//lsrF//ung//entF//edd//gdhA//trpD//uxaA//cysJ//narG//fucI//dmsA//tehB//nrdD//napB//iscS//rutD//rbsK//argB//avtA//frdD//atoB//dnaE//pheS//rbsK//paaE//cyoE//mutL//ulaF//trpC//hemL//ubiX//preT//tadA//galE//fes//ahpC//rutD//trmD//glyA//ynfE//manA//sodA//treC//trpA//hycG//fabZ//astA//metB//rnpB//manA//ilvB//araB//ybjG//folA//pheT//aroF//
