# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	nanK//slt//argG//astE//
AlaS-L-alanine	yiaK//
AllS-allantoin	ilvH//lsrK//sdhC//
AraC-L-arabinose	rnpB//ubiA//glgA//fadE//frc//ldtB//dapD//
ArcA-Phosphorylated	aceF//deoD//mhpA//tdh//citX//gabD//oxc//dmsB//entH//gabD//metC//ampD//malZ//glnA//idnD//paaZ//narG//citD//tdcD//gpmA//ilvC//paaH//bcsB//phnG//fucI//patZ//rbsK//ilvM//nirB//tyrB//lacA//ilvN//narH//alkA//cysG//argB//gatD//moaE//malS//rutA//dapD//ilvE//paaE//malZ//phnH//bcsB//cysD//aroL//uxaA//phnI//phnP//ubiC//caiD//citD//pflB//metA//fumA//ulaE//puuE//tdcB//fumB//ascB//nrdE//nanE//hycB//nrfC//sdhD//dadA//hpt//cueO//nrfA//cadA//ybjG//sdaA//purC//nrdB//nanE//pgaD//citE//cynS//astC//atoD//dkgB//metK//sgbU//udp//rhaB//deoD//pheT//aldA//gpmA//ada//fau//gcvT//cysM//frdC//sufS//
ArgP-L-arginine	dmsC//lacA//ada//cysI//idnO//appA//fumA//entH//hflX//pagP//frc//
ArgR-L-arginine	hemL//nrfC//fucK//preT//nrfB//glpC//hycE//sdhD//alkB//metE//fucI//galM//gcvP//nrdB//betA//sodB//phoA//ppiA//nrdF//hycD//puuA//yiaK//garK//
AtoC-phosphorylated	uxuA//metH//malP//
BaeR-Phosphorylated	fau//ubiG//
BirA-bio-5-AMP	moaA//edd//trpA//galM//nrfD//
CRP-cAMP	frc//rutA//glpQ//ilvM//aroF//gcd//deoC//tdcG//hycB//deoD//cysJ//nrdA//torA//prmC//trmD//galE//lpxB//aroH//citC//ilvI//nagB//aroG//edd//garR//puuD//glnA//mhpE//folE//pgaB//ubiA//cysH//ilvN//uxuB//carA//ilvA//mhpE//bioD//ilvI//tdcB//nagB//glpX//moeA//bglB//mltC//araA//deoD//sucD//bcsZ//yqjH//glcB//glgP//malP//hyaC//astA//lhgO//metL//narH//mltC//sdhB//phnL//kbaZ//yjeF//acs//gapA//nrdF//dgcZ//bglB//dadA//purM//cueO//citE//paaK//gabD//araB//ilvC//gntK//kbaZ//lysU//moeA//phnL//melA//rutA//sdhC//mpl//sgbE//mhpD//ahpC//cysN//paaK//glgA//cadA//ubiC//paaA//idnD//pyrC//ybjG//hpt//fucK//pnp//yiaK//feaB//hemA//mutL//deoA//xylA//bioD//pdeF//fumB//deoB//pyrC//ndh//cpdB//citF//gabD//puuC//lpxA//deoA//cynT//alkB//citD//hyaB//aroA//aroH//trpA//narI//bcsZ//gcd//deoB//fumC//rhaB//phnI//torC//yqjH//kbl//uxaA//amn//phnL//fucK//fumA//mutL//xdhC//narH//nadC//dadA//sdhA//chbG//argH//argC//xylA//serA//aroA//narG//aldB//ilvD//yfeW//ilvN//citF//rdoA//paaF//frdB//glgC//tsaE//argE//mpl//ssuD//hycD//hycB//purF//trpE//cyoE//sodB//aceE//truB//paaB//rbsK//lpxB//patZ//mhpF//allE//alaA//hpt//atoA//ilvA//murQ//glpB//nanE//ynfE//purF//carA//rutC//aldA//mhpB//alkA//pagP//nirD//dusB//sucD//bioB//tktB//ybjG//hycC//bcsZ//hycG//purK//caiC//ackA//ilvD//ilvC//nagA//abgA//napC//gpmA//yfbR//pgaB//puuE//yjeF//entH//glcE//mutL//preA//guaA//cysG//moeA//ascB//ynfE//acnA//ilvC//hyaA//psd//acnB//fumB//gcd//prpB//nrfC//malQ//murQ//pgk//purD//ascB//ilvC//glpX//pck//metH//ldtB//ubiX//garL//rutA//mhpE//bglB//ynfE//speA//uxaB//prpB//paaI//dnaE//ubiG//deoA//ascB//trpE//ahpC//ugpQ//dadA//lacZ//cysK//galM//glyA//bglB//purL//aroA//glpC//fucO//dmsC//sdaA//nirB//frc//caiD//puuC//paaZ//astE//aspA//katE//ftnA//bioF//sdhC//nanA//ilvG_1//rutE//ispE//araD//pncB//
ChbR-Monoacetylchitobiose-6P	cysJ//glpA//tehB//
