# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	purH//gapA//glpK//metC//
AlaS-L-alanine	pflB//
AllS-allantoin	ispE//ubiA//purC//
AraC-L-arabinose	deoA//hypB//citX//yfdE//araD//gltA//metL//
ArcA-Phosphorylated	ilvN//acnA//glpC//nrdF//entF//glpD//hmp//ftnA//ahpC//yjeF//rhaB//ynfE//garK//sdhB//zwf//ahpF//malS//malP//dgcZ//ssuD//folA//metK//thrS//paaE//lsrF//nanK//fabZ//argI//purE//uxaC//malQ//dgcZ//cdd//sucB//pdeF//tehB//mhpC//ilvC//glgB//lldD//sgbU//nrfB//bglB//lacA//gntK//xdhC//truB//hyaA//glpQ//purH//purN//dgcZ//hycG//sucC//aspC//araB//nrdE//ilvE//pheT//fdhF//moeB//frdB//purM//dadA//phnL//paaH//paaG//ogt//fumA//ilvM//cysI//metE//cpdB//cysK//ogt//aceF//sucD//uxaC//gabT//caiD//ynfH//napA//napA//mltC//gntK//hpt//cynS//adhE//aroG//gapA//rbsD//garK//aldB//uxuA//prs//ldtB//uvrA//
ArgP-L-arginine	frc//glgA//nrdF//sucD//argD//aceE//serA//aroF//uxaC//cysN//galT//
ArgR-L-arginine	nanK//frdD//slt//aroF//sufS//dmsA//mutL//mdh//nagA//gntK//araD//paaK//paaB//lyxK//prpB//pnp//abgA//fes//nrfC//paaH//tam//fumC//tdcE//
AtoC-phosphorylated	uxaC//astC//ilvG_2//
BaeR-Phosphorylated	trpB//xdhC//
BirA-bio-5-AMP	gnd//hcp//prmC//cysD//gntK//
CRP-cAMP	sodB//galK//gpmA//aceA//metK//bcsZ//galT//phnH//hmp//fadH//citF//aroA//cynS//citD//sdhD//napB//pheS//pheS//pck//dadA//yeaE//gabT//fadI//recF//talA//dmsC//preA//dapD//purL//metF//gcvP//ubiA//acnB//ynfE//fadB//sdaA//rutE//ampD//aroF//nrdE//fabZ//gntK//xapA//astA//glpQ//dgcZ//pgaB//nanM//prpC//hypB//feaB//sgbE//ubiA//pta//idnD//sgbE//frdC//aroA//ulaF//talA//pheS//moaA//prpD//pyrC//lysC//araA//tdcG//rutE//alaA//tam//lhgO//alkA//yeaE//fadE//nadC//mhpE//agp//ilvM//pnp//lsrK//nrfB//moaD//pheT//ilvN//ldtB//phnI//betB//ilvH//ubiX//ynfG//zwf//dkgB//frc//kbaZ//metF//uxuB//rhaA//prs//tyrB//metA//manA//acnB//allD//metK//tdcE//purA//sdaA//fadB//pta//mltC//ansB//thrS//nirD//sdhA//allE//guaA//lhgO//aceE//malY//argE//ppiA//alkA//betA//cheR//purB//paaB//talA//fau//appA//phoA//uxaC//appA//prs//glcB//miaA//sodA//melA//nagB//ynfF//dusB//rutE//pgaD//ndh//hycC//glpA//mhpB//xdhA//fadD//frdD//glgX//aldB//dadX//fadE//rutE//mhpA//alkA//lysU//aroL//codA//nrdD//lsrG//dkgB//avtA//fadE//phnJ//glgA//caiA//psd//pyrD//agp//entA//rutE//yiaK//paaA//cdd//phnJ//ansB//pagP//yfeW//ybjG//prpB//frdC//nrdE//metF//sucA//pgpC//hycE//ung//astA//nrfB//galM//garK//pncB//ilvH//yfbR//bioB//araD//lpxA//fadB//argC//bglB//ilvG_2//dusB//katG//ilvE//lacZ//pta//idnO//lyxK//malP//nrdD//cysN//folA//trpB//hemA//hcp//speC//carB//aceA//fabZ//hycD//torC//tsaE//dmsA//napA//prpD//dmsB//fes//araB//torC//pgaD//slt//bioF//ung//uvrA//pgpC//serA//idnK//oxc//aldA//paaK//ung//melA//purD//hpt//entB//hycE//fadA//purD//feaB//sgbU//glnA//lpxA//ahpC//hyaA//ssuD//purL//rutE//mhpF//alaS//bcsB//ftnA//recF//lpxD//rnpB//ulaE//folA//pnp//phnH//kbl//lsrF//fumA//hpt//aroG//puuC//cynT//prpB//katG//citX//gapA//folE//pnp//folA//metK//fadH//polA//paaC//nanK//allD//cynS//
ChbR-Monoacetylchitobiose-6P	napC//metK//iscS//
CpxR-Phosphorylated	frdD//rutB//ansB//sufS//paaC//mltC//rhaB//lsrF//talA//dadA//paaH//ilvE//fabZ//sgbE//tauD//lacA//speA//araA//napA//upp//metL//garR//
CreB-Phosphorylated	pck//paaG//torA//
CueR-Ag	pagP//xdhB//cysN//ilvH//
CueR-Cu+	gatZ//phnH//puuC//fucO//
CuerR-Au	dgcZ//fabZ//frdC//lsrK//
CusR-Pasp	ldtB//phnH//glcD//
CynR-Cyanate	pck//thrS//puuB//
CysB-N-acetyl-L-serine	phnL//garL//xdhA//narG//trpB//ulaF//prpC//astE//trmD//nirB//phnJ//yfbR//ilvG_2//gabT//fumC//preT//
CysB-O-acetyl-L-serine	deoD//astB//gabD//sufS//appA//cysK//bglB//pagP//puuA//ynfH//rnpB//pgaC//entA//cysH//garR//lysA//entE//
DcuR-Phosphorylated	paaF//ada//glgX//pgaD//
DnaA-ATP	cysJ//slt//hflX//metH//fbaA//gcd//
DpiA-Pasp	lpxA//aceB//purH//waaH//talA//
DsdC-D-serine	nanE//mhpB//
EvgA-Phosphorylated	trpE//ilvH//phnJ//citX//dadX//
FNR-Fe_reduced	puuE//mhpA//dadA//yeaE//bioC//cueO//frdB//caiA//ulaE//torA//hemA//epd//lpd//sgbU//entD//entA//speA//idnK//ppiA//narI//argB//dkgB//metL//astC//avtA//nrdE//aldB//fes//allD//thrS//sgbH//phnN//purA//ampD//eda//deoC//paaF//ilvG_2//purF//sdhA//chbF//trpB//dsdA//phnH//lacA//atoA//cynS//metA//purD//purD//fadD//ssuD//carA//napA//paaB//metH//glgC//glcE//chbF//sdhC//glpQ//pgaC//ugpQ//glgB//uidA//gutQ//cysH//yiaK//bcsA//yjeF//nirD//deoD//astE//sdhA//ldtC//ftnA//ispE//idnK//fadI//uxuB//ilvG_1//xdhC//frdA//sdhA//citE//caiB//aceA//allE//mdh//purL//frdC//pgaB//ilvE//prpD//pflB//galT//pdeF//lsrK//glpQ//mtlD//tyrA//puuE//purL//phnM//ulaF//cheB//alkB//glpE//pyrD//dusB//sufS//metE//citC//bcsZ//yfdE//dkgB//pgk//rhaA//pgaD//astA//paaF//gatY//atoD//idnD//glnA//treC//argI//
FhlA-Formate	abgB//ubiC//phnH//sdhD//fadI//ilvI//prs//
FucR-L-fuculose-1-phosphate	gutQ//guaB//atoB//abgB//edd//astD//
Fur-Fe2+	ilvG_2//pheS//prs//pheS//sdaA//araD//pyrD//metK//udp//hemA//paaI//ascB//astB//ybjG//hmp//bcsZ//nagB//sdhC//uxuB//fbaA//mhpA//hyaB//nrfA//paaE//cdd//ynfH//gltD//argI//puuD//ugpQ//yqjH//murQ//frdD//xylB//nrdF//idnO//napA//avtA//napG//lacA//gcvH//narH//gatY//sodA//slt//aroL//glpD//sodA//hypF//malS//acnB//xapA//ynfE//upp//lysC//ppiA//folA//narI//hycC//mhpD//purK//purM//rhaD//nrfA//mdh//aroG//fucU//nrdA//phnH//
Fur-Mn2+	ubiC//avtA//gabT//fau//torA//torA//lldD//trpC//eda//avtA//nrfA//dadX//glpB//ilvH//entB//pgaD//serC//folA//tam//lsrF//idnD//aspA//paaF//ada//tdcE//argA//lpxA//mhpE//moaE//gabD//chbF//paaI//pyrC//miaA//entC//aldA//ybjG//fumB//ynfH//napC//fucI//phnJ//hpt//alkB//napC//purA//gatZ//cysM//metB//agp//srlD//ssuE//rhaA//narH//araD//glpA//bioC//nrfB//dmsA//lysA//mtlD//gpsA//hycF//glpQ//argE//lysA//bacA//gapA//citF//
GlcC-Acetate	hyaA//xapA//miaA//
GlcC-Glycolate	argG//hmp//dusB//
GlrR-Pasp56	
IclR-pyruvate	ppiA//upp//puuC//
IdnR-5-ketogluconate	paaF//sdhA//fumA//purM//astC//aceA//
IdnR-Idonate	phnH//fumB//cysC//argD//aroA//serA//
