# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	lyxK//hyaC//chbG//ahpC//
AlaS-L-alanine	ugpQ//
AllS-allantoin	feaB//hycC//abgA//
AraC-L-arabinose	paaB//phnN//phnM//malP//astB//gabT//sgbH//
ArcA-Phosphorylated	speC//sgbU//waaH//glpB//paaC//umpH//recF//pncB//speB//cynT//glpB//mhpC//dadX//ilvG_1//gutQ//speC//ispE//kbl//mltC//nrdB//aroA//mtlD//fadI//dnaE//deoB//speA//miaA//fabZ//fadD//yfbR//entD//glgP//ppiA//prmC//glpK//glpC//sdhD//chbF//frdC//moeA//entD//mpl//umpH//araD//ppiA//tdh//lacA//tdcD//entE//lysU//glcD//xylB//metL//fucA//xdhC//ilvA//sgbU//pagP//sdaA//yfbR//bioB//fdhF//hyaA//nrfC//hypB//phnI//recF//astA//sdhD//aldB//chbF//paaB//lsrK//fucU//appA//atoD//frdB//ubiG//hycG//tdcE//dadA//fucO//napH//ftnA//moeA//edd//ugpQ//metB//phnI//hemA//tdh//dkgB//sucC//codA//purM//uidA//atoB//
ArgP-L-arginine	rutE//uxuB//rutB//gabT//cysI//mhpD//nirB//glcE//purC//speA//fabZ//
ArgR-L-arginine	citF//lhgO//gntK//gltB//speB//nrfD//astE//lldD//paaG//gnd//sdhB//trpE//idnK//cpdB//agp//caiD//nrdE//pncB//tauD//cysD//nagB//pgaB//dnaE//
AtoC-phosphorylated	aroL//trpC//glpC//
BaeR-Phosphorylated	lpxA//ssuE//
BirA-bio-5-AMP	dmsA//malQ//aceE//yqjH//purB//
CRP-cAMP	udp//bglB//ldtC//mhpB//ubiG//pgaD//talA//pnp//speA//prpB//cyoE//abgB//argF//nrdA//ynfG//ldtC//moaD//malY//caiA//ynfF//ilvD//adhE//argB//agp//astE//nanE//ulaF//eda//pheT//trpE//speA//ubiC//ynfF//ubiX//entC//mpl//sgbE//nanA//atoD//mhpF//puuA//hypB//argG//araA//betA//metL//cpdB//frdB//aroG//deoC//acnA//dapB//frdD//aroA//hcp//dapB//gltA//argD//sucC//oxc//udp//prs//fucI//cysC//glpE//phnL//ilvM//bioC//hpt//aroA//purC//rhaD//gabD//cysJ//napG//argH//trpB//purK//bioC//phnH//rutD//phnG//ung//paaF//galK//purE//tdcE//polA//atoB//betB//entA//rdoA//entH//sodB//allC//malZ//entE//argD//aroH//carA//pgk//ybjG//tdcD//ampD//alkB//nadC//uxaB//bioD//xdhA//nanM//fumB//napH//recF//ndh//glpK//ilvA//ilvE//puuC//tauD//rhaD//melA//fucI//aroH//cynT//purB//cyoE//treC//bioF//udp//speC//garK//gcvT//abgA//ilvE//glyA//manA//sdhA//paaB//metC//paaI//dsdA//glpA//ppiA//paaF//mhpA//xdhA//entC//cysN//ackA//cynT//xdhC//deoA//hyaB//rutC//prmC//napG//cueO//gcvT//lpxA//fdhF//ackA//sucA//atoA//phnI//cysJ//ilvI//hycG//entB//dadX//appA//nadC//mtlD//mpl//astD//carA//frdB//nagA//gcd//fadD//tehB//ubiX//metA//dnaE//glcE//cdd//pnp//hpt//fadD//tdcG//metK//ulaE//rutB//codA//trpC//nanM//patZ//cysN//caiC//xdhA//lsrK//fucK//narG//prpD//bioF//yfeW//frdD//psd//tdcE//malY//truB//torA//entH//guaA//waaH//psd//serA//allE//ilvE//gltD//ada//glgP//dsdA//acs//patZ//nirD//purB//tauD//abgB//lsrG//glpA//sucA//hyaA//nanA//moeB//cueO//fumA//ilvA//dmsB//mhpF//rutA//citF//pheS//gcvH//fes//ogt//araA//puuC//ynfF//ilvG_2//atoD//dkgB//srlD//gatD//cpdB//fucI//paaF//speA//hemA//phnI//purF//sgbH//sgbU//moaD//lpxD//ampD//kbl//uxaB//cheR//nrdD//amn//rbsK//nrfA//waaH//gatD//atoA//allD//treC//paaZ//mpl//rhaB//pflB//atoB//ilvG_2//pheS//glpD//yfdE//gatY//astD//mdh//entH//
