# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	nrdA//bcsA//araD//entC//
AlaS-L-alanine	mhpE//
AllS-allantoin	hemL//acs//napB//
AraC-L-arabinose	frdC//citC//argG//cysM//ppiA//ppiA//entH//
ArcA-Phosphorylated	psd//nrfB//idnK//narI//phnH//nagA//nrdB//lpxB//hyaC//alaA//chbF//cpdB//ugpQ//gdhA//moaA//phoA//garL//recF//paaI//gcvH//icd//prs//ynfF//lsrG//trpC//frdB//tadA//purC//ynfG//glgA//chbG//serA//nrfB//gcvP//argI//metL//ndh//dgcZ//tdh//patZ//udp//ampD//agp//cyoE//rhaB//nanK//treC//xdhA//pgaD//srlD//miaA//fadA//glgX//feaB//citX//fabZ//hycE//gpmA//puuE//entA//idnK//tdcB//mhpC//aroA//ilvC//paaK//rhaB//ackA//cyoE//ilvN//entD//tdcD//rutA//pflB//glgA//aldA//fumA//citE//ppiA//gnd//ynfF//argE//cysN//nrfD//acs//edd//prpB//hycG//moaE//purH//malP//purN//puuB//narI//sgbU//ung//cysH//
ArgP-L-arginine	alkB//sgbU//fumC//yqjH//purM//allC//metK//purE//cysN//nanE//prpC//
ArgR-L-arginine	sgbH//sodA//glgP//gatD//fbaA//appA//paaI//rutE//paaA//glpD//phoA//sdhA//rutA//tyrA//purD//ahpF//tyrA//entB//ubiG//gltD//aroH//malQ//argB//
AtoC-phosphorylated	yjeF//cysH//ada//
BaeR-Phosphorylated	cysM//cyaA//
BirA-bio-5-AMP	cysJ//astC//acnA//ilvN//nrdA//
CRP-cAMP	hyaA//srlD//treC//citG//sdhA//sgbH//ada//astC//citX//glgP//hpt//tdh//napC//garL//prpC//ldtB//pgpC//fadH//hypB//hyaA//xylA//rnpB//tdcB//hmp//pta//dnaE//pgaD//serC//pck//tyrB//purB//phnM//sdhC//gpmA//moaE//cyoE//ogt//ubiX//nrdE//acnA//nanM//tdcD//ung//edd//trpB//nagB//pagP//betB//astB//hycC//serA//galT//ynfF//rhaD//atoB//ubiC//tdcG//uxuB//alaS//aceF//murQ//rhaA//rutE//mutL//waaH//waaH//hycB//narI//caiB//pgaC//paaI//udp//chbG//astE//epd//tadA//hycE//hcp//carA//ascB//pgaD//caiA//atoB//glnA//folE//cynS//purH//fucA//nrfA//fdhF//galK//ssuE//ssuD//upp//hflX//abgB//sdaA//phnH//yfbR//bcsB//purK//ahpF//cynS//cysD//metF//malZ//xylB//paaE//fumA//cpdB//ilvM//moaD//gdhA//moeB//fumA//psd//rhaA//carB//pheT//cysH//eda//napG//ilvA//psd//paaZ//kbl//patZ//gltB//melA//tdcG//yqjH//tdcE//preT//kbl//nanM//idnD//ftnA//yfdE//narH//lysC//amn//abgB//ung//mltC//rbsK//dmsB//lpd//cysG//waaH//chbG//lpxB//idnD//hyaC//purH//trpE//puuD//lsrF//rutD//avtA//allE//hpt//citG//ampD//ilvI//bioD//frdC//puuB//bioB//pflB//sucD//ynfG//argC//tdcE//gabT//metB//speC//gabT//paaK//citX//argH//dapD//citE//paaI//aroG//dadA//moeB//argD//mutL//trpB//metF//nirD//metC//udp//caiC//ppiA//alkB//gltA//ilvG_2//astB//purE//cysC//miaA//deoA//ulaF//glpA//nrdF//nrdA//frdA//dusB//atoB//guaB//narI//bcsZ//paaB//recF//ispE//paaF//gabD//cynS//tdcD//preA//argB//cysD//purN//entF//bioB//yeaE//garL//gabT//sgbE//dmsA//mpl//yfeW//rbsK//phnG//allC//mutL//moaA//pgk//pgaC//mpl//tyrB//udp//pagP//torC//cysG//xapA//rhaB//treC//tadA//metE//rhaD//hyaC//talA//ssuE//argI//glcB//ilvA//folE//bcsB//lhgO//nrfC//ubiX//ubiG//argB//aroF//preA//trmD//eda//astE//narG//phnH//moaE//ilvE//rnpB//rbsK//trpD//ogt//dapD//upp//fadE//sucD//bioF//hypB//paaB//ilvE//glcD//araB//prmC//preT//
