# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	ilvI//cdd//bglB//dgcZ//
AlaS-L-alanine	lsrK//
AllS-allantoin	sgbH//ynfF//deoA//
AraC-L-arabinose	rnpB//moaD//acnA//fau//xdhC//glyA//gatD//
ArcA-Phosphorylated	glgA//purC//ilvM//lacZ//cysN//lpxA//cysD//agp//aroF//bioB//araB//lsrK//nanE//bioF//prpE//ogt//phnO//fumB//glpB//murQ//fadI//prs//trpE//metE//sdhB//uxuA//tktB//fbaA//yfeW//rbsD//cynS//glgX//glpC//puuA//kbaZ//allD//entF//phnH//gltD//citC//folE//astB//frdC//rdoA//prs//adhE//entC//lacZ//dnaE//ynfH//fucK//folE//tdcG//glpQ//argE//katE//gntK//gltD//psd//citG//metE//xapA//deoA//fucI//entB//metH//idnO//sodA//mtlD//pflB//sdhD//acnA//pyrD//uxuB//codA//gpmA//ubiG//alaA//sgbE//codA//puuC//metH//gatY//carB//cdd//melA//metB//astE//ndh//paaZ//uxaA//napC//ilvD//hycC//nrdB//puuB//dmsA//
ArgP-L-arginine	hyaC//nanM//moeA//prpD//glpA//fadI//ynfF//serA//napH//caiB//gabD//
ArgR-L-arginine	cyoE//lldD//glgB//ynfE//atoD//lldD//sufS//phnJ//moaD//gcvH//icd//gatD//xylA//amn//paaJ//paaA//nrfB//paaH//prpE//hycC//frdA//nrfB//pgaD//
AtoC-phosphorylated	pgpC//narH//tdh//
BaeR-Phosphorylated	caiB//serA//
BirA-bio-5-AMP	sdhC//aspC//fumA//astD//citG//
CRP-cAMP	paaH//gcvH//puuD//gadB//araB//ubiX//ftnA//xylA//araB//astA//citC//ackA//idnK//cyaA//prpB//hycB//pgpC//hypF//galT//mhpD//yjeF//gabT//trmD//caiB//atoA//glgA//uxaC//fadI//narH//atoB//nanA//pflB//hycB//hycE//cpdB//iscS//truB//nanM//moaD//gapA//cysD//sdaA//yjeF//abgA//truB//rutB//serA//cdd//tam//prpB//avtA//dadA//frdB//metE//cysI//ilvD//hypB//lacA//tsaE//araB//rutA//kbaZ//astB//phnN//entB//trpB//pgaB//hycC//trpE//prs//cyoE//acs//nrfA//phnJ//malS//mdh//glnA//yfbR//murQ//nrdA//carB//caiD//lhgO//ulaD//ilvD//bioC//mhpB//cyoE//ssuD//frdB//fucU//cdd//nrdD//tdcB//narG//fau//tdcD//argD//argC//aroL//argE//metF//ynfH//napH//ilvH//fumB//purM//gltD//avtA//metC//phnH//frdD//mltC//paaZ//fbaA//purD//aroA//phnG//fabZ//murQ//pheS//hypB//folA//nrfA//astE//puuE//fucU//fadJ//argF//abgB//lacZ//rutC//entE//katG//glpB//ilvD//garL//lacZ//glpD//cheR//caiA//puuD//pgaC//caiD//uxaC//uidA//metL//puuC//alaS//argD//amn//phnP//cysG//gutQ//polA//acs//dadX//phnJ//citC//narH//entD//ilvH//paaF//alkA//carB//cysG//hemL//deoD//ilvN//aldB//pta//fucI//caiD//fdhF//pgaC//atoD//napB//glcE//patZ//nrfD//rutB//astA//speB//tdcB//phnJ//ppiA//acs//tktB//fbaA//paaK//nanK//umpH//fumA//pagP//yfbR//tdcG//mhpF//malP//sufS//ilvN//gltA//xdhB//ilvA//entB//xdhC//argA//glpQ//talA//yfeW//mhpE//ubiA//glpK//alkB//garL//atoB//uxuB//garR//uxuA//malP//gltB//nanA//lysA//ppiA//rutA//pyrD//purE//trmD//yfbR//fucA//lsrK//purD//puuD//fucO//argD//mhpE//nrdF//aroL//nrdE//pta//fadB//ogt//slt//cysD//betA//glpB//paaA//cysJ//fucA//pgpC//mdh//allE//polA//nanK//ynfH//moaD//amn//aldA//aroH//cysI//yqjH//ispE//uidA//astC//caiC//glgX//sgbE//aspA//kbl//glpQ//citC//gltB//puuA//dusB//paaB//caiC//glnA//entE//narH//bacA//entE//pagP//fadB//astB//katG//cyoE//bcsB//moeA//betA//patZ//puuB//
ChbR-Monoacetylchitobiose-6P	purM//ilvB//mhpE//
CpxR-Phosphorylated	narH//mutY//preT//torC//umpH//aldA//aceB//edd//fumC//purE//fadH//fucK//katG//mhpF//allE//mhpC//galT//pck//lpxB//atoD//entC//moaA//
CreB-Phosphorylated	deoA//nrdF//uvrA//
CueR-Ag	aldA//lacA//dgcZ//mhpC//
CueR-Cu+	pta//phoA//ackA//serA//
CuerR-Au	entE//frc//phnL//nirB//
CusR-Pasp	rhaA//astC//hemA//
CynR-Cyanate	moeB//aceB//yqjH//
CysB-N-acetyl-L-serine	napB//mhpF//fadD//mhpC//dsdA//nirB//narH//citF//cysK//katG//purC//tdcD//phnO//puuE//fumA//purC//
CysB-O-acetyl-L-serine	nagA//pgk//metC//ansB//phnN//bioC//pta//truB//purN//fucI//pdeF//psd//pgaD//uvrA//abgA//ilvA//hemL//
DcuR-Phosphorylated	deoB//bioA//nadC//sucD//
DnaA-ATP	talA//ilvN//frdC//glpE//aspC//metB//
DpiA-Pasp	entH//paaZ//entA//glpC//tsaE//
DsdC-D-serine	gcd//puuA//
EvgA-Phosphorylated	citF//paaA//srlD//glcD//upp//
FNR-Fe_reduced	frc//deoD//araD//ada//uxuA//malQ//uxaA//bglB//recF//ftnA//glgC//ssuD//folE//caiC//ubiX//gcvH//cysC//zwf//ilvM//gatY//ahpC//narH//cadA//hypB//paaB//bioC//codA//cysK//dgcZ//idnK//uxuB//pagP//dnaE//metB//metL//phnI//pta//rutD//pnp//cysI//yeaE//galT//ada//cynS//tadA//folE//citX//cpdB//sucA//aspA//narH//acnB//puuA//lldD//gpsA//fucA//miaA//polA//katG//araB//talA//dmsA//glcF//guaB//mltC//napH//pta//patZ//speC//mutY//nrdB//dadX//astA//glcD//abgA//lpd//metF//rutA//recF//dadX//preT//glpD//astC//oxc//ugpQ//nanE//metC//hemA//ilvD//recF//sucC//glcB//nrfD//bioF//alkA//caiA//argH//xdhC//mhpA//phnO//ilvA//ynfH//acs//fadI//rutD//paaE//rhaB//moeB//hycB//moaD//aceF//caiB//xylA//caiA//nrdB//caiD//aroA//yeaE//fumC//bacA//cysI//lpxA//pgpC//dapD//dgcZ//malS//rutE//
FhlA-Formate	feaB//lpd//sgbU//aceA//paaG//yiaK//citG//
FucR-L-fuculose-1-phosphate	manA//deoA//idnO//tnaA//rhaA//glpC//
