# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	argC//nanM//uxuB//gabD//
AlaS-L-alanine	astC//
AllS-allantoin	nanK//upp//glgC//
AraC-L-arabinose	acnA//paaH//ubiG//lldD//deoC//aroL//sucD//
ArcA-Phosphorylated	dapD//narH//bioD//mhpF//codA//cyaA//recF//purF//argI//atoA//allE//pheT//ybjG//ppiA//frdB//cysM//dapD//polA//cueO//bioB//argG//argB//purC//kbl//sdhB//deoB//frdB//dmsC//tnaA//hycD//xdhA//pyrD//uxuA//caiC//argB//hycG//paaC//frdC//galE//alkB//ilvI//chbF//bioC//nrdA//pncB//mhpB//astD//glcD//sdhC//purA//ybjG//glnA//ansB//phnM//katE//astD//sdhA//sdhC//cheB//xylA//nrdE//mutL//betA//paaE//bioC//cueO//moaA//melA//narG//ndh//gdhA//carB//uidA//pnp//mpl//aspA//aceF//rhaB//phnL//folA//astD//cadA//trpC//citC//moeB//aspA//tyrB//deoC//prpD//lldD//dgcZ//rdoA//yiaK//gltA//fadE//ulaF//cheB//
ArgP-L-arginine	feaB//napH//cyaA//edd//dapD//malY//dadA//tam//deoB//bioC//rutA//
ArgR-L-arginine	aroH//avtA//chbF//sodB//garR//caiB//rnpB//sucC//umpH//nagB//umpH//ubiG//purD//pgaB//tnaA//aroL//betA//gcvT//fadB//carB//ynfG//glpE//dsdA//
AtoC-phosphorylated	prpC//allC//ahpC//
BaeR-Phosphorylated	cysG//rhaA//
BirA-bio-5-AMP	gabT//ascB//preT//chbF//ugpQ//
CRP-cAMP	lacZ//bioB//dmsA//atoB//pagP//alkA//uxaC//ubiX//malS//recF//ilvA//phnH//mutL//rhaB//tyrA//aceF//phnM//bioA//fumC//ung//trpB//purH//garR//sucC//uxaA//glpK//tdcD//rdoA//ilvG_1//fadA//lysA//aroH//argA//ulaE//gcvP//xylA//paaZ//pdeF//tauD//bioF//aceB//tam//phnI//hycG//gcvP//glgC//gapA//gcvH//pflB//miaA//nrdF//pgpC//nrdB//glcD//fdhF//glpE//pheT//ilvI//entE//glgC//lacA//prmC//atoA//gabD//fucK//astC//glyA//dadX//cheB//moeB//nrdE//glgB//tdcE//upp//ahpF//pgaB//nrfA//bioC//yfbR//pgaC//miaA//thrS//aroL//atoD//uvrA//cynS//atoA//mhpB//glnA//gatD//rhaA//rbsK//murQ//pdeF//nanA//idnD//aroA//hemL//pgaB//ilvI//sodA//fadI//appA//pgaC//hemL//lpxB//hyaB//nanK//glcB//hemA//ilvD//ansB//paaC//aceE//caiB//pagP//xdhA//allD//ahpF//fumC//phnL//dadX//lpxA//metF//entD//tdcD//mhpD//ilvD//betA//tdcD//aroA//fucI//frdC//pgaC//kbl//entD//waaH//sgbE//lsrK//aroH//uidA//frc//purK//sucC//ubiA//mltC//aroA//guaA//icd//idnD//dmsC//nadC//napH//deoA//napB//entF//icd//alaS//fadB//atoD//galE//citC//fdhF//uxuA//dapB//trpE//rutA//fadD//metF//glpB//lysU//metA//moeA//slt//caiD//fumB//hmp//lacA//bcsB//lacA//metC//feaB//entE//ascB//puuC//tdh//trmD//metE//acs//alaA//phnJ//glpB//cysG//lacA//entE//lysU//gnd//hycG//slt//uxuA//nrdE//ansB//fau//astE//malP//umpH//zwf//moaD//aspA//serC//hflX//mltC//nrdE//ulaF//psd//malS//sdhA//ugpQ//argH//dusB//aspA//agp//trpA//napB//nrdE//edd//sodB//dgcZ//sucC//napC//aceB//mhpD//xdhC//aspA//nrfC//atoA//murQ//hycC//prpE//entA//cheR//uxaB//allD//glpC//tauD//garR//nrdF//moeA//purA//hyaB//atoB//lpxB//trmD//purM//fbaA//glcB//ung//thrS//lpd//sdaA//glpD//glgB//guaB//lpxB//deoC//truB//alkB//purN//purL//cysM//argI//aceB//napG//preA//trmD//yfbR//agp//cysM//ssuD//mdh//betB//tdcE//ynfE//araA//cysD//carB//tauD//dgcZ//appA//moaE//
ChbR-Monoacetylchitobiose-6P	hmp//tdcB//udp//
CpxR-Phosphorylated	rutE//astB//ldtB//purC//argA//talA//ldtB//upp//speB//melA//ampD//hflX//tktB//upp//pgpC//xdhB//phnL//trpA//puuE//serC//phnM//dapD//
CreB-Phosphorylated	malP//phnP//murQ//
CueR-Ag	garR//pdeF//fadJ//aroL//
CueR-Cu+	abgB//nrfC//argA//fes//
CuerR-Au	abgB//tktB//gadB//cysH//
CusR-Pasp	argE//ulaE//napC//
CynR-Cyanate	cueO//napG//gpsA//
CysB-N-acetyl-L-serine	hycD//metA//carB//entA//metK//glgA//glpE//agp//sodA//trpB//yiaK//uxuA//umpH//dnaE//rutB//preT//
CysB-O-acetyl-L-serine	cysD//glpX//rhaD//astD//fadI//hyaB//glcD//speA//entF//citG//dadX//phnN//ppiA//argG//lsrF//malY//atoD//
DcuR-Phosphorylated	pgk//gcd//citC//mpl//
