# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	aldA//ansB//mhpE//fucK//
AlaS-L-alanine	uxuB//
AllS-allantoin	ubiX//metA//narG//
AraC-L-arabinose	dnaE//entD//acnB//pgk//nanK//hemL//aldB//
ArcA-Phosphorylated	tdcG//ybjG//hycC//galM//nagB//amn//metE//pgaD//sdaA//rbsD//psd//guaA//mhpF//malQ//uxaC//rhaA//truB//sdhD//pagP//speA//bcsB//allC//cueO//argE//pgaB//lacA//dgcZ//citD//argI//galT//upp//idnK//entB//cdd//metC//hypB//sgbU//ansB//fadI//napA//aceA//hemA//argD//ugpQ//tsaE//ahpC//dadX//narI//astE//phnP//nadC//bcsZ//hyaB//pta//ppiA//caiA//galM//lldD//ulaD//cysG//nrfD//truB//prpB//fau//astA//pgaD//entE//paaB//guaA//hemA//puuE//sdhC//bcsB//fau//tehB//fabZ//ogt//aspA//ung//cysC//lpxA//metE//paaI//gpmA//melA//dkgB//fumA//pncB//trpE//trmD//purA//narI//sucD//nagA//lhgO//lysU//napB//
ArgP-L-arginine	ssuE//bioC//lysA//mhpA//entD//napA//preA//glpK//xapA//cheR//mhpA//
ArgR-L-arginine	recF//metC//sucD//pdeF//preA//truB//mhpB//napB//sodB//icd//napG//prpC//caiA//malZ//bioF//ubiA//galK//caiD//chbF//ilvI//aroL//cheB//cyoE//
AtoC-phosphorylated	phnI//tdcD//kbl//
BaeR-Phosphorylated	deoB//chbF//
BirA-bio-5-AMP	argE//glpK//ugpQ//aceB//serC//
CRP-cAMP	purK//nrdB//cysH//folA//argE//aceB//icd//cysM//tam//phnO//rbsK//paaJ//nrfB//ulaD//narI//gapA//pck//mpl//fucA//pheS//purC//talA//cheR//glyA//sdhB//lysU//glgC//astD//prpD//sgbE//waaH//metK//sdaA//glgX//moaE//uxuA//nanE//torC//argB//acnA//cpdB//uvrA//metB//gatY//pheS//paaG//hflX//aldA//tnaA//ulaF//rutE//fucK//moaA//tyrA//lsrG//bioF//galT//oxc//puuD//rnpB//sucB//gntK//rutA//ubiG//sucD//ndh//acs//gatD//yfbR//citD//cysH//malP//gcvH//metK//ubiX//aceF//sucC//cyoE//fau//folA//lpxB//aldA//preT//agp//prpB//cysD//fucU//mhpA//cysN//paaA//prpB//acnA//patZ//torC//ynfF//deoC//frdD//purH//pheS//glpK//tdh//epd//mltC//pgpC//chbG//xdhB//guaA//gltB//sdhD//manA//allE//garL//nanA//rhaB//adhE//bcsZ//nrdB//glcB//glgB//lyxK//kbaZ//citX//entB//entA//bioA//ndh//rutE//ubiX//hycD//zwf//truB//idnD//caiC//sdhD//lpxA//purC//pnp//rbsK//treC//citX//ppiA//purH//hcp//allC//gltB//nagA//citD//ada//aceF//ada//citD//puuA//fumA//galT//glpA//glgB//entB//edd//trpE//mutY//citE//ynfG//cueO//cheB//torC//napA//bioA//glpE//mltC//udp//entA//aceB//pheS//araB//yfeW//ugpQ//frdB//entB//lpxD//aldB//rbsK//nrfA//sucB//ilvG_2//ynfE//zwf//gpsA//hycD//mhpE//acs//entA//garL//fadJ//xdhB//rutD//speA//sodA//sdhA//nrfA//sdhC//citF//ahpF//bioC//rutD//glpQ//mhpF//icd//garK//glcB//argD//ispE//pheT//hycE//purL//araD//dmsC//nanA//glcB//glcE//edd//entC//pgaD//nirD//hypF//argA//gcvT//allE//tdh//fucU//allE//pncB//rhaB//entD//katE//torA//ubiC//fadJ//polA//mhpB//phnH//uidA//xdhC//pnp//allE//hmp//gdhA//napC//ilvE//torC//tsaE//ubiC//epd//cyaA//tdcD//aceA//allE//fucO//ilvN//phnO//frdA//fumB//nrfA//uvrA//tdcE//iscS//purB//tdcB//cysG//pncB//torA//citE//aroG//nrfC//idnK//folA//trmD//glpK//mhpC//fadE//kbl//argH//umpH//aceB//speB//speC//xdhC//purL//chbG//moaD//recF//
ChbR-Monoacetylchitobiose-6P	ung//fumA//acnB//
CpxR-Phosphorylated	fau//pnp//paaI//purF//gntK//metA//malP//entD//sufS//epd//argG//melA//sgbH//pyrC//gcvH//lpxB//caiC//astC//lhgO//gatY//bioD//argC//
CreB-Phosphorylated	sufS//yqjH//uxuB//
CueR-Ag	cpdB//ldtC//ubiX//pagP//
CueR-Cu+	entF//pgk//rutE//speA//
CuerR-Au	mhpE//hycD//paaK//codA//
CusR-Pasp	bglB//cyoE//ppiA//
CynR-Cyanate	glpQ//narI//glpA//
CysB-N-acetyl-L-serine	argG//torA//pdeF//torC//deoD//treC//pck//ldtB//eda//phnH//gltB//nirB//patZ//lacA//alaA//xylA//
CysB-O-acetyl-L-serine	pheS//phnI//tktB//appA//nirD//fes//xylB//citF//speA//fucO//cpdB//abgB//lldD//pgpC//slt//fadI//bcsA//
DcuR-Phosphorylated	phnI//agp//ldtB//thrS//
DnaA-ATP	citG//caiC//rutD//glgB//entC//uxaB//
DpiA-Pasp	cynT//fadE//bioF//tdcG//rdoA//
DsdC-D-serine	lpxA//deoB//
EvgA-Phosphorylated	mutL//entE//alkB//gpsA//dnaE//
FNR-Fe_reduced	murQ//xylA//napC//adhE//entC//purM//ndh//sucC//bioF//gltD//metK//rbsK//lysC//adhE//trpA//lldD//appA//cysM//lysU//ahpC//fumB//ascB//nrfD//mtlD//galT//fabZ//bcsZ//ynfH//dnaE//frdB//nrdF//nirB//phnH//ynfH//hycD//ynfE//aceB//lysU//fucK//mhpB//astD//fes//garR//tauD//lsrK//aldB//rbsK//fadA//mdh//rutC//glgA//phnP//galE//glgB//gdhA//katE//mhpF//tktB//feaB//lldD//sdhA//purD//nrdB//glgB//yeaE//cyaA//astA//glcB//bcsB//ynfH//agp//gapA//edd//metH//hycD//ppiA//amn//paaJ//moaA//bioF//citC//astA//narG//citC//glcE//tktB//yeaE//lsrK//rhaB//ndh//entH//paaH//phnJ//serA//nrfA//waaH//aceB//dsdA//tktB//atoD//entD//cysC//atoA//ilvG_2//fadH//gltB//fucO//deoB//purC//carB//iscS//pgaB//recF//ascB//ada//trpD//hemL//phnG//mutL//sodB//pnp//fbaA//glpE//glgB//phnP//ubiG//tyrB//
FhlA-Formate	bglB//moaE//ogt//nanA//slt//ahpF//tadA//
FucR-L-fuculose-1-phosphate	ilvE//nanE//bcsA//hypB//metC//phnG//
Fur-Fe2+	gatY//uxaB//aceE//puuD//dkgB//nrfC//acnB//speA//truB//agp//idnD//paaA//nrfB//xylA//puuE//phnI//argG//rnpB//prs//hycG//cysG//galK//fadJ//rhaD//hycE//abgA//trpC//glpQ//agp//entA//aceF//ppiA//folA//prmC//carA//agp//lyxK//glpQ//aceF//nagB//gatZ//upp//pheT//metE//lysC//rutE//lacA//caiD//argA//patZ//fucU//codA//entD//astB//fdhF//gntK//allD//treC//udp//pgpC//purH//citE//glgB//uxaB//moaE//yfdE//upp//rutC//gatY//
