# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	hycC//trpA//purD//araA//
AlaS-L-alanine	glpA//
AllS-allantoin	fucI//mhpA//metB//
AraC-L-arabinose	dmsB//manA//nagA//udp//sdhB//purE//dsdA//
ArcA-Phosphorylated	napC//paaA//trpD//avtA//oxc//atoD//waaH//citF//metL//ascB//ynfH//purB//edd//lsrK//mpl//cysJ//agp//argC//napH//hmp//rutA//sucA//recF//codA//dmsB//galM//yfeW//mhpC//gatD//narG//acs//malZ//argB//ubiA//gnd//cadA//ilvD//agp//bioF//trpE//mhpC//frdB//mpl//speB//metL//folA//lpxB//kbaZ//glyA//trpE//rdoA//metC//ilvN//mhpF//purK//metB//pgaC//gcvH//lpxA//puuB//trpA//metL//citC//idnO//metA//folE//sodA//cysN//mltC//malZ//atoD//lsrF//citX//tsaE//ynfH//frdD//paaJ//pagP//allC//trmD//deoA//xylB//mhpD//entD//citC//carB//pyrD//bioA//bcsA//serA//astE//sucC//ilvC//aldB//murQ//galT//pgaC//
ArgP-L-arginine	ilvC//lacA//glcD//mtlD//ahpC//napA//manA//bcsZ//bioC//ssuE//gpsA//
ArgR-L-arginine	tsaE//lacZ//purF//lpxB//gcvH//glcE//amn//ynfG//gltA//alaS//sucA//truB//gntK//hypB//gatZ//puuE//tehB//fadH//nanA//bcsB//udp//gltB//serC//
AtoC-phosphorylated	ubiX//uidA//trpA//
BaeR-Phosphorylated	yfdE//speC//
BirA-bio-5-AMP	narI//citD//argH//pheT//metK//
CRP-cAMP	dsdA//hpt//fadA//sdhA//ybjG//katE//alaS//ilvH//ynfG//napC//citX//bioF//bacA//rbsK//puuA//cysM//glpB//manA//ubiG//rutA//dapD//ubiC//glgX//paaH//rbsK//slt//tadA//ilvD//malQ//fadA//ssuE//katG//pgaB//uvrA//gpmA//hcp//trmD//cysC//lsrK//cysI//tnaA//atoB//fadB//dusB//nanK//astB//hypB//hycE//sdhC//dkgB//yqjH//fadH//uxuA//alaS//lacA//phoA//argD//dadX//argB//citE//gatZ//ppiA//phnM//umpH//torC//ilvG_2//nagB//glgP//ilvG_1//aroH//aroH//dadA//appA//nagA//thrS//prpC//cynS//paaC//atoB//citD//cysC//alkA//fau//glgX//frdA//gabT//ssuD//hpt//garL//metC//kbaZ//uvrA//lsrF//trpB//glcB//argB//puuC//glpC//ilvG_2//purF//uxaC//rutC//cyoE//gcvH//ubiC//speC//trpD//acnB//argD//sdhB//mltC//frdD//phnO//ilvN//yiaK//dkgB//carB//caiC//nrfB//betA//lsrG//nrfA//phnL//fbaA//glyA//aceF//acnB//xdhC//serA//aspA//hycF//napH//ilvG_1//tehB//narG//astC//hyaA//trpD//galM//frdC//purK//trmD//avtA//trpD//fbaA//argG//oxc//rutC//glgB//phnG//gabT//paaC//caiC//napA//iscS//fucI//amn//paaJ//betB//agp//ynfG//truB//kbaZ//glpE//patZ//moaD//ilvD//nirB//edd//alkB//ubiC//recF//nrdE//citG//bioB//nanK//mhpA//metF//sufS//ssuE//paaB//argC//dkgB//bcsB//glgA//hycC//paaE//metE//cysH//napG//phnJ//glgA//ugpQ//fadD//phnH//astE//caiA//pck//argI//mpl//gapA//mhpF//xdhB//bioB//ybjG//caiB//glpE//aroA//ldtC//acnA//hpt//deoD//rutC//paaF//glpC//rutA//purA//hycE//metK//ispE//malQ//citD//ulaD//phnJ//guaB//codA//purD//uxaB//chbG//carB//prs//phnG//mpl//ackA//hemL//trpD//mhpE//frc//ulaF//entH//talA//galM//fdhF//aroH//uxaC//icd//hpt//yeaE//trpD//nagB//cyoE//ynfG//argI//fucK//ubiC//cyoE//aceE//bacA//rbsK//xdhA//lysC//phnI//pheT//rnpB//ilvC//glcD//dmsB//mltC//pheT//mhpF//gltB//galK//astA//purH//acs//ubiC//glgX//gcd//hemA//kbl//nrdA//rhaD//cadA//yfeW//argD//ynfE//caiD//entA//metB//glgX//
ChbR-Monoacetylchitobiose-6P	uxuB//malQ//nrdA//
CpxR-Phosphorylated	rutA//idnK//ybjG//rdoA//miaA//oxc//garK//cyaA//slt//atoD//nrdD//fadE//fadI//agp//ada//mhpB//gcvP//sdhA//astE//ybjG//ilvC//ilvI//
CreB-Phosphorylated	nagA//pflB//ulaE//
CueR-Ag	aceB//allE//sdaA//paaI//
CueR-Cu+	napC//astB//fucK//hycE//
CuerR-Au	ilvA//metL//cysD//hycG//
CusR-Pasp	argF//sgbE//sgbE//
CynR-Cyanate	sdhC//dgcZ//purB//
CysB-N-acetyl-L-serine	tdcG//folE//mtlD//fadH//rutB//ynfF//trpD//rbsD//aspA//ftnA//galK//xdhB//bcsA//puuE//acnA//ilvN//
CysB-O-acetyl-L-serine	nanM//lacA//purE//allE//ynfF//lyxK//moaD//uidA//fes//narG//cysI//glnA//purL//nrdB//cpdB//glpB//xdhB//
DcuR-Phosphorylated	udp//bcsB//entB//hpt//
