# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	speA//uxuB//paaH//nrdF//
AlaS-L-alanine	sucD//
AllS-allantoin	argD//nrfA//pncB//
AraC-L-arabinose	malP//aceA//aceA//metC//codA//alaA//frdB//
ArcA-Phosphorylated	hemL//sgbU//speB//dmsC//ilvA//ascB//metK//epd//prpD//ilvN//glnA//hycB//glcB//fadE//aroF//speA//fadA//napG//melA//tdcE//hypB//lpd//hypB//hflX//ilvN//phnP//pyrC//lpxD//cysM//metF//rutD//hcp//aceF//purF//upp//rhaA//gutQ//citD//avtA//gntK//dmsC//ubiA//hycF//bcsZ//aceB//astE//paaC//malP//edd//caiA//tdcB//phoA//aroF//nanK//melA//tyrA//betB//ssuE//trpD//uxaA//argB//hpt//polA//aspC//ilvA//uvrA//patZ//atoB//rdoA//sodA//nrdE//deoA//hcp//pck//sdhD//ung//allC//cyaA//cysN//sufS//nrdA//sufS//gatD//ascB//purM//hemL//purL//hycC//fadD//dmsA//phnL//entA//betA//phnH//pflB//gpmA//bcsA//
ArgP-L-arginine	mhpE//paaB//gabT//lpxD//malZ//glcE//alaA//mhpD//ubiG//rutC//mhpB//
ArgR-L-arginine	fumC//gatZ//kbl//idnD//mdh//cysM//pdeF//pncB//cynS//fucK//xylA//lsrK//caiD//hycC//xylB//puuE//gabD//abgB//lacZ//nrfD//glpE//polA//preT//
AtoC-phosphorylated	aroH//cysI//xylA//
BaeR-Phosphorylated	hcp//tdh//
BirA-bio-5-AMP	paaB//puuA//purL//cysC//cynS//
CRP-cAMP	fes//nrdA//bioD//uvrA//agp//tam//tam//melA//gltB//hpt//lpd//chbG//ubiC//bioA//trpE//ilvN//gcvT//rbsD//ldtB//paaK//atoA//bioB//ubiG//pgaC//deoB//entF//gltD//ugpQ//purB//guaB//murQ//galE//tdh//bcsZ//uxuB//ahpC//ynfE//atoA//frdD//aroF//trpA//paaF//cysJ//deoA//cdd//fadE//pgpC//mpl//uxuA//napA//allC//tsaE//gltD//uxaB//fucU//rutE//gabT//cheR//hflX//ansB//hflX//allD//zwf//gltD//deoA//paaF//puuC//gcvP//kbaZ//fucU//ldtC//ansB//idnO//udp//lpxD//fucI//ampD//citX//cheR//patZ//pyrC//nirD//alkA//caiD//trpC//hypF//hemA//araD//paaG//pgaC//yfdE//cadA//sodB//ugpQ//glnA//glpQ//astB//aroA//fadA//rbsK//lpxD//abgB//phnL//narI//glpA//ilvI//idnK//ada//metL//avtA//nanM//torC//gatZ//nanK//pheS//idnK//icd//gdhA//ampD//aldA//bioA//frdD//uxuB//frdD//bioB//gcvH//prpD//hemA//mhpE//xdhA//lyxK//ilvE//feaB//fucA//cueO//kbl//gapA//entH//prpC//psd//rbsK//paaK//pheS//paaF//mhpC//eda//hycF//nrfC//mhpC//hypF//ulaE//sucC//miaA//gntK//astB//tdcG//fdhF//bglB//bioC//rhaA//pgk//prmC//hemL//mutY//malQ//ldtB//paaC//dnaE//talA//fes//nirB//malY//lpxB//ulaD//hflX//puuB//yiaK//purE//gdhA//ftnA//preA//ynfE//ulaD//metL//gltA//sucD//metF//nrfB//carA//astB//malP//prmC//betB//yiaK//tam//gabD//paaH//gntK//phnO//galM//puuE//atoA//purC//xdhA//metH//tdcE//tsaE//argB//fumB//speB//recF//tdcG//fumA//sdhC//prs//uxuB//uidA//ynfH//uxaB//lysA//argC//purN//ilvG_2//katE//aceE//cdd//citG//avtA//hemL//paaC//pyrC//nrfA//katG//purH//rbsD//speC//argH//fucO//malY//serC//prpB//nirD//ugpQ//dmsA//tdcE//ilvI//ilvH//pflB//rhaA//gdhA//astD//tdcG//bcsA//napC//argB//astA//mhpB//tdcB//narG//ldtB//rutD//trpA//nrfB//hmp//narG//paaA//paaE//araD//pheT//nadC//glpD//waaH//ampD//pnp//phnJ//yfeW//gatD//tdcG//speC//caiA//yfeW//ynfE//paaI//ackA//nanE//galK//galK//cueO//araB//ssuD//
ChbR-Monoacetylchitobiose-6P	uxaB//pflB//sgbH//
CpxR-Phosphorylated	argB//fucU//paaG//citC//entC//pnp//uxuB//fadE//ilvN//purN//nagB//metC//gnd//entA//gabT//uvrA//cheB//deoD//waaH//cysI//cysD//yiaK//
CreB-Phosphorylated	galE//hycG//gadB//
CueR-Ag	edd//rnpB//prpC//aldB//
CueR-Cu+	bcsB//aceE//sodA//fabZ//
CuerR-Au	manA//pncB//argI//moaA//
CusR-Pasp	rhaA//purB//cpdB//
CynR-Cyanate	argE//cysD//speB//
CysB-N-acetyl-L-serine	bioA//lysU//miaA//entB//atoD//citX//prs//entF//trmD//nanA//purF//ubiA//nirB//paaK//prpE//pheS//
CysB-O-acetyl-L-serine	prpB//paaI//sdhB//gatY//rnpB//aldB//lpxB//betB//glcB//ybjG//caiA//gnd//aroL//gcvP//atoD//ubiA//rhaB//
DcuR-Phosphorylated	glpK//prs//lsrG//idnK//
DnaA-ATP	pgaC//yqjH//fadE//moaE//puuE//moeA//
DpiA-Pasp	hypB//gapA//cysD//napB//ilvB//
DsdC-D-serine	citG//lysC//
EvgA-Phosphorylated	phnG//lhgO//pncB//hyaA//metA//
FNR-Fe_reduced	cysM//lpd//rutA//allD//argB//nagA//galK//ulaD//astB//gltA//ansB//sodA//glpD//aspC//betB//glcE//ada//tdcE//uxuB//nrdB//preA//deoC//agp//metH//ansB//trpB//dmsB//ubiC//prpD//appA//appA//fucA//lysC//gltD//hcp//ulaE//glpQ//trpD//deoC//purA//fucK//prmC//ynfF//purM//napA//argE//feaB//ascB//guaB//pyrC//pyrD//paaJ//paaA//phnN//lpd//purE//dapB//nrdA//cysN//glpE//aroH//moaD//lpxD//mhpB//narG//ubiC//metL//waaH//ung//deoA//citG//yjeF//napA//codA//paaA//paaZ//malZ//phnP//gatY//fadE//ubiG//alkB//cyaA//idnO//dadX//cadA//speB//fadJ//udp//oxc//ansB//guaB//moaA//pta//entE//ubiG//cysN//pgaD//mhpD//phnN//yfdE//caiB//xapA//astD//ilvG_2//acnA//moeA//cynS//entE//fadH//betA//cyaA//nrdB//tdcB//purF//lysA//sdhB//paaG//araB//ndh//phnG//hycE//purF//prs//metE//tadA//serA//
FhlA-Formate	truB//ssuD//nrdB//chbG//gltD//ndh//glpK//
FucR-L-fuculose-1-phosphate	phnL//puuA//ulaD//mtlD//nanM//moeA//
Fur-Fe2+	tsaE//hemL//ilvH//purE//psd//agp//uxaA//dadX//prpE//dapB//malY//fdhF//aldB//napG//fucI//preA//ppiA//frdA//aroF//lsrK//araD//prmC//fumA//fucI//agp//fadE//fadH//malQ//dmsB//aroF//purA//ynfG//idnO//hmp//purB//thrS//torA//aceB//fumB//pgaB//allC//glpC//glcE//nanE//phnO//ppiA//uxuA//ung//upp//lacZ//metH//bioC//purM//phnG//nirB//gcvH//idnK//mdh//polA//lacA//cysG//garL//fau//cheB//hflX//pnp//cysM//carA//speB//
Fur-Mn2+	glpQ//paaZ//ubiC//fadD//purD//carB//lysA//tyrA//nrfD//hycB//ulaF//aspC//fadH//gpmA//pyrC//allE//rhaD//purD//idnK//tehB//lhgO//phnM//mtlD//citX//phnJ//carA//aroA//citC//tktB//fadJ//phnH//acnA//hmp//purM//ilvB//lpxD//hyaA//dmsC//sgbU//hypF//gltD//sucB//rhaD//trmD//ubiC//nirB//ilvG_2//sdhB//nrdF//paaC//malP//uxuA//garK//dapD//pagP//ampD//atoD//mhpE//yeaE//cheB//paaJ//araB//phnN//cynS//lysA//preA//speB//gpmA//trpC//
GlcC-Acetate	aspC//tsaE//glgB//
GlcC-Glycolate	hmp//idnD//dapD//
GlrR-Pasp56	
IclR-pyruvate	sgbU//tsaE//cysN//
IdnR-5-ketogluconate	frdB//torA//narG//argE//rdoA//citD//
IdnR-Idonate	lpd//glgA//abgB//prpE//nrdD//tehB//
IlvY-2-acetolactate	prs//
IlvY-Alfa-acetohydroxybutirate	betB//
IscR-2Fe	hypB//aroF//malP//prpE//ascB//entD//carA//
LldR-L-lactate	tdcE//alaS//
