# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	nrfA//ilvC//gcd//glpE//
AlaS-L-alanine	ubiA//
AllS-allantoin	ugpQ//tehB//glpB//
AraC-L-arabinose	astB//argD//malZ//ilvB//ssuD//nrdF//argE//
ArcA-Phosphorylated	ilvB//rutD//talA//sodA//dsdA//aldB//hyaB//gcd//nanK//dgcZ//frdD//paaA//purH//phoA//pgaB//napG//purL//nanA//cpdB//fadH//moaD//sodB//allE//phnJ//paaF//codA//codA//aroG//trpB//deoA//glpB//phoA//metL//cysN//torC//glpE//paaH//hmp//speC//speB//dsdA//malS//lpxB//mhpD//aldB//paaC//argD//dapB//aldB//aceA//metH//yeaE//mutY//idnK//xylA//gpmA//phnJ//moaE//astA//mutL//aroG//phnG//serC//hycD//bcsB//caiC//truB//alaA//gcvH//napC//fadH//speA//alkA//fucU//paaF//frdA//lysC//aceA//gatZ//gpsA//deoC//argH//upp//eda//puuD//katE//deoC//nanA//entE//aroL//nrdB//fes//glgA//purB//galM//yfeW//gcvT//
ArgP-L-arginine	pck//recF//pgpC//entH//torC//tauD//uxaB//gatZ//prs//mutL//frdB//
ArgR-L-arginine	hycC//rhaD//alkA//uxaB//pyrC//citE//alkA//moaE//uvrA//garL//argD//ogt//deoA//speC//nanE//hflX//gadB//dadX//xdhA//dkgB//xapA//tnaA//mhpB//
AtoC-phosphorylated	purH//rhaD//entB//
BaeR-Phosphorylated	citC//gdhA//
BirA-bio-5-AMP	napB//lhgO//gabD//sdhC//recF//
CRP-cAMP	acnA//aspA//cynT//dadA//bioB//pflB//allD//chbF//mutL//tauD//alkB//dnaE//glpC//caiA//tadA//allE//purD//upp//narI//purD//sucA//malY//murQ//trpD//ilvC//argE//tdcB//puuA//puuB//pgaD//nanK//pta//ubiX//hyaC//ilvC//nadC//metC//lyxK//aceE//moaD//gapA//rutA//eda//uidA//dnaE//malQ//atoD//trpD//ilvM//rutB//fadA//paaH//rutD//sdhB//frdC//glgP//ilvC//rutB//aroH//hmp//betB//cdd//prmC//acnA//umpH//cynS//ung//avtA//sdaA//argH//xylA//glpD//pgaC//prmC//garK//uxuA//eda//glpC//trpE//nanA//phnI//rdoA//entD//cynS//ugpQ//metC//astC//rutE//aceE//thrS//mhpC//fadJ//paaF//frdB//cysD//sufS//edd//frc//aroH//aspC//dmsB//trpE//hypB//caiD//sgbE//entE//caiC//prpB//dapD//torA//phoA//ilvG_2//puuC//gutQ//hyaA//preA//torA//fadB//uidA//paaB//paaZ//rutA//phnJ//betB//folE//fumB//malQ//galT//rutE//acnB//phoA//lpxD//lysA//mhpE//hcp//uidA//moaE//kbl//ppiA//uxaA//tdcB//ynfF//rutD//lysC//deoA//upp//pyrD//speB//glgC//purF//rutC//patZ//nagB//fumB//glgX//purH//xylA//truB//pgk//dgcZ//fumB//entA//ynfE//dadX//fadI//gcd//paaA//fucA//gcd//paaK//yiaK//preT//lpxD//amn//purA//aroH//lyxK//puuA//serC//entA//xdhB//glcE//miaA//cysI//fumC//ilvG_2//gpsA//napB//astC//nrfB//yeaE//argI//bioB//tsaE//paaG//nirB//katG//citD//metK//astD//astD//ssuD//astB//cysN//allC//uxaA//hyaA//entH//pgaD//bioF//yiaK//rutC//malQ//pgaD//ada//rhaD//phnH//galM//narH//lpd//ilvE//gcd//bcsA//dapD//slt//mhpD//ilvB//fau//citC//zwf//tdcE//garK//ulaE//ulaD//ynfH//ilvA//bioD//manA//cpdB//hyaA//waaH//ftnA//astA//lpxA//hyaC//speB//paaG//glcB//dmsB//argG//galM//frdA//astC//xdhC//nanM//metE//purC//tam//garK//fucO//mltC//malQ//cdd//garK//araB//garR//uxuB//sucD//fadJ//ilvA//gatZ//ugpQ//gnd//malZ//nrdA//hycB//atoA//phnP//caiD//fucK//alkB//cysD//astA//epd//glpA//lysA//dusB//treC//fucO//ampD//
ChbR-Monoacetylchitobiose-6P	fadH//metH//malZ//
CpxR-Phosphorylated	ahpF//ftnA//tdcD//paaI//moeB//cheR//citD//fadB//mhpC//glcB//prpE//waaH//sucD//frdC//icd//garK//aspC//galE//chbG//uxuB//bioA//malQ//
CreB-Phosphorylated	lsrF//ascB//gabD//
CueR-Ag	pdeF//puuB//fadJ//ynfH//
CueR-Cu+	hemL//preA//dadA//pgaC//
CuerR-Au	cysH//tyrB//lldD//waaH//
CusR-Pasp	xdhB//purE//caiC//
CynR-Cyanate	metK//carB//glpB//
CysB-N-acetyl-L-serine	nirD//napG//yfdE//alkA//pyrD//argE//purF//hpt//rhaB//preT//ilvA//prs//hcp//pgaB//ahpC//dnaE//
CysB-O-acetyl-L-serine	iscS//gatD//fadJ//tdcD//kbaZ//atoB//icd//allD//nrdA//cysC//fadH//glpD//cadA//purA//gutQ//nanM//frc//
DcuR-Phosphorylated	nagB//fadI//xdhB//pheT//
DnaA-ATP	glpE//oxc//thrS//murQ//trpE//glpE//
DpiA-Pasp	hycG//galT//citG//glpX//lldD//
DsdC-D-serine	hyaA//phnN//
EvgA-Phosphorylated	ilvA//dmsA//codA//aroH//nrdE//
FNR-Fe_reduced	gnd//entE//glgX//fau//bcsZ//cueO//waaH//yjeF//idnD//rnpB//idnO//ahpF//argA//fadE//ilvA//sdhD//aroH//metK//xdhB//galE//sdhB//citF//dusB//glcE//argH//xdhB//amn//metF//caiB//lacA//fadA//ansB//tdcB//fes//hpt//lpxB//alkA//bioA//cheB//purF//dkgB//paaH//acnB//lsrF//gabD//citG//cysK//gatY//nanA//fabZ//glgC//tam//sucC//fabZ//prmC//malY//ulaE//rnpB//uxaA//aceF//phnN//aceB//gcd//hyaA//uxuA//treC//trpE//fumB//lldD//paaZ//caiA//bcsA//gntK//rutB//pgaB//nanM//entF//acnB//hyaC//entC//sgbH//glcD//edd//zwf//cysJ//tsaE//gcvP//caiD//lpxB//fau//tnaA//fau//gatD//gdhA//lsrG//avtA//speC//malP//lysU//bioA//bacA//tdcD//ynfE//glpB//mltC//puuA//ubiA//fadA//entE//gutQ//bioB//hypF//idnD//bglB//moeA//serA//hycB//mhpC//phnM//mhpE//frc//sdhB//ldtC//nrfC//ldtB//aceF//gltB//
FhlA-Formate	lacZ//moeB//abgA//lysA//murQ//purF//ansB//
FucR-L-fuculose-1-phosphate	pgk//cyoE//gnd//pgaD//hycG//purN//
Fur-Fe2+	nrdE//mutL//lpxB//gcd//ftnA//bioF//argI//bioB//napG//ugpQ//lacA//purH//pdeF//glpK//uxaA//psd//amn//avtA//dsdA//pnp//sufS//bioB//oxc//xdhC//fadI//dmsB//purD//entD//nrdD//tdh//edd//citC//hycB//fadH//nanE//yqjH//uxuA//bioC//idnD//ugpQ//acs//glgA//nadC//napC//nrfB//nirD//astE//fbaA//paaI//manA//appA//xdhC//pck//trpB//purL//guaB//metK//pheT//argF//ilvN//gpsA//cynS//entE//hyaC//pgk//bioC//sodA//idnD//entD//
Fur-Mn2+	ilvE//purL//miaA//caiB//prpE//sdhB//frc//avtA//lacZ//gnd//slt//xapA//rutD//kbaZ//ubiA//lacZ//glgX//allE//purA//fucA//thrS//cadA//purC//chbG//glcD//atoD//paaF//ahpF//gcvT//aspC//melA//xylB//nadC//glpD//ubiC//pheS//patZ//sgbE//ampD//treC//thrS//mhpC//phnP//sgbH//mtlD//acnA//gabD//rnpB//preT//fucU//uvrA//avtA//gadB//yiaK//prpC//upp//purA//alkA//purA//nanM//lyxK//phnO//talA//hyaB//paaC//galT//mutL//glcB//entB//
GlcC-Acetate	gltB//nrdB//uxuA//
GlcC-Glycolate	purK//trpA//gnd//
GlrR-Pasp56	
IclR-pyruvate	allD//entH//fumB//
IdnR-5-ketogluconate	sodA//psd//tsaE//acnA//nanM//sucA//
IdnR-Idonate	sdhA//edd//hycE//aspC//tauD//nrdB//
IlvY-2-acetolactate	torC//
IlvY-Alfa-acetohydroxybutirate	rnpB//
IscR-2Fe	citD//nanM//truB//hyaB//pck//aroA//upp//
LldR-L-lactate	pck//argG//
Lrp-Leucine	glgX//katG//ynfG//tsaE//tauD//tauD//adhE//nrdB//tdcD//metH//uxuA//napA//puuB//aroG//ssuD//glgX//hycG//lsrG//mhpB//gabT//zwf//prpE//phnO//ilvM//ilvI//fadJ//mhpD//paaA//lpxD//fbaA//aroF//mutL//mutL//tdcG//fumB//yfbR//glgX//glyA//sucD//
LsrR	cysK//ackA//ubiC//astA//purD//
MalT-ADP-Maltotriose	pgpC//ilvI//purB//treC//galK//bioA//
MalT-Maltotriose-ATP	metH//cynT//dnaE//nanE//mltC//ilvI//
MelR-Melibiose	prpD//sdhD//
MetJ-S-adenosylmethionine	napB//fucA//fumB//fucI//nadC//nadC//speC//alkB//allE//prpE//
MetR-L-homocysteine	rutD//fbaA//mhpA//atoD//
MhpR-3-DHPP	chbF//metF//puuE//sdhD//nrfD//napH//
MhpR-3HPP	treC//uxaA//lyxK//citC//argE//gutQ//
MntR-Cd2+	caiC//argH//
ModE-MoO42-	ybjG//astC//phnG//glpE//purK//deoA//galM//nagB//ulaF//ldtC//deoB//malZ//chbG//rutD//
NarL-Phosphorylated	carB//entE//abgB//paaF//aspA//bioB//allE//moeA//cheR//cysD//bioB//ynfE//yeaE//dadX//avtA//hmp//ubiC//uxaA//hcp//paaJ//purE//phnN//lsrK//hycF//nanM//pta//frdC//entC//abgB//udp//lsrG//pgk//narI//lacA//entF//nrdE//gntK//bacA//
NarP-Phosphorylated	hyaA//miaA//nrfB//alaA//fucK//pagP//glgC//xdhC//gabD//torC//appA//
NhaR-Na+	atoA//bglB//bglB//paaC//kbaZ//
NikR-Cd2+	gltD//
NikR-Co2+	glpK//
NikR-Cu2+	glyA//
NikR-Ni2+	hycF//
NikR-Zn2+	bcsA//
NrdR-ATP	dadX//bioA//fucO//aroA//
NrdR-Zn2+	sufS//purK//allC//mhpB//
NrdR-dATP	entE//glyA//aceB//puuE//
NsrR-2Fe	hycC//waaH//carA//fucA//dmsA//moaD//glyA//agp//bcsZ//puuC//ilvG_1//folA//acnA//dapB//ilvG_1//hycD//carB//tdcD//gcvP//ubiG//astB//ilvA//ogt//malZ//caiC//sucA//avtA//araD//mhpD//uxaC//
PhoB-Phosphorylated	rdoA//prs//uxaA//metB//lysU//fadJ//ynfF//puuC//rhaA//gntK//cynT//lpd//mutL//nadC//allE//glcF//aspA//glpK//phnI//dnaE//
PhoP-Phosphorylated	fadD//cyaA//purM//pgaC//citG//ulaD//trpC//aroL//kbl//sdaA//phnJ//iscS//acs//napH//icd//malS//hyaC//malY//fadE//cynS//torC//malS//sdhB//paaH//fadB//bioF//purM//torA//ulaF//fucK//garL//sdhC//sdhA//pgaB//speC//
PrpR-2-methylcitrate	lacA//ackA//argI//ubiG//
PurR-Guanine	argH//glcD//ilvD//gdhA//dkgB//hypF//metL//mutY//puuC//psd//cyaA//prmC//treC//narG//aceB//pyrC//entF//ybjG//tktB//metK//ilvH//nirD//bioC//hycE//dapD//alaS//cpdB//
PurR-Hypoxanthine	entF//hemA//metF//paaB//guaA//carA//ackA//sucC//mpl//malP//yiaK//pyrD//fdhF//ybjG//purE//glpA//gabT//argI//aceA//cheB//gcvT//lpxA//narI//araD//cysK//chbF//lacA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	folE//ilvG_1//hycC//torA//
RstA-Phosphorylated	lsrF//deoB//atoB//
SoxR-2Fe_oxydized	phnO//acs//
TorR-Phosphorylated	cysH//purE//metA//
TrpR-Tryptophan	mhpA//moaA//betB//sdaA//citD//cysJ//astB//glgA//lpxB//
TyrR-L-tryptophan	ndh//mdh//napC//mutL//prpB//galT//entA//folA//allD//
TyrR-Phenylalanine	nrfB//xdhA//ilvG_1//metA//aroG//entF//pgaD//nrdD//ubiG//
TyrR-Tyrosine	tyrB//citX//miaA//gapA//pncB//lsrF//mhpD//prpC//dmsC//
UhpA-Phosphorylated	araD//
XapR-xanthosine	paaJ//ilvG_1//
XylR-Xylose	ppiA//uxaB//edd//
ZntR-Cd2+	folA//
ZntR-Hg	moeA//
ZntR-Zn2+	argF//
ZraR-Phosphorylated	
Zur-Zn2+	gltD//
