# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	napA//dadA//ilvN//bcsB//
AlaS-L-alanine	chbG//
AllS-allantoin	pck//lysA//napB//
AraC-L-arabinose	polA//yfbR//citF//cysI//hypB//galK//hemL//
ArcA-Phosphorylated	cysK//fes//polA//glpC//argA//gatD//pgaB//chbG//rbsD//trpD//bioA//feaB//rutD//yfeW//sucD//pgaB//argE//hyaA//fadE//idnK//acnB//hyaA//pta//gapA//frdD//ada//narI//hcp//phnJ//serC//pgaD//hmp//citG//hflX//cynT//alaA//bioF//gdhA//tyrB//betA//deoA//ybjG//allC//nanA//napH//purA//nrdF//citD//phoA//paaB//feaB//frc//uidA//sgbU//metK//nanM//argA//cynS//phnJ//abgA//alaA//xylA//mutL//fucU//iscS//ubiX//fbaA//yfeW//preT//glcF//sgbH//puuE//hycF//glpC//fumA//entE//yiaK//entB//bacA//trpC//fucI//gcd//allE//acs//lhgO//lysC//puuA//glpX//tdcG//aroL//yjeF//garL//mltC//ybjG//fucA//folA//prs//
ArgP-L-arginine	cadA//bcsZ//cynT//purN//lpxD//prpB//umpH//sodB//nanA//hcp//puuC//
ArgR-L-arginine	cynT//atoD//pagP//sdhD//ugpQ//kbaZ//deoD//cueO//nrdB//tdcD//glcE//gpmA//xapA//pflB//argA//rutE//ilvM//ulaD//sgbE//nanM//prpE//glcF//uxuB//
AtoC-phosphorylated	entB//folE//deoC//
BaeR-Phosphorylated	gapA//argA//
BirA-bio-5-AMP	argI//lhgO//nrfD//fumC//hycF//
CRP-cAMP	alaS//fdhF//ppiA//pagP//gltB//aroF//slt//lysU//xdhC//ynfH//cysM//idnK//ftnA//bcsA//mhpA//uxaA//fau//frdA//purN//astE//xdhA//ssuE//trmD//idnO//sucA//lacZ//entD//hflX//ahpF//argA//glpD//fucI//alkA//uxaA//metC//katG//citE//narG//ogt//hcp//patZ//nrfC//purF//entF//uxaB//fadH//nanE//xdhC//aroA//fadA//ilvD//uxaC//hemA//cueO//upp//tauD//tdcG//nrdF//cysC//abgB//polA//acnA//yqjH//yeaE//alkB//lacZ//gadB//dusB//prs//pflB//purN//ackA//phoA//cdd//tdcD//gatY//cysJ//rhaD//pheS//ilvE//gapA//preA//narG//cysI//nanK//rbsD//garK//pheS//fadH//ldtB//lpxB//prmC//cdd//purL//puuB//purD//uxaC//betA//ilvE//ybjG//yiaK//lhgO//cysH//lpxD//treC//moeA//ubiX//glcB//nrfC//pdeF//mhpD//torC//lldD//puuC//bioA//lpxD//ugpQ//gltA//cadA//cysM//glcE//dmsA//ubiX//eda//dadA//astD//gatY//araA//prpB//dsdA//ilvG_1//prpC//lyxK//pyrD//moaE//pyrC//cysI//bioF//entE//glcE//argH//katE//sdhA//paaG//citG//galK//moaE//fadH//metA//gatY//phnO//cyoE//phnJ//argA//glpD//pgaC//rbsK//pdeF//prpB//metL//gpsA//idnO//hflX//mhpF//lacA//tdcD//ilvD//cynT//aceA//prmC//dmsA//waaH//malQ//deoB//nrdB//sdhC//tehB//sdhB//ulaF//melA//recF//hycB//hyaA//prs//entB//cysG//mdh//tdcB//hyaB//chbF//gntK//ynfH//pgaD//glyA//caiD//fadA//rhaB//gcvH//rutD//ynfF//purL//phnP//murQ//cdd//mhpB//citX//lysU//glpE//nadC//xylB//galK//cpdB//ynfG//truB//pnp//lysU//murQ//preT//uidA//glpD//argF//hycC//nrdA//uidA//purM//frdD//tdcB//acs//ogt//ackA//ilvH//pncB//moaD//ogt//argF//lpxA//lacZ//nrfC//upp//iscS//bioD//fau//paaZ//uvrA//ynfG//codA//agp//prpE//amn//hycE//treC//atoA//paaJ//carA//prs//ldtB//mutL//hyaC//trpC//tdcG//araD//ilvM//nagA//atoA//argA//torC//rhaD//allD//sdhD//metL//ulaD//uxuA//purM//glgA//lsrF//yfdE//metB//uidA//xapA//dadA//citE//kbl//ahpF//ldtB//phnJ//argB//dapD//uxuA//nanE//sucD//
