# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	tnaA//dmsC//gltA//deoD//
AlaS-L-alanine	nirB//
AllS-allantoin	glgA//puuD//acs//
AraC-L-arabinose	ubiX//rhaB//trpD//yeaE//cysC//ahpF//alaS//
ArcA-Phosphorylated	pyrC//aldA//sodB//hemA//gltB//lacZ//prpE//citX//xylB//cheR//agp//fucK//prmC//nagA//fabZ//ssuD//tauD//dadA//idnO//gatD//glnA//trpD//uxuB//cysG//fau//ilvD//codA//atoA//paaI//fadE//astC//malQ//citC//moaE//frdA//folE//metK//idnO//cheB//avtA//treC//uidA//mtlD//nanE//purH//katG//sdhD//prpE//hycC//torC//mhpD//deoC//nrdD//sucB//glpC//tsaE//gdhA//gpsA//sucC//frdB//lsrF//tdcD//patZ//citG//caiA//frc//cyaA//bcsB//astA//paaE//mltC//glgC//atoD//ilvI//katE//argI//prmC//miaA//fadE//lpxA//nrfB//xdhB//xylA//narG//ascB//dnaE//purK//hypB//nrfD//fau//avtA//argG//pgaD//nagA//xylB//purH//lsrG//
ArgP-L-arginine	zwf//serC//metH//bacA//fadD//carA//ahpF//idnD//upp//pgk//ynfH//
ArgR-L-arginine	nanM//mltC//paaI//gabD//bacA//rbsD//nanA//cynT//ftnA//preT//mhpE//trmD//pgaB//ssuE//lldD//hycE//ilvB//glgA//bioA//ulaD//ubiA//fadE//folE//
AtoC-phosphorylated	tauD//glyA//ahpC//
BaeR-Phosphorylated	fadJ//gatZ//
BirA-bio-5-AMP	tdcD//napA//fabZ//nrfA//cysN//
CRP-cAMP	gntK//trpC//alaA//bioA//ilvN//nrfD//citG//xdhC//ugpQ//fes//lacZ//araB//preT//gltB//rbsD//sdaA//bioF//hpt//prs//katG//ung//xylB//miaA//ahpC//tehB//dusB//napA//pheS//lyxK//purE//rnpB//dapB//abgA//recF//metF//hyaA//nrfB//pta//ung//nirB//araA//puuA//citG//sufS//umpH//ilvD//tsaE//idnD//cueO//talA//torA//metB//moaD//ogt//metH//iscS//gutQ//uxaB//bioA//manA//frdA//sdaA//recF//nrdE//fau//purC//phnG//glpK//pncB//glcB//aceB//astC//allE//paaK//sucB//gcd//argF//argB//xapA//purM//gatZ//ilvH//agp//napA//sucD//pyrD//rbsD//glgP//argD//sgbE//frdD//rutC//cheR//hyaC//malQ//trpE//paaA//cyoE//uxaA//tehB//galK//ahpF//purL//fucI//bioF//edd//chbG//sucC//ilvE//pncB//lpxD//ppiA//malY//argC//ilvD//lsrG//cysK//moeA//mhpE//gapA//chbG//aldA//moeA//acnB//pta//araA//napG//glcB//rnpB//sgbH//gcvP//rutD//dadX//gcvT//trpE//trpB//moaA//folE//moaA//aroL//carB//glgB//purN//xdhB//metA//dmsA//glcF//pncB//aceA//fadE//tadA//nirD//hycC//aldA//yqjH//galK//tyrB//preA//fadI//cpdB//galT//nanK//dusB//phnP//epd//caiC//puuE//moaE//alkB//hycE//truB//ada//argA//glpC//cheB//glgB//tyrA//tdcE//srlD//gadB//glpX//avtA//chbF//ldtC//hpt//tyrB//sgbU//upp//caiC//atoB//pdeF//glpQ//fadA//xdhC//sodB//sodA//katE//manA//sodB//phnO//gltB//ldtC//entE//paaC//paaH//truB//bioF//sodA//argB//bcsZ//garK//pagP//manA//atoA//gnd//lysC//prpC//gdhA//argB//pheS//preT//speA//aroA//sgbH//rutC//fucA//edd//yfbR//alkA//puuB//ada//aroA//psd//sdhB//paaK//tsaE//phnN//citF//malQ//prmC//rdoA//nrfB//phnO//oxc//cysN//speC//folE//cysM//alkA//acnA//uxaB//galM//hcp//murQ//moaA//ampD//bioA//tdcD//atoD//purC//torA//cysI//bglB//hycB//tyrA//dsdA//rutC//patZ//paaG//prpB//pflB//hyaA//nrdE//fau//argA//cysH//trmD//dsdA//malY//argG//hcp//purH//cysM//nrdB//rhaB//allD//dapB//paaG//aroH//upp//
ChbR-Monoacetylchitobiose-6P	mhpF//astD//gcvP//
CpxR-Phosphorylated	folE//frc//phnJ//lpd//folE//sgbH//glpC//trmD//argG//galE//phoA//iscS//metL//rhaD//speB//glpB//chbG//rbsD//polA//entH//galM//nrfD//
CreB-Phosphorylated	malP//hemL//pncB//
CueR-Ag	hycD//nrfC//sgbH//napC//
CueR-Cu+	metK//glgX//pgk//bcsZ//
CuerR-Au	nrdD//glcF//purF//tdcB//
CusR-Pasp	patZ//lysA//nrfB//
CynR-Cyanate	lysA//bioA//ubiA//
CysB-N-acetyl-L-serine	nrdD//purL//puuC//bacA//entA//phnI//citC//purL//carB//xapA//entF//metA//cdd//nrdE//astB//uxaB//
CysB-O-acetyl-L-serine	glnA//argB//dgcZ//metA//gcvH//fucO//pgk//mdh//aspA//pyrD//katG//caiA//pgaD//cysD//aroH//fadH//metF//
DcuR-Phosphorylated	rbsD//glpQ//gcvT//sdhD//
DnaA-ATP	gpsA//xdhC//cadA//rnpB//cysH//mtlD//
DpiA-Pasp	ynfG//katE//ynfG//citD//guaA//
DsdC-D-serine	atoB//tdcB//
EvgA-Phosphorylated	tyrB//cadA//narI//atoB//glcD//
FNR-Fe_reduced	betB//ilvB//treC//tyrA//astE//rhaB//tnaA//metL//gltD//ilvD//fumA//phnN//hyaC//fumB//ssuE//pflB//polA//miaA//gpmA//astA//nrdF//mhpF//thrS//nagB//bcsA//ogt//folE//entC//tam//cheR//sucA//sucC//hycC//bcsZ//cheB//cueO//rutE//atoD//caiB//paaJ//ung//cheR//ampD//torA//srlD//ubiG//puuE//idnD//glpK//ubiX//aldB//garR//garL//frdD//rhaA//purL//zwf//xdhC//cysD//glgX//gltB//entE//astC//gcvP//fes//fbaA//hpt//manA//nirB//nirB//uxuB//ulaE//phnM//purB//rnpB//ftnA//sucB//codA//dapD//gatD//dadA//rutE//ssuE//paaH//astB//nagA//entC//deoA//tdcD//fdhF//fadH//fadA//hycB//frdB//glpX//prpB//purK//gatD//malP//entA//puuA//tdcE//dapB//nirB//napG//torA//nirD//ubiC//cysD//phnL//ispE//ahpF//hyaC//phnN//murQ//trpE//malY//moeB//aceF//gntK//bioD//umpH//hemL//bcsZ//nrdB//fbaA//prpD//
FhlA-Formate	epd//uxaA//ascB//glpC//aceA//aceE//cynT//
FucR-L-fuculose-1-phosphate	bioC//aldB//citD//nrfD//ulaD//ppiA//
Fur-Fe2+	cysM//aroA//aroH//nirB//sgbH//argG//ldtC//frdB//nrdF//ubiC//astC//ndh//nrdF//fucO//guaA//yiaK//paaB//fabZ//sucC//sgbU//xylB//patZ//nirB//manA//bioC//ilvG_2//gltB//aldB//hycB//sgbH//cysD//hypB//upp//ilvH//ilvC//metL//betA//lsrK//deoD//ilvA//pgaC//hemL//gpsA//lsrF//nrdF//ahpF//fau//ubiG//sdhA//ascB//astD//lpxB//argH//torA//pheS//moeB//zwf//torC//mhpF//ynfH//uxaA//galK//caiC//paaB//sdhA//betA//cadA//pyrC//entB//
Fur-Mn2+	narH//ilvA//torA//cysG//napG//ubiC//bcsA//nrdF//ubiA//astA//entB//trmD//entH//bioC//purB//nrfB//torA//citE//paaI//ssuE//alaA//ahpF//gabT//gatY//feaB//gnd//glpA//trpD//metB//trpB//paaI//allC//allC//frc//ahpF//fucI//astE//paaF//xylA//ogt//upp//purM//hpt//cysC//ubiX//alaA//pheS//ubiG//sdhA//tdcG//garL//lsrG//prpD//frdC//ahpC//ynfH//entH//cysC//sufS//sucD//ssuE//ada//entD//upp//ulaF//acs//manA//dadX//glgC//
GlcC-Acetate	phnJ//astB//pgaC//
GlcC-Glycolate	tehB//glyA//dsdA//
GlrR-Pasp56	
IclR-pyruvate	polA//hyaB//aldA//
IdnR-5-ketogluconate	citX//pgk//frdD//araA//entF//speA//
IdnR-Idonate	hyaA//hyaC//dadX//sdhC//astA//argI//
IlvY-2-acetolactate	prpE//
IlvY-Alfa-acetohydroxybutirate	purA//
IscR-2Fe	cdd//hycE//cheR//garL//narG//paaI//fumB//
LldR-L-lactate	ilvN//uxuB//
Lrp-Leucine	hcp//paaE//lacZ//ldtB//uvrA//napC//gdhA//glgA//sdhC//upp//frdA//yfbR//glpK//sdaA//moeA//argE//bcsZ//nirB//aceF//atoA//yfdE//nrfD//ynfH//ilvI//lacA//metK//ilvD//glcB//gabT//ilvG_1//frdC//galE//eda//alaA//rutE//oxc//phnP//glcF//puuA//
LsrR	yfbR//mhpB//dadX//purH//ssuE//
MalT-ADP-Maltotriose	speA//metH//glyA//purF//tadA//speB//
MalT-Maltotriose-ATP	glgA//hyaA//fadE//patZ//tdcD//xdhA//
MelR-Melibiose	malZ//bioD//
MetJ-S-adenosylmethionine	tadA//dnaE//metB//narH//adhE//dadA//caiD//icd//fadA//mhpE//
MetR-L-homocysteine	ilvG_2//paaZ//xdhA//aspC//
MhpR-3-DHPP	trpE//purC//trpD//nadC//metL//argI//
MhpR-3HPP	yeaE//cyaA//hypF//malZ//glpE//hycD//
MntR-Cd2+	uvrA//frdD//
ModE-MoO42-	ubiG//gatD//sdhC//glgB//tdcB//abgA//chbG//dadA//narG//ugpQ//upp//hemA//sucC//araA//
NarL-Phosphorylated	mhpB//bcsB//ldtB//bacA//aroF//galE//yfeW//thrS//cysM//alaA//eda//aldA//rutD//puuD//argD//lysC//argF//hyaB//xylB//tyrB//metL//epd//ung//narH//folA//carA//dsdA//glgB//gatY//glcE//ynfE//ftnA//citG//metK//entD//hycC//allC//cysM//
NarP-Phosphorylated	narG//moeA//glpC//caiC//pheT//rnpB//malZ//mtlD//sdhB//fucK//tsaE//
NhaR-Na+	paaI//gabT//glcB//sodA//melA//
NikR-Cd2+	hyaA//
NikR-Co2+	alkA//
NikR-Cu2+	cysN//
NikR-Ni2+	phnI//
NikR-Zn2+	paaB//
NrdR-ATP	ppiA//entC//nanM//ilvG_1//
NrdR-Zn2+	ftnA//bioA//tadA//cysI//
NrdR-dATP	ilvB//moaD//ogt//argH//
NsrR-2Fe	glgC//abgA//nrfA//bacA//bacA//pdeF//astB//entB//rhaD//hpt//rnpB//truB//metL//deoC//caiC//rbsK//moeB//fabZ//ndh//ilvG_2//serA//katG//ilvE//mdh//dmsA//araA//astB//prpD//nrdF//prs//
PhoB-Phosphorylated	aldB//hemL//ilvA//rutE//xylB//citG//glpX//oxc//fadI//gpsA//ynfH//paaA//entB//moaE//moeB//sgbH//paaA//malS//uxuA//xylB//
PhoP-Phosphorylated	purM//aroL//phnL//bioA//xylA//ilvH//nrfA//phnO//paaA//ilvM//aspA//udp//purB//atoD//entB//ldtC//nagB//glcF//argE//ilvN//citC//glpK//acnB//rhaD//fucK//fadI//patZ//glpA//fadJ//pgpC//mhpB//cysJ//gntK//tyrA//nirD//
PrpR-2-methylcitrate	hflX//caiD//lyxK//fau//
PurR-Guanine	sucB//rhaA//cysN//slt//gcvH//araD//prpB//gcvH//hycG//entC//gpsA//ilvG_2//lpd//ulaF//speC//alaA//dmsC//nrdA//glpQ//phnM//ada//mhpF//psd//glpE//caiB//carB//frdD//
PurR-Hypoxanthine	ilvA//uxuA//trmD//lacA//hypF//gabT//ilvH//speC//xdhC//hycF//ilvN//eda//moaD//lacA//xdhA//glnA//yjeF//lacZ//glcF//phnN//nanM//hpt//fucI//argE//gpmA//aldA//melA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	napH//murQ//mtlD//garL//
RstA-Phosphorylated	purK//glyA//glcD//
SoxR-2Fe_oxydized	pgaC//ubiA//
TorR-Phosphorylated	lpxB//fucI//adhE//
TrpR-Tryptophan	ascB//carA//fumB//caiB//citD//purD//pgk//betB//purN//
TyrR-L-tryptophan	glpK//mhpE//argA//fucA//napH//moaA//abgB//citX//lyxK//
TyrR-Phenylalanine	gpmA//entB//aldB//argA//yqjH//epd//ahpF//gpmA//mhpA//
TyrR-Tyrosine	pgpC//paaK//lyxK//nanM//caiA//adhE//yfeW//frdC//hyaA//
UhpA-Phosphorylated	garK//
XapR-xanthosine	tdcE//phnG//
XylR-Xylose	ulaD//pyrC//bioA//
ZntR-Cd2+	ilvH//
ZntR-Hg	frdD//
ZntR-Zn2+	lldD//
ZraR-Phosphorylated	
Zur-Zn2+	phnH//
