# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	tnaA//hmp//ilvD//glcD//
AlaS-L-alanine	fucO//
AllS-allantoin	aroH//narH//entH//
AraC-L-arabinose	rutA//sdhA//trpA//paaF//cynT//frc//fadA//
ArcA-Phosphorylated	cyaA//aspA//aroF//purH//nanK//atoD//murQ//purF//sdhC//lpd//argF//ynfF//phnJ//rutA//nirD//ndh//fucI//paaE//glgC//sdhB//sdhD//phoA//pck//bcsB//araA//sdhC//ilvH//phnH//purM//deoD//uxuB//aldB//ynfH//puuC//frdD//gnd//gatD//yfbR//ulaD//rutE//malS//argI//hycB//zwf//dadX//gpsA//prpB//prpE//bacA//mltC//mpl//cyoE//ilvG_1//katG//ulaD//araA//argE//pheS//aldA//galT//hmp//gatY//gadB//rutC//ppiA//ppiA//preA//dnaE//rdoA//glpQ//cdd//entA//citG//xylB//napA//sdaA//paaG//glcD//galT//glnA//alaA//garL//dmsC//fadB//glpQ//idnK//hycB//fucU//ispE//aceA//uxaA//nrfB//argE//phnI//cysD//eda//bioA//
ArgP-L-arginine	aroA//phnP//katE//speC//manA//aroG//sodB//paaZ//gatD//lsrG//ogt//
ArgR-L-arginine	pheS//tauD//dadA//bioD//aspC//cdd//astD//tdcD//phnG//abgB//fes//dapB//hemA//polA//tdh//sodA//ilvI//purB//kbl//aldA//phnG//alaA//lpd//
AtoC-phosphorylated	cysI//tnaA//xylA//
BaeR-Phosphorylated	ulaE//eda//
BirA-bio-5-AMP	fadB//astD//prmC//yfeW//moaD//
CRP-cAMP	nrdD//glgX//astD//caiD//aldA//ugpQ//glgP//ansB//frdA//cpdB//pgk//ilvB//ahpC//allE//dmsA//serC//mutL//yfdE//codA//caiB//acnA//puuE//frdB//cysN//ilvI//deoA//glcD//eda//malY//pheS//deoB//acnB//xdhC//lacA//fbaA//ulaF//entH//dkgB//recF//rdoA//aroG//hycC//napA//glpA//ascB//rbsK//cysH//edd//glyA//cyoE//mhpB//citG//fadE//araB//ynfG//ubiG//metK//tehB//dnaE//cyaA//dmsA//glcD//fadE//phnG//dmsA//sdhB//aldA//galK//manA//nrdB//puuE//srlD//paaA//frdA//paaE//bacA//dmsC//paaH//fucU//malQ//nanK//aceE//napB//gntK//bcsZ//mhpF//chbF//nanA//sdhD//sgbE//sdhC//ndh//metH//puuC//hcp//acnA//caiC//upp//purF//ppiA//rnpB//phoA//astA//trpC//ahpF//narH//ogt//abgA//glcB//lsrG//cadA//rhaA//ubiG//ilvE//trmD//pyrD//metC//dadA//allE//metE//purM//ilvG_1//fumC//nadC//hycE//carB//frdC//acnA//cyaA//metC//cysG//metL//fadD//katE//glpA//sdhB//argG//atoB//paaZ//gdhA//rdoA//pta//sdhB//pagP//glgA//fbaA//aceF//gabT//ogt//glpD//fadE//cadA//yiaK//gltD//hycE//phoA//purD//talA//hmp//moeA//glcE//glpC//yfeW//uxaB//fadJ//paaF//frdD//gutQ//dadX//abgB//argG//aroL//cueO//ssuD//cysM//alkB//entA//gatZ//umpH//ansB//napC//dapB//speB//yfeW//guaA//aceB//lysU//nrdB//nrfD//phnH//gcvT//napG//fdhF//oxc//mtlD//aceB//tdcE//dsdA//bioB//aldA//avtA//frdD//dnaE//nanK//mhpE//garK//uxaC//acs//mpl//argE//fdhF//cadA//nrfC//frc//mhpC//fadE//puuA//ilvA//aspC//appA//entE//hypB//yfbR//araD//aroL//fadB//glpC//narI//ilvH//prpE//ynfH//purN//waaH//ulaE//atoD//yjeF//puuD//metL//paaE//aceA//betA//ilvN//ubiA//entH//fucA//ilvC//rutE//lsrG//cynS//fadI//cysJ//ansB//glgC//galE//xapA//napA//moaD//cysD//frdC//napA//moeA//paaC//nrfC//ilvA//glgP//sgbH//aspC//galM//astD//metE//napG//pdeF//bcsB//rbsK//torC//serC//argI//chbG//puuE//feaB//lyxK//dgcZ//aroL//lpxA//hemA//puuB//hycB//fadD//araB//gabD//
ChbR-Monoacetylchitobiose-6P	galE//torC//nadC//
CpxR-Phosphorylated	rbsK//hyaB//chbF//purH//ynfG//pgk//yjeF//pta//pgaB//yqjH//glyA//glgX//betA//purE//napG//bcsZ//tdcD//ansB//cyaA//sgbE//citX//cysD//
CreB-Phosphorylated	yeaE//argI//mhpC//
CueR-Ag	gpmA//frc//preT//fbaA//
CueR-Cu+	frc//gatY//ulaF//pyrC//
CuerR-Au	citC//gltB//mhpC//deoB//
CusR-Pasp	aceF//metF//tdcB//
CynR-Cyanate	guaA//mutY//lpxA//
CysB-N-acetyl-L-serine	astB//glpD//pheS//idnD//bioC//sgbH//tadA//cysD//frdC//cynS//narI//napC//aldB//pheS//cyoE//nrfC//
CysB-O-acetyl-L-serine	speB//ybjG//hemA//uvrA//alkB//tdcG//paaJ//lysU//paaG//cpdB//pheS//xdhA//nrfC//deoC//umpH//purF//xdhA//
DcuR-Phosphorylated	uvrA//upp//puuB//kbl//
DnaA-ATP	tdcG//agp//ynfG//bioC//hycE//gdhA//
