# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	frdB//ilvE//chbF//paaA//
AlaS-L-alanine	argH//
AllS-allantoin	eda//ugpQ//ahpF//
AraC-L-arabinose	phnN//dadX//ubiX//nagB//aspC//dadX//gcd//
ArcA-Phosphorylated	amn//cadA//cysI//carA//mpl//prpE//cadA//metE//glgC//purA//aroG//malZ//iscS//prs//fbaA//ilvM//feaB//cadA//gadB//nirB//acnB//gadB//lacZ//ppiA//fadA//ubiC//tktB//aceE//uxuB//lldD//phnL//sdhD//paaK//caiD//citF//codA//dgcZ//yfdE//glcD//paaC//hemA//paaA//prpD//dusB//malZ//gcd//ubiX//aroH//malP//gntK//bglB//moaE//fucO//chbF//nrfB//gadB//sucB//prpD//upp//gadB//cysJ//xylA//cysD//purD//ndh//ackA//glcE//manA//ldtB//cysM//argF//pheS//aroG//frdA//xylA//argC//ilvG_2//gadB//ssuE//tdcE//glcB//pheT//araB//cdd//fumC//gpsA//glcB//astE//ybjG//ispE//ubiG//truB//lldD//atoB//purN//lpxA//caiB//
ArgP-L-arginine	upp//aldA//phnJ//lacA//glyA//fadJ//prpC//mpl//gpsA//mhpA//purN//
ArgR-L-arginine	allE//mpl//glpB//metF//purK//pdeF//uxaB//metE//ilvG_1//uvrA//aceF//guaB//hycG//sgbH//atoD//galT//dmsB//mltC//lysA//guaB//prmC//ilvH//cysN//
AtoC-phosphorylated	phnN//lyxK//dmsB//
BaeR-Phosphorylated	glcF//rhaD//
BirA-bio-5-AMP	purC//moeB//ilvB//paaK//nrdE//
CRP-cAMP	cdd//ynfG//glpX//fadJ//paaF//astD//lacZ//phnP//fdhF//patZ//purC//patZ//pta//fucA//mdh//manA//lpd//gdhA//phnG//pheT//ybjG//trpA//nrfB//xapA//gutQ//fes//araB//entD//betB//xapA//deoB//srlD//ubiG//sufS//rhaA//sodB//uxuA//paaF//citG//mhpA//deoC//aroA//cysG//lsrK//sgbU//xylA//dadA//malY//galE//ada//paaI//allC//oxc//glnA//gapA//betA//galT//glpE//argB//gcvP//idnK//prpB//xdhA//puuE//gcvT//galT//cysC//mhpB//ybjG//astC//aroA//yqjH//glpB//argI//trpD//talA//hyaB//garK//zwf//paaI//fadB//adhE//mhpF//citE//citE//galT//purA//glcF//glgB//dadA//mhpB//idnK//astE//entC//glgC//lpxB//umpH//uxuA//lpxB//aldA//metH//hycF//phoA//argB//purE//napC//cysN//ada//puuC//hycD//tam//trpC//astB//galT//uxaC//gcvH//cysN//glgA//glpC//gatZ//atoA//fadD//ulaF//hycC//moaA//patZ//tyrB//aceA//pflB//phnM//hypB//idnD//tnaA//paaJ//bioA//lpxD//ubiG//aroL//ilvE//astD//deoB//nirD//fadI//ndh//lysU//mltC//pagP//manA//atoD//lpxB//rutB//acs//purF//lpxD//pheS//cysM//gatZ//ilvA//nrdE//aspC//murQ//uxuA//garK//fadD//bcsZ//sgbU//purB//guaB//glpB//tyrA//metC//xdhA//sodB//malP//fdhF//ynfE//trpA//idnO//carB//nirB//hyaB//ilvG_1//nanE//yfdE//garR//trmD//phnL//carA//carA//xapA//trpE//prpC//nrfC//malP//uidA//metB//frdB//gcvT//hycG//ubiX//argH//thrS//mhpF//miaA//ilvH//glpC//metK//dusB//fadJ//ubiC//slt//deoC//ldtB//caiD//ilvA//gabT//caiB//dapB//pgaC//nirD//deoC//citC//fadI//metH//rdoA//ilvG_2//idnK//yfdE//rbsD//abgB//trpB//ssuE//atoD//trpD//napG//gutQ//ilvD//moeB//cyaA//sodA//agp//mutL//mpl//nrdE//folE//rbsD//astB//cdd//argB//fucI//ung//cysG//cysI//araD//hycE//entC//paaB//entB//argG//purF//sdhA//paaJ//glpE//ybjG//hycB//puuE//cysD//ogt//paaZ//citG//psd//fumA//dapD//sgbE//gpsA//appA//mhpA//yfdE//murQ//oxc//galM//cdd//ogt//rutD//ldtB//speC//gltB//hypB//hycB//cysD//
ChbR-Monoacetylchitobiose-6P	sdaA//carA//ssuE//
CpxR-Phosphorylated	sucC//ynfH//nrdB//lpxB//gadB//sucB//pagP//metA//astB//phnM//mdh//sodB//sdhA//lpxA//ilvG_1//metB//tdcE//pheT//nirB//citE//dadX//citC//
CreB-Phosphorylated	hycC//fadA//manA//
CueR-Ag	glcD//mhpF//paaI//citF//
CueR-Cu+	idnK//rdoA//agp//ahpF//
