# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	cynS//phnP//ftnA//betA//
AlaS-L-alanine	paaH//
AllS-allantoin	pgaB//fucU//bcsB//
AraC-L-arabinose	codA//prpB//metF//ssuD//puuC//tehB//astD//
ArcA-Phosphorylated	nagB//sufS//dnaE//xylB//dmsB//acnA//pdeF//bcsA//lacZ//garL//fdhF//caiD//nrdF//ldtC//frdB//gcvH//ynfE//argB//aroH//trpC//glgA//lysC//prmC//tyrB//alaS//ynfE//gadB//nanA//gutQ//citX//metB//ilvG_2//idnD//udp//paaZ//prpB//glpD//ada//garL//idnD//sufS//allE//ssuD//appA//frdD//cysG//xylB//fadI//cysN//aspC//tam//lldD//puuB//rutE//cueO//dadX//ampD//argI//argF//ftnA//moeB//trpA//gdhA//uxaB//argF//deoA//aldA//narI//purH//ubiX//purD//guaA//mdh//waaH//dkgB//pgaB//rutA//tdh//puuA//sdhC//frdD//tdcB//ssuE//bcsA//miaA//cadA//glgC//lsrG//argA//garR//cadA//eda//ubiC//pyrD//purM//cdd//rnpB//
ArgP-L-arginine	sucC//idnK//mpl//yiaK//fadI//uxaB//cysJ//pgaD//yiaK//aceB//nagB//
ArgR-L-arginine	trpB//pgaC//aceB//sucB//pflB//phnM//ybjG//ogt//nirD//iscS//alkB//araA//lldD//glcE//gatD//purC//fumB//serC//garR//yqjH//fucA//entH//argA//
AtoC-phosphorylated	frc//purH//treC//
BaeR-Phosphorylated	fumA//betB//
BirA-bio-5-AMP	thrS//torC//hyaB//glpX//ilvE//
CRP-cAMP	amn//sodB//nadC//bioF//glpQ//nadC//mltC//napH//entB//fumA//udp//lpxB//mhpF//rdoA//astA//cyoE//nrdF//dsdA//fumB//rdoA//phnM//phnM//paaE//thrS//narG//nanK//gltB//tdcD//nrdB//frdA//metB//dnaE//dsdA//waaH//lpxD//nanA//talA//lsrG//cysJ//dusB//tadA//cheR//prpD//bioD//bglB//xapA//lysA//entB//umpH//ulaF//ada//ilvB//argG//sdhA//hycB//narH//prpE//citC//katG//ahpC//aceB//nrdF//astC//mutY//sucC//ynfH//napH//narG//sodA//bioC//glcD//citG//pgaC//miaA//purF//glpB//xylA//abgB//ispE//garK//sucD//phnN//gatD//lpd//argD//argA//phnJ//ppiA//fadH//sgbU//katG//tehB//pta//patZ//dkgB//paaB//cysG//hyaC//trpD//feaB//tyrB//puuE//mdh//entC//pncB//pagP//sgbU//fadE//glpD//hycD//lysA//pgaB//ilvN//purH//moeB//paaB//ung//tyrB//bglB//nrfA//fadA//fadE//lpxB//napC//lpxB//dmsA//argD//epd//puuB//moeB//paaC//pgpC//ugpQ//aldA//ybjG//hycG//mpl//nirB//ampD//katE//nanM//aceA//glcF//pheS//gcvP//nrdE//acnA//fadH//carB//garK//galM//sgbU//aroA//paaG//phnL//alkA//araA//argH//sodA//hycB//fucO//atoD//mtlD//rutB//metC//nagA//tdcG//aroF//cysJ//malS//astB//kbaZ//aroG//katG//argD//ftnA//speB//melA//yfeW//kbaZ//glpE//rutA//nrfD//bcsZ//fadI//miaA//pgpC//aceE//hcp//gabT//oxc//malP//nrdE//lysC//ilvG_1//fadJ//ynfF//alaS//fadH//gltD//bcsZ//metL//aspA//glyA//miaA//purL//araD//nanM//ynfH//frdD//atoA//pgk//cheR//garR//mltC//phnH//rutB//phnI//trpD//udp//paaE//metL//atoD//purM//aspC//glpK//cysC//glcD//deoB//pgk//napB//glgX//lpd//nirD//dkgB//glgX//ilvC//rbsK//mpl//galT//ilvI//dsdA//hycG//lsrF//kbl//treC//cheB//glgP//uidA//codA//dmsB//puuA//guaA//citX//pheT//malQ//galM//citF//cysH//rutD//sdhA//abgA//fes//ftnA//malZ//hemL//idnK//glpA//prpB//umpH//purK//betB//fes//purK//gabT//gdhA//malQ//metB//fadE//ybjG//napH//fbaA//garK//frdC//serC//prpC//ulaE//citE//caiD//rhaB//
ChbR-Monoacetylchitobiose-6P	sdaA//entE//ubiG//
CpxR-Phosphorylated	lhgO//tauD//dgcZ//paaC//cysD//phnO//aroH//entF//fadB//atoB//aceF//speC//fucA//eda//ynfE//ftnA//yfeW//avtA//astA//galT//uxuB//cynS//
CreB-Phosphorylated	napG//bcsA//moeB//
CueR-Ag	malP//cyaA//ulaF//avtA//
CueR-Cu+	prpC//nanA//pgk//ubiX//
CuerR-Au	uvrA//hycG//xdhB//dmsA//
CusR-Pasp	tnaA//fadE//paaC//
CynR-Cyanate	ftnA//ada//araB//
