# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	bioC//glpK//glyA//ldtC//
AlaS-L-alanine	entH//
AllS-allantoin	phnG//prpC//entH//
AraC-L-arabinose	agp//glyA//pheT//mhpD//fadD//xylA//phnI//
ArcA-Phosphorylated	dadA//trpC//nrfD//iscS//metF//gltA//citD//folE//caiC//metH//aspC//entH//garR//idnO//napG//dmsC//glgX//sodA//frdD//puuA//yfbR//ansB//bioB//nrdA//cpdB//malQ//hycD//phnP//garR//argB//ackA//lpxA//lysC//tdcD//ulaD//nrdB//nagA//tdh//entE//dkgB//deoB//dadX//frc//argI//alkA//ndh//ansB//glpD//frdA//argB//hemL//lsrF//cysJ//argA//frdA//bioF//ogt//deoB//metK//gdhA//ilvM//trpE//entC//lyxK//dnaE//bioA//cysK//udp//purM//nirD//lpxA//ldtB//mhpB//hypB//metC//yeaE//cheB//mpl//nrfA//yqjH//prpB//dmsC//fumC//sgbH//fadH//nadC//ulaD//hypB//tauD//bcsZ//fadD//glpK//trpE//paaH//ilvG_1//ampD//fbaA//
ArgP-L-arginine	glyA//fdhF//gatY//paaZ//gatY//paaH//aspA//pgk//glgA//purB//bcsA//
ArgR-L-arginine	fucA//speC//bioA//mutL//yqjH//carB//recF//treC//argG//upp//garL//puuA//phnN//pgaC//pheS//dsdA//paaH//malZ//bioF//phoA//trpC//sdaA//lyxK//
AtoC-phosphorylated	gabD//ilvD//prpB//
BaeR-Phosphorylated	preA//pheT//
BirA-bio-5-AMP	pdeF//patZ//entD//xylA//ynfG//
CRP-cAMP	speB//phnL//tyrA//feaB//glcB//trpB//acnB//tdcG//cynT//deoB//argH//paaG//xylB//recF//mhpA//aroH//uxuA//pgk//araB//melA//paaB//murQ//argA//mtlD//gltA//avtA//pck//aceE//ispE//prpD//ftnA//cyaA//metA//hmp//paaI//torC//prs//sucB//pflB//cheB//xdhC//pyrC//metH//hyaC//dapD//epd//slt//gapA//entC//araB//puuA//preA//hycE//citG//nirB//purB//trpE//sgbH//gltD//moaD//gatD//glpC//lldD//gcvP//sgbH//hycD//prpC//folE//pnp//xylA//fucO//bglB//rhaA//prpD//malZ//pgaC//entE//hcp//hycD//allE//lyxK//prmC//gpsA//phnN//prpD//appA//narH//phnM//purM//deoC//nanE//cpdB//hemL//astD//nrdA//aceB//yjeF//moaA//gntK//tktB//xdhB//torA//aspC//katG//nanM//malQ//astB//icd//srlD//gabD//uxaA//dmsA//hyaA//fumC//fucK//hyaA//citG//miaA//fadB//lsrK//bioC//glgC//xylB//paaF//glgA//pta//xapA//mhpA//cysD//xdhA//recF//pgaB//nrfB//guaA//yiaK//aspA//ftnA//gltD//glpE//entH//hflX//fadA//aldA//ybjG//napA//metH//fumC//mltC//tyrA//udp//nanE//argD//hycE//hycB//trpC//yjeF//hyaC//ilvH//thrS//epd//cyoE//caiA//aspC//mltC//ldtB//lpxD//epd//waaH//metC//metB//betB//glyA//trpA//deoA//pgaC//idnO//gdhA//lldD//yfdE//bacA//umpH//bcsA//metH//paaI//hpt//lacZ//alaS//tyrA//yfbR//citF//gcvT//xdhB//eda//argI//astD//pflB//astB//glpQ//caiA//codA//gatZ//aroF//cysI//metK//gcvT//paaA//phnG//araD//srlD//uxuB//hyaB//lpd//ldtB//cueO//ppiA//pheS//amn//hypF//bcsB//araB//phnL//glpQ//cysK//argB//preT//citX//sgbE//ubiC//rutA//fadJ//atoA//paaI//abgA//tadA//truB//lysC//napB//lacZ//puuC//phnG//preT//phnP//gltD//uidA//astC//cyaA//araB//appA//tktB//paaK//gntK//astC//purL//ilvD//purC//cyaA//sgbH//aroF//tadA//abgB//nrfA//zwf//carB//gpsA//agp//allD//moaA//deoA//glyA//cysK//tsaE//gltA//purE//malZ//abgB//tam//udp//srlD//acs//argE//zwf//gabT//lhgO//tam//guaB//argA//argG//astD//sucA//epd//
