# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	glpB//dmsB//tyrA//hyaB//
AlaS-L-alanine	aceB//
AllS-allantoin	edd//pgaD//bioC//
AraC-L-arabinose	pyrD//bacA//gltD//lpxD//bacA//acs//dmsA//
ArcA-Phosphorylated	lpxB//melA//ynfE//icd//polA//feaB//melA//entF//guaA//cyaA//folE//pdeF//katE//atoB//citD//metA//dnaE//dkgB//ldtB//caiC//fbaA//fadA//glcE//lsrF//acs//malZ//aspC//bcsA//gltA//alkB//yiaK//citC//hycB//mhpF//iscS//frdC//narH//malS//rbsD//ulaE//miaA//fumA//nanK//mltC//alaA//phnL//moaA//lsrK//gadB//hycE//narI//purM//fucK//cdd//ung//fucI//gpsA//ada//caiA//bioF//glpE//uxaC//moeB//deoD//xdhB//ldtB//aroA//ahpC//trmD//uxuB//torA//citD//aceF//sdaA//umpH//mhpB//bglB//rutD//sdhB//alkB//ulaD//sdhB//fucO//xdhC//preA//entB//tnaA//tktB//lpxA//ansB//tyrB//bacA//nanK//cyoE//puuB//sufS//hcp//
ArgP-L-arginine	folA//fes//pck//malY//yjeF//paaF//tadA//astE//paaK//katG//aldB//
ArgR-L-arginine	rdoA//napH//talA//pyrD//cynT//fadE//paaJ//uxaC//frc//atoD//glpK//tnaA//dnaE//hpt//frdD//fucU//moaA//garL//aceE//aldA//fucO//mtlD//ynfF//
AtoC-phosphorylated	ascB//sdhD//glpK//
BaeR-Phosphorylated	sgbH//lpxA//
BirA-bio-5-AMP	yeaE//yfdE//rutC//fabZ//cueO//
CRP-cAMP	glpQ//rutB//gcvT//dmsA//deoA//cysN//edd//yeaE//hyaC//araD//gatD//deoC//phnH//glyA//nanK//astE//cyoE//tktB//betB//ynfG//abgA//galT//folE//phoA//slt//cheR//rdoA//entB//cpdB//folA//frdD//ubiG//glpQ//astA//deoD//aroG//bioA//purD//aroG//tauD//ilvB//sgbU//tdcE//kbl//ubiX//cheR//sgbH//ilvA//sgbU//bacA//recF//allE//ldtC//preA//yjeF//glcF//paaI//nadC//pheT//rdoA//nrfB//fabZ//glpK//paaA//metL//purL//yfbR//tauD//prpB//trpE//ilvM//ldtC//moaD//malQ//ubiC//upp//lhgO//sgbE//phnP//lsrG//umpH//paaJ//gatD//zwf//phnM//truB//araD//bcsA//edd//hypF//nrfA//xdhC//purH//pncB//ilvN//cysH//pagP//cysC//xdhC//araB//yqjH//metB//murQ//fes//sucA//icd//araA//hemL//folE//dmsB//ubiX//avtA//sodA//cysG//melA//pck//purF//nirB//paaC//aspC//nanA//pta//dusB//pck//deoA//gdhA//phnL//sucB//ugpQ//ansB//fucU//cysC//nrdD//purD//puuD//lysA//prpC//lysA//entB//fadD//uxuB//appA//serA//ybjG//dapD//nrdB//mhpB//nrdA//araB//pta//lsrF//melA//aroA//acnA//ubiA//sucA//tdh//mpl//rutA//citD//uvrA//ubiX//paaF//pncB//metK//manA//mhpD//yfeW//chbG//phnJ//xdhC//glgA//prpC//yeaE//prmC//ackA//ubiC//lysA//polA//gabD//ulaE//tdcE//tyrB//pflB//folA//gltA//aroF//caiD//cysC//rnpB//srlD//atoB//bglB//fumA//purL//puuD//tyrB//cdd//argD//allC//prpE//gatD//gadB//deoA//mpl//dmsB//bioF//metA//glpA//gatY//idnD//metC//tauD//bioA//lysA//cysK//sdhB//allE//mltC//araA//cysK//ampD//yfdE//ynfG//purD//glgB//bioF//nrdD//ulaD//purM//aroA//carA//sufS//fadI//dusB//sucC//serC//agp//prpE//caiD//xylA//nagB//pgaC//moeA//glpB//ulaF//prs//tsaE//ackA//sucD//aroL//sucC//napH//caiD//cysD//narH//betB//sucA//umpH//hycB//prs//rutB//sdhB//aroL//hycB//cysC//chbF//citG//sdhB//tyrA//phnM//cadA//pgaB//pta//tdcD//lpxB//oxc//fucU//ubiC//sgbU//allE//murQ//argF//folE//ung//aceA//ogt//purM//cysG//pgaC//
