# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	upp//frdC//moeB//eda//
AlaS-L-alanine	sodB//
AllS-allantoin	prpD//acs//paaA//
AraC-L-arabinose	appA//pdeF//idnK//ssuE//citF//phnO//puuB//
ArcA-Phosphorylated	chbF//cysN//malY//kbl//trmD//glcB//pflB//trpE//metL//lsrK//paaJ//metB//pflB//aspC//ynfH//ubiG//dapB//moaA//lyxK//hmp//phoA//tdcG//napG//glpE//hemL//mhpB//tdh//guaA//glyA//phnP//lyxK//paaI//serA//frdB//mhpB//fadA//sdhC//xdhA//idnO//kbaZ//narH//atoA//rhaB//hemA//abgB//alkB//mhpF//metC//sucA//araD//tdcE//hyaA//phnN//phnN//frdA//purM//paaB//hycE//nagB//speA//gdhA//yfbR//lhgO//cysD//moeB//argI//rbsK//trpB//napB//lacZ//ubiG//astE//yfdE//hypF//metB//napG//oxc//aroG//astB//ahpF//glpX//cysM//paaB//srlD//nirB//glpQ//phnN//epd//alaA//pheS//sucC//ynfF//uxaB//pgaC//gabT//sodB//nrfB//
ArgP-L-arginine	tsaE//hcp//phnN//idnO//aceB//ilvE//yjeF//bioC//gdhA//purL//entF//
ArgR-L-arginine	lysU//lyxK//fadE//rbsD//guaA//rbsD//paaJ//prmC//citF//tauD//talA//narG//yfdE//moaE//sdhC//iscS//uxuB//nirD//serC//fadB//paaK//lsrK//carB//
AtoC-phosphorylated	dapD//glpQ//glpA//
BaeR-Phosphorylated	gabT//ilvE//
BirA-bio-5-AMP	hpt//tdcD//glpA//ogt//purC//
CRP-cAMP	mhpA//rnpB//ndh//serA//dsdA//xylA//gatZ//paaA//yjeF//gabD//prpC//gltD//purN//bioC//frdD//cysG//chbF//ybjG//lacA//serC//pnp//allE//pflB//ldtB//metF//miaA//citC//xdhB//xdhA//cynT//purF//ubiA//malY//dapB//gatD//hpt//lsrK//glcB//acnA//nrfC//rutA//ascB//moaE//hycC//argB//metK//narH//talA//dsdA//ldtC//phnJ//ada//carA//lysA//sucC//trpE//phnG//deoD//psd//yqjH//pdeF//serC//astE//xdhB//rbsD//bcsB//prpB//folA//fucI//phnI//ubiG//guaA//prpB//umpH//acnB//lldD//ugpQ//serA//puuA//nrfB//sucC//astE//pheT//caiA//fumC//fucK//polA//trmD//rhaA//murQ//tdcD//phnP//glnA//mdh//mdh//argA//zwf//aroL//murQ//napB//argI//dmsB//pagP//ilvC//fadJ//xdhA//entE//hyaA//citX//cysJ//nanK//tdcE//lysU//mhpA//prpD//fucK//treC//purH//cynT//caiD//malP//glnA//paaJ//cysI//gatY//folE//gnd//udp//purB//cysD//nanM//entF//purD//galE//paaF//aldA//garK//paaE//xdhA//amn//sgbU//ubiA//fadB//argH//ubiA//caiD//purK//fadD//cyoE//bioB//aroG//lpxD//murQ//araD//dmsC//sufS//dsdA//hypB//metE//yeaE//trpC//puuB//lpxD//nrdB//citE//lpxA//edd//mutY//pta//pgpC//nrdF//garK//hycC//trmD//acnA//kbl//cynS//sufS//lysC//torC//tdh//allC//astD//xylA//malS//metB//argA//astA//cheR//serC//serC//prs//ssuD//pta//idnO//entD//tnaA//phnP//deoD//prpB//glgC//sgbU//phnP//yjeF//lpd//frc//nanE//glcB//udp//prmC//cadA//psd//paaF//pdeF//nanK//phnM//fes//fucO//pgk//waaH//cysI//ulaD//kbl//cysJ//xapA//fucK//garR//fucA//xylA//caiA//torA//aceF//argI//araD//rutC//preT//glyA//atoD//ilvG_1//bioC//uxaB//srlD//cadA//astD//puuC//alaA//glcD//uidA//ilvN//serA//trpC//ampD//xylA//xylB//metA//paaG//garR//mpl//argD//fucO//ilvB//recF//bioD//adhE//lyxK//puuA//deoC//paaF//rutD//entA//glpE//glcD//sgbE//nagB//phnH//hyaA//nrfC//trpE//ada//tdcD//argI//hyaB//aceF//moaA//carA//amn//sdaA//metL//galM//paaG//
