# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	mpl//yjeF//tyrB//entB//
AlaS-L-alanine	sgbE//
AllS-allantoin	garL//paaC//xdhC//
AraC-L-arabinose	lpxB//bcsZ//gcvT//cyaA//betA//rbsK//argH//
ArcA-Phosphorylated	fdhF//glcF//ilvD//serC//icd//rhaB//pck//mtlD//metE//waaH//fadJ//moeA//glcE//cysG//purE//gnd//icd//hycG//metF//metA//phnJ//tyrA//purB//kbl//ndh//gcvH//cysG//sdhD//icd//allD//argA//paaA//paaA//phnI//paaG//pgaD//malZ//sodB//ybjG//ung//gatD//treC//mutL//rutB//cysC//cysN//pnp//fumB//glyA//mpl//paaC//atoA//ubiC//chbF//pnp//paaI//napA//adhE//adhE//bioD//puuC//cysN//serC//fbaA//allD//aspA//lsrK//uidA//gltB//fucA//phnM//ackA//rbsK//metF//pta//metE//napG//gatD//glpD//xylA//hypB//puuD//pgpC//galT//mhpA//argI//purA//ansB//nrfC//manA//lpxB//pheS//tam//lpxA//serA//mhpF//idnO//
ArgP-L-arginine	argF//trpB//deoA//trpD//manA//cpdB//entD//hpt//bioB//alaA//psd//
ArgR-L-arginine	uvrA//fumB//slt//cheR//recF//malQ//dadX//xylA//phnH//icd//ulaE//torA//tdcD//purF//aceE//glgA//mpl//bglB//malS//purL//hpt//frdD//allE//
AtoC-phosphorylated	bioD//recF//prmC//
BaeR-Phosphorylated	argI//tauD//
BirA-bio-5-AMP	fdhF//sufS//gpsA//malS//pgk//
CRP-cAMP	bcsZ//appA//entF//torA//citD//hemA//lyxK//upp//guaB//gdhA//folA//astA//astC//frdA//fucO//aroA//glpD//aceE//fucU//kbaZ//bcsA//sucB//pgaC//mltC//garK//mhpA//argE//fadD//gadB//frc//sufS//moaE//galE//lsrF//moaA//fadJ//cynT//pgaD//malZ//hycF//waaH//ampD//alkB//cysM//ynfH//dmsC//sucC//garR//lysA//rbsD//caiA//uxaB//glyA//prpB//srlD//yfbR//phnH//dadX//dkgB//psd//ahpF//murQ//miaA//tam//lacZ//aroG//sucC//metB//yfbR//rutD//bioB//gltB//torA//fbaA//paaG//trpB//uxaC//rutA//prpC//trpD//ilvN//puuE//yfeW//citF//treC//prpE//nadC//tsaE//tauD//speC//entC//glpA//slt//lacA//pgk//alkA//mdh//dnaE//fucA//ybjG//astC//narG//tsaE//entH//gpmA//idnK//gutQ//nanE//aroA//deoC//lpd//carB//ilvD//entH//metL//polA//purN//mpl//tdh//araD//nanE//ackA//argF//ftnA//astB//nrfC//rhaD//srlD//ssuE//dnaE//trmD//speA//aroG//folA//caiB//betB//pyrC//entF//xapA//uxaB//malZ//fumA//gltB//sdhA//paaC//tauD//hycE//pheT//yqjH//allE//gabD//lpd//sodA//napH//napB//bglB//napA//bioD//hycC//pyrC//aceA//fucU//purM//ilvE//frdC//moaD//cysN//tam//bglB//rhaA//tyrA//phoA//puuB//purL//tnaA//bcsZ//allE//rutC//argD//glcD//xdhC//glgA//pagP//nrdD//hyaB//fadA//aroA//fbaA//caiA//araD//purB//narH//puuD//edd//caiD//trpA//fumB//hycG//nanA//aspC//ulaD//caiA//nrdB//galT//tdcB//nrfA//deoB//murQ//cysJ//metE//sodB//carB//hmp//ilvG_2//tnaA//deoA//folE//cysC//uxaC//tktB//sdhC//fadD//amn//ascB//bioF//purA//ynfH//rhaB//nadC//nagA//dadX//betA//phnG//trpC//paaG//sdhD//psd//srlD//entC//speC//citE//serA//metF//sucB//argD//xdhC//gntK//ldtC//prs//purA//adhE//codA//ilvH//rhaD//tktB//dapB//folA//sucA//acnB//caiA//pagP//trpD//nrfD//glpC//rhaA//ppiA//uvrA//aroG//feaB//ilvA//deoD//bcsZ//pgaB//glpA//nrdB//tyrA//ispE//hmp//trpD//glcD//paaK//xdhB//glpD//malS//gutQ//xdhB//rhaB//glpE//ubiX//trpE//
