# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	nanK//fucI//galK//malP//
AlaS-L-alanine	metC//
AllS-allantoin	psd//cysJ//truB//
AraC-L-arabinose	hycC//cysN//srlD//argF//caiC//cyaA//nanK//
ArcA-Phosphorylated	cadA//aceA//yeaE//idnO//cysC//feaB//ung//argC//nrdA//ulaE//carA//ndh//prpE//lhgO//phnI//hycG//dmsC//napA//yjeF//napG//argD//cyaA//metE//gpmA//ndh//atoB//glgA//cysG//pgpC//rhaA//pyrD//dgcZ//guaA//ftnA//mhpE//phnG//ilvA//rdoA//entD//paaE//paaI//galE//kbaZ//ilvG_2//phnI//paaE//melA//ubiG//mhpE//allE//glgC//glpX//paaZ//gabD//ndh//phnP//icd//tadA//gadB//preA//paaC//murQ//uxaB//prpC//ogt//ldtB//metA//xylB//purL//glgA//codA//moaA//lysA//paaE//tadA//fadH//nagA//argE//ilvA//gnd//guaA//alkA//gabD//rutD//metC//glpE//metH//lysU//gltB//dmsA//gpsA//metC//puuA//rutC//purE//aroL//aroA//
ArgP-L-arginine	hflX//cyaA//citF//aldA//fadJ//hypB//nrdF//yfeW//hpt//glcD//nadC//
ArgR-L-arginine	icd//bglB//nrdD//astA//feaB//thrS//entF//ung//purC//pta//metF//codA//paaB//garL//metB//nrdB//ssuE//alkB//argD//zwf//argG//uxuB//cysJ//
AtoC-phosphorylated	dadX//speB//araB//
BaeR-Phosphorylated	hemA//appA//
BirA-bio-5-AMP	purB//citE//argD//upp//purD//
CRP-cAMP	ilvA//ilvG_2//speC//paaB//gcvH//dapB//phnJ//nirD//katE//betA//tktB//gabD//speB//xylB//mhpC//lacZ//argH//atoD//araD//glpD//dadX//serA//argH//fucK//purD//ubiA//pheS//deoA//bglB//rhaD//narH//sdaA//paaH//treC//sdaA//cueO//garK//speC//idnO//hflX//caiC//bcsZ//tsaE//cdd//slt//cpdB//kbl//xdhB//pgaC//fadD//citE//lyxK//hemA//fumA//nanM//rdoA//malS//umpH//ybjG//nrfC//moeA//avtA//caiA//tauD//metA//patZ//oxc//paaI//preT//ispE//hypB//tdh//lpxA//argH//ulaD//entH//nadC//lsrG//malZ//aceB//prpD//moeA//lysC//purM//lpxA//lpxB//edd//purK//nrdD//fadJ//sdaA//aspC//pgaD//prpD//patZ//prpE//folE//argH//bioF//xylB//lpxA//betA//pflB//aldB//lpxA//puuB//gatD//gcvP//ilvA//rhaD//amn//ftnA//caiD//sdhB//ulaD//metC//glpD//carB//ogt//carA//pagP//gabT//malZ//fadI//lyxK//speB//ldtB//napH//ilvG_1//rhaD//zwf//gnd//nagB//ung//moaD//chbG//gabD//entD//mutL//speC//ynfF//hcp//ilvC//ybjG//mhpE//dmsB//glpK//dmsB//gadB//lysA//entD//aceB//speC//upp//codA//acs//lacA//rbsK//cpdB//glgP//abgB//puuB//ssuE//udp//argI//nadC//hyaC//glpK//metK//uxaB//ubiX//serA//patZ//zwf//paaH//feaB//rhaB//citD//yfdE//miaA//puuE//glpD//citF//folE//frdA//ubiX//metC//gcd//fadB//cheR//phnO//polA//mhpB//mhpD//carA//narH//bcsB//ilvM//sdhD//gpsA//cysJ//cysM//lldD//hcp//phnM//paaZ//caiB//prmC//tam//sdaA//araA//phnJ//lpxA//thrS//aroG//pyrC//mpl//cysC//ilvI//nrfD//metC//betA//metB//dkgB//phnG//sdhA//hypB//trpB//hpt//citC//tsaE//lysU//sdhC//carB//rhaB//epd//ynfE//phnL//argG//glyA//atoD//moeA//sodA//rhaA//paaH//pgpC//puuE//ynfH//psd//ugpQ//ftnA//moaA//aroA//prs//glpD//glpA//galM//tdcD//ynfF//frdB//malQ//hycG//nirB//torC//mltC//glgA//gabT//hflX//mhpB//xapA//nrfA//guaA//mpl//aceE//folE//astA//ulaD//glpE//sdhA//uxaA//uxaB//ansB//fucA//metA//paaI//speA//aroL//frdC//agp//nrfB//
ChbR-Monoacetylchitobiose-6P	epd//carA//dusB//
CpxR-Phosphorylated	ilvM//sucB//glgA//alaS//truB//mutL//sdhB//hycG//sucB//gatZ//tdcG//agp//gcvP//puuB//murQ//malP//ubiC//mdh//alaS//garK//folE//psd//
CreB-Phosphorylated	glgX//acnB//metK//
CueR-Ag	eda//metK//ahpF//dmsA//
CueR-Cu+	phnM//citE//hypB//hycG//
CuerR-Au	adhE//cheB//trpC//hycB//
CusR-Pasp	hyaA//prs//glgB//
CynR-Cyanate	bioC//dapB//adhE//
CysB-N-acetyl-L-serine	gnd//ulaF//mutL//cpdB//pheS//talA//gltB//argC//ubiA//glpC//paaI//prpE//ssuD//nrfD//dnaE//hpt//
CysB-O-acetyl-L-serine	rutA//guaB//uvrA//astC//pgaC//astB//entD//nagA//pflB//idnO//folA//galK//ansB//ampD//dgcZ//folE//uxuA//
DcuR-Phosphorylated	nrdB//sodB//napB//citG//
DnaA-ATP	tyrB//paaE//slt//ansB//rhaD//galT//
DpiA-Pasp	pheS//trpD//araB//trpC//frdD//
DsdC-D-serine	malQ//napB//
EvgA-Phosphorylated	aceF//slt//idnO//mhpF//bioB//
FNR-Fe_reduced	rbsK//dadA//pgpC//yqjH//hycB//tadA//nanK//abgA//argF//idnK//fadH//cysJ//alaA//fucU//rhaD//epd//dsdA//ndh//garL//astE//cysM//cynT//ynfF//puuD//citG//torC//yqjH//mpl//appA//glpB//purC//aroL//ssuE//ilvG_1//psd//recF//entE//moaA//fadE//dmsC//phnP//purA//glpQ//gntK//hflX//cynS//sdhB//nrfC//cysM//purH//mhpC//glgC//puuC//garK//uxuB//ung//pgaD//melA//moaE//aceA//tdcD//paaK//betB//betB//edd//phnN//lysU//tnaA//sucD//aldB//rhaA//lpxB//rhaB//pgaB//atoA//citC//ynfF//lysU//codA//atoD//thrS//ung//entF//yiaK//glpB//mutL//ynfG//umpH//lysA//ssuE//ilvG_1//ldtB//aceF//icd//folA//hypF//puuB//pgaD//gatD//tyrB//torC//fadI//yqjH//bacA//abgB//bcsA//aceE//ilvG_2//yfeW//hemL//gpmA//glpD//recF//nrdB//tdh//phoA//cheB//lpxD//gcd//nrdE//argF//puuE//allD//glpB//deoB//purM//prpE//
FhlA-Formate	malY//hemA//preT//fumC//bglB//fucU//puuD//
FucR-L-fuculose-1-phosphate	trpD//bacA//folA//napB//galK//ubiC//
Fur-Fe2+	cynT//glgP//acnB//avtA//ssuE//phnN//nagB//phnN//phnP//hypF//ubiC//moaA//nrfC//tauD//ampD//hemA//udp//phnG//adhE//lysC//nanM//phnL//tyrB//purE//nrdE//acnB//paaJ//entE//purH//fbaA//folE//avtA//fumA//ilvG_2//mutY//sucB//treC//frc//hpt//ilvM//dsdA//cysN//phnO//murQ//fabZ//mhpD//xdhC//purB//amn//aroA//glgC//paaI//uxuA//aspC//fadI//atoD//citC//abgB//nrdF//aroF//hypF//frdD//glpA//deoD//lpd//citF//pyrD//mpl//trpA//
Fur-Mn2+	yfbR//alaS//idnD//manA//citX//tktB//hypB//phnP//yqjH//nrdE//prpE//metF//sgbH//treC//fucK//gltD//deoA//purE//paaF//prpE//moaE//prmC//fucK//chbF//rhaA//speA//prmC//aspA//nrdB//phnI//phnM//prpE//pgpC//tdcB//lhgO//gltA//hycB//chbG//avtA//lsrG//cheR//cysN//sucB//lsrG//rutB//metA//citG//uxaA//ilvD//aroL//hyaC//citC//glpQ//caiC//rhaA//phnP//napA//ssuD//rhaD//avtA//paaE//gabD//astC//ilvE//ascB//edd//torA//ubiX//patZ//
GlcC-Acetate	citX//miaA//mltC//
GlcC-Glycolate	fadI//entD//thrS//
GlrR-Pasp56	
IclR-pyruvate	garR//nrfC//atoA//
IdnR-5-ketogluconate	ackA//argF//phnJ//phoA//xdhA//caiD//
IdnR-Idonate	paaE//bcsA//icd//torC//metE//cyoE//
IlvY-2-acetolactate	nanE//
IlvY-Alfa-acetohydroxybutirate	cysJ//
IscR-2Fe	astC//epd//bcsB//sodB//deoB//edd//metK//
LldR-L-lactate	sgbH//araB//
