# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	adhE//ubiA//yiaK//epd//
AlaS-L-alanine	rutA//
AllS-allantoin	ada//pgaD//cysG//
AraC-L-arabinose	cysM//purD//nanA//aceA//frdC//idnD//rbsK//
ArcA-Phosphorylated	sucB//lyxK//ugpQ//icd//gpmA//ilvG_2//mtlD//yeaE//murQ//icd//appA//prs//bcsA//hypF//moeB//cysK//cadA//nirD//ssuE//mhpB//puuD//fdhF//betB//trpD//glyA//ampD//araB//fumC//paaF//nirB//ubiA//cueO//nrdF//tsaE//deoD//metE//aldB//fumB//miaA//caiB//deoC//cysN//dnaE//rutC//umpH//edd//lysU//umpH//ackA//acs//speB//glcE//mpl//ftnA//sgbH//gltD//gabT//garK//nanA//malQ//galK//ilvH//preA//cysJ//nadC//cyaA//ilvM//ynfE//srlD//alaA//galM//napB//bcsZ//talA//treC//nrdD//appA//gnd//zwf//xylB//nadC//gdhA//gcd//talA//deoD//glpE//fdhF//ilvE//betB//xylA//sdhC//yqjH//lpxD//paaC//cynS//glpD//serA//
ArgP-L-arginine	pyrC//lpd//lacA//preA//nrfA//rutA//ilvA//cyoE//pnp//araD//mhpF//
ArgR-L-arginine	dgcZ//ilvB//mpl//ackA//galM//guaB//waaH//hycG//frdA//moaE//aroF//tam//epd//puuA//glpQ//guaA//napC//sdhB//aceE//tadA//hpt//metA//glpC//
AtoC-phosphorylated	aceE//xylA//argD//
BaeR-Phosphorylated	sucD//mutL//
BirA-bio-5-AMP	nrdA//rutA//cysC//nrdA//ynfF//
CRP-cAMP	xylB//adhE//dmsB//paaJ//mpl//cyoE//idnD//glpE//serA//gdhA//trmD//fucI//hypB//zwf//dadA//nrdD//cyoE//ulaF//rhaB//napH//patZ//phoA//alkB//fucA//aroH//hyaA//deoB//tdcD//dmsB//adhE//metE//entC//mhpE//ung//uxuB//pncB//sdhB//ilvI//yfdE//puuA//malY//malZ//paaG//metE//argE//gatZ//codA//lyxK//citE//argI//nrfD//feaB//xdhC//tdcG//fes//glgB//trpA//nanK//rutC//codA//preA//pgaB//rutD//gltA//cheB//murQ//cueO//glyA//fumB//araB//narH//glpK//yeaE//nrfC//waaH//phnM//purE//cysI//pgk//acnB//puuB//tsaE//ulaD//gdhA//gdhA//lacA//yfbR//uxuA//frdB//psd//tehB//codA//edd//gapA//rutC//ilvM//atoB//xylB//nrdA//mpl//tauD//ubiG//pagP//fadH//deoC//yfbR//glgA//purC//abgB//gcvH//carB//pta//ybjG//feaB//hcp//idnD//gcd//xapA//gatZ//yqjH//nrdA//nagA//purA//mutY//lacZ//ilvG_2//paaE//aceA//fadH//sgbU//serA//hycE//pnp//ulaD//pgpC//cheB//aroA//pgaB//chbG//malS//trpD//metC//epd//glyA//nrfA//cysD//fabZ//yqjH//xapA//ilvI//citD//hemA//aceA//gatD//araA//argA//lysU//argA//phoA//aroF//deoA//sdhC//manA//recF//purC//idnD//lacZ//tyrB//cysG//nanA//dsdA//bcsB//purC//moaA//rnpB//hycC//epd//uvrA//aldB//uxaC//ubiC//bglB//deoC//srlD//ynfE//nadC//entF//ogt//talA//phnL//cheR//edd//araA//hyaB//pyrD//ybjG//napC//citE//bcsZ//araA//argH//aspA//aceF//frdA//bioB//sgbE//fadJ//lysC//purF//paaF//fumC//fumC//mhpB//uxuB//cysN//agp//aldB//uxaB//entA//phnL//aceA//aroA//fucK//paaE//pheS//mhpF//deoC//dsdA//lhgO//phnI//ubiC//bioC//moeB//xylA//lpxB//malS//ybjG//ascB//acnA//allC//glpB//hpt//glyA//prs//gatY//gcvP//mhpB//cysK//malZ//purK//malS//ynfG//gcd//gcvH//mhpE//aroH//metH//sucD//entH//guaA//nrfD//sucC//acs//fadI//glgB//edd//fadD//fadD//fadH//guaB//purM//hypF//glcF//uxaB//hmp//mdh//iscS//glpX//acs//cysJ//hyaB//murQ//paaG//glgB//tehB//fbaA//acnB//hyaB//napB//phnP//
