# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	fadI//tyrA//paaB//gabT//
AlaS-L-alanine	deoA//
AllS-allantoin	miaA//lldD//puuD//
AraC-L-arabinose	xylB//narH//ulaE//mltC//hmp//mdh//hycE//
ArcA-Phosphorylated	tam//zwf//ilvN//udp//rhaA//aroH//bioC//hmp//ilvC//serA//dmsB//fbaA//sodA//aroF//hyaC//frc//rhaD//torC//uvrA//nrfB//glnA//ugpQ//purL//phnI//dadA//nrdE//aroH//malQ//psd//bioF//serA//ilvE//prpD//mhpF//appA//bioB//xdhA//galK//narH//ada//pgaD//acnB//rhaB//ynfH//puuB//hycB//psd//nrdB//fadE//gltD//araD//yiaK//fadJ//puuC//nanA//tnaA//pnp//trpB//torC//deoD//metF//rnpB//aldA//gatY//lysA//glyA//cysM//aceF//ftnA//argH//deoB//bioD//katG//fucI//gnd//phnI//malZ//nirB//glyA//fdhF//ulaE//phnM//pdeF//lpd//hycE//gcvT//paaJ//acnB//frdD//sdhC//pck//ilvA//deoC//ilvE//ulaD//hycE//citD//
ArgP-L-arginine	phnN//glgA//ldtC//paaF//malZ//napC//aspC//uxaA//moaA//oxc//cysM//
ArgR-L-arginine	mhpF//nadC//astD//sufS//cysK//gcvP//metK//fbaA//ulaD//entF//entF//hyaA//sufS//dapD//nrfD//aroH//metH//alaA//ung//fbaA//icd//sdhB//cysH//
AtoC-phosphorylated	purB//betB//ilvB//
BaeR-Phosphorylated	rutA//napC//
BirA-bio-5-AMP	acs//ampD//ubiX//cynT//fumB//
CRP-cAMP	atoA//adhE//lpxD//gcvT//paaF//gpsA//glpC//dnaE//aroA//ackA//lldD//puuB//ugpQ//ssuD//speB//galE//glgC//nirB//phnL//serC//abgB//lyxK//lsrG//guaB//kbl//ilvC//phnP//gapA//prmC//citG//fucO//dmsA//ulaE//astD//cysK//ilvB//napC//prpB//galK//uxaC//purN//glgC//napH//sgbH//alaS//sdhB//idnD//bioD//nrdB//tdcE//katG//paaE//chbG//nirD//lacA//sdhB//atoD//metB//betA//citX//nrfC//sgbE//ilvH//citX//astB//citF//gadB//argD//acs//lysC//citX//metH//gltA//dmsB//serC//sgbE//sodA//cysN//hcp//gnd//aceF//pgk//ynfG//ilvN//glcD//puuE//phoA//bioD//murQ//astD//ynfG//sufS//paaF//lldD//malQ//hyaB//cdd//tdh//astB//carB//glgX//ampD//narG//malS//purH//pta//slt//paaB//tauD//purE//ampD//prpB//hemA//moaD//aceA//fucU//citE//yeaE//uxuB//lsrG//mltC//pyrD//purN//fadJ//fadA//paaI//narG//paaH//paaB//trpC//ogt//fucO//phnM//puuC//astD//ppiA//narI//prmC//dusB//lhgO//mltC//lacZ//mdh//dapB//purK//guaB//argA//argE//ilvM//prpE//mpl//nagA//xylB//chbF//glpB//hemA//srlD//uxaB//bacA//dusB//chbF//paaE//napC//purB//xdhC//yfdE//dadA//psd//puuC//entD//appA//rutC//paaH//phnO//trpC//aroL//caiA//deoB//serA//nagA//ilvA//purM//aldA//sucB//sucC//guaA//codA//gutQ//uxuA//rhaB//mhpA//uxaC//mhpE//frdA//argI//atoB//metH//napA//paaG//fadA//moaA//phoA//fadH//ynfE//nanM//malS//abgA//rdoA//recF//frc//purC//lpxB//glgP//aspA//rhaA//narG//napA//tnaA//citF//prs//aceA//sdhD//tyrB//paaJ//pgaB//idnD//pnp//metE//astD//truB//glcE//yfdE//prpC//glyA//sdhA//trpD//purC//dapD//fucO//serC//hyaB//pflB//pyrC//lysC//pgaC//xapA//nrdF//lsrK//uxuB//lsrF//ulaE//paaA//acnA//talA//dsdA//lacA//gutQ//nrfC//fumA//ssuD//ilvN//tehB//gcvH//rbsK//thrS//phnI//kbaZ//yfbR//gatZ//glcB//trpE//glgA//uxaC//tnaA//ynfH//nrfA//gcvH//fucO//lysA//adhE//moaD//purK//fucA//gltD//tnaA//citE//sucA//astC//ahpF//metC//
ChbR-Monoacetylchitobiose-6P	galK//betA//ung//
CpxR-Phosphorylated	gcd//trpC//aceF//metE//lpd//frdA//nirD//purA//cysH//miaA//aspA//uxuB//astE//trpC//hycD//fadE//lysU//fau//gltA//serC//umpH//glpX//
CreB-Phosphorylated	sucC//yfbR//yfbR//
CueR-Ag	chbF//aldB//mtlD//fau//
CueR-Cu+	purK//talA//rhaB//rutC//
CuerR-Au	aceE//ilvM//folE//ugpQ//
CusR-Pasp	ynfG//talA//bioC//
CynR-Cyanate	uidA//yeaE//pncB//
CysB-N-acetyl-L-serine	nagA//feaB//chbG//ndh//argH//prs//lpxD//fes//puuB//galM//ilvM//uxuA//thrS//dadA//metH//acs//
CysB-O-acetyl-L-serine	caiC//hypB//preT//citD//ssuD//ilvC//glyA//preT//aldA//moaD//hcp//deoB//phnO//nanA//paaK//atoB//fucI//
DcuR-Phosphorylated	hycB//gpsA//tauD//fadD//
DnaA-ATP	oxc//lsrK//phnI//rnpB//galK//mltC//
DpiA-Pasp	moaA//rhaA//glcB//atoD//narG//
DsdC-D-serine	gabT//dadA//
EvgA-Phosphorylated	speA//nrdD//pgpC//purN//purM//
