# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	lysC//yfbR//feaB//frdB//
AlaS-L-alanine	dmsB//
AllS-allantoin	prpC//phnG//bioB//
AraC-L-arabinose	fabZ//pflB//waaH//lhgO//napG//aceA//phnL//
ArcA-Phosphorylated	aldA//araD//galM//ascB//aroG//dmsB//garR//pflB//gcvH//fadE//purK//gadB//bcsB//kbaZ//sdaA//astE//icd//folE//paaF//dusB//dadX//tktB//lysC//pheT//prpB//puuC//ahpC//dapB//fadE//paaF//atoD//tehB//rutE//tyrA//bglB//oxc//dmsA//pgaB//ubiG//ynfG//xdhB//avtA//nrfD//paaH//gcvP//trpA//dnaE//napG//tdh//paaH//betA//waaH//carB//phnI//udp//eda//lpd//argF//trpB//adhE//fadA//frdA//trpA//gabD//preT//malQ//lacZ//phnM//argG//pck//phnO//dnaE//citG//feaB//patZ//alaS//ubiX//metL//folE//citD//lacA//nrfD//cysM//rhaA//caiD//aceB//citC//pgaD//trmD//allE//hycB//gpmA//ynfE//ascB//bioD//puuD//ulaF//
ArgP-L-arginine	paaJ//astC//tdcE//aroG//hemL//serC//glcB//folA//rutE//hmp//purB//
ArgR-L-arginine	lacZ//cysK//phoA//glpK//tdcB//frc//edd//ilvG_2//ynfF//glcF//lyxK//puuC//ulaF//bioC//pnp//fucA//cdd//deoC//epd//nrdA//aceE//astC//prmC//
AtoC-phosphorylated	uxaC//entC//narH//
BaeR-Phosphorylated	zwf//tdcB//
BirA-bio-5-AMP	hemL//sucC//amn//uxuB//bcsA//
CRP-cAMP	nanM//yqjH//mhpF//lysA//idnK//atoA//ogt//rutA//gnd//aspA//cysM//speA//xdhA//paaB//argH//fumA//aceB//mhpB//adhE//hcp//astB//fadB//abgA//galE//paaI//aroG//entD//preA//icd//cynT//hycE//ynfE//xapA//entD//tauD//sucB//ulaE//trpD//hycG//napC//yiaK//malP//cyoE//uxaC//dusB//purB//hyaB//mltC//malQ//hycE//paaJ//pgk//napB//pyrC//cpdB//caiC//fadI//trpD//citC//araB//phoA//purE//glgP//paaK//uxaA//yeaE//mhpD//gdhA//tauD//argF//cpdB//uvrA//fadD//prpD//narI//araD//puuE//ahpC//aceB//argG//argB//tdcG//sgbH//uxaC//tehB//pagP//ynfE//ulaD//ogt//umpH//udp//fumB//mutY//araA//pnp//mutL//xdhC//narH//metA//allD//ssuE//cysG//fucO//idnD//fau//kbl//cynS//folE//ilvA//mhpD//caiC//acs//amn//pheS//pck//caiD//malS//prpC//ldtB//purN//acnB//ilvG_2//upp//ilvD//torA//gabT//puuB//acnA//gnd//puuB//tyrA//hypF//aceB//tadA//alkB//dmsB//hycE//astA//ispE//gltD//hycC//ilvG_1//dusB//rutB//purH//rutD//fadB//ubiC//hemA//uxaB//malZ//aldB//pgk//nrfA//entE//ilvC//glpK//entB//glpD//paaJ//lyxK//lldD//sodA//lysA//prpE//puuD//treC//ubiX//ilvH//sodA//puuB//astE//pgpC//tyrB//ubiC//sdhC//glnA//hypB//purC//hyaC//sufS//nrfB//dadX//melA//cadA//garK//cadA//katG//acnB//uvrA//pflB//ilvC//gltB//mutY//ulaD//sgbU//ulaD//cheB//treC//lhgO//sucD//chbF//aceA//adhE//gatY//purE//ynfG//aroH//nrfB//lpxB//citG//pck//guaA//gapA//narH//fucA//cyaA//lpxA//ilvI//alkB//aldA//idnD//entE//glcE//lysC//cysM//chbG//allC//rbsD//napC//fumB//ssuD//trpA//ilvI//nirD//ilvG_1//trpE//phnM//frdC//pheS//metB//ispE//dsdA//dkgB//hemA//fucO//araD//phnJ//nagB//torC//yjeF//ackA//metA//galM//tdcB//metK//aceE//argC//ftnA//cysG//mhpA//tdcG//tdcG//lpxB//ssuD//napG//cueO//uvrA//nrfA//folA//tehB//paaZ//argA//waaH//ilvG_2//trpE//ynfH//hcp//acnA//entA//deoD//paaH//betB//argH//carA//hemL//narI//dadX//nirD//gnd//
