# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	napB//fucI//cheB//nrdB//
AlaS-L-alanine	malP//
AllS-allantoin	malQ//rutC//tdcB//
AraC-L-arabinose	dmsB//betA//aroL//atoB//argB//gcvP//moaA//
ArcA-Phosphorylated	allD//cysK//ppiA//trpE//xdhB//abgB//dmsB//epd//slt//rbsD//ilvG_1//phnP//allC//psd//tktB//napB//paaJ//napG//ilvI//tktB//sgbU//phnO//purA//puuB//aroG//katG//hyaB//uxaA//phnN//nadC//malQ//eda//dmsC//metA//nrfC//fabZ//tyrA//tktB//argG//astB//ispE//bglB//glcF//hemL//preT//ilvA//purB//trmD//chbG//frdC//pgaC//patZ//glpA//sdhB//cynT//slt//ulaE//lldD//ubiG//caiA//malY//ispE//nrfA//moeB//citD//ackA//argE//phnL//miaA//narI//nanK//pnp//galE//alaA//cysJ//lacZ//argH//tnaA//hmp//dmsA//argB//purK//yeaE//ilvB//nagB//purK//fau//hycF//cueO//phnL//hypB//sucA//lpd//glcF//paaZ//cheR//pheS//
ArgP-L-arginine	hmp//caiB//puuD//fucI//glcF//galE//dmsB//deoA//glgP//paaF//carB//
ArgR-L-arginine	garL//aspA//pgaC//gltD//allD//gltB//acnA//chbF//paaK//ldtB//acnA//zwf//pdeF//malZ//ilvC//melA//rutA//fucU//mpl//bioF//uvrA//phnP//lacA//
AtoC-phosphorylated	aroG//fdhF//upp//
BaeR-Phosphorylated	bioB//idnD//
BirA-bio-5-AMP	trpE//cysG//trpA//galK//astD//
CRP-cAMP	fumB//dadX//purB//purN//manA//puuB//frc//chbF//cysM//yiaK//ndh//cysI//argH//ilvG_1//patZ//rbsD//ilvC//astC//lpxD//miaA//argA//ubiC//garL//prpC//entB//sucC//hypB//argD//paaE//xylB//moaE//hyaA//pgaC//dadX//nagA//cheR//ssuE//mhpF//hemA//argG//glpB//hmp//bacA//miaA//udp//ynfE//miaA//speA//sucA//xdhB//recF//caiD//aroH//moaE//trpA//cadA//rhaA//paaH//ppiA//lsrG//ndh//aspC//xdhC//aceF//citD//mutL//aceB//trpB//dgcZ//entH//hypF//aldB//tdh//fau//tsaE//dusB//paaI//uxaA//melA//patZ//purB//atoD//citC//paaC//gutQ//ilvH//speA//aldA//ldtC//alkA//dadA//sdhC//ldtB//ilvI//tam//galK//xylB//ilvA//hpt//phnI//narI//aceF//gatD//fumB//folA//argG//trmD//cueO//torC//ung//glpK//dgcZ//cueO//hycC//gutQ//mutL//folA//nanK//paaJ//pgk//sufS//melA//gcvH//deoA//abgB//nrdF//fumA//moaE//phnH//gabD//glpX//ndh//gatY//argI//citC//moaE//tdcG//betB//rutD//fdhF//hmp//carA//fumB//ndh//hyaB//phnM//aroA//pagP//yiaK//gdhA//nrfA//yqjH//pgaD//glgA//frc//caiA//paaK//puuD//malP//folA//nrdA//tehB//citG//hycB//citC//yjeF//mhpC//bcsZ//phoA//yiaK//citD//uxaB//ppiA//fadB//argB//alaA//metC//ilvG_1//gcvT//fadD//ubiX//prs//fucO//paaH//kbl//gcvP//purH//patZ//napC//xdhB//paaA//fes//allC//idnO//cdd//ssuD//paaE//fucK//pdeF//ynfE//folE//metE//prs//gatD//paaG//entA//cysM//phnG//betB//aceE//puuA//xdhB//ftnA//upp//hmp//uxaA//glyA//trpD//paaA//entC//paaC//alkA//metA//preT//yqjH//ftnA//rutA//bioB//aceE//agp//narG//hycF//ulaD//gutQ//nrfC//xylA//cysC//ogt//ackA//atoD//glcF//glpE//sodB//pck//guaB//malQ//preA//sdhB//uxaA//hflX//malZ//pgaB//cadA//alkA//fadJ//gltA//hycB//aroA//nrfC//glgC//paaB//uxuA//tdh//cysJ//ung//dsdA//gnd//trpC//ilvN//aceB//fadE//entF//ppiA//phnI//gatD//glpX//hpt//pgaD//ampD//rhaD//ilvM//alaS//aroH//caiB//glpQ//chbG//citD//paaZ//trpE//patZ//
ChbR-Monoacetylchitobiose-6P	bcsB//fadA//uxaA//
CpxR-Phosphorylated	deoD//uxaB//sodA//ogt//puuE//rnpB//nadC//preT//gcvT//fucI//fau//abgA//moaA//fumC//cysM//hycE//paaF//nirB//prmC//bioA//sucA//edd//
CreB-Phosphorylated	ansB//katG//atoD//
CueR-Ag	metF//feaB//hypB//moaD//
CueR-Cu+	murQ//nanE//phnO//trmD//
CuerR-Au	hycE//rutA//tdcG//sdhA//
CusR-Pasp	ssuE//fucA//napG//
CynR-Cyanate	mhpF//carB//mltC//
CysB-N-acetyl-L-serine	entC//yjeF//betA//ldtB//hemA//hflX//lsrK//purK//rhaB//gatZ//dmsC//pdeF//alaA//aroF//ldtB//glpE//
CysB-O-acetyl-L-serine	alaA//pyrD//phnL//udp//galM//prpE//speC//bioF//prs//gabD//ulaE//aroH//purN//ahpC//ilvC//caiB//bioB//
DcuR-Phosphorylated	pagP//napH//fabZ//xdhA//
DnaA-ATP	fes//glpB//aceA//gcvH//hyaA//betB//
DpiA-Pasp	pheT//patZ//tehB//caiD//mhpB//
DsdC-D-serine	bioD//prpB//
EvgA-Phosphorylated	cheR//feaB//paaZ//ilvA//ilvM//
FNR-Fe_reduced	tyrA//gltB//bioC//glgB//rhaA//epd//ubiG//ilvA//dapB//sdaA//nrfB//aroA//tyrB//bcsA//ilvH//argG//ascB//sufS//avtA//deoD//dadX//fumB//ilvM//ndh//astB//glpE//gdhA//frdA//araA//allC//rutC//dmsB//carA//folA//lacZ//mhpD//yeaE//tktB//lsrF//sdhB//ispE//bacA//dadA//purH//citX//cadA//aroH//ulaE//ndh//mhpE//frc//galE//rdoA//deoB//hypF//fumC//fadH//frdB//moeB//icd//paaB//treC//kbl//xylA//araD//hycE//purE//alaA//entD//thrS//acnB//carB//deoA//garR//metH//nrfB//araD//purM//nagB//fumB//glcF//rhaA//atoD//ilvN//ispE//glgA//aroG//narH//phnM//eda//yqjH//icd//napB//mdh//purA//tehB//preA//lsrG//gutQ//gltB//cynT//ilvD//metL//tktB//cysK//ssuE//purD//nirB//tehB//trpB//recF//caiB//garR//glpQ//glgA//malZ//ppiA//edd//yiaK//gatD//cheB//glpQ//idnO//malZ//trpB//ogt//entH//
FhlA-Formate	nrfA//nagB//folE//entH//cynS//tam//lldD//
FucR-L-fuculose-1-phosphate	glcB//xdhB//trpC//citG//ubiX//bacA//
Fur-Fe2+	prpD//aspA//uxuB//ahpF//hypF//manA//nanA//nrfA//slt//glcE//moeB//uxaC//dmsC//galT//allC//nrfC//gdhA//galT//tyrB//deoD//citG//idnO//gabT//sodB//cysC//lsrK//dmsC//ynfE//recF//glgB//mhpE//glpD//hyaB//astE//lsrK//gcd//alaS//gcvT//manA//paaK//pheT//pyrD//rhaB//murQ//pyrC//trpA//xylA//talA//phnN//glpK//nanE//rhaA//citF//lsrF//fucK//gpsA//entB//zwf//purH//argB//purN//paaI//pgk//rhaB//sodB//cysD//sdhD//cysG//argG//
Fur-Mn2+	gapA//atoB//phoA//puuB//ubiG//serA//dkgB//lysU//argC//prpE//ackA//lsrK//hemL//purD//araA//ung//entF//hycB//glpK//prpD//lacA//fes//napG//argI//gltB//moaA//ilvG_2//bioD//paaH//fucA//aroL//uxuB//manA//mutY//glgC//purE//gatD//mhpA//ahpF//glpC//cysI//ada//hycF//hycG//lpd//pflB//fdhF//yfeW//mhpA//moaA//phnN//yfdE//glgP//cysI//gdhA//pgaB//codA//acnB//katE//nrdB//glcE//ilvC//ubiX//narG//gatD//lyxK//puuA//hyaB//amn//
GlcC-Acetate	hemA//rbsD//glgB//
GlcC-Glycolate	dusB//feaB//gcvH//
GlrR-Pasp56	
IclR-pyruvate	hycD//fadH//dapB//
IdnR-5-ketogluconate	malS//fumC//trpA//argF//sdhD//hycC//
IdnR-Idonate	chbG//xdhC//uxuA//dgcZ//aceE//frdB//
IlvY-2-acetolactate	purN//
IlvY-Alfa-acetohydroxybutirate	metH//
