# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	atoB//hflX//moaE//dnaE//
AlaS-L-alanine	puuA//
AllS-allantoin	idnO//feaB//entB//
AraC-L-arabinose	agp//mutY//fes//entB//trpB//avtA//hycB//
ArcA-Phosphorylated	malY//galT//entE//lacA//caiA//serA//pyrD//preA//prpE//bioC//acnB//hflX//cysN//sgbH//hycD//frc//cheB//ilvM//oxc//purF//lysU//pdeF//glcF//fumB//gutQ//yjeF//folE//fadJ//argC//recF//gntK//sgbE//lpxB//lpxB//gadB//prpE//rdoA//cyaA//gcd//napG//fadA//pyrC//bioB//moeA//dmsB//gpsA//murQ//frc//galE//bglB//glgA//fadJ//entB//phnO//ilvN//moaD//fadE//aroA//rutD//pgaC//hycG//nagA//glnA//glpD//appA//malZ//sgbU//entA//appA//acnA//paaE//metK//lysC//yfbR//uvrA//citG//ldtB//slt//dusB//gapA//pgk//lysU//lpxA//paaA//hemA//garR//tnaA//katE//bioD//ilvE//idnO//nrdF//gltA//sufS//ldtB//waaH//ynfE//
ArgP-L-arginine	citG//idnD//caiC//pgaD//entF//fucI//garK//trpD//ulaF//glgP//caiB//
ArgR-L-arginine	aroL//glpK//sucD//tadA//glgP//phnH//ldtB//gatY//fadI//ynfH//fadI//folE//ubiA//gapA//fadI//ilvI//caiB//lsrF//miaA//ilvG_2//entE//acs//purF//
AtoC-phosphorylated	astD//frdB//gcd//
BaeR-Phosphorylated	aroA//bioA//
BirA-bio-5-AMP	tdcE//moaD//ogt//argF//pheT//
CRP-cAMP	napC//pgk//alkB//hemA//glpK//dmsA//cysD//purB//cadA//allE//waaH//fadH//puuE//dapD//rutD//malS//garL//cdd//aspA//cyoE//hyaB//iscS//atoB//glcF//tyrB//nrfB//hycG//carB//cueO//ubiA//metC//sdhB//hycC//oxc//galE//glcD//acnA//glpK//pheS//speB//deoB//ahpF//ilvI//trpB//gatY//paaH//pncB//allC//pflB//entD//ahpF//hycE//pheS//moeB//nrfB//mtlD//hyaB//zwf//rutD//tsaE//hyaA//xdhA//torC//cdd//astE//malQ//chbG//glpQ//astD//hyaC//moeB//adhE//frdC//ulaF//recF//dapB//tam//xylB//allE//sucA//recF//ynfH//glpQ//purB//xdhB//trpD//rdoA//speB//lpxA//moaE//aspA//adhE//polA//tyrB//ulaD//galT//cyoE//fdhF//lsrF//galE//dadX//citG//nanK//pgaB//alkB//phnH//bioA//cysI//alaS//galM//ascB//nrfB//glyA//purC//alaA//dapB//trpC//malZ//gcvT//metC//gltB//mhpE//dnaE//mhpF//bioA//rbsD//argD//nirB//cdd//dadX//gnd//rnpB//astB//cysK//lpxA//nrfB//araA//tdcD//hycD//garR//prs//kbl//trpA//sucC//allD//speC//bioD//abgB//cdd//gutQ//hycG//lsrF//purB//pgaB//xylA//prpD//sodA//nrdF//sdaA//gltA//fadD//nrdA//argG//appA//purF//acnA//malP//sgbU//cadA//entB//metE//deoA//yjeF//citD//gcd//bcsZ//gabT//ynfH//prpD//pdeF//lysA//xdhB//ynfH//paaE//ynfE//miaA//trpE//fucA//aroG//yeaE//nadC//oxc//mutL//gpsA//idnK//ahpC//nirD//hemL//ulaF//alaS//deoD//folA//ilvN//glpB//rnpB//ldtB//lacZ//phnH//glgB//fucU//ugpQ//purL//argI//upp//dmsC//yfbR//gltD//caiA//fau//glpB//bglB//nadC//rutD//entB//nadC//nanE//trpC//lysC//trpA//rutD//avtA//purN//tauD//narH//napC//ansB//sdhC//nadC//tdh//ssuD//fumB//entH//chbF//argE//purN//mutL//dapD//bglB//ulaF//truB//xylB//yfdE//uidA//deoC//malZ//atoD//hyaB//caiD//kbaZ//purF//allE//mhpA//malP//citD//bioC//puuC//avtA//phnI//atoD//cysH//phnH//guaA//cheR//pflB//caiC//bcsA//ldtB//sgbH//mpl//atoA//sucB//glpD//recF//hcp//hypF//folA//prpE//fadB//ilvH//rutD//
ChbR-Monoacetylchitobiose-6P	ahpF//cyaA//glgA//
CpxR-Phosphorylated	cyaA//ulaD//sdaA//purK//pgk//gcd//glpD//carB//metL//dmsC//miaA//serC//lsrF//puuB//puuA//pyrC//gnd//patZ//cpdB//cadA//paaA//aceF//
CreB-Phosphorylated	glgB//nrdF//nadC//
CueR-Ag	rutE//prs//hypB//glcE//
CueR-Cu+	feaB//fucI//nrfD//purF//
CuerR-Au	metC//dusB//pheS//mhpA//
CusR-Pasp	codA//ulaF//cynS//
CynR-Cyanate	nanK//uxuA//sdhB//
CysB-N-acetyl-L-serine	purF//lpd//allD//trpA//cysG//lsrG//malZ//codA//nanE//sdhD//frdB//nanM//cyaA//cysH//dsdA//araD//
CysB-O-acetyl-L-serine	fadA//ilvH//cynS//bioF//metF//ahpF//ogt//paaB//purD//phnM//polA//alkB//lhgO//kbaZ//cysM//cadA//mhpD//
DcuR-Phosphorylated	ahpF//entA//paaA//prpE//
DnaA-ATP	dsdA//oxc//gcvP//alaS//hycD//dmsA//
DpiA-Pasp	pheT//talA//astA//aceB//ssuE//
DsdC-D-serine	gpsA//prpE//
EvgA-Phosphorylated	betA//guaB//cysN//rutE//cysM//
FNR-Fe_reduced	pyrC//metK//purN//treC//guaB//lpxA//dusB//aldA//cysI//cysC//paaH//mhpA//moaA//fucI//napG//sdhA//talA//moaE//sucB//sdhA//codA//ldtC//nirD//ada//ilvE//phnH//citF//cysK//aroH//ackA//nagB//ilvM//glpA//gatD//pgaB//mhpE//ilvG_1//argF//araB//fucO//chbG//cysH//ulaD//tauD//trpC//deoA//frc//sdhC//gcvP//rutD//xapA//tauD//atoA//metL//yiaK//cysH//caiD//mhpC//ogt//tauD//napC//ulaD//xylB//purL//gdhA//lysC//fadI//glcF//hycF//ynfH//xdhC//metB//glgP//aceE//cysM//rhaA//udp//yfbR//nanM//abgA//entB//purB//carA//gcvT//dusB//xylA//nrdD//dmsC//hypF//glpD//pck//aceB//nrfA//gcvP//hpt//nrdA//purC//purD//fadI//cysD//hyaA//xapA//sucD//idnK//fdhF//rdoA//cysH//frc//mltC//narH//bcsB//ulaF//ada//sgbE//yfeW//prpC//pgaD//cysK//ascB//entE//pck//fabZ//cyoE//puuA//ynfG//glpA//puuD//
FhlA-Formate	galT//dsdA//abgA//appA//bcsZ//paaB//astD//
FucR-L-fuculose-1-phosphate	abgA//nadC//glgC//sdhC//edd//prmC//
Fur-Fe2+	pgaB//argI//ldtC//xdhA//udp//hycF//pheS//aldB//lpxD//citX//recF//ubiG//iscS//folA//fadI//umpH//lsrK//malZ//sucB//fumB//mhpD//gatZ//paaK//gnd//ubiC//argA//glpE//abgA//fumB//xdhB//pyrD//guaB//fadE//preT//edd//ilvD//katG//eda//nanE//tam//yfdE//puuA//mltC//ubiG//guaB//agp//entB//polA//hmp//pagP//torC//acnA//mhpB//prpB//caiD//argE//waaH//aspC//glpK//bioF//nirB//galE//dnaE//fadE//fucU//gabD//glgA//ubiA//ubiG//
Fur-Mn2+	ubiC//atoA//tyrA//tam//nanK//tdcD//polA//uvrA//torA//idnD//ispE//edd//aceA//araB//moaA//entD//cynS//glcF//galK//nanE//hpt//tyrA//lysA//hycC//glgB//yjeF//fucO//fes//ulaE//nanE//pgpC//paaI//acnA//bglB//gabT//gabD//ynfE//dnaE//rdoA//frdC//argC//phnM//aroL//aceE//dusB//chbF//citG//glpQ//rbsK//slt//sodB//cysI//glgX//pgaB//astC//gltB//prpE//dgcZ//uxuA//ilvH//trpA//katE//bioC//purF//prpB//dadA//trmD//uvrA//yeaE//
GlcC-Acetate	napC//gcd//phnN//
GlcC-Glycolate	phnJ//tdcG//xylB//
GlrR-Pasp56	
IclR-pyruvate	nrdA//malS//glpB//
IdnR-5-ketogluconate	dgcZ//epd//moaD//glpQ//manA//speC//
IdnR-Idonate	pgaD//bacA//ogt//malS//uxaB//manA//
IlvY-2-acetolactate	astD//
IlvY-Alfa-acetohydroxybutirate	paaI//
