# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	cheR//gutQ//lacA//udp//
AlaS-L-alanine	xylB//
AllS-allantoin	ndh//ilvB//cysC//
AraC-L-arabinose	cysH//fau//cysD//nanA//recF//pyrD//purA//
ArcA-Phosphorylated	glpA//trpD//trpA//nadC//adhE//oxc//pagP//ssuD//cueO//prmC//acnA//atoA//ilvI//pgaD//ybjG//purE//dadX//lpxB//xylA//frdC//galE//tyrA//gcd//lpxB//nrfA//gltA//serC//yfbR//nirD//galK//hypB//metF//bioB//nirB//slt//deoB//ulaF//ilvA//sodB//puuE//idnK//hflX//bioB//puuE//pyrD//metK//sucD//tdcD//aspA//metH//nadC//fucK//gltB//rdoA//hycE//glgB//yfdE//pyrC//ahpF//feaB//astE//ilvH//paaI//caiD//paaA//ynfH//araB//fucO//metL//galT//purB//purC//rutD//ynfH//sdhA//lldD//lsrF//atoD//adhE//hyaB//pheS//caiB//hycG//paaI//atoD//frdB//napA//fabZ//purF//bcsB//ulaD//fucA//cysH//recF//lacZ//chbF//gpsA//
ArgP-L-arginine	mltC//sufS//pyrC//dadX//entA//glpD//uvrA//caiB//napH//ilvI//ampD//
ArgR-L-arginine	lsrK//ogt//dadA//aspC//aceE//chbG//cadA//purL//ssuD//malS//pgk//glgC//fes//rutB//phnM//pgpC//aceB//nrdF//idnD//mtlD//tyrA//sdaA//gcvH//
AtoC-phosphorylated	uxaA//gcvT//gadB//
BaeR-Phosphorylated	uxuB//aroA//
BirA-bio-5-AMP	lpxB//ilvE//dsdA//cysI//speB//
CRP-cAMP	fumC//cheR//astC//acnB//tdcG//lpxA//lhgO//sucC//atoA//cyaA//upp//cyoE//abgB//puuC//alkA//caiD//ispE//dmsC//fumA//garL//dmsB//paaI//glgB//dmsC//bioA//pgpC//truB//xylB//uidA//carA//pgaC//purH//ilvI//ubiG//chbG//tyrB//hpt//ilvM//rhaA//entB//lysC//glgB//ascB//cysH//nrdD//serA//aldB//napC//moeA//moaA//bcsZ//cysD//glgX//nrfD//yeaE//glgC//paaJ//hypB//psd//hyaC//dkgB//dgcZ//pncB//sufS//garL//caiC//dapB//gltB//katG//gatY//cysK//rnpB//acnB//ilvA//dmsA//deoD//tyrA//xdhB//oxc//lsrK//metL//glpX//ftnA//ilvC//ubiA//paaI//cysK//narG//dadA//rbsD//dmsB//gpsA//narI//folE//pdeF//gnd//iscS//purM//cadA//ssuD//rhaD//gatD//amn//dgcZ//galM//pheS//napA//glcB//glgX//allE//purL//dgcZ//torC//caiD//cynT//bioB//ulaD//aceF//yfeW//glpX//nanE//polA//pagP//tauD//guaA//entA//ilvM//phnJ//caiC//pflB//sdhA//nrdA//mhpA//hyaC//citC//paaB//astA//cheB//folA//metK//ilvD//lyxK//ilvE//yiaK//citC//cysD//nirD//manA//ogt//bacA//talA//sucA//paaZ//ftnA//guaA//dmsC//dadA//sgbE//frdD//glpX//dmsB//paaK//patZ//entB//phoA//pyrC//caiC//pncB//mhpB//sodB//speC//dapD//glgB//entD//purB//sufS//frc//yjeF//aldA//purM//purK//purA//entE//phnM//sucD//astE//eda//glcF//entF//bioA//dgcZ//cadA//cynS//pgpC//entD//metF//xylA//psd//citC//nrfB//purK//serC//gcvT//lysU//argF//cysI//sufS//tsaE//ynfH//caiB//ugpQ//yfdE//pck//frdD//uxuB//rhaD//uxaA//ung//aroH//pheT//glgX//talA//ackA//dnaE//phnG//malS//polA//sgbH//folA//bcsA//mpl//recF//rutD//metK//lsrK//pgaD//lpxD//astA//tauD//hemA//glpK//pgaD//cynS//bioA//uidA//lpxB//malY//citX//paaE//ppiA//aroL//argF//idnD//argH//alaA//dapB//gadB//cysJ//trpE//xdhC//udp//aldA//fucO//napG//cysG//metH//lsrG//tdcD//deoC//ldtC//cysK//cysC//aspC//entB//pyrC//ilvG_2//mhpB//nanA//pheT//bglB//xylB//glgX//fucI//cueO//aspA//napC//purA//guaA//nanA//trpA//
ChbR-Monoacetylchitobiose-6P	purL//ispE//trpB//
CpxR-Phosphorylated	astD//frdB//rutC//katG//ubiX//miaA//glpC//astE//ilvM//citC//nirB//hycE//ynfE//hemA//entB//gnd//garR//mdh//fucU//yfdE//lpxD//pgk//
CreB-Phosphorylated	lpxB//narH//abgB//
CueR-Ag	lyxK//ilvE//carA//ilvH//
CueR-Cu+	miaA//purB//fbaA//argH//
CuerR-Au	hemL//glpQ//purC//mpl//
CusR-Pasp	metL//paaG//carA//
CynR-Cyanate	cysH//fumA//aldA//
CysB-N-acetyl-L-serine	idnO//trpC//glgX//sdhA//fadJ//alkB//paaZ//frc//purK//cysN//yiaK//hypF//ascB//mhpB//ahpC//nrdD//
CysB-O-acetyl-L-serine	sdaA//citX//moaE//pgk//yfdE//hpt//ung//cdd//araD//dmsB//metF//gltA//entD//argD//entF//mutL//hyaA//
DcuR-Phosphorylated	galM//ilvE//lhgO//caiB//
DnaA-ATP	frdA//nrfA//pagP//amn//ubiX//glpC//
DpiA-Pasp	lysU//cheB//icd//tam//nanK//
DsdC-D-serine	nrdE//gdhA//
EvgA-Phosphorylated	tsaE//purN//puuD//puuE//purF//
FNR-Fe_reduced	garR//galK//gcvP//puuC//ackA//xdhB//pgk//fumC//uxaA//fadD//ugpQ//dusB//garR//dadA//cyaA//gatD//aroL//garR//mhpC//edd//entA//ilvN//cysG//entA//xylB//guaB//yeaE//ada//tktB//uxaA//mutY//pta//idnO//dmsC//puuB//hemA//psd//hyaB//preT//sucD//atoD//pheS//hemA//amn//caiD//hycE//gcd//carA//ilvN//dmsC//glcF//ahpF//chbG//tnaA//argA//chbG//agp//fadI//rhaB//abgA//entE//argE//rhaA//ilvC//pgaD//glnA//fumC//nanA//carA//uxuB//phnO//gltD//napB//purL//lldD//aspA//tdcG//frc//avtA//nrdB//napB//ackA//cysJ//hpt//mhpB//puuA//fucI//alaA//puuD//alaS//yqjH//bioF//dkgB//purB//sdhD//preT//purK//citC//aldA//ynfH//ansB//fucO//guaB//oxc//aspC//aldB//ilvD//deoA//miaA//bglB//kbl//mutL//pgpC//napC//astA//fumC//cadA//purE//lldD//dmsB//phnL//deoD//mhpB//alaS//paaA//alkB//fadE//
FhlA-Formate	yeaE//sucC//alkA//aceA//tehB//trpA//hypB//
FucR-L-fuculose-1-phosphate	pheT//entD//ahpF//hflX//puuC//alkB//
Fur-Fe2+	purF//argG//frdB//acs//tauD//ugpQ//entB//moeB//lsrG//napA//pck//tdh//phoA//entB//dmsC//garL//epd//folE//aldA//paaH//hyaC//nrfC//rhaD//tyrB//nrdB//malZ//gntK//nrfC//nanK//cdd//ssuE//gutQ//napH//astC//napB//lysU//yqjH//chbG//cyaA//lsrG//gpsA//dapB//astC//argH//atoB//rutD//cysD//aspA//nagB//hflX//hycF//chbG//cysG//nanK//zwf//lsrG//napB//amn//ampD//glpQ//ahpF//speB//adhE//argF//cysK//guaB//hyaA//patZ//mhpD//
Fur-Mn2+	paaB//ilvG_1//cysH//fucA//citC//napH//malS//mdh//frdA//hypF//hpt//gcvH//sdhD//fadA//rdoA//chbG//pgaC//phnP//nirB//aldB//trpD//ulaD//trmD//bcsZ//sucD//pyrD//epd//eda//pgaB//glgX//ilvG_1//gutQ//idnK//fumA//alaA//galT//trpE//mtlD//cysD//ulaF//patZ//aroF//tdcB//murQ//napG//bcsZ//pheS//nanA//acs//alkB//nirB//garR//cdd//gnd//ung//xapA//yfbR//astA//tdcD//ubiA//napC//gntK//paaG//chbG//caiB//acnA//sdaA//icd//yjeF//
GlcC-Acetate	moaA//mhpF//trpC//
GlcC-Glycolate	nrdB//tam//mtlD//
GlrR-Pasp56	
IclR-pyruvate	recF//fumA//aroA//
IdnR-5-ketogluconate	bioA//fbaA//garK//dmsB//lysC//iscS//
IdnR-Idonate	icd//fadD//ampD//manA//prpD//fadD//
IlvY-2-acetolactate	edd//
IlvY-Alfa-acetohydroxybutirate	lysC//
IscR-2Fe	bioC//aspC//nanK//paaZ//nagA//bioF//aceB//
LldR-L-lactate	serC//gltD//
Lrp-Leucine	napC//mhpD//kbl//lldD//prpB//bioB//fucU//fucO//aceF//tnaA//speA//ftnA//aceE//waaH//gcvT//bcsA//hcp//aceE//uxuA//ssuE//argC//bioD//idnK//fumB//pheT//ugpQ//gabD//cadA//gadB//sufS//eda//cysC//bioC//hcp//speC//aldA//gutQ//sgbH//ispE//
LsrR	ilvD//atoA//puuD//agp//glpB//
MalT-ADP-Maltotriose	idnO//gntK//ilvG_1//gcvH//dapD//guaB//
MalT-Maltotriose-ATP	speA//fadD//uxaC//ilvI//yjeF//nrdB//
MelR-Melibiose	cysG//atoD//
MetJ-S-adenosylmethionine	dapD//fadH//tyrA//glcB//alkB//hyaB//purD//fadI//sodA//fucA//
MetR-L-homocysteine	xylB//idnD//uxaA//idnD//
MhpR-3-DHPP	phnI//preT//cysJ//yfdE//nrdE//narG//
MhpR-3HPP	gabT//bioA//pck//ilvA//rutA//yfbR//
MntR-Cd2+	gabD//yjeF//
ModE-MoO42-	pgpC//pgaC//pgaD//lysU//fadA//pyrC//glcD//garL//entA//bcsZ//alaS//pnp//chbG//gcvP//
NarL-Phosphorylated	xdhC//napH//metH//recF//deoA//phnM//glgA//ilvD//pflB//speA//aspC//rutA//caiC//lpxD//sdhD//katE//sufS//amn//rutC//carA//hyaC//lpxD//metH//metH//ssuE//caiB//malP//trpE//malZ//rutD//entD//folA//fadH//moaA//codA//fabZ//pta//cysK//
NarP-Phosphorylated	gltA//garK//idnD//metK//betA//pnp//paaJ//entA//tsaE//entD//argH//
NhaR-Na+	nrdF//atoA//speB//cysH//paaH//
NikR-Cd2+	fucU//
NikR-Co2+	feaB//
NikR-Cu2+	talA//
NikR-Ni2+	hycG//
NikR-Zn2+	ackA//
NrdR-ATP	cheR//argC//purK//chbF//
NrdR-Zn2+	bioA//pnp//folA//ynfG//
NrdR-dATP	avtA//trpA//metF//paaG//
NsrR-2Fe	fadJ//lysU//uxuB//icd//ilvA//glcE//ftnA//ackA//lpxB//torC//paaH//pdeF//purC//dapD//hycB//araA//rhaB//prpB//uxaC//umpH//sdhA//sucA//moaD//pflB//sgbH//acs//carB//speC//ynfE//tdh//
PhoB-Phosphorylated	xylA//alaA//galK//ldtB//aroL//ilvC//aceB//fumA//bcsB//sgbH//xdhB//citD//pck//glcB//bcsA//ynfE//ascB//caiC//thrS//rbsK//
PhoP-Phosphorylated	cysG//puuB//folE//galM//bioB//napC//malZ//talA//ulaD//prpD//lysA//ynfF//guaA//sdhB//slt//rhaA//pck//astE//uidA//gltA//cysN//glpD//amn//purN//hcp//ilvM//bglB//serC//araA//hycE//talA//gcd//glgB//paaE//katG//
PrpR-2-methylcitrate	alaS//purE//uxuA//tsaE//
