# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	ilvC//fumB//glcF//cyaA//
AlaS-L-alanine	xdhB//
AllS-allantoin	lpxA//serC//katG//
AraC-L-arabinose	uvrA//citC//rdoA//serA//purE//miaA//aspC//
ArcA-Phosphorylated	mltC//edd//fadJ//moeA//hypF//alaS//nrdB//ackA//araA//puuC//ndh//nrfA//folE//epd//trpB//sdhD//caiA//lacZ//entD//entE//yeaE//hpt//glgC//uidA//rutB//yiaK//cheB//ahpF//lpxB//ndh//ubiG//ilvI//sucA//feaB//entE//phnP//ansB//lysA//caiA//cyaA//atoB//mdh//glgX//glpA//paaB//sucC//carB//fucO//narG//nanM//hyaA//ybjG//hemA//yfbR//hyaA//paaC//aldA//adhE//mhpA//narH//purM//pdeF//allE//metH//fucU//pta//xdhA//cynS//ssuE//psd//aroH//metL//nrdE//glgP//recF//mtlD//fabZ//paaJ//trpC//citD//sdaA//patZ//argH//cyoE//gadB//speC//glcE//fucO//frdB//aceF//purN//oxc//prmC//abgA//argE//xdhB//hycB//
ArgP-L-arginine	bioD//xylA//cheB//acs//deoB//prpC//gatY//dadA//yeaE//moeB//gadB//
ArgR-L-arginine	metB//acnA//nrdD//cyoE//galE//fumA//glnA//prpC//galT//argG//allC//caiC//psd//fadA//manA//appA//ada//moeB//glcF//atoD//guaB//cysD//trmD//
AtoC-phosphorylated	acs//moaE//paaI//
BaeR-Phosphorylated	astC//yfeW//
BirA-bio-5-AMP	paaB//glcB//tauD//araD//galK//
CRP-cAMP	cheB//fumA//entA//frdB//citX//pdeF//glgX//mutY//fucU//alkB//ilvA//dadA//nrfC//slt//hcp//betB//ilvC//citF//amn//xylB//tdcD//psd//ahpF//paaC//gadB//cheB//oxc//entA//mpl//cynS//lysC//nagB//nirD//garK//glgB//rhaA//phoA//astB//astC//malP//yqjH//metA//fucA//garK//trpB//pta//cpdB//argB//glpC//phnN//aroL//thrS//lacZ//paaH//pck//ilvM//caiD//polA//ahpC//ada//cueO//ppiA//ldtB//rutB//dapB//lsrK//speA//cysI//narI//tehB//ppiA//entF//nrfA//glgC//nrdB//tdcD//preA//fucI//appA//citE//napC//cysJ//entD//fadI//treC//citD//bcsB//paaC//ubiC//dnaE//glgC//bcsZ//aspC//nrdF//sgbE//lpxB//gatY//abgB//hycC//glcF//uxaC//glgA//bioB//glcD//lhgO//pck//dusB//gltA//aceE//mhpD//gabT//napC//cyaA//astB//fadD//entF//paaE//upp//ulaE//purC//glyA//napA//ilvG_2//alaS//frdD//nrdB//cysC//hypF//lldD//yfdE//melA//bcsZ//galE//ilvE//folE//trpC//glpB//eda//abgA//deoC//yfbR//paaC//cysK//gdhA//betA//nanA//aldB//treC//hycB//treC//cadA//glgB//gutQ//folE//aroF//dgcZ//moaE//aroG//purA//folE//gcvT//mdh//prpD//fadD//ulaF//appA//dkgB//cysK//puuB//fadE//aroG//glcE//ldtC//ubiG//fucU//paaG//glpQ//ilvG_1//frdA//fbaA//prpE//aroG//acnB//ynfF//metE//bioC//sdhC//aceE//hcp//napB//entH//purH//ilvN//nadC//ogt//puuE//ilvD//nrfB//ilvC//pgaC//paaC//acnA//tnaA//citC//sodA//bglB//metA//citE//cdd//udp//kbl//aceB//ung//chbG//dmsA//sucA//prs//frdA//aceA//purC//aceA//fadJ//purL//nirB//hycF//dapD//speA//folE//manA//sgbE//frc//glpB//sdaA//dnaE//metF//yiaK//metL//deoC//cdd//nagB//metH//fadJ//uvrA//ackA//manA//alkA//mhpB//amn//rutB//pheS//citE//ubiX//dusB//mhpC//entC//cyaA//tdh//cysN//mhpD//cueO//hpt//napG//phnL//gatD//argD//mltC//paaI//fumC//entD//cyoE//aldA//adhE//moaE//deoD//torA//argH//codA//puuA//pyrD//glnA//mhpA//ilvM//tdcD//glnA//gatD//sdhD//kbaZ//treC//oxc//paaC//
ChbR-Monoacetylchitobiose-6P	fumA//garL//aceB//
CpxR-Phosphorylated	malS//idnD//hycF//napG//cynS//lsrK//ubiG//oxc//ulaE//rutC//bioB//araD//nanK//gadB//gcvH//dmsC//pheT//hypF//fadE//nrdB//ppiA//paaF//
CreB-Phosphorylated	fumA//speC//puuB//
CueR-Ag	entH//prmC//lsrK//pagP//
CueR-Cu+	aspC//dadA//nadC//torC//
CuerR-Au	hycE//puuB//nirB//rhaA//
CusR-Pasp	citD//paaE//mhpE//
CynR-Cyanate	fadJ//serC//narI//
CysB-N-acetyl-L-serine	pgk//paaA//edd//idnD//nanM//fadE//entE//oxc//garR//ilvG_1//purM//tktB//gabT//tam//uvrA//xdhC//
CysB-O-acetyl-L-serine	fumA//tktB//katE//moaD//fadJ//lysU//paaB//glpK//edd//fadA//puuB//ldtC//tdcE//ulaF//astB//ilvI//dadX//
DcuR-Phosphorylated	napH//galE//idnD//entD//
DnaA-ATP	moaE//alaS//xdhC//phnI//ilvH//ilvA//
DpiA-Pasp	glpQ//gltD//frdA//purL//waaH//
DsdC-D-serine	dadX//acnA//
EvgA-Phosphorylated	gutQ//hyaA//ansB//ugpQ//sufS//
