# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	gatY//gdhA//glpD//ilvN//
AlaS-L-alanine	rutE//
AllS-allantoin	yfeW//glpX//paaC//
AraC-L-arabinose	tdh//xdhA//ilvM//sdhC//truB//nrdE//pgaC//
ArcA-Phosphorylated	speA//acnA//paaB//paaZ//lacZ//dapD//agp//fumC//abgB//purF//dapD//aroA//oxc//uxaB//paaA//acnA//phnO//aspC//xdhA//pflB//bacA//cysC//purL//ilvG_1//tdh//dadA//paaE//metH//adhE//araA//ftnA//araB//purB//guaB//phnL//metB//pheS//talA//idnD//ilvG_1//deoA//paaA//ybjG//mtlD//narH//sgbE//nanM//frdB//preA//bcsZ//glcE//acnA//trmD//aceE//glcB//tdcD//pflB//sgbH//argB//fumC//allE//polA//nirB//agp//deoB//mhpD//frc//sucD//ilvB//rutA//hemL//hyaB//sdhB//ilvB//glcF//treC//rutA//bioD//truB//ilvM//hycC//xdhB//bcsA//pdeF//gntK//ugpQ//alaA//hemA//aldB//ubiA//mhpA//zwf//aceE//prs//tsaE//phnM//araB//
ArgP-L-arginine	cyaA//bacA//ubiC//phnL//rnpB//allC//argI//glpX//agp//sufS//ynfE//
ArgR-L-arginine	sucB//appA//hmp//tauD//dnaE//cysG//aspA//phnN//gpsA//ilvH//nanA//argB//galT//thrS//phnO//preA//gadB//sucA//lysA//cysK//mhpF//lsrF//pgaD//
AtoC-phosphorylated	fbaA//cpdB//glpX//
BaeR-Phosphorylated	frdA//hycE//
BirA-bio-5-AMP	acs//paaF//fadD//citG//ynfF//
CRP-cAMP	acnB//deoA//purN//paaE//bioB//sucD//paaJ//tdcG//cueO//lsrF//puuA//entH//glpQ//allE//lpxD//glpB//abgB//mutL//fadJ//rhaB//metL//hflX//ulaD//fucU//cpdB//chbG//ampD//eda//prpC//astC//ssuE//tnaA//fumA//cysG//allD//pflB//nanK//pgaB//frdC//mhpA//metB//pgaD//oxc//dgcZ//cynT//citG//nanK//pta//tadA//phnJ//cynS//fucU//metA//ilvG_1//tdh//ubiX//purM//allE//argA//lacZ//trpD//aspC//glpK//phnJ//pgk//napH//bioC//ldtC//citG//fadJ//mhpF//nrdD//fumA//dmsA//mutL//trpA//pagP//hyaA//aroG//uxaC//cysN//allE//nagA//entF//purF//pyrD//sucC//tadA//bglB//fadI//rutE//preT//phnG//purH//mhpB//pdeF//purN//gatD//feaB//tehB//aldA//ackA//tnaA//nagB//frdC//oxc//napH//phnI//ispE//fadB//nrdE//hycE//metH//paaE//metE//purA//gltD//cpdB//mhpB//phnP//paaG//argG//citE//phoA//metE//deoD//lysU//nrdA//phnN//paaE//nrfB//dmsB//sucD//rutE//alaA//psd//narH//purA//aroA//nagB//psd//ampD//sufS//ilvG_1//glcE//manA//pyrC//alkA//araA//xdhB//pta//ilvM//sufS//xdhA//betA//tnaA//puuE//abgB//aldB//fdhF//polA//ahpC//yfeW//prs//ubiX//cpdB//rutC//fumB//nrfC//lysC//pagP//slt//xdhC//bioF//pyrD//glgB//lysC//alaA//gdhA//metL//paaJ//alkA//cysC//gcd//torA//phnJ//fucU//yeaE//avtA//amn//bcsB//paaI//garL//bioC//idnO//napB//dusB//ugpQ//gntK//hycB//eda//glgA//dusB//epd//pdeF//alaA//dsdA//torC//patZ//ascB//rbsD//lyxK//trpE//speB//patZ//cheR//lldD//purA//sdhA//uxuB//sucB//fau//nrdA//fadI//hemL//paaH//abgA//ahpC//galT//trpA//bioF//lacA//tdcB//acs//agp//ynfF//allC//trpD//recF//nanE//fumC//bcsZ//aroG//ldtB//umpH//metL//rutD//speA//sdaA//bcsB//xapA//eda//guaA//uxaB//cdd//ilvA//tyrA//bcsZ//cheR//preT//glpD//nrdA//argB//serC//gatD//nrdD//trmD//aroL//pflB//frdA//aceF//folA//tktB//pgaD//prpE//serC//pgk//glgA//fadA//mltC//dmsA//ilvH//acnB//rbsK//gatZ//psd//serA//caiC//citD//hemL//
