# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	ilvA//ynfE//sdaA//xdhB//
AlaS-L-alanine	purE//
AllS-allantoin	malZ//thrS//ubiG//
AraC-L-arabinose	katG//glpX//lysC//ssuD//pflB//astA//cysD//
ArcA-Phosphorylated	uvrA//iscS//fumB//acnA//prpD//carB//nrfA//argA//cynS//malQ//nrfA//gdhA//fabZ//sgbE//ubiA//citG//pgk//ung//glgP//ulaF//entD//astE//dmsA//caiB//tyrA//metL//glpC//purE//rhaD//phnG//feaB//hycG//fucO//purA//alaS//gatY//dsdA//malQ//feaB//fucI//metB//rdoA//pck//hycE//nrfD//xdhA//narG//idnO//purD//dnaE//gabT//rbsK//glpC//uidA//garR//caiC//phnJ//bcsA//dkgB//ilvH//pgpC//betB//hyaA//bioC//uvrA//cpdB//speC//serA//narH//paaF//aspA//hycB//dadA//argD//argH//gatZ//argF//cysD//rnpB//ilvA//hycC//glpQ//tdcB//argG//guaB//guaA//appA//mhpA//rutD//hycB//araD//bcsZ//melA//rbsK//cysN//atoB//trpB//
ArgP-L-arginine	fadA//cyaA//rutB//upp//napC//frdA//pgaC//ubiX//lpxB//pheT//alaA//
ArgR-L-arginine	cysM//gntK//deoB//purK//paaG//lsrF//astA//tnaA//mhpD//lpxA//trmD//metF//lyxK//purA//bcsB//tdcD//citF//pgaB//oxc//manA//hycD//rhaB//ilvB//
AtoC-phosphorylated	glgA//rbsK//araA//
BaeR-Phosphorylated	lyxK//idnK//
BirA-bio-5-AMP	astB//pgaB//folA//glpD//cysM//
CRP-cAMP	nanE//nirB//pyrD//ssuE//aspA//trpD//nanE//astA//guaB//glpB//sgbH//manA//galK//nanA//puuC//gcd//sucB//eda//lacA//moeB//lysU//phoA//deoA//argF//aspA//tyrB//chbF//cynS//puuA//glcD//pgpC//metL//ilvD//torA//glcD//pagP//hyaC//ynfH//gcvH//speA//narG//nrfD//gltB//bioC//ugpQ//cueO//sdhC//moeA//recF//frdD//tdh//cyaA//pagP//sdhD//tauD//aceE//glcB//phnM//xapA//glgP//rhaA//fucO//glgB//rutE//dkgB//ynfH//pyrD//hemA//mtlD//phnI//nrfA//moeA//nirB//lyxK//speA//yeaE//mutL//trpC//cheR//folE//gcd//garK//gutQ//phnN//waaH//fadH//ubiC//prpC//ulaF//moeA//caiA//ahpC//pncB//yfeW//uxaC//yfdE//sdaA//lacA//nagB//lpxB//dadA//sgbH//napB//ftnA//upp//abgA//bioD//nrdA//glpE//sufS//galE//folA//sdhD//tyrB//argA//dgcZ//sodA//hycC//waaH//udp//entA//aldA//nrdF//aceB//astA//puuC//puuE//uvrA//citG//mhpE//glpX//fadE//lsrF//puuB//allD//purN//narI//garR//ynfG//bioB//bioD//thrS//entF//purN//acs//paaZ//tdh//pgaB//upp//gntK//lpxA//gcvH//folE//hycB//gatZ//nanE//prs//gpmA//torA//malY//talA//nrfB//kbl//malS//upp//cdd//dusB//glcF//aceE//phnG//uvrA//uxuB//napC//entC//pagP//pnp//ung//gpmA//prs//sdhC//tyrB//metK//codA//acnA//allE//garR//ulaF//ssuD//deoD//mltC//lysC//trpA//glpQ//ilvH//galK//pgaD//rutA//gutQ//gatD//serA//nrdF//paaI//prpD//glpK//nrfA//pgpC//ynfH//pgpC//mdh//metB//tsaE//fadE//yqjH//gcvP//nagB//ilvG_1//cueO//aceA//galK//garL//glnA//miaA//dmsB//fumA//phnI//aspC//glyA//malS//amn//uvrA//entC//sdhA//tdcB//rnpB//abgA//ackA//aspA//metK//tktB//oxc//argG//deoD//gntK//frdB//nrdE//araD//entF//rutD//yfeW//tktB//nrdF//tnaA//yqjH//ulaD//frdD//yfbR//zwf//uxaB//avtA//cysJ//napH//fadI//nrfD//ilvD//cysM//carA//metA//ubiG//nanM//nagA//trmD//fau//entH//glpK//lpxB//atoA//paaI//dadA//serA//gatD//ilvE//gadB//glgP//yfdE//hyaC//sdhD//dmsC//icd//yiaK//cueO//
