# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	nirD//carA//zwf//ynfF//
AlaS-L-alanine	bioC//
AllS-allantoin	gltA//xapA//xapA//
AraC-L-arabinose	ahpF//sdaA//fumC//tsaE//puuE//gcvT//phnM//
ArcA-Phosphorylated	nanE//araD//aceB//aceE//tnaA//moaE//betA//caiB//manA//entA//cpdB//codA//entC//yfbR//preA//malS//rutC//atoD//yfbR//sodB//tyrB//glpB//tdh//ilvE//glcB//rhaD//bcsZ//idnK//hcp//garL//tdcG//puuA//paaB//recF//uxuB//hycF//gcvT//chbF//lacA//yjeF//puuA//pta//glpA//moaD//ilvG_1//alaA//acnB//paaC//sdhC//puuA//sucC//phnO//aldA//paaJ//purK//hycF//citG//aroL//puuE//glnA//mhpC//idnK//purE//ynfG//dapB//purL//bacA//slt//folA//yqjH//glpK//citC//idnK//fumA//citF//tdcB//ulaE//purA//citE//entA//acnA//sodA//alaS//bcsZ//metE//sdhB//appA//hyaC//ssuE//lpxD//ilvC//napB//mhpA//fumA//ahpF//cysH//pdeF//
ArgP-L-arginine	mtlD//hycG//malP//tktB//glgC//nrfC//frdC//tsaE//mhpA//gpmA//acs//
ArgR-L-arginine	hpt//ynfH//puuD//garL//nrdB//phnO//lysC//tdcD//bcsB//pagP//paaJ//dnaE//idnO//purE//puuB//allE//frdC//aceA//ilvH//trmD//yfbR//fucU//dadX//
AtoC-phosphorylated	prs//fadD//moaE//
BaeR-Phosphorylated	caiA//purN//
BirA-bio-5-AMP	napB//miaA//alkB//prs//gadB//
CRP-cAMP	uxaC//tadA//speB//nrdD//hypB//hycF//glpC//napA//galT//lpd//hycG//ilvH//phnP//nrfD//fadD//rdoA//cysM//purM//narH//trpC//lldD//ulaD//chbF//puuE//aspA//torC//aroG//entH//waaH//aceF//fadJ//paaE//ahpF//araA//bacA//lsrK//hpt//xdhB//nrfD//yqjH//astB//nanK//patZ//carB//uxaA//ynfG//yfbR//hemA//argH//lpxA//betB//metB//narI//yjeF//rutE//patZ//ndh//ulaE//torC//acnA//cysM//metE//citC//tauD//serA//ilvH//abgA//metF//pgk//lsrG//gabT//deoB//dapB//lysC//argC//torA//iscS//glgA//mutY//bioC//slt//yeaE//sdaA//atoB//prpE//gatD//ynfE//ulaE//aroH//nanM//caiD//gltA//gatY//ybjG//gcvH//mhpF//serA//citD//folE//gntK//metE//gcvT//paaK//torC//uxaA//glpA//yeaE//edd//moaD//bcsZ//gcvH//purH//napB//malY//ybjG//narG//gutQ//napC//fadB//nrdD//entC//rutD//phnJ//glcB//thrS//argC//nirB//recF//pheS//argG//rutA//astC//rhaA//paaI//speC//betB//lpxB//sodB//carA//puuE//kbaZ//nrfD//ynfF//malP//nanA//argC//yiaK//glcB//metE//dmsC//ugpQ//ssuE//pta//phnH//argH//amn//mhpE//cysC//tyrA//gntK//caiD//napA//narG//paaH//dusB//ansB//nanE//talA//argI//frc//argG//entA//rnpB//deoB//atoD//ndh//hemL//purE//cheB//nrfC//aroL//dadA//fadE//ilvH//gpmA//moaE//fucI//dkgB//ulaE//hpt//caiC//ulaD//deoA//nrdD//xylB//idnD//rhaA//ssuD//fadI//bcsB//purD//bcsA//phnN//garL//entH//alkA//betA//cysJ//tdh//ahpF//tam//trpA//dmsB//carA//prmC//metF//paaI//bacA//araD//deoA//malP//avtA//hcp//bioB//speA//mhpB//hypF//prs//fadI//sucA//pheT//pncB//yjeF//idnO//melA//agp//hycC//ilvG_1//ilvG_1//napC//sodB//hmp//bioA//argB//hmp//fadA//sodB//glpE//sgbU//rnpB//bacA//mpl//glpA//cynS//phnH//moaE//ilvA//allC//aroA//ilvH//dmsA//rhaB//phnN//prpC//rdoA//sgbH//ubiA//tadA//garR//ilvG_1//purK//iscS//glgA//kbl//metE//folA//nrdB//lpxA//gcvP//treC//prs//xapA//mhpB//glyA//ilvD//glcD//betB//aldA//lsrG//appA//
ChbR-Monoacetylchitobiose-6P	lldD//speB//ada//
CpxR-Phosphorylated	fabZ//malY//astD//argF//gpsA//nrdD//epd//tauD//nanM//araD//gcd//caiB//ssuD//waaH//gatD//caiC//uxaC//sodA//galM//speB//oxc//upp//
CreB-Phosphorylated	alkB//pagP//entE//
CueR-Ag	malP//ilvG_1//aroH//moaE//
CueR-Cu+	citF//metC//rhaA//bioC//
CuerR-Au	speC//paaI//prpD//moeB//
CusR-Pasp	ulaD//lysA//glpA//
CynR-Cyanate	hemL//lyxK//gpsA//
CysB-N-acetyl-L-serine	rutC//rutA//uxuA//dmsC//caiA//torA//trpE//talA//hpt//glpC//fumC//ilvG_2//oxc//hemL//thrS//icd//
CysB-O-acetyl-L-serine	pncB//yfeW//ugpQ//atoA//lsrK//nrfC//amn//paaI//entB//caiA//patZ//trpD//trpB//sgbH//phnH//rutE//sucC//
DcuR-Phosphorylated	cysG//gcd//ybjG//cysJ//
DnaA-ATP	argI//glpB//bioC//entF//fadD//hycE//
DpiA-Pasp	recF//nagA//atoA//glpX//lysC//
DsdC-D-serine	adhE//paaF//
EvgA-Phosphorylated	malY//metA//sgbE//glgP//umpH//
FNR-Fe_reduced	frdC//glpQ//hycB//rutC//lysC//pflB//nagB//appA//cyoE//atoB//gatD//entB//glcF//paaC//uxaC//ilvE//paaK//paaJ//astC//rhaB//nirB//amn//metE//torC//malY//fucK//fumB//lysC//aroF//rnpB//rutA//cpdB//ilvE//guaB//xylA//trpC//metH//rbsD//trmD//ada//fadJ//prpD//tsaE//argG//hycC//uvrA//betA//hycC//purL//garR//bioD//moeB//nrdF//galM//glpA//araD//epd//ampD//katG//purD//betA//mhpB//hypB//fadI//purD//caiA//prpC//gpmA//sdaA//fucA//rutC//rnpB//astD//waaH//nanK//purH//truB//ulaD//cysG//deoA//ndh//fumA//frdA//bioF//carB//nirB//lhgO//citX//bioA//glpA//gcvT//paaI//sufS//pncB//treC//rutC//aroH//agp//aceF//cysK//talA//cynS//idnD//nrfC//torC//narG//metE//cheB//glgB//pncB//avtA//sgbU//alkA//argI//dadX//nadC//bioF//ilvN//psd//fadE//ulaD//abgB//recF//torC//cheB//astB//purF//
FhlA-Formate	avtA//atoA//aldB//hemA//miaA//citE//phnL//
FucR-L-fuculose-1-phosphate	bioF//rnpB//citG//garK//malQ//sdaA//
Fur-Fe2+	uxuB//argI//idnD//cheR//cadA//phnG//fumC//nagA//pgpC//hcp//napB//aceB//rbsD//napB//amn//yfdE//slt//paaJ//argA//phnJ//cynS//pflB//gcvH//ackA//sucC//dsdA//puuE//ackA//purK//narI//puuD//chbF//rbsD//manA//trpE//puuE//paaC//yfeW//tdh//pyrC//cpdB//galM//cysM//slt//guaA//cpdB//fucI//tyrA//trpE//alaS//rhaD//gpmA//bcsB//mpl//nrfC//napA//acs//fdhF//amn//garR//gatY//ilvG_1//pflB//lysC//purE//ilvA//alkB//narH//prpB//
Fur-Mn2+	atoA//glpB//pncB//galE//yfeW//uxuB//nrdA//tam//miaA//uxuB//phoA//entC//prpE//ndh//fumB//paaH//folA//entC//glpB//preA//glcF//prmC//napB//ada//pgaC//hcp//mutY//hmp//srlD//chbF//entF//metF//chbF//aceB//dsdA//lysU//narG//gpmA//aldB//phnG//pgaD//fucK//gcvT//gntK//nirD//gpsA//dadX//yjeF//hypB//yeaE//gatY//abgA//yfeW//glgA//glgA//glpK//hycC//tdcE//hyaB//caiA//napG//acs//astE//thrS//phnL//glpC//pgaC//galM//fadD//
GlcC-Acetate	lyxK//aspC//glpQ//
GlcC-Glycolate	rutA//rutE//nagB//
GlrR-Pasp56	
IclR-pyruvate	hpt//fucA//tyrA//
IdnR-5-ketogluconate	katG//hemA//pgaC//ilvH//patZ//bioD//
IdnR-Idonate	purM//moaA//fucO//hycE//glgX//lsrG//
IlvY-2-acetolactate	glgA//
IlvY-Alfa-acetohydroxybutirate	umpH//
IscR-2Fe	malP//nrdD//cysI//cysC//fadD//aspA//pagP//
LldR-L-lactate	gatZ//citC//
Lrp-Leucine	abgA//nrfA//mhpE//bglB//ssuE//dmsA//glcF//gpsA//sodA//polA//metC//tktB//aceB//ilvA//rutE//sucB//lysC//pta//phnG//uxuA//paaJ//trpD//preA//frdC//trpA//bioD//malY//nrdA//fadH//narH//torC//ampD//prpC//entD//ilvH//argE//ilvM//paaG//chbF//
LsrR	citX//hycG//amn//aroA//astE//
MalT-ADP-Maltotriose	entE//cysG//pgaC//pck//deoA//gabD//
MalT-Maltotriose-ATP	gntK//astE//tdh//mhpF//fbaA//yfbR//
MelR-Melibiose	ynfH//polA//
MetJ-S-adenosylmethionine	entH//tktB//hemL//rnpB//metC//prpC//napC//tauD//paaG//lpd//
MetR-L-homocysteine	gatZ//puuB//pgpC//nanK//
MhpR-3-DHPP	chbG//hypB//aceE//tyrB//fabZ//gdhA//
MhpR-3HPP	cysJ//ascB//napB//melA//citX//argD//
MntR-Cd2+	dgcZ//napB//
ModE-MoO42-	gabT//lpxD//rhaD//cysK//hyaA//gpmA//fucO//hemA//prs//metA//napH//tauD//xylB//pgaB//
NarL-Phosphorylated	cheB//metF//paaJ//nanE//gntK//tdh//kbl//nrdE//dmsA//paaC//treC//sdaA//gcvH//trpC//oxc//hycC//prpC//cysJ//hmp//entE//mhpD//paaH//glgA//acnB//xylA//sucB//cheB//mhpB//pagP//talA//nrfD//hyaA//xdhC//fucO//gcvT//nanM//cysC//bcsZ//
NarP-Phosphorylated	melA//paaH//aceE//aroF//ugpQ//gltD//rnpB//napG//nrfD//sdhB//codA//
NhaR-Na+	galT//bioA//nirB//folE//melA//
NikR-Cd2+	katE//
NikR-Co2+	nanK//
NikR-Cu2+	hyaC//
NikR-Ni2+	metH//
NikR-Zn2+	purH//
NrdR-ATP	napB//tktB//glpA//mhpF//
NrdR-Zn2+	argF//iscS//ubiX//moeA//
NrdR-dATP	ascB//sodB//phnM//dmsB//
NsrR-2Fe	dkgB//prpC//torC//bcsA//cyoE//gapA//tdcB//mhpA//betB//prmC//phnP//purM//glgX//miaA//ackA//glgP//glgC//abgB//trpE//galK//yfdE//malZ//hycG//prpC//lysC//pheS//lldD//tsaE//fumB//napH//
PhoB-Phosphorylated	bglB//upp//lysC//pdeF//edd//astC//prpE//abgB//garK//iscS//prpD//recF//ppiA//bioC//atoA//tadA//gltB//deoD//glcE//sodA//
PhoP-Phosphorylated	gltA//rhaA//pck//cysI//ilvC//sucC//kbl//purK//ilvA//ulaF//gpmA//ynfG//sodB//hyaB//nrfB//purM//uxuA//mtlD//purF//purL//ldtC//cheR//purM//glpD//ynfF//umpH//metK//treC//pyrC//moaD//aldB//purH//citD//napH//cysM//
PrpR-2-methylcitrate	entF//nadC//atoD//folE//
PurR-Guanine	bglB//deoD//tdcG//citX//betB//metL//paaZ//aspC//sodB//uxaC//garL//argA//tyrA//ackA//hycF//sgbU//glgB//purN//pta//gutQ//astA//glpE//cysH//argI//entB//tam//citD//
PurR-Hypoxanthine	serA//allC//ada//xdhC//cyoE//glgA//frdC//frdD//glpB//katE//dsdA//acnA//alaS//phnH//cysJ//hycC//rhaD//deoC//gntK//cynS//alkA//alaS//rhaA//murQ//argH//cheR//fes//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	sdhD//lpxB//hypF//glcF//
RstA-Phosphorylated	bioF//prmC//uxuA//
SoxR-2Fe_oxydized	umpH//tyrA//
TorR-Phosphorylated	cysG//ybjG//guaB//
TrpR-Tryptophan	treC//napC//miaA//ilvB//hycF//yjeF//sdhC//betB//pnp//
TyrR-L-tryptophan	rnpB//argH//treC//kbl//mhpE//purA//preT//moaE//uxuB//
TyrR-Phenylalanine	uxaB//lldD//trpB//hycG//appA//rhaD//hemL//cysC//ubiC//
TyrR-Tyrosine	ada//citX//argA//aroL//nrfC//gcd//frc//pdeF//rhaA//
UhpA-Phosphorylated	aspA//
XapR-xanthosine	rutB//recF//
XylR-Xylose	hycC//pgaB//trpC//
ZntR-Cd2+	preA//
ZntR-Hg	cueO//
ZntR-Zn2+	trpD//
ZraR-Phosphorylated	
Zur-Zn2+	ansB//
