# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	truB//gutQ//oxc//nrdF//
AlaS-L-alanine	pheT//
AllS-allantoin	rbsK//paaG//rhaA//
AraC-L-arabinose	tdcE//ilvG_1//ybjG//nrfB//tdcG//ung//lyxK//
ArcA-Phosphorylated	dmsB//ybjG//glnA//uxuB//bacA//entH//trmD//paaZ//malS//mhpB//metE//speB//bcsZ//thrS//argI//xylA//dgcZ//hycC//ssuD//argA//fucK//dnaE//prpC//glgB//ldtC//pck//moaD//moeA//idnD//paaH//bioA//tdcE//frdD//puuC//gpmA//dadX//gatY//hemL//ansB//xdhB//argF//ilvN//ilvI//nanA//malP//glcB//napH//nirD//napC//fumA//idnD//tyrA//cysM//moaE//aspC//hyaB//gcd//metC//argA//bioD//trpB//araB//nrdA//ppiA//folE//aceB//abgA//rutD//metE//dnaE//tdcD//guaA//amn//caiD//mhpD//paaF//malP//bioF//katE//mhpE//garK//ogt//trmD//fadI//argE//recF//pdeF//garR//hyaA//cynS//ilvG_1//bcsZ//thrS//gadB//ldtB//cpdB//deoC//
ArgP-L-arginine	dkgB//sdhB//cysJ//gapA//srlD//mhpE//hcp//ldtC//fucO//cysC//folA//
ArgR-L-arginine	iscS//ilvH//yfdE//gltD//speC//ada//paaB//pncB//ubiA//lyxK//paaE//mhpB//alkA//prpE//sucA//cysC//yjeF//fadI//glnA//chbG//tdcD//hemA//glpE//
AtoC-phosphorylated	glpQ//lsrK//paaA//
BaeR-Phosphorylated	frdB//dapD//
BirA-bio-5-AMP	rutD//galM//cynS//lhgO//xylA//
CRP-cAMP	glyA//mhpC//slt//tyrB//araB//serA//paaI//bcsZ//nrdA//cheR//paaA//pgaD//puuC//atoD//citX//mdh//ilvD//allE//ldtC//cysH//sucA//malY//ahpF//sodA//tam//araD//purA//cysK//malS//astD//sucB//ynfF//lyxK//purD//fdhF//galK//sgbU//paaI//rbsD//gutQ//entE//purL//aceA//katE//sucD//metL//cyoE//paaF//dmsA//ilvM//gnd//sodB//pgaB//astA//frc//puuB//ilvG_2//aroH//paaC//aldB//gltB//tdcB//fadE//speA//ulaD//bioB//lacZ//citD//psd//astA//hpt//nrfB//speA//moeA//alkB//recF//folE//cheB//rhaB//caiA//bglB//mpl//serA//moeA//pgaD//nagB//garR//purH//araD//ampD//glpC//gpsA//bacA//citF//tsaE//alkB//astD//aldA//trpC//oxc//appA//ispE//paaA//cysM//pgaB//phnI//pheS//talA//nrdF//astD//pgaB//cheR//paaF//caiC//betA//glpB//garK//prs//purA//carB//puuB//torA//ahpC//tdcG//betB//paaF//dmsA//glpC//sdhD//phnI//dapD//gnd//pgaC//chbG//glpX//purB//galK//sgbU//napB//mhpC//lyxK//nrfA//paaF//citE//mtlD//hyaA//trpE//nirB//ackA//nagA//nrdF//cysC//phnO//gnd//srlD//garR//rhaD//mltC//rbsD//frc//preT//betB//sdaA//ynfH//sdhC//ssuD//purK//betB//rutE//fadD//argI//bcsZ//metH//cheR//hyaA//metK//yfdE//gcvP//prpB//pdeF//hemA//araD//sucD//prpD//deoA//araA//udp//rhaA//bacA//araB//sdhA//glgC//paaK//idnD//nirB//lsrK//gutQ//hflX//mutY//tdcG//glgB//lsrF//ahpF//entC//paaI//purB//idnO//galM//cysM//alaS//mhpF//entF//waaH//aldA//glgB//astA//gltA//sdhA//sucC//lysU//purB//paaB//rutB//pgpC//purE//caiB//argE//entB//eda//bioD//rhaA//lpxB//yiaK//pflB//ansB//yqjH//moeA//garL//ada//sgbE//ansB//nrdD//argA//moeA//pdeF//lysU//aroG//feaB//ubiX//malZ//entE//pgaD//paaJ//kbl//citF//prpE//astC//ftnA//fadD//gpsA//ldtC//slt//rutD//frdB//aceB//lpxA//torA//gutQ//aceE//paaE//fumA//trmD//aroF//lsrG//malY//trpC//ispE//ilvI//galK//guaB//speB//hypB//ilvC//aldA//nrfD//entF//purF//ung//metE//nanA//
ChbR-Monoacetylchitobiose-6P	pagP//xylB//narI//
CpxR-Phosphorylated	sucA//paaC//uvrA//allC//phnI//folE//cysD//bacA//tyrB//glgP//sdaA//aceF//fumC//astB//puuA//glpA//narG//malZ//moeB//rutD//bcsA//fadE//
CreB-Phosphorylated	ahpF//purE//glpQ//
CueR-Ag	cpdB//citF//sucC//gutQ//
CueR-Cu+	rdoA//lysC//mtlD//fumC//
CuerR-Au	metB//pgaB//waaH//cpdB//
CusR-Pasp	pagP//bioF//entA//
CynR-Cyanate	gatZ//gltA//lyxK//
CysB-N-acetyl-L-serine	uxuA//glcD//phnO//purC//phoA//pgaC//mhpE//purN//cyoE//astE//polA//pyrC//hemA//truB//rhaD//lpxB//
CysB-O-acetyl-L-serine	rutC//argE//purE//sucB//mhpD//glgB//pck//abgB//nrdA//rutB//hycB//cysN//deoA//ppiA//cheB//truB//paaK//
DcuR-Phosphorylated	cysG//tdcE//oxc//betA//
DnaA-ATP	tehB//nadC//cadA//hpt//trpA//ilvE//
DpiA-Pasp	galK//murQ//nrfC//dsdA//lpxD//
DsdC-D-serine	bcsB//xapA//
EvgA-Phosphorylated	ulaE//glgX//uidA//yfeW//bcsB//
