# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	moeB//phnP//dmsA//cysC//
AlaS-L-alanine	nrfD//
AllS-allantoin	tdcG//fbaA//aroA//
AraC-L-arabinose	dadX//cheB//atoB//phoA//napA//cysM//entD//
ArcA-Phosphorylated	paaZ//slt//sgbU//malZ//hycD//oxc//phnL//fucI//aceA//speA//yqjH//fumC//gdhA//argA//betA//entH//citC//ascB//guaA//pta//lysU//moeA//gnd//ada//prpC//carB//tnaA//puuC//ssuD//paaF//bioD//araD//paaG//uxaA//ilvH//lysC//glcE//moaA//manA//ahpC//gatY//mpl//torC//feaB//paaI//glpD//lhgO//argI//rutE//udp//glgB//phnL//dusB//argE//iscS//tdcE//hyaC//malY//caiA//mltC//caiA//mdh//bglB//ynfE//purC//puuA//amn//cheR//lldD//frdC//ascB//tsaE//tsaE//psd//thrS//metC//srlD//ppiA//idnO//rhaA//narH//mhpB//mhpB//gltB//alaA//fbaA//gatD//moeA//pyrC//phnL//hflX//lacA//purB//napC//nrfC//aspA//fucU//
ArgP-L-arginine	phnI//ynfE//yeaE//entA//aspC//argE//gcd//nrdE//cheR//sodB//citC//
ArgR-L-arginine	ilvA//ilvD//cysI//tnaA//mtlD//dsdA//waaH//xdhA//metK//metK//alaS//lsrK//fadD//sucD//lacZ//glgC//preA//abgB//ubiG//fadD//pgaB//mhpA//sufS//
AtoC-phosphorylated	icd//entF//idnO//
BaeR-Phosphorylated	galK//purM//
BirA-bio-5-AMP	xdhA//mhpC//glgC//dkgB//frc//
CRP-cAMP	purK//rutA//gapA//malP//nagB//nirB//purE//frdA//phnI//entE//hypB//gapA//rutD//fumA//pgaB//paaF//pck//acnB//ilvD//cadA//bioA//bcsB//tktB//aldB//gabT//argD//nanA//astA//adhE//puuD//glcD//serA//ilvC//appA//glpK//hmp//pdeF//feaB//gatZ//hycF//cysK//narH//cdd//aroH//ilvM//ilvM//mpl//frc//udp//galT//folE//hycF//fadA//serA//mdh//gabD//aldB//bacA//gapA//lpxA//citE//codA//astB//hycG//tadA//ahpC//metC//udp//hyaB//mpl//araA//glcB//glgP//glpQ//aroH//citF//argC//ubiC//ubiG//napH//napB//gltB//metE//frc//ilvI//fadH//speC//bioB//idnD//gltB//torC//hyaC//ndh//galK//recF//serC//dmsC//sucC//rhaB//nrfA//phnJ//pck//aroG//avtA//citF//sufS//moeA//argI//gcvP//waaH//bglB//prpD//sucB//ansB//cysI//gadB//xdhB//ilvG_2//dadX//trpA//mtlD//ssuD//fbaA//talA//allC//phnH//udp//narI//glnA//nirB//nrdB//sucD//phnP//hemL//rutC//mhpB//paaA//lysU//kbl//atoA//lysU//carA//glcB//argA//ascB//aroG//gpmA//rhaD//kbl//narG//uxaC//tdcG//cysJ//alkB//paaF//tyrA//avtA//pnp//pdeF//narG//dmsA//ldtB//xdhB//tauD//alkA//trpE//ung//nanK//phnI//dkgB//dapD//aroF//ilvE//alkA//ilvB//oxc//prpC//paaE//ulaE//nrdD//gcvP//glpQ//fadD//moaA//hypF//paaB//gcd//purH//hcp//epd//argA//pnp//hemL//phnO//puuD//hemA//nanA//hyaA//nagB//astD//dapD//amn//ampD//gadB//ilvG_2//paaE//araB//rutE//carA//lsrG//napH//fadD//tdh//malS//pdeF//cysM//araA//cysN//preA//gnd//atoA//gnd//torA//ascB//ndh//ilvI//ulaF//ubiC//talA//prpB//sucD//nrfB//ppiA//guaB//frdC//fucK//citG//ilvH//speC//argI//bioB//cdd//hycF//gcd//trpD//kbaZ//ulaD//hcp//hyaC//galM//bcsZ//glnA//tdcD//agp//tdcE//prpD//lpxD//hpt//truB//atoB//tsaE//astB//dsdA//cysD//purF//bioA//tktB//nadC//caiA//ilvH//dapB//trpC//rutE//katG//frdB//phnI//dapB//ilvH//astC//lysA//yiaK//pncB//fumB//dgcZ//fumB//pyrD//hypF//aceA//dadA//xdhB//
ChbR-Monoacetylchitobiose-6P	bcsA//pck//lacZ//
CpxR-Phosphorylated	aceE//ilvD//idnO//araD//carB//purF//bcsB//nagA//kbl//ubiG//bacA//avtA//xylB//gapA//glpB//astE//purM//alaS//tsaE//yfeW//acnA//yfeW//
CreB-Phosphorylated	bioB//cyaA//ulaF//
CueR-Ag	guaA//lsrG//gltD//allC//
CueR-Cu+	uvrA//ssuD//tauD//moaA//
CuerR-Au	patZ//hycC//hflX//zwf//
CusR-Pasp	kbaZ//metE//bacA//
CynR-Cyanate	bcsB//entD//nagA//
CysB-N-acetyl-L-serine	aldB//tyrA//bcsA//entE//puuB//nrdB//malP//narI//napH//pheT//araB//narH//argF//xylA//cysJ//trpE//
CysB-O-acetyl-L-serine	abgA//argA//gcvT//nrdB//nanA//cueO//gcvT//glpX//sdaA//sucD//nanE//ubiG//yjeF//nrfC//tdcD//folE//phnP//
DcuR-Phosphorylated	ilvA//hypF//aldB//kbl//
DnaA-ATP	carB//ilvG_1//dmsA//xapA//aroA//hycE//
DpiA-Pasp	preA//rdoA//mpl//ulaD//glcD//
DsdC-D-serine	ascB//fdhF//
EvgA-Phosphorylated	tam//prs//fadH//tdcE//pgaD//
FNR-Fe_reduced	aroG//entD//glcB//abgB//aroL//fes//lysU//argA//purF//phnI//citD//sgbH//katE//atoA//slt//astA//purE//idnO//miaA//alaS//dmsA//aldA//moeA//alaS//appA//yeaE//gapA//gcd//phnI//nrfB//nanA//psd//katG//deoD//dusB//entF//miaA//acs//phoA//ynfG//fbaA//uxuA//astA//tnaA//trpC//fumA//uxaB//lhgO//atoD//nanM//tehB//fbaA//uxuA//rdoA//ahpC//ftnA//phnI//ahpC//galE//melA//nrfA//glpB//cheB//mpl//ilvN//lldD//umpH//lacA//cpdB//carA//lldD//narI//frdB//glyA//hflX//mhpE//aroA//cysH//gcvP//ldtC//metA//fbaA//tam//gutQ//rbsK//katG//pgaC//cyaA//nanK//metA//cysC//gatD//mtlD//hypB//trpC//fabZ//pgpC//paaE//cueO//ulaE//tnaA//gatZ//glgC//udp//cysI//paaI//acnA//dmsB//caiC//rhaB//cueO//gapA//glgP//mdh//puuD//caiD//nrfB//fbaA//hflX//citE//aceB//acnB//malS//rhaB//sdhB//bcsA//phnG//
FhlA-Formate	purE//uidA//pnp//gnd//argH//nirB//nadC//
FucR-L-fuculose-1-phosphate	rutA//sgbH//argG//rutC//ybjG//argI//
