# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/golevels_of_random_sets_v2.pl on Wed Oct  3 03:59:08 2018
# Using: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/random_sets_smgns/random_simple/
# Percentages of genes of same set are in: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/results/random_gos/percs/simple_random_perc.txt 
# Columns= Group name
# Rows= Random set
	AcrR	Ada	AgaR	AlaS	AllR	AllS	AlsR	ArcA	ArgP	ArgR	ArsR	AscG	AsnC	BasR	BirA	BluR	BolA	CRP	CdaR	CecR	CpxR	Cra	CreB	CsgD	CueR	CynR	CysB	Dan	DhaR	DicA	DnaA	EvgA	FNR	FadR	FeaR	Fis	FlhDC	FliZ	Fur	GadX	GcvA	H-NS	HU	HcaR	IHF	IlvY	IscR	KdpE	LeuO	LexA	LrhA	Lrp	LysR	MalT	MarA	MatA	McbR	MetJ	MlrA	MngR	MntR	MprA	MqsA	MurR	Nac	NadR	NagC	NanR	NimR	NsrR	NtrC	OmpR	OxyR	PaaX	PepA	PgrR	PhoB	PhoP	PspF	PurR	RbsR	RcdA	RclR	RcnR	RcsAB	RcsB	RcsB-BglJ	Rob	RutR	SdiA	SgrR	SoxS	SutR	TorR	TrpR	TyrR	UidR	UvrY	XapR	YdeO	YjjQ	YpdB	YqhC	ZntR	ZraR	Zur
ran_1.txt	NA	3	6	NA	3	7	4	NA	NA	3	3	NA	NA	NA	5	9	9	3	7	NA	3	3	NA	3	5	4	3	3	7	3	NA	3	3	3	NA	3	3	NA	3	5	9	3	NA	3	4	4	4	3	4	3	NA	3	NA	NA	NA	4	NA	NA	5	5	NA	8	NA	NA	4	4	4	NA	NA	3	3	5	4	NA	NA	4	3	7	NA	3	NA	5	9	NA	7	4	5	NA	NA	NA	5	7	NA	NA	4	7	NA	NA	NA	6	7	NA	7	NA	NA	9
ran_10.txt	NA	8	3	NA	4	6	5	7	7	3	NA	NA	NA	NA	4	3	7	3	4	3	3	3	NA	3	NA	4	3	4	6	7	NA	4	3	3	NA	3	3	NA	3	4	NA	4	NA	8	3	4	4	5	3	3	NA	3	NA	NA	NA	NA	NA	5	6	3	NA	3	NA	NA	5	3	3	NA	NA	3	3	4	3	9	NA	3	3	3	NA	3	NA	4	3	NA	4	9	5	NA	NA	NA	4	4	NA	NA	7	9	NA	NA	7	4	3	NA	NA	NA	NA	4
ran_100.txt	NA	NA	4	NA	5	3	3	NA	4	3	8	NA	NA	NA	5	5	8	3	5	3	3	3	NA	8	6	4	6	4	3	3	7	3	3	3	NA	3	3	NA	3	4	8	3	NA	5	5	5	8	3	3	3	NA	5	NA	NA	10	NA	NA	3	4	3	NA	NA	NA	NA	4	5	3	10	7	3	3	9	4	NA	NA	4	3	3	NA	4	NA	5	4	NA	5	4	3	NA	NA	NA	3	8	9	NA	3	4	NA	6	NA	NA	5	NA	NA	NA	NA	3
ran_11.txt	NA	4	4	NA	3	NA	3	8	3	3	NA	NA	NA	NA	6	3	NA	3	7	8	3	3	NA	4	3	4	3	5	5	3	NA	3	3	8	NA	3	3	NA	3	3	9	3	NA	4	3	4	5	10	6	3	NA	4	NA	NA	9	NA	NA	4	3	8	NA	4	NA	NA	7	7	4	NA	4	3	3	4	4	8	NA	6	3	3	NA	5	NA	8	6	NA	NA	9	4	NA	NA	NA	3	4	NA	NA	4	5	NA	7	9	NA	3	NA	NA	NA	NA	4
ran_12.txt	NA	3	4	NA	5	8	5	NA	4	5	9	NA	NA	NA	4	3	NA	3	4	3	3	3	NA	4	NA	4	5	6	NA	3	NA	3	3	3	NA	3	3	NA	3	3	NA	3	5	3	4	NA	4	9	5	3	NA	3	NA	NA	4	4	NA	4	3	5	NA	4	5	NA	10	NA	5	NA	4	3	3	5	3	NA	NA	4	3	3	NA	3	NA	4	6	NA	4	4	3	NA	NA	NA	7	8	7	NA	4	NA	NA	NA	9	NA	3	NA	NA	NA	NA	5
ran_13.txt	NA	6	3	NA	4	6	3	NA	NA	3	NA	NA	NA	NA	4	8	3	3	5	3	3	3	NA	3	7	7	3	3	9	5	NA	8	3	3	NA	3	3	NA	3	3	7	3	4	3	3	5	3	9	4	3	NA	3	NA	NA	4	NA	NA	9	5	4	NA	7	NA	NA	3	NA	3	6	9	3	3	3	3	9	NA	8	3	4	NA	3	NA	4	8	NA	3	9	3	NA	NA	NA	5	7	4	NA	5	8	NA	NA	8	6	4	NA	NA	NA	NA	5
ran_14.txt	NA	3	3	NA	5	4	7	8	8	8	4	NA	NA	NA	7	NA	NA	3	4	5	3	3	NA	5	NA	5	3	3	5	4	4	4	3	7	NA	3	3	NA	3	3	NA	3	3	3	4	NA	3	4	4	3	NA	3	NA	NA	3	9	NA	4	8	3	9	9	NA	NA	4	9	3	6	4	3	3	3	3	4	NA	5	3	5	NA	3	NA	3	3	NA	8	9	5	NA	NA	NA	5	4	5	NA	5	7	NA	9	NA	9	4	NA	5	NA	NA	5
ran_15.txt	NA	6	3	NA	3	4	5	NA	3	4	3	NA	NA	NA	4	7	5	3	3	3	3	3	NA	3	NA	4	4	5	NA	4	8	4	3	4	NA	3	3	NA	3	3	NA	3	6	3	4	NA	7	4	3	3	NA	4	NA	NA	9	4	NA	5	4	5	9	8	NA	NA	4	7	4	NA	7	3	3	7	4	5	NA	5	3	3	NA	4	NA	6	4	NA	3	7	4	NA	NA	NA	6	4	4	NA	5	4	NA	NA	NA	4	5	NA	NA	NA	NA	4
ran_16.txt	NA	9	3	NA	3	NA	3	NA	4	4	NA	NA	NA	NA	7	3	NA	3	4	6	3	3	NA	3	NA	5	3	3	3	4	6	6	3	7	NA	3	3	NA	3	3	7	3	7	6	3	NA	3	NA	3	3	NA	4	NA	NA	9	NA	NA	4	4	6	4	6	NA	NA	3	7	3	NA	NA	3	3	5	3	NA	NA	8	3	3	NA	3	NA	NA	4	NA	3	6	3	NA	NA	NA	4	7	6	NA	3	4	NA	8	NA	NA	3	NA	NA	NA	NA	4
ran_17.txt	NA	6	6	NA	3	7	3	NA	6	3	8	NA	NA	NA	5	6	8	3	4	4	3	3	NA	3	NA	8	3	3	8	4	NA	5	3	5	NA	3	3	NA	3	7	6	3	NA	4	8	3	4	7	3	3	NA	3	NA	NA	7	NA	NA	6	5	9	7	3	NA	NA	4	6	5	NA	NA	3	3	4	3	3	NA	4	3	3	NA	3	NA	4	NA	NA	4	4	3	NA	NA	NA	6	5	6	NA	3	5	NA	5	NA	8	3	NA	4	NA	NA	8
