# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	murD//sodA//
Ada	sucB//nirB//dgcZ//murE//
AdiY	ssuD//uvrC//gcvT//phnL//
AgaR	pncB//
AidB	fbaB//
AlaS-L-alanine	glcF//
AllR-allantoin	acnB//glgP//dacC//fabG//dacC//ddlB//
AllS-allantoin	xylA//guaB//mazG//
AlsR	hcaF//hycF//ygeA//
AppY	prpB//dapB//
AraC	gor//ilvH//xapA//
AraC-arabinose	purE//argE//astC//hycB//srkA//fdhF//deoC//lacZ//
ArgP	pagP//leuD//pgaD//mhpE//narI//tyrB//mhpC//gnd//
ArgP-arginine	frdB//
ArgR-L-arginine	tdcE//treC//treC//puuD//alaC//pepD//rutD//paaK//puuD//araA//sgbE//metB//prs//nanE//cynT//moaA//sgbE//ubiA//fadB//sbcD//gltD//trpD//speB//
ArsR	puuC//ubiC//
AscG	garD//argG//
AsnC	sbcD//citF//
AtoC-Phosphorylated	narG//purA//lpxC//
BCCP	tnaA//
BaeR-Phosphorylated	argI//umpH//
BasR-Phosphorylated	bioA//luxS//rffG//
BetI	fbaA//ynfH//udp//
BirA-biotinyl-5-adenylate	sdhA//betA//speA//rffH//alkA//
BluR	
BolA	mraY//fdhF//
BtsR-Phosphorylated	trpE//
CadC	tehB//argA//murI//
CaiF-L-carnitine	recD//yeaE//pflB//nagA//cdd//
Cbl	bacA//rutB//glxR//aroH//hcp//
CdaR	fabH//wzb//fadM//yfdE//fadE//ycjG//metF//nanE//ribA//
CecR	polB//
ChbR	glyA//gatY//moeA//
ChbR-N-monoacetylchitobiose-6-phosphate	malY//nrfC//hyaB//
ComR	
CpxR-Phosphorylated	dmsA//ychF//fadH//argD//narH//paaI//gadA//moaA//dacC//aroG//ssuE//pgaD//citD//ldtC//dsdA//dapD//recB//phnL//nagA//pfkA//acnB//
Cra	cysJ//alkB//ssuD//argB//uvrB//srlD//nirB//dhaM//cysG//lpxD//ndh//uxuA//tyrA//cysD//lhgO//galK//fucK//ilvC//gloA//napH//metF//torA//bioF//treC//fabD//ynfE//bioF//sufS//sucB//astA//hycE//cynS//lacA//nagA//argE//ttdB//yqjH//prpC//waaH//lyxK//hmp//fabG//aroG//tadA//frdC//acnB//codA//dapD//fucA//dsdA//aceA//rbsD//mhpB//tdcB//ruvB//pdeR//kbaZ//argA//trpC//
CreB-Phosphorylated	garD//moaD//
CsgD	ahpC//srlD//glnA//pheS//lhgO//
CsiR	asnB//pepD//nrdD//entH//
CspA	fbaA//
CueR-Cu	rnpB//lysU//cysG//aroF//caiA//
CusR-Pasp	glxR//tdcD//araD//phnO//
CynR	
CynR-cyanate	rffG//srlD//pgi//
CysB	bioB//ndh//
CysB-O-acetyl-L-serine	wecB//argB//dadX//malS//entE//nagA//waaY//sbcD//metA//nemA//tdcG//hycB//speB//aroH//nanE//
CytR	ppsA//moaD//sgbE//pnp//guaA//lacA//torA//icd//ynfG//cdd//
Dan-L-tartrate	pdeH//allE//
DcuR-Phosphorylated	nfsA//poxB//umpH//malQ//
DeoR	alkA//xylB//citE//entA//nfsA//sbcC//
DhaR	metK//
DicA	
DinJ-YafQ	paaK//
DnaA-ATP	fabI//eno//fabB//poxB//prpB//avtA//
DpiA-Pasp	fadD//dkgB//kbl//srlD//moeA//
DsdC-D-serine	nagA//pck//
EbgR	
EnvR	relA//uxuA//
EnvY	amn//galK//
EvgA-Phosphorylated	trpD//mtlD//psd//deoD//allE//ulaD//
ExuR	phnH//purH//metE//entC//guaB//pyrD//
ExuR-alpha-D-galacturonate	
FabR	lpd//malQ//citE//
FadR	fucO//serC//ahpF//tdh//idnO//murE//puuE//kbaZ//paaE//mtlD//argC//nagA//entE//cysH//sucC//rtcB//ubiX//umpH//fucI//
FadR-acyl-CoA	
FeaR	yfdE//pdeR//
FhlA-formate	fadI//trpA//sodB//frdC//xapA//hemH//alaS//murC//
FlhDC	paaA//serA//phnO//udp//mazG//ydcS//ndh//mdh//ung//gor//cyoE//phnP//uxuA//aroH//
FliZ	rbsK//paaC//nrfD//araD//metE//
FucR-L-fuculose-1-P	idnD//sdaA//fruK//alaC//adiA//dadX//
Fur-Fe2	cueO//tdcG//gcvH//prpD//aroG//mhpE//xylB//hycE//glsA//fumC//gutQ//fabI//fabB//prpE//trpC//ilvD//phnH//cysJ//murG//glyA//glgX//hemL//nanE//sdhA//pgm//ssuD//caiB//deoD//ppc//tauD//ada//aceE//wzb//allA//rutC//malQ//sucA//uxaB//poxB//ascB//moaA//rhaD//hycG//bioC//ppsA//alaC//argB//dkgA//aldA//mhpE//phnL//moeB//xapA//ulaD//mpl//gatY//aroL//dgcC//moeB//frdC//idnK//lysU//
GadE	hcp//mngB//guaA//sucD//pgaD//nemA//pagP//ydcS//glyA//moeB//
GadE-RcsB	sbcD//glcB//rffC//aroH//purN//
GadW	frdB//argI//ynfG//cdd//
GadX	garR//fadH//metL//wzb//cysD//glxR//talA//amn//ygeA//hyi//dgcC//moeB//ada//gudD//
GalR	citG//nfsA//psd//asnB//pgi//fucA//
GalR-beta-D-galactose	avtA//dgcN//ppsA//aceB//aroL//
GalS	aroA//tauD//tyrB//srkA//eno//eda//
GalS-beta-D-galactose	sucA//phnN//sdaA//murI//glgC//
GatR	nrfA//mpaA//fabI//
GcvA	recD//appA//tauD//
GlcC-glycolate	fadJ//gltB//metA//
GlpR	alaS//relA//mpaA//rutC//wrbA//speG//garK//
GlrR-Pasp56	
GntR	tadA//galE//ampC//mnmG//folE//metC//cdd//tpiA//hcaD//
GutM	metA//paaC//caiB//
HU	glgC//puuB//narH//napG//deoD//nirD//speG//
HcaR	
HcaR-HCA	citC//dgkA//
HdfR	
HigA	tdcB//
HigB-HigA	fabA//
HipAB	narH//gcl//
HipB	paaJ//murE//kbl//
HprR-Phosphorylated	araA//prpE//ribA//citD//
HyfR	moaD//
HypT-Met-oxidized	tadA//yedX//nfsB//araB//galE//lsrK//argA//
IclR-pyruvate	cyoE//fadE//murD//
IdnR-5-ketogluconate	lysU//fucK//allD//glpQ//caiC//
IlvY	
IlvY-S-2-acetolactate	sucD//
IscR	phr//epd//guaA//glgB//puuA//murE//
IscR-2Fe-2S	pagP//xylA//
KdgR	rffM//uxaA//
KdpE-Phosphorylated	paaB//
LacI	pgaC//amn//purA//
LeuO	deoA//fabA//glxR//fabB//ilvI//ada//
LexA	tam//sbcC//psd//nadA//pgk//pdeR//glpA//napA//sufS//ilvG_1//oxc//acnA//mhpB//moaE//tadA//ycjG//torC//gpmM//ndh//ampC//nanM//lpd//dhaL//
LldR	carB//rffT//
LldR-S-lactate	lysA//purD//
LrhA	
Lrp	cysN//galT//carA//ilvC//aroL//cysG//glpA//sucB//rutD//allA//ilvH//gcvH//accD//uxaC//cysD//lsrG//metK//hycD//lhgO//ulaD//mpaA//wzc//puuB//phnJ//ccp//puuD//glpB//hypF//paaB//purE//tdcB//
