# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mpaA//glk//
Ada	galE//tyrB//trpD//entA//
AdiY	melA//glpD//napH//puuE//
AgaR	nadB//
AidB	hyaA//
AlaS-L-alanine	argE//
AllR-allantoin	garK//dmsA//rbsK//metK//uxuB//murQ//
AllS-allantoin	lysC//kbaZ//ppiA//
AlsR	sodB//prpD//malS//
AppY	malP//purD//
AraC	lldD//codA//ulaD//
AraC-arabinose	wzc//sbcD//phnJ//caiD//dgcZ//frdD//wecC//pck//
ArgP	hyi//pheT//ppiA//mngB//entC//ldtD//dhaM//speB//
ArgP-arginine	mtlD//
ArgR-L-arginine	trpB//aroA//allE//yqhD//paaH//yeaE//rnpB//pflB//dmsC//fbaB//prpE//dapB//aroH//nadA//melA//rnpB//sdhD//kbaY//citG//ycjG//rfe//ilvC//pgaC//
ArsR	trpA//nanK//
AscG	pgm//ulaD//
AsnC	deoB//yeaE//
AtoC-Phosphorylated	glk//paaZ//dgcZ//
BCCP	glpD//
BaeR-Phosphorylated	rsmH//rpiB//
BasR-Phosphorylated	gatD//gntK//dapB//
BetI	pnp//mnmG//tdcE//
BirA-biotinyl-5-adenylate	uxaC//malY//betB//yedX//aldA//
BluR	
BolA	fabH//ldtC//
BtsR-Phosphorylated	napG//
CadC	kbaZ//hycF//paaH//
CaiF-L-carnitine	sdhD//phnO//ppsA//gudD//torC//
Cbl	nrdF//fabA//pyrC//rutE//adiA//
CdaR	sdhB//fabB//ynfH//srkA//argD//cdd//purF//mdh//serC//
CecR	deoC//
ChbR	asnB//pgm//rffC//
ChbR-N-monoacetylchitobiose-6-phosphate	rutD//rfe//glpD//
ComR	
CpxR-Phosphorylated	phnO//hyaB//araD//gutQ//deoD//dgcZ//gdhA//gor//rffH//purL//glcD//moaC//fadI//garL//metL//narI//sdaA//puuE//sgbE//ung//uvrA//
Cra	aldA//yeaE//lpxC//ynfG//atoA//astE//hcaB//fabA//narG//sbcC//gpmM//paaF//galE//ampC//ampC//tnaA//atoD//idnO//ssuE//rsmH//malS//aroF//hycF//phnP//paaG//purB//bioA//idnK//dgcN//ampC//nrfD//rtcA//mltF//phnM//nanM//aroF//nanM//galT//accC//idnO//dhaK//fadH//grxA//hycF//pdeL//mazG//mhpE//metA//srlD//prpB//fabG//amn//alaS//hcaB//galE//moeA//sodA//tdcE//pepD//
CreB-Phosphorylated	paaG//aceF//
CsgD	dmsA//ampC//dmsA//gapA//ampC//
CsiR	frc//arsC//nemA//glgC//
CspA	fadI//
CueR-Cu	umpH//cadA//tdcE//ribA//trpD//
CusR-Pasp	wecE//ilvE//dmsC//ppiA//
CynR	
CynR-cyanate	glpK//paaB//pdeH//
CysB	trpC//speA//
CysB-O-acetyl-L-serine	pyrC//caiC//phoA//dgcN//citE//citG//napH//astD//feaB//rpiB//galT//glcF//cysG//hycE//fabI//
CytR	galM//chbG//aroH//aspC//alaS//gapA//prpE//glpC//purL//sgbE//
Dan-L-tartrate	entD//gor//
DcuR-Phosphorylated	cdd//puuD//murQ//fes//
DeoR	deoC//gcvH//argA//araA//sdaA//ada//
DhaR	rnpB//
DicA	
DinJ-YafQ	glmU//
DnaA-ATP	gabT//speG//sdhB//pck//paaF//tktB//
DpiA-Pasp	cysD//purA//rbsD//pspE//aceA//
DsdC-D-serine	ldtC//accC//
EbgR	
EnvR	kbl//purL//
EnvY	ycjG//ttdB//
EvgA-Phosphorylated	speB//fucK//prpB//ahpF//fucK//luxS//
ExuR	paaZ//fbaA//paaA//yfdE//paaA//ribA//
ExuR-alpha-D-galacturonate	
FabR	puuB//uxaB//citD//
