# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	hycE//dhaL//
Ada	ahpC//purN//ynfE//cysI//
AdiY	lacA//fadD//mpl//gdhA//
AgaR	nfsA//
AidB	pdeR//
AlaS-L-alanine	mdh//
AllR-allantoin	mhpD//fabB//gabT//moaE//narG//fau//
AllS-allantoin	pck//deoC//moaE//
AlsR	purH//fucI//astE//
AppY	glpK//xapA//
AraC	ampC//ung//glgB//
AraC-arabinose	sdhB//rfe//xapA//cysG//astC//rutE//rutB//tdcB//
ArgP	hycB//glgA//purL//argB//hycC//trpA//fes//fadH//
ArgP-arginine	dadX//
ArgR-L-arginine	fadH//ugpQ//carA//frdD//yiaK//nfsA//glnA//phnO//garR//dapB//fes//rhaA//hyaB//astE//deoA//speG//fadH//fumC//edd//phnP//rbsK//murC//kbaZ//
ArsR	cynT//fabB//
AscG	gcl//gatD//
AsnC	tnaA//frdD//
AtoC-Phosphorylated	entC//idnK//amn//
BCCP	fadB//
BaeR-Phosphorylated	dacC//tehB//
BasR-Phosphorylated	argG//ribA//ldtB//
BetI	garL//pgpC//hypF//
BirA-biotinyl-5-adenylate	dadA//lyxK//phnL//epd//sucC//
BluR	
BolA	mhpA//purM//
BtsR-Phosphorylated	glgC//
CadC	pdeH//citF//kbl//
CaiF-L-carnitine	mazG//hycE//sgbE//lpxC//fadB//
Cbl	rsmH//alkB//ppc//cadA//tam//
CdaR	nirD//frdB//fabA//cueO//fucK//rsmH//ssuD//nemA//hycG//
CecR	nanA//
ChbR	garR//leuA//alaS//
ChbR-N-monoacetylchitobiose-6-phosphate	ahpC//dhaM//phnP//
ComR	
CpxR-Phosphorylated	glsA//mhpD//accD//yeaG//fucA//umuC//cysH//wecE//fucK//phoA//garL//ilvD//araA//nagB//gatD//puuC//sgbE//mhpD//lpxA//ulaG//sgbE//
Cra	fes//citC//sbcC//yedX//tktB//argA//aroG//fabZ//feaB//sdhA//zwf//leuA//yeaG//rtcB//prs//glgX//argA//idnO//talA//mhpC//fabG//truB//cynS//araD//fabA//purA//icd//ychF//dgcZ//srlD//rbsK//eno//pgpC//grxA//truB//aceF//yeaE//gcvH//pdeR//bioA//edd//gcvH//pykF//ruvB//bioD//hycC//glgX//cadA//atoB//lpd//dmsA//speG//ruvA//putA//glk//pdeR//yqjH//speB//lyxK//
CreB-Phosphorylated	gltD//hycC//
CsgD	deoD//ybjG//nrdE//malY//psd//
CsiR	gadB//allC//metL//ubiX//
CspA	ubiA//
CueR-Cu	gltB//phnP//avtA//glgP//ilvC//
CusR-Pasp	deoC//rpiB//recF//fadA//
CynR	
CynR-cyanate	paaZ//ssuD//gcl//
CysB	fadI//umuC//
CysB-O-acetyl-L-serine	glpQ//lpxD//codA//hcp//nirB//gadB//pdeR//fabZ//hycF//paaY//fabI//argA//codA//purD//nirD//
CytR	gcvH//frdB//phnN//metK//recB//fadD//rtcB//glpQ//astC//fucA//
Dan-L-tartrate	dgkA//ynfG//
DcuR-Phosphorylated	moeA//sodB//moeB//pflB//
DeoR	srlD//deoB//ahpC//yiaK//lsrK//tdcE//
DhaR	paaJ//
DicA	
DinJ-YafQ	prs//
DnaA-ATP	bioC//dadX//glcE//nanA//ynfE//gutQ//
DpiA-Pasp	fadA//ung//cueO//moaD//mngB//
DsdC-D-serine	dhaL//metH//
EbgR	
EnvR	dapB//eno//
EnvY	mhpA//glk//
EvgA-Phosphorylated	araD//lpxC//nagB//serC//moeB//gabD//
ExuR	ampC//hcp//fes//cysD//ldtB//trpA//
ExuR-alpha-D-galacturonate	
FabR	garK//hcaB//xapA//
FadR	ilvH//cysN//alkB//patA//phnM//garD//glxK//metH//trpB//atoA//acnB//wzb//ulaE//mhpB//mhpB//frdD//gcvP//lpxD//purN//
FadR-acyl-CoA	
FeaR	xylA//treC//
FhlA-formate	rutE//glnA//entF//fabZ//betA//glyA//zwf//uxaC//
FlhDC	garK//aroG//phnL//lpxC//purB//dmsC//argB//hycE//arsC//pgm//glmU//dkgB//fucK//hycG//
FliZ	nirD//pgaB//fau//rtcB//rffC//
FucR-L-fuculose-1-P	metF//glgC//trpC//gdhA//nrdF//umuC//
Fur-Fe2	atoA//dgkA//prpC//melA//fes//allE//pspE//idnO//dgkA//purE//cyoE//ada//aceA//pflB//fucA//citE//eda//alaA//acnA//tadA//rsmH//hycG//tyrA//entH//hycF//frdB//deoC//wecE//murG//hycF//trpC//mpaA//polA//glcE//waaH//prpB//adhE//pgaC//mraY//wecB//ogt//leuD//wecE//fumB//hyaA//galT//lacZ//frdB//tyrB//paaY//astC//nirB//gntK//hyaC//uvrC//ycjG//dkgA//rbsD//glcF//lpxD//fbaA//entH//
GadE	cysJ//purB//alaC//glcD//metE//guaB//pyrD//yqjH//prpB//fumB//
GadE-RcsB	bglB//betB//cysG//dsdA//glgC//
GadW	lacZ//pgk//galE//accA//
GadX	ilvE//dadA//gdhA//cyoE//napH//phnL//mhpE//napA//murQ//wecE//lhgO//relA//astA//nanA//
GalR	cysG//paaZ//uidA//hemH//phoA//glgA//
GalR-beta-D-galactose	moaA//purF//trpB//pheT//citX//
GalS	ldtB//guaB//nirB//mhpE//recF//gadA//
GalS-beta-D-galactose	bioA//gatY//kbaY//pdeL//atoA//
GatR	garK//relA//hyaC//
GcvA	gadA//tyrA//gdhA//
GlcC-glycolate	mazG//malQ//dacC//
GlpR	paaA//tadA//dgkA//glcD//uxaB//gudD//torA//
GlrR-Pasp56	
GntR	pgk//allE//srkA//ulaD//entE//mhpE//fabB//allD//malZ//
GutM	accA//srkA//poxB//
HU	mltF//prs//alkA//adhE//araB//kbaY//alaS//
HcaR	
HcaR-HCA	uxuB//fabB//
HdfR	
HigA	putA//
HigB-HigA	hcaB//
HipAB	hypB//dadA//
HipB	rutC//gatD//acnB//
HprR-Phosphorylated	ydcS//nirB//paaF//gpmA//
HyfR	ttdB//
HypT-Met-oxidized	tyrA//caiD//ldtC//yeaE//paaF//tauD//hycC//
IclR-pyruvate	citG//pyrD//mngB//
IdnR-5-ketogluconate	alaS//rtcB//recB//glpC//fbaB//
IlvY	
IlvY-S-2-acetolactate	dapB//
IscR	tdcD//tyrA//bioB//narI//sucD//grxA//
IscR-2Fe-2S	glcB//murD//
KdgR	aroL//malZ//
KdpE-Phosphorylated	moaE//
LacI	relA//fumC//caiC//
LeuO	ddlB//atoA//frdD//ugpQ//glgP//sbcC//
LexA	ubiC//rffC//uxuB//pgaB//cueO//waaZ//argC//fadM//lhgO//acnB//ribA//bioB//fbaA//prpB//rsmH//waaH//betB//ubiA//moaC//deoC//argA//umuC//hycC//
LldR	ynfG//ung//
LldR-S-lactate	hcp//ttdA//
LrhA	
Lrp	entC//gadA//katE//araD//ssuD//torA//feaB//cynS//prpB//phoA//polB//rutB//rffT//metK//paaZ//pdeH//amn//uxaB//ulaD//glcD//recB//fabB//lyxK//tam//paaZ//fumB//yqjH//hmp//gloA//glgB//aspC//
Lrp-leucine	uvrB//bacA//caiD//dapB//glk//murF//puuD//entE//moeA//idnK//entD//nagA//lacA//nrfD//metE//tdh//malZ//
LsrR	frdB//dapD//tadA//araA//paaG//
LysR	gadA//
MalI	eno//rnpB//
MalT-maltotriose-ATP	recB//oxc//lsrK//nadB//ftnA//alkB//
MarA	uidA//cynS//pgm//gdhA//hycD//gcvT//carB//mhpF//alaA//moaD//fucA//lpd//ldtB//mpl//folA//fbaB//accC//frdB//ulaE//cysD//nfsB//aceB//galE//nrfA//
MarR	
MatA	lhgO//
MazE	fadE//
MazE-MazF	talA//
McbR	
MelR	caiB//caiD//
MelR-melibiose	gpmA//uxuA//
MetJ-adenosylmethionine	sgbE//garD//acnA//gpmM//appA//ldtC//nfsA//purH//pck//cysC//
MetR	galT//phnG//
MetR-L-homocysteine	bglB//rtcA//
MhpR-3HPP	aspC//sdhA//ftnA//recB//ilvG_1//umuC//
Mlc	oxc//mhpD//yqjH//metK//
MlrA	hypF//
MngR	fucU//dgcZ//
MntR-Mn2+	lpd//phnG//
ModE-MoO42-	ygeA//yqhD//tdcG//glyA//phnL//speA//dhaK//wecB//napB//tdcG//cysH//amn//citC//trpD//nrfD//metC//bglB//
MprA	metL//dadA//glgA//
MqsA	fucA//argG//
MraZ	deoD//argG//nrdF//nagA//acnB//mltF//cueO//rutA//ilvE//hmp//
MurR	purK//srkA//kbl//
Nac	cdd//gltD//acnA//dgcC//umuD//phnN//paaK//lpxA//hmp//nfsA//umuC//
NadR	rutD//gcvP//metE//lsrG//
NagC	dkgB//ubiX//gnd//sucB//trpB//sucC//deoA//xylB//dhaK//moaD//dgcN//hcaF//rbsD//dadX//paaB//allB//paaK//nagB//glyA//
NanR	murC//ftsI//paaY//chbG//ycjG//dgcN//
NarL-Phosphorylated	paaB//mltF//rffM//argH//alsE//paaA//nrfA//glxK//ogt//nanM//aceA//deoA//hemL//puuA//leuA//tdcG//rutE//ybjG//ttdB//citD//pflB//ynfE//nrfA//fucI//glpX//mtlD//lacA//moeB//hcp//purD//garL//prpC//rffT//phnP//rhaD//ppc//ynfH//prpB//ppsA//purL//malQ//
NarP-Phosphorylated	kbaZ//nirD//astD//guaA//sgbU//mtlD//metE//ycjG//aroH//yeaE//deoA//metF//aceB//ogt//adhE//
NemR	paaA//entF//
NhaR-Na+	nfsB//dadA//argG//alsE//argD//
NikR-Ni2+	gor//
NimR	glgB//
NorR	fucK//
NrdR-Zn2+	cdd//glxK//pykF//hcp//
NsrR	katG//purM//glsA//paaE//frdB//frdD//betB//gadA//rffG//recF//dkgB//asnA//nanE//glcB//hmp//pspE//deoD//metF//lpd//ttdA//ftnA//yqhD//rnpB//gatD//torC//speB//sodB//trpE//wecB//murD//lysC//putA//aceA//slt//mltF//folA//tdcD//araA//aspA//tdcD//
NtrC-Phosphorylated	phnP//mraY//allE//dgcC//hycC//pdeH//glxK//napA//fadB//codA//chbG//yeaG//frdA//fes//moeB//allD//lyxK//gpmA//cynS//wzc//speG//
OmpR-Phosphorylated	gatY//fadA//nrfD//fadM//rutB//rbsK//oxc//lpxC//
OxyR	patA//pncB//pheS//folA//recF//treC//glpD//speG//aspA//dgkA//accA//purN//fabH//gltB//lsrG//hypB//fdhF//
PaaX	aroA//hycF//sucB//mltF//leuC//gnd//gcl//atoA//moaE//
PdeL	mtlD//
PdhR	zwf//ulaG//hypB//hypF//argA//rffH//bglB//pykF//guaA//aceA//rffM//hemL//eno//fadM//glgC//gatY//polB//mpaA//aspC//torC//glmU//nemA//trpB//cdd//prpB//
PepA	gatD//pspE//
PgrR	sdhB//melA//
PhoB-Phosphorylated	rffC//malQ//grxA//ftnA//wzb//rhaD//glgX//entH//allC//argA//malQ//asnB//ung//katE//phr//moaA//nanE//mhpB//allC//argA//
