# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	idnD//tdh//
Ada	leuB//poxB//mhpC//cysM//
AdiY	gor//fadI//paaK//ilvA//
AgaR	bioA//
AidB	rtcA//
AlaS-L-alanine	asnA//
AllR-allantoin	idnO//tynA//fucO//cynT//sdhD//uxaA//
AllS-allantoin	pck//wecC//waaZ//
AlsR	aceA//ynfH//hyaB//
AppY	ahpF//hycB//
AraC	leuD//ascB//metL//
AraC-arabinose	waaZ//dhaM//nanK//entH//uxaC//phnP//cysN//cynS//
ArgP	amn//gcl//metL//narG//lsrF//glmS//dhaL//purA//
ArgP-arginine	ahpC//
ArgR-L-arginine	rffC//gadB//argE//narI//rutE//mpaA//caiD//nagA//yiaK//idnK//astC//entC//hyaC//glpA//nemA//waaZ//yeaG//murQ//hcaC//wecC//rffH//aroG//serA//
ArsR	fadB//pagP//
AscG	gpmM//pgpC//
AsnC	ubiA//ulaG//
AtoC-Phosphorylated	eno//carA//araA//
BCCP	puuA//
BaeR-Phosphorylated	codA//yqjH//
BasR-Phosphorylated	rhaB//ribA//fabA//
BetI	nemA//tadA//hcp//
BirA-biotinyl-5-adenylate	dinB//galK//mdh//moaC//prs//
BluR	
BolA	adiA//asnA//
BtsR-Phosphorylated	sodA//
CadC	truB//kbaZ//trpB//
CaiF-L-carnitine	paaA//argA//ubiC//prs//glpX//
Cbl	bioD//dgcC//nirB//argA//dadA//
CdaR	rhaD//entF//fbaA//ydcS//nanM//fadA//nrdF//sodB//katE//
CecR	hmp//
ChbR	paaJ//idnD//torA//
ChbR-N-monoacetylchitobiose-6-phosphate	kbaY//rffC//polA//
ComR	
CpxR-Phosphorylated	allD//srkA//entD//psd//garL//ybjG//chbG//cadA//fadD//waaZ//rffH//garD//pheT//paaG//uvrC//thrS//uxuA//fadJ//recB//dadX//luxS//
Cra	polA//fabD//fucK//argA//zwf//puuD//hcaE//ulaE//lsrF//appA//araB//fadD//gadB//eda//carB//rutA//hyaB//trpA//thrS//purE//lsrK//lldD//trpC//gatD//nrdE//purN//gabT//citG//bioB//treC//citG//dmsC//melA//malP//glyA//rhaB//prpB//nanE//ttdA//fadE//allC//deoD//allD//mdh//allC//pgpC//frc//citF//trpD//fadJ//cadA//phnL//ahpC//astD//chbF//gpmM//ddlB//moaA//aceE//
CreB-Phosphorylated	allC//ppc//
CsgD	glpC//bglB//cysG//acnB//gutQ//
CsiR	grxA//ruvA//psd//aldA//
CspA	fabG//
CueR-Cu	fadH//dmsC//nrdB//ldtB//cysN//
CusR-Pasp	ftsI//torA//caiC//allE//
CynR	
CynR-cyanate	phnG//lpxC//phnM//
CysB	metK//fucA//
CysB-O-acetyl-L-serine	phoA//prpD//pyrC//hycD//dadA//tauD//uvrC//sodB//wecE//puuC//glpB//glnA//moeA//pdeL//gapA//
CytR	ynfG//cysE//rnpB//tehB//hyaB//gatZ//hemL//fadE//glmS//glk//
Dan-L-tartrate	cysI//purE//
DcuR-Phosphorylated	tdcD//gapA//gcvH//adiA//
DeoR	aceE//lpxC//trpA//adhE//dacC//citG//
DhaR	trpB//
DicA	
DinJ-YafQ	tnaA//
DnaA-ATP	alaS//fadB//nrfA//glmU//pdeH//gcvT//
DpiA-Pasp	sodB//asnA//prpE//hycC//carA//
DsdC-D-serine	mhpA//garK//
EbgR	
EnvR	adiA//astC//
EnvY	argG//ulaD//
EvgA-Phosphorylated	atoD//idnD//trpC//phnJ//nirB//fadH//
ExuR	murD//lpxD//malP//yqjH//trpD//icd//
ExuR-alpha-D-galacturonate	
FabR	cysN//ppsA//ilvH//
FadR	ydcS//metC//rfe//malP//dapB//idnO//lsrF//mhpE//ppsA//cdd//dapB//ulaE//sdhC//yqhD//gltD//feaB//hycC//citG//ybjG//
FadR-acyl-CoA	
FeaR	grxA//malZ//
FhlA-formate	argA//alaC//guaA//speB//fucI//ydcS//prpE//dapD//
FlhDC	hyaA//yiaK//ynfE//ychF//sgbU//puuA//leuB//galT//ldtB//murQ//metB//glgX//gltD//pgaD//
FliZ	dinB//slt//argI//phnJ//glpD//
FucR-L-fuculose-1-P	accA//fabD//fau//fucU//purM//serC//
Fur-Fe2	mtlD//pspE//cysN//fadJ//glk//frc//puuE//fbaB//allE//entH//atoA//puuA//purC//bglB//alkA//ung//tyrB//argD//argC//pflB//ilvM//fadI//uxuB//narI//rnpB//entF//fabI//mdh//aceA//nanE//ubiA//paaY//gutQ//tynA//entC//phnJ//purL//ddlB//wrbA//napA//ruvB//rnpB//ilvI//mhpB//glgX//nfsB//aroF//ycjG//fucI//garK//thrS//frdD//leuD//speB//xapA//entA//argF//nagA//fucO//napA//pdeL//fruK//
GadE	ilvC//xylA//recF//glcD//fucI//rtcB//cdd//rutB//mraY//glnA//
GadE-RcsB	hcaD//gabT//caiA//glmU//carB//
GadW	malS//cysK//patD//tyrA//
GadX	bglB//glk//aroG//mltF//ilvD//torC//atoB//dkgA//accD//fucU//ada//pgi//phnO//paaY//
GalR	grxA//dacC//metE//hcaD//aldA//gatD//
GalR-beta-D-galactose	glpC//moaA//ydcS//kbaZ//nrdF//
GalS	edd//caiD//astE//xylA//puuE//purH//
GalS-beta-D-galactose	murF//ugpQ//nrfA//glcD//napA//
GatR	uvrC//caiC//psd//
GcvA	ftsI//tpiA//glsA//
GlcC-glycolate	hyaA//yqjH//polA//
GlpR	sucA//fadD//trpD//paaZ//dsdA//paaA//ilvG_1//
GlrR-Pasp56	
GntR	dapD//dgkA//metK//nrdE//lsrK//folE//gnd//malY//speA//
GutM	mhpC//glcB//yqhD//
HU	entB//trpE//puuE//ppc//tyrA//fucU//frdC//
HcaR	
HcaR-HCA	fruK//phr//
HdfR	
HigA	nanK//
HigB-HigA	nrdB//
HipAB	epd//pspE//
HipB	fabI//tdcB//fadE//
HprR-Phosphorylated	cysI//folE//aceE//hemH//
HyfR	murI//
HypT-Met-oxidized	fabA//dadA//mazG//sucC//astA//aceB//oxc//
IclR-pyruvate	gcvH//pykF//aroH//
IdnR-5-ketogluconate	sdhC//cyoE//puuC//codA//tam//
IlvY	
IlvY-S-2-acetolactate	aceB//
IscR	rsmH//lyxK//lacZ//hemL//sgbH//tdcG//
IscR-2Fe-2S	idnO//astD//
KdgR	speG//ydcS//
KdpE-Phosphorylated	nrfA//
LacI	ychF//frdB//idnO//
LeuO	puuD//paaK//nanE//hyaC//bioA//idnK//
LexA	paaB//alsE//mpl//cysE//cynT//gloA//treC//alaA//alaC//glpK//paaK//argI//ruvB//fucA//caiA//pgaB//phnP//paaZ//caiD//frc//glcE//alaA//wecC//
LldR	pgpC//dgcC//
LldR-S-lactate	trpE//astC//
LrhA	
Lrp	gutQ//uvrA//hyaC//gnd//talA//chbG//cysC//glcF//guaB//lldD//glpX//pgaD//idnD//ynfF//sdhC//speA//acnB//prpD//fadD//mraY//moaC//fadD//uxaC//phnJ//wecB//cueO//ulaG//eno//nrfD//waaZ//uxuA//
Lrp-leucine	carB//yiaK//dgcC//phnI//dgcZ//sbcD//cysN//sucA//udp//ilvD//putA//asnB//hemH//iscS//ddlB//ilvM//fabG//
LsrR	nadB//rtcB//sucC//alsE//codA//
LysR	polA//
MalI	cysH//purB//
MalT-maltotriose-ATP	hycF//phnG//puuB//metK//ldtB//thrS//
MarA	tdcG//chbG//malQ//epd//ygeA//dadA//tdcG//fadD//mraY//accA//alkA//lpxD//pdeH//speB//paaG//hyaB//argA//nadB//leuB//moeB//rutD//fabB//glpD//metA//
MarR	
MatA	nrdD//
MazE	uxuB//
MazE-MazF	cdd//
McbR	
MelR	lysC//gatY//
MelR-melibiose	murI//bioD//
MetJ-adenosylmethionine	mpl//nrfA//fabA//napH//lpd//phnH//ppsA//carA//patA//carB//
MetR	pnp//ddlB//
MetR-L-homocysteine	psd//tam//
MhpR-3HPP	mazG//glpK//torC//metK//hcp//grxA//
Mlc	ruvB//gcl//argG//ndh//
MlrA	glyA//
MngR	sufS//cyoE//
MntR-Mn2+	caiD//ssuD//
ModE-MoO42-	lpxC//mltF//tdh//citX//glpK//mhpD//hcaC//nrdB//dmsB//purH//galK//fadH//talA//glxK//hycC//araB//gutQ//
MprA	citD//araB//metA//
MqsA	wecE//ampC//
MraZ	cueO//gcvH//metE//glcE//prpB//aceE//mraY//alaS//fucI//ribA//
MurR	polB//lacZ//sdhA//
Nac	rffG//idnO//ahpF//bioC//deoA//hycF//glpA//uvrA//trpB//paaE//glcF//
NadR	patD//dmsB//gntK//pyrD//
NagC	fabZ//dhaK//murC//gatY//glcE//purN//mpl//nfsA//sodB//puuE//kbaZ//feaB//puuD//pgaB//iscS//betB//mhpF//wecB//astA//
NanR	betB//alaS//nagA//argG//argI//hyi//
NarL-Phosphorylated	ulaF//purL//tnaA//tnaA//moeB//nagA//glcD//murF//lacZ//dhaM//aroH//malZ//napG//prs//sufS//pfkA//rtcB//iscS//torA//puuE//entA//argG//yeaG//citC//puuB//cysC//allC//fucO//mhpB//alaC//kbaZ//murC//uvrC//hyaA//hycD//pyrC//katG//metK//phnJ//entE//fabH//
NarP-Phosphorylated	accA//guaA//ilvG_1//ynfH//fucO//gutQ//cdd//paaZ//pgaB//mraY//aceE//fabD//puuD//fucI//hcp//
NemR	uvrC//rffH//
NhaR-Na+	argH//folA//mhpE//idnD//leuA//
NikR-Ni2+	deoB//
NimR	cysE//
NorR	acnA//
NrdR-Zn2+	trpD//cysE//mhpC//aldA//
NsrR	pepD//uvrB//gatY//glpB//cysK//gntK//sgbE//rbsK//aroL//rtcA//carB//bacA//prpC//fabG//lsrG//ppsA//uxuA//recB//epd//sbcD//tdcD//aspC//idnD//rbsD//citE//moaD//adhE//yqjH//prpD//glmU//rutB//cysN//atoD//purK//lacA//nfsB//deoC//yqhD//glmU//xapA//
NtrC-Phosphorylated	luxS//rutE//gpmM//nadB//accD//sdhB//puuC//pck//idnD//rpiB//nanA//dhaK//gudD//trpA//tdcD//purF//napG//ilvC//galE//ada//glgP//
OmpR-Phosphorylated	gdhA//fucI//mnmG//carA//nfsA//araA//deoB//fabI//
OxyR	fucI//ruvB//alaA//alaC//kbl//moaC//napA//udp//pncB//glpA//ychF//hcaE//argB//malZ//paaH//deoA//hcaB//
PaaX	fabG//nanM//ppsA//glmS//waaH//recD//tdcD//codA//aldA//
PdeL	aroH//
PdhR	sucC//uvrB//purD//entD//ubiC//bglB//glxK//ydcS//ascB//pflB//glcE//deoD//gcvT//fabB//ccp//yiaK//speA//entC//glpB//zwf//gnd//rtcA//nrfA//sucD//lsrF//
PepA	purN//codA//
PgrR	thrS//pdeH//
PhoB-Phosphorylated	tdh//ttdB//nrdA//pagP//tam//paaC//pfkA//nadB//hemL//guaB//xapA//prpC//gltD//dgcN//purD//ttdB//citX//fucA//nagA//udp//
PhoP-Phosphorylated	glmS//purM//mpl//gcl//gatZ//paaK//katG//ilvD//uxaA//ubiA//phr//metL//argC//araA//hycC//rffT//allD//serA//ynfG//paaZ//tadA//deoB//ldtC//ssuD//nrfD//gatZ//puuE//sdhD//ynfE//sdhB//rffH//sbcC//
PrpR-2S3S-2-methylcitrate	umpH//hyi//aspA//lysC//
PspF	pyrC//
PurR-hypoxanthine	deoA//pdeH//lacA//truB//fau//metK//allC//napA//argH//fucK//phnP//guaA//pfkA//truB//lhgO//prpC//ynfE//ahpC//nfsB//uxuB//fadJ//frdC//lhgO//gpmM//atoB//citG//
PutA	trpD//fadM//
PuuR	appA//rfe//paaC//glxK//fumC//polB//
QseB-Phosphorylated	
RbsR	recB//pncB//acnB//codA//ilvA//
RcdA	ynfH//
RclR	
RcnR	mhpC//
RcsAB	idnK//guaB//sodA//
RcsB-BglJ	moaC//purN//
RcsB-Pasp56	trpD//gapA//entE//pgaC//
RelB	purL//
RelB-RelE	ppiA//
RhaR-alpha-L-rhamnopyranose	
RhaS	pspE//
RhaS-alpha-L-rhamnopyranose	phnI//bioF//ilvI//rbsD//
Rob	argA//citC//metB//polA//grxA//fbaB//allC//pflB//fau//hcaE//sucD//pgpC//gloA//ychF//argF//nirD//eno//phnN//hycG//
RstA-Phosphorylated	arsC//fdhF//hemH//
RtcR	deoC//mhpB//
RutR	trpD//serC//hycG//chbG//amn//asnA//bioC//prpD//ddlB//mhpA//murC//
SdiA	
SgrR	argG//speB//hycG//
SlyA	lsrG//ppsA//entC//paaZ//tyrB//dsdA//fabB//allB//yqhD//
SoxR	astD//adiA//ynfF//tpiA//ulaD//nanM//
SoxS	glcF//purM//dgcN//ulaD//mhpD//mdh//codA//mpl//sdhD//aceB//psd//puuB//metK//ubiX//fau//appA//argC//tam//hycD//rutB//argF//rutA//patD//acnB//aroL//hyaC//argB//nirB//
SrlR	fadH//tehB//yqhD//
StpA	hyaC//ogt//aldA//
SutR	galM//gadB//
TdcA	deoD//phnL//hycC//napG//sucB//
TdcR	narG//ynfH//glmS//hycG//nanM//
TorR-Phosphorylated	sodA//adhE//ubiA//citE//
TorR-TorI	nagA//
TreR	fadD//argC//
TrpR-tryptophan	metF//nanA//metC//sufS//fes//malY//sdaA//ascB//rtcA//
TyrR	gdhA//
TyrR-phenylalanine	metL//ada//
TyrR-tyrosine	gatD//allD//aroA//galM//hycG//adiA//ynfE//epd//
UhpA-Phosphorylated	cysM//
UidR	murQ//citG//
UlaR	tam//ychF//allE//fbaB//fadB//
UvrY-Phosphorylated	ndh//puuA//
UxuR	glgP//ldtC//ppiA//hcaF//fucO//
XapR-xanthosine	nrdD//lpxD//
XylR-xylose	hycB//cynS//atoA//
YdeO	purN//hycF//hcaD//
YefM	waaZ//
YefM-YoeB	napA//
YeiL	
YhaJ	
YiaJ	yeaG//hypF//glcB//prpB//deoD//sufS//
YjjQ	metK//ahpC//
