# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	glpQ//astE//
Ada	ldtB//dgcC//allB//glpB//
AdiY	zwf//rnpB//betA//yfdE//
AgaR	pepD//
AidB	cueO//
AlaS-L-alanine	argB//
AllR-allantoin	accD//fucK//aroF//ndh//dkgB//dhaL//
AllS-allantoin	cyoE//trpE//rhaB//
AlsR	hcaC//fadH//prpC//
AppY	astB//appA//
AraC	garL//paaE//paaY//
AraC-arabinose	purE//thrS//bacA//argG//hcaD//metC//cynS//cadA//
ArgP	recB//nagA//icd//ynfG//malY//puuA//napG//murE//
ArgP-arginine	yqhD//
ArgR-L-arginine	mazG//relA//torC//fbaA//dgcN//aceE//gdhA//argG//uvrB//hemL//glpQ//hyaA//mnmG//oxc//rhaD//rtcB//glgA//tauD//nfsA//mhpA//frdC//prpD//trpB//
ArsR	purB//codA//
AscG	waaH//fdhF//
AsnC	patD//tynA//
AtoC-Phosphorylated	ubiC//ldtB//lysU//
BCCP	cyoE//
BaeR-Phosphorylated	avtA//purE//
BasR-Phosphorylated	hyaC//cyoE//paaA//
BetI	idnD//tktB//ssuD//
BirA-biotinyl-5-adenylate	malS//aceE//avtA//rhaB//pncB//
BluR	
BolA	ilvM//alsE//
BtsR-Phosphorylated	nrdB//
CadC	phnJ//citE//fadE//
CaiF-L-carnitine	poxB//alaA//mdh//ilvE//nfsA//
Cbl	fbaB//aspA//puuB//citX//hycE//
CdaR	ilvD//hemL//uxuA//chbG//moeA//paaY//asnA//murG//entH//
CecR	umuC//
ChbR	srlD//glpK//aceA//
ChbR-N-monoacetylchitobiose-6-phosphate	rtcA//fadI//wecC//
ComR	
CpxR-Phosphorylated	mazG//narI//ppsA//gatY//moaA//putA//cysI//phnO//paaJ//uxaB//ilvE//murQ//caiD//glsA//adiA//uxaA//fruK//tadA//phnN//fabH//citE//
Cra	fadM//murC//wecC//lysU//rutB//tyrB//puuB//citE//dhaM//guaA//gabD//gutQ//caiD//purM//mltF//grxA//glgX//glpX//ddlB//dinB//srlD//ahpC//fadH//ppsA//lyxK//entH//galT//nirD//hyaC//trpA//murG//glgC//truB//rhaA//glgC//deoB//hypF//rhaA//leuD//argD//zwf//purA//phnO//aldA//ilvC//aspC//wrbA//pdeH//uxuB//psd//lsrG//alsE//rutE//rffC//ftsI//uxaB//uidA//yqhD//fadJ//
CreB-Phosphorylated	cysG//paaI//
CsgD	puuC//gltD//rffC//treC//ubiC//
CsiR	cysK//hyi//sucC//wecB//
CspA	mtlD//
CueR-Cu	malZ//ahpF//mhpD//leuD//lacA//
CusR-Pasp	entD//murD//hyaA//pheT//
CynR	
CynR-cyanate	cyoE//fadM//gor//
CysB	ybjG//malZ//
CysB-O-acetyl-L-serine	leuC//lpxD//gadB//lpxC//ubiC//ddlB//wecB//metK//hcaD//hemL//narI//glyA//yiaK//paaI//ulaE//
CytR	carB//purL//glgC//rtcA//ndh//sgbE//umuD//gltD//melA//fau//
Dan-L-tartrate	nadA//ada//
DcuR-Phosphorylated	lsrF//citD//slt//hmp//
DeoR	atoD//lpxD//ccp//purM//phnN//gadA//
DhaR	ruvA//
DicA	
DinJ-YafQ	hcaD//
DnaA-ATP	hycB//waaH//bglB//ampC//wrbA//gcvT//
DpiA-Pasp	truB//murC//paaA//gcl//entD//
DsdC-D-serine	ulaD//serA//
EbgR	
EnvR	napB//paaH//
EnvY	betA//fucU//
EvgA-Phosphorylated	nagB//napA//purD//bioB//wrbA//prpE//
ExuR	glpK//fabG//idnD//gatZ//puuB//aroL//
ExuR-alpha-D-galacturonate	
FabR	murG//umuC//puuA//
FadR	mazG//nfsB//polB//purB//nanE//entE//tauD//murQ//ynfE//serC//metE//ppiA//accC//tdcB//leuD//pyrD//araB//nrdB//malS//
FadR-acyl-CoA	
FeaR	fadA//rimK//
FhlA-formate	lhgO//malS//mdh//puuA//hypB//tdcE//rffH//srlD//
FlhDC	uxaC//bacA//puuB//lysC//purD//araB//ynfF//nrdE//ttdA//araA//sdhD//folA//pgaD//tpiA//
FliZ	alaA//tam//atoB//nadA//katG//
FucR-L-fuculose-1-P	phnH//dgcN//nirD//kbaY//rfe//ccp//
Fur-Fe2	fadJ//cyoE//pdeR//carA//tdh//umpH//glgA//entE//trpD//aspC//rimK//wecC//mpl//gadB//thrS//hyi//guaB//rbsK//ilvA//ydcS//cynT//hcaB//dapD//yedX//hyi//nemA//wecC//sdhA//dapD//mhpA//ndh//trpC//tynA//fadA//gpmM//purF//phoA//fabH//accC//metF//lacA//frc//ilvA//phnH//frdD//kbaY//cynS//sucD//paaJ//aspC//cdd//mhpD//hyaC//ascB//cysJ//fes//oxc//gntK//deoB//phnJ//adiA//trpB//
GadE	fadA//phnH//fadB//treC//tktB//sgbE//rtcA//guaB//argF//tadA//
GadE-RcsB	fadI//slt//ilvE//hycE//yqjH//
GadW	ynfG//glpK//argI//phnP//
GadX	uvrA//recB//murI//gnd//galM//fadE//dmsB//phr//leuB//entB//ynfF//ynfF//argH//ynfF//
GalR	lpxC//aroG//gatD//slt//moaC//phnM//
GalR-beta-D-galactose	sgbH//aceE//cueO//pdeH//purD//
GalS	gcvP//katG//rfe//mhpA//sucD//cueO//
GalS-beta-D-galactose	paaF//hycD//cysG//mraY//pdeH//
GatR	ruvA//caiD//frdC//
GcvA	paaH//caiA//rfe//
GlcC-glycolate	ydcS//arsC//nrdD//
GlpR	accC//prpC//cynS//sgbE//edd//sdhB//ldtC//
GlrR-Pasp56	
GntR	dhaL//uvrA//gabD//kbl//waaH//citG//trpA//moaE//hycB//
GutM	rtcA//idnK//cyoE//
HU	metE//ldtD//malY//mnmG//dkgB//ribA//leuC//
HcaR	
HcaR-HCA	fruK//gpmM//
HdfR	
HigA	yiaK//
HigB-HigA	cysE//
HipAB	amn//metB//
HipB	fucA//guaA//moaD//
HprR-Phosphorylated	glgB//avtA//pdeR//ulaF//
HyfR	yedX//
HypT-Met-oxidized	dkgA//pyrD//fabZ//dapD//paaE//napG//narI//
IclR-pyruvate	purF//paaY//frdD//
IdnR-5-ketogluconate	carB//prpB//sucC//glgA//prpB//
IlvY	
IlvY-S-2-acetolactate	caiA//
IscR	pgaB//astE//gapA//fucI//gabT//pdeH//
IscR-2Fe-2S	glyA//sodB//
KdgR	asnA//phnG//
KdpE-Phosphorylated	phr//
LacI	fadD//polA//mpaA//
LeuO	srlD//ubiC//idnO//gabT//lysU//relA//
LexA	ulaG//paaI//alsE//pdeL//ada//atoA//prpE//murD//fumC//aceF//mpl//metF//narG//wzc//dmsB//pgi//gdhA//trpC//ahpF//ribA//chbF//fabG//pepD//
LldR	murE//kbl//
LldR-S-lactate	tdcG//ppiA//
LrhA	
Lrp	mnmG//nemA//sdaA//citD//dapB//yqhD//hypF//ulaE//pgaB//hcaD//wzb//rutB//entB//malY//paaJ//recD//fabZ//ycjG//cysD//malS//purF//nrfD//rfe//ynfH//gudD//napB//acnA//allD//dacC//torA//ahpF//
Lrp-leucine	malS//gpmA//paaF//recF//xylA//ilvI//fucU//glgX//sodA//ampC//hcaF//deoB//ribA//uxaC//ldtD//tadA//cysN//
LsrR	ynfG//paaE//fadB//cysC//glmS//
LysR	deoB//
MalI	gcvH//fruK//
MalT-maltotriose-ATP	tpiA//fruK//ada//dkgB//sucC//ndh//
MarA	fadE//nadB//phnG//puuD//ldtC//nagA//napG//fucA//yiaK//idnK//mpaA//prpD//dmsA//dgcC//hycC//phoA//fbaA//ynfG//hycB//ttdA//gatY//argA//gcvT//cdd//
MarR	
MatA	rfe//
MazE	gpmA//
MazE-MazF	tyrA//
McbR	
MelR	argE//mltF//
MelR-melibiose	galM//adhE//
MetJ-adenosylmethionine	ttdA//dmsB//phnL//aroF//umuC//slt//purL//uxuB//lysC//ssuE//
MetR	argB//napA//
MetR-L-homocysteine	sodA//cysH//
MhpR-3HPP	speB//carB//kbaZ//pyrC//pyrD//appA//
Mlc	mhpE//pfkA//gcvP//ccp//
MlrA	mhpB//
MngR	sucA//nanM//
MntR-Mn2+	aspA//ilvI//
ModE-MoO42-	dinB//frdD//argI//rimK//narG//fadJ//glnA//rutA//paaK//adhE//srkA//lpxA//paaY//tdcE//sdhC//pgk//prpB//
MprA	fau//prpE//puuE//
MqsA	patD//yqhD//
MraZ	puuD//entF//ndh//nirB//nrdF//purD//entF//galK//cynS//lsrG//
MurR	katG//cysC//carA//
Nac	putA//fau//treC//pfkA//aldA//kbaZ//argG//hcaE//aroL//dgcC//pncB//
NadR	fau//argI//paaJ//pdeL//
NagC	tnaA//mhpE//glpD//yfdE//aroL//hyaC//ppc//tdcE//murG//garK//srkA//carB//hcaB//garR//glpK//rffM//codA//lysC//paaI//
NanR	xapA//puuB//hycG//rtcA//asnA//purB//
NarL-Phosphorylated	allC//torC//glgB//glyA//malZ//nirB//lpxC//glgC//rbsK//dapB//cysH//napH//murQ//purN//hycC//metK//fadA//lpxD//phnG//nanE//rutC//tdh//melA//torA//phnI//ccp//nfsB//pnp//phnP//dadX//uxaC//trpE//narG//hycD//ascB//aroG//argB//nfsA//tdcG//umpH//fadJ//
NarP-Phosphorylated	fumC//edd//gudD//rbsD//kbaZ//dgcN//astB//fucK//entH//cysC//metA//lldD//aspC//cysC//aroF//
NemR	pnp//ada//
NhaR-Na+	aspC//ppiA//ftnA//galM//recF//
NikR-Ni2+	uxuA//
NimR	entH//
NorR	sgbH//
NrdR-Zn2+	paaC//dapD//mnmG//rffH//
NsrR	ilvM//astB//aroA//dgcZ//lacZ//ugpQ//fucK//truB//entD//rffT//serC//fadM//tauD//tdcD//paaC//dhaL//gapA//garR//ychF//treC//mraY//fucA//hmp//purC//nanK//accD//ygeA//rhaD//hypB//trpA//phr//alaS//ada//poxB//paaK//garR//xapA//hycB//rfe//lacA//
NtrC-Phosphorylated	mhpE//waaY//phnI//fabG//phr//dinB//fabB//aroH//sbcD//gnd//katE//argB//betB//rbsK//rutB//araA//dsdA//hcaC//codA//dhaL//nrdE//
OmpR-Phosphorylated	nfsA//xylA//pagP//hycD//torA//rffH//feaB//dadX//
OxyR	uvrC//alaA//aspA//fucA//hycG//pagP//glgA//glgP//leuD//glxK//garD//galK//citG//metE//lhgO//garL//tdcB//
PaaX	entD//xylA//paaB//sucD//gdhA//poxB//paaJ//ttdA//polB//
PdeL	malQ//
PdhR	accA//ybjG//bioA//puuA//tdcG//ftsI//wzc//murG//wecC//pgpC//purC//pgaB//ahpF//entH//serC//gdhA//idnD//mhpF//fabA//nrdA//entE//sdhA//argD//pgaD//trpE//
PepA	alsE//tadA//
PgrR	metB//speB//
PhoB-Phosphorylated	pepD//sbcC//speA//tdcG//fucI//uxaB//arsC//ilvH//dapB//speA//rimK//gpmA//waaH//glxK//lsrK//ftsI//pykF//cynS//sbcC//glpD//
PhoP-Phosphorylated	moaD//phnJ//pheS//aceB//fruK//rffG//metE//dinB//glxK//nrfA//cysE//glgX//hycG//waaH//nanA//fumC//relA//cysJ//metH//astE//nfsB//fabA//lsrF//purM//trpD//galT//hycG//glmU//carB//polA//alaC//puuC//
PrpR-2S3S-2-methylcitrate	dhaL//gutQ//arsC//fabI//
PspF	hemH//
PurR-hypoxanthine	adiA//deoC//nfsA//mhpC//wecE//treC//nirB//uxuB//trpE//wecE//alaA//yeaG//rutA//fbaA//puuE//hycD//ynfG//cysN//glpA//alkB//sodA//gutQ//sbcD//purM//accA//glsA//
PutA	aspA//gdhA//
PuuR	phnN//rsmH//katE//dmsC//glgC//uxaA//
QseB-Phosphorylated	
RbsR	nrdA//lhgO//bioD//malQ//iscS//
RcdA	gabT//
RclR	
RcnR	glcB//
RcsAB	xapA//uidA//rutE//
RcsB-BglJ	putA//hcaC//
RcsB-Pasp56	accA//metA//aroG//feaB//
RelB	pgk//
RelB-RelE	fbaA//
RhaR-alpha-L-rhamnopyranose	
RhaS	gltD//
RhaS-alpha-L-rhamnopyranose	bglB//lpxD//cysE//gpmM//
Rob	caiA//gcvP//alkB//glpB//nrfA//purB//purB//fucI//purB//gltD//argG//thrS//alaA//argG//deoC//gadB//hycE//sodB//lysC//
RstA-Phosphorylated	bacA//dkgB//narG//
RtcR	allC//phnM//
RutR	moaE//ung//citG//sdhC//nfsB//pck//folA//dhaL//sgbH//entF//purF//
SdiA	
SgrR	metB//ynfE//lhgO//
SlyA	hyaB//astE//pdeR//tyrA//psd//mhpC//deoD//galM//moaA//
SoxR	dadA//talA//mtlD//fadM//dmsC//betB//
SoxS	yedX//ahpF//deoC//ldtC//tdcD//garK//entF//pdeR//ttdB//cysK//aceF//purL//murF//thrS//srlD//allB//glcE//phnJ//putA//fruK//moaE//fucA//fucI//trpE//uxaA//fucK//cysI//ilvE//
SrlR	paaB//rtcB//fabG//
StpA	dhaL//glxK//folE//
SutR	tdcB//truB//
TdcA	cadA//oxc//dmsB//polB//fabG//
TdcR	ychF//frdD//ada//hcaC//carA//
TorR-Phosphorylated	hycB//glyA//mpl//dadA//
TorR-TorI	mhpA//
TreR	gor//cysJ//
TrpR-tryptophan	nirB//allA//fadJ//bioD//fruK//umuD//ruvA//paaB//serC//
TyrR	betB//
TyrR-phenylalanine	xylB//tktB//
TyrR-tyrosine	nfsB//umpH//deoA//moaA//gabT//glcE//lacA//sbcD//
UhpA-Phosphorylated	phnN//
UidR	malS//dkgA//
UlaR	hycF//paaA//lsrF//iscS//rhaD//
UvrY-Phosphorylated	nagA//waaY//
UxuR	zwf//yeaG//rtcB//purN//bglB//
XapR-xanthosine	deoA//tnaA//
XylR-xylose	araA//pepD//murE//
YdeO	hyi//lysA//yqjH//
YefM	allC//
YefM-YoeB	uvrB//
YeiL	
YhaJ	
YiaJ	glgX//ydcS//hcaE//xylA//tam//rutD//
YjjQ	entC//rffG//
YpdB-Phosphorylated	
YqhC	lysA//malQ//
YqjI	ynfH//
ZntR-Zn2	nrfD//
ZntR-Zn2+	bacA//
ZraR-Phosphorylated	
Zur-Zn2	phnL//
Zur-Zn2+	prpC//
