# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	yqjH//nrdD//
Ada	bglB//puuD//glpD//speA//
AdiY	glpC//sgbU//ada//dhaL//
AgaR	argC//
AidB	fumB//
AlaS-L-alanine	edd//
AllR-allantoin	ubiA//dadX//dgcZ//hypB//wzb//speB//
AllS-allantoin	rutE//nrdF//cadA//
AlsR	paaK//gadB//puuB//
AppY	lyxK//glyA//
AraC	hycC//uvrB//pepD//
AraC-arabinose	murD//ribA//astD//allA//ilvM//metF//citD//ubiC//
ArgP	glpK//allD//fabA//alsE//mnmG//wecC//adhE//dinB//
ArgP-arginine	adhE//
ArgR-L-arginine	ftsI//betB//dgcN//glsA//galM//phnI//hycB//aceA//frdD//frdB//nagA//gltD//nanK//rimK//prpB//argB//lysC//nfsA//trpD//adhE//nrdE//uxuB//yfdE//
ArsR	ldtD//carB//
AscG	gcvP//ynfE//
AsnC	appA//pyrC//
AtoC-Phosphorylated	rutB//fadJ//fadM//
BCCP	ccp//
BaeR-Phosphorylated	uvrC//speG//
BasR-Phosphorylated	puuB//ldtB//wrbA//
BetI	ynfF//prs//ynfH//
BirA-biotinyl-5-adenylate	metE//fabI//fucO//aroH//glpK//
BluR	
BolA	glcF//garL//
BtsR-Phosphorylated	nanA//
CadC	fadD//argE//rhaA//
CaiF-L-carnitine	bacA//hypF//hyaB//phnG//pck//
Cbl	hemH//pgaD//paaZ//codA//lpxC//
CdaR	ubiX//cyoE//lysU//glxR//galE//gabT//ynfE//bioD//yiaK//
CecR	cysD//
ChbR	tdcD//prpE//nagA//
ChbR-N-monoacetylchitobiose-6-phosphate	kbl//moeA//nrfD//
ComR	
CpxR-Phosphorylated	gltD//atoB//uvrA//nrdD//dsdA//rnpB//gcvT//fabG//dgcN//ilvE//napA//fucU//glcF//hypF//fabD//polB//fucK//fabD//napG//speB//entC//
Cra	rffC//slt//frc//rbsK//garL//sodA//idnD//galK//hcaB//metB//cysI//dkgA//galT//psd//allA//dgcN//pdeH//waaZ//glpD//caiD//ilvA//glpK//garL//argB//asnB//purE//caiC//puuE//gatZ//leuC//lpd//cyoE//ccp//aspA//dhaK//relA//lldD//glnA//tnaA//pnp//wzb//polB//rffG//citF//metE//gcl//uidA//pgaC//aspA//caiB//ybjG//fadJ//rutE//trpE//rutD//ftnA//wecC//deoB//aceB//
CreB-Phosphorylated	nagA//nrdE//
CsgD	araD//gdhA//acnB//amn//gatD//
CsiR	feaB//allE//bglB//frdD//
CspA	napA//
CueR-Cu	ssuE//wrbA//allA//gadA//trpB//
CusR-Pasp	dmsC//truB//entH//ogt//
CynR	
CynR-cyanate	pgi//fadD//dkgB//
CysB	ampC//dinB//
CysB-O-acetyl-L-serine	relA//serC//rtcB//serC//sucB//fbaA//sbcD//lysU//ftsI//hcaF//pykF//rffH//cysN//glnA//hycF//
CytR	icd//glpC//cysM//cysG//bglB//guaB//astE//fau//araB//cysD//
Dan-L-tartrate	rffT//alkA//
DcuR-Phosphorylated	rutD//cysH//prpD//deoB//
DeoR	dgcN//murF//argF//tadA//dgcN//glcF//
DhaR	ascB//
DicA	
DinJ-YafQ	prpE//
DnaA-ATP	phnO//folE//lpxA//glpQ//mtlD//dadA//
DpiA-Pasp	rutC//rbsK//dhaM//glpC//ynfG//
DsdC-D-serine	rsmH//frdA//
EbgR	
EnvR	folE//glcF//
EnvY	mhpF//nrdD//
EvgA-Phosphorylated	polB//dmsC//thrS//pdeR//frc//ynfE//
ExuR	yeaE//pdeL//wzb//murG//rffH//hyaA//
ExuR-alpha-D-galacturonate	
FabR	gnd//purE//rbsD//
FadR	gntK//carA//tktB//frdB//fucI//metB//ldtD//mnmG//gpmA//fau//yeaG//sbcD//caiC//narG//accD//uxaB//ppsA//glcB//cysJ//
FadR-acyl-CoA	
FeaR	sucB//leuA//
FhlA-formate	garL//cysG//hcaC//serA//fabA//wzb//puuD//puuE//
FlhDC	phnO//aspC//dapB//fadA//srkA//rtcB//cysK//rtcB//pdeL//polA//fbaA//ulaD//glpD//idnD//
FliZ	melA//folA//mhpC//relA//rimK//
FucR-L-fuculose-1-P	nrfA//purC//pgaC//caiA//gor//argG//
Fur-Fe2	avtA//purC//dhaL//alaC//ada//malZ//talA//pflB//pdeR//sodB//fadE//cynT//glpA//gabD//astD//arsC//phnJ//ppsA//glcB//pgk//rfe//fadH//glpD//wecB//sdaA//purK//pnp//ada//ybjG//puuB//sucB//rfe//accA//moaE//speA//purB//mdh//glgX//prpE//frdC//rffC//sodA//ldtC//caiA//dadX//ychF//torC//accA//carA//citD//fabH//lldD//argD//nagA//alaC//idnK//rutA//glgC//mdh//rhaD//patD//gcvH//
GadE	fabI//polA//pgi//pfkA//metK//astE//araB//aroA//metC//mhpF//
GadE-RcsB	narG//prs//xapA//pdeH//glpB//
GadW	pncB//hemH//avtA//yeaE//
