# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	metE//hyaB//
Ada	puuA//pflB//waaY//fdhF//
AdiY	tyrA//lsrK//entE//uxuB//
AgaR	sdhD//
AidB	purD//
AlaS-L-alanine	hyaA//
AllR-allantoin	sodA//sgbU//ilvE//ldtC//lpxC//pfkA//
AllS-allantoin	waaZ//paaG//accC//
AlsR	fadM//bioB//ygeA//
AppY	gadB//gor//
AraC	cdd//nagA//uxaC//
AraC-arabinose	allD//entF//glk//tdcE//ampC//purC//glmU//ilvH//
ArgP	sgbH//cysK//carA//ulaD//fadH//rhaB//alaS//rhaA//
ArgP-arginine	astE//
ArgR-L-arginine	citC//phnI//ulaG//sgbH//nanK//ubiX//nanA//sgbU//uxuA//gltD//aceF//glgA//rtcA//bioF//slt//pgaD//pagP//asnB//cysD//citF//cysC//hycF//ilvC//
ArsR	purN//rimK//
AscG	ilvI//galE//
AsnC	kbaZ//pagP//
AtoC-Phosphorylated	galM//araD//caiD//
BCCP	oxc//
BaeR-Phosphorylated	fabG//pdeH//
BasR-Phosphorylated	ldtD//mhpD//gadA//
BetI	ycjG//sodA//lpxD//
BirA-biotinyl-5-adenylate	fabG//fadH//cyoE//ilvH//lpxD//
BluR	
BolA	fabA//ldtD//
BtsR-Phosphorylated	fucI//
CadC	deoC//aceB//ruvB//
CaiF-L-carnitine	fabG//uvrC//napH//uvrA//polA//
Cbl	ttdA//lsrK//alsE//waaY//napG//
CdaR	kbl//dmsB//paaF//zwf//bioC//metB//glk//nrdD//xylA//
CecR	astD//
ChbR	argC//hcaD//gcvT//
ChbR-N-monoacetylchitobiose-6-phosphate	aroH//malS//rsmH//
ComR	
