# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	glpD//hycC//
Ada	deoA//metA//ynfE//cueO//
AdiY	tdh//xylA//amn//alaC//
AgaR	napA//
AidB	nrdE//
AlaS-L-alanine	puuE//
AllR-allantoin	putA//yeaE//aroL//purK//pspE//gnd//
AllS-allantoin	cynT//waaY//nagB//
AlsR	ilvE//wzb//sgbE//
AppY	hmp//folA//
AraC	dhaK//ulaD//glyA//
AraC-arabinose	bioA//ttdB//tehB//gcl//deoD//rutA//dkgA//argH//
ArgP	paaA//gatY//appA//citE//frdD//accA//fabI//ttdA//
ArgP-arginine	hycB//
ArgR-L-arginine	napG//tadA//tdcB//garL//leuA//gpmM//gapA//rpiB//uvrA//citF//icd//glcE//amn//mhpF//rnpB//mhpB//murI//ppc//ydcS//fabH//mdh//purA//ssuE//
ArsR	gcvT//purB//
AscG	hycB//phnL//
AsnC	carB//idnD//
AtoC-Phosphorylated	purF//fabB//ssuD//
BCCP	glgP//
BaeR-Phosphorylated	rffT//lysC//
BasR-Phosphorylated	bacA//astA//sbcD//
BetI	pncB//aceF//napG//
BirA-biotinyl-5-adenylate	ilvM//nirB//deoA//ygeA//leuA//
BluR	
BolA	rhaB//tam//
BtsR-Phosphorylated	rbsK//
CadC	puuC//aroG//lyxK//
CaiF-L-carnitine	pgk//glcF//purF//dinB//ilvI//
Cbl	moaE//glyA//deoB//srlD//galE//
CdaR	lldD//pyrD//nagB//citX//purC//glmU//recB//gdhA//phnG//
CecR	ada//
ChbR	dgcZ//trpE//paaA//
ChbR-N-monoacetylchitobiose-6-phosphate	sucC//atoD//dgkA//
ComR	
CpxR-Phosphorylated	entC//mhpA//gcvH//ndh//aroA//umuD//astB//napH//pgm//ribA//glcE//ubiC//umpH//caiB//citC//cyoE//bioA//adiA//srkA//argH//phnP//
Cra	kbl//relA//hycE//cueO//garR//cysM//eda//chbG//pepD//aroG//lysC//murE//sucC//ddlB//accD//ubiC//pnp//nagA//hmp//purF//sodA//hcaB//nfsB//carB//ssuE//thrS//ilvG_1//aroL//deoB//rtcA//ogt//uvrC//rsmH//moaC//rutB//fabB//hyaB//ssuE//dgcZ//purN//hyaC//pepD//tadA//gnd//uxaA//ychF//fucO//ttdB//glsA//ung//moaA//napA//mhpA//phnN//cueO//rutE//asnA//caiD//pgpC//
CreB-Phosphorylated	ulaG//aceA//
CsgD	patA//epd//entF//cysE//citG//
CsiR	murD//xapA//glgB//hycG//
CspA	sgbH//
CueR-Cu	torA//nagB//recF//ftsI//napG//
CusR-Pasp	wecC//nanM//dkgA//ynfF//
CynR	
CynR-cyanate	ccp//gcvP//kbaY//
CysB	bioF//ampC//
CysB-O-acetyl-L-serine	pnp//phnN//rtcA//eno//rhaD//fabH//glcF//hycC//hcaC//cadA//mraY//amn//recB//fadD//fdhF//
CytR	mhpC//tdcD//dgcN//aceB//ugpQ//idnK//ulaG//purF//grxA//mhpB//
Dan-L-tartrate	aceF//ynfG//
DcuR-Phosphorylated	uxaC//idnK//ldtB//astC//
DeoR	trpA//nrfA//tadA//fucA//hyaA//gnd//
DhaR	gadB//
DicA	
DinJ-YafQ	bacA//
DnaA-ATP	garD//nanM//aroF//cysN//gatZ//sdaA//
DpiA-Pasp	aroF//rutD//lhgO//gpmM//sucA//
DsdC-D-serine	caiA//dacC//
EbgR	
EnvR	hycC//yiaK//
EnvY	folA//mnmG//
EvgA-Phosphorylated	dinB//fadJ//xylA//chbF//rffM//idnK//
ExuR	relA//treC//sodB//sgbU//pgaB//fucA//
ExuR-alpha-D-galacturonate	
FabR	lyxK//prpC//ubiX//
FadR	ilvI//fes//amn//idnD//tehB//glnA//metB//fadD//ilvH//narG//nadB//alkA//paaJ//aroA//sbcD//mhpA//argH//phnN//amn//
FadR-acyl-CoA	
FeaR	frdA//uvrC//
FhlA-formate	nirD//cadA//katE//paaZ//dsdA//fabB//purM//gcvT//
FlhDC	phnO//frdC//aroL//hemH//amn//paaA//gloA//rhaB//glmU//melA//uvrC//tdcG//srkA//alkB//
FliZ	glxR//nagA//gatZ//fadJ//tyrA//
FucR-L-fuculose-1-P	phnL//bioF//feaB//ynfE//cynT//murG//
Fur-Fe2	umpH//ssuD//metK//yfdE//trpD//cysD//recB//cynT//pdeL//pnp//lldD//hcaB//hcp//uvrB//bacA//waaY//ybjG//argE//pyrD//lacA//lpxC//nemA//mraY//tynA//dhaK//recF//leuB//fabZ//ydcS//ldtC//accD//dhaK//alkA//nadB//sucA//rffT//dgcN//sodB//dgcZ//paaG//fucK//argG//hycG//frdB//alaA//alsE//avtA//srkA//torA//ilvG_1//deoA//galT//ttdB//glpX//garK//pgpC//entD//ahpF//moaC//speA//phoA//fruK//
GadE	rimK//metK//acnA//ydcS//waaY//cysH//hycD//purD//rutD//tehB//
GadE-RcsB	uvrB//metA//ahpF//cdd//waaH//
GadW	fadJ//citD//hyi//asnB//
GadX	ung//metE//frc//pgk//tktB//cysE//sdhA//glsA//astE//cyoE//pnp//malZ//glpX//rfe//
GalR	prpC//fadE//chbF//galK//glgP//glpA//
GalR-beta-D-galactose	carA//epd//hypB//asnB//recB//
GalS	hycB//codA//allB//uxaC//ruvA//rhaD//
GalS-beta-D-galactose	argF//rffC//gloA//cyoE//aroL//
GatR	prpE//astA//hcaB//
GcvA	yqhD//rutE//fadM//
GlcC-glycolate	cysE//pgk//aceF//
GlpR	lacA//sbcC//edd//cysH//ldtD//yeaE//cueO//
GlrR-Pasp56	
GntR	metF//entB//sgbE//mhpF//rffG//recB//mhpE//ndh//dmsA//
GutM	tyrA//glpQ//uxaC//
HU	dapD//folE//gcvP//ulaF//paaC//fabG//astA//
HcaR	
HcaR-HCA	glxK//ahpC//
HdfR	
HigA	atoD//
HigB-HigA	rffM//
HipAB	wzb//hyaB//
HipB	mpl//carA//metE//
HprR-Phosphorylated	phnP//ilvI//gatZ//psd//
HyfR	allD//
HypT-Met-oxidized	lysA//moeB//murD//galE//fadJ//ftnA//lpd//
IclR-pyruvate	yiaK//ruvA//nrfD//
IdnR-5-ketogluconate	tauD//guaB//phnH//sucD//nanA//
IlvY	
IlvY-S-2-acetolactate	mhpF//
IscR	phoA//paaG//metE//metC//rutD//pdeL//
IscR-2Fe-2S	nrdD//prpB//
KdgR	dgkA//puuD//
KdpE-Phosphorylated	galK//
LacI	paaI//paaF//fes//
LeuO	bacA//glcB//aspC//frdC//hyi//argI//
LexA	ilvC//acnA//entE//nrdF//treC//mazG//hcaE//sgbU//ycjG//frdD//citX//yfdE//rsmH//uvrB//uxaC//ydcS//gltD//udp//mtlD//gdhA//srlD//sgbH//malS//
LldR	argI//deoB//
LldR-S-lactate	chbG//xylA//
LrhA	
Lrp	glgX//sucB//aceA//dkgA//gor//phnP//hycG//psd//moaD//rpiB//bioB//wzc//allB//truB//rfe//bioB//codA//sbcD//tpiA//cysN//paaF//aceB//betB//ubiA//tdcD//atoD//nadB//ulaF//pgaD//sdhD//frdC//
Lrp-leucine	umuC//fucU//murG//sgbE//mhpC//udp//wzc//ldtD//hypF//lyxK//wecC//oxc//ddlB//glpC//oxc//fadM//purA//
LsrR	relA//yeaE//narI//sgbE//argF//
LysR	tdh//
MalI	araA//citD//
MalT-maltotriose-ATP	napB//phnH//leuD//treC//deoB//sodA//
MarA	ahpF//argH//leuD//pdeL//pgk//trpC//polB//accA//ahpF//phnH//pheS//fes//phnL//pgpC//pyrD//ppc//tnaA//lysA//sdhC//treC//phnO//sgbE//tktB//rbsK//
MarR	
MatA	ttdB//
MazE	fadI//
MazE-MazF	allE//
McbR	
MelR	ulaD//fucK//
MelR-melibiose	ung//sucB//
MetJ-adenosylmethionine	fucU//glnA//prpD//sucC//ycjG//napG//rtcA//bioD//alsE//aceA//
MetR	melA//mpl//
MetR-L-homocysteine	entF//metB//
MhpR-3HPP	astB//dmsC//recD//ilvH//serC//entH//
Mlc	dmsC//tehB//galT//fabZ//
MlrA	frc//
MngR	glgA//gdhA//
MntR-Mn2+	argE//idnK//
ModE-MoO42-	cysI//guaB//rpiB//wrbA//uvrA//fadH//paaJ//lpxD//asnA//ccp//bglB//lpxC//wecE//deoB//glpC//pheS//argG//
MprA	fadH//pgk//hcaE//
MqsA	glcB//prpE//
MraZ	glcE//sdaA//nanE//cyoE//purD//nfsB//pgaB//gcvP//bioA//rutB//
MurR	atoA//purK//glxR//
Nac	aspC//lldD//sdhB//patD//gntK//metA//mhpC//dacC//glgB//citF//wecE//
NadR	folA//dapD//leuD//hyi//
NagC	feaB//nrdD//gltD//lhgO//galM//ftnA//leuB//gdhA//eda//fucI//phoA//slt//cysE//nrfC//narG//tehB//waaZ//paaF//pgaC//
NanR	gnd//metA//ndh//pgpC//acnA//appA//
NarL-Phosphorylated	asnA//chbF//putA//caiD//gutQ//hyaC//fadM//prpE//purK//mnmG//allC//polB//cyoE//ruvA//alkB//paaF//fabD//tdcD//truB//metL//mhpD//uxuA//glsA//serC//ilvC//malY//feaB//paaF//sgbU//argA//moaD//phnH//caiB//pheS//argH//fadJ//prs//uxuB//fadE//lpxD//yedX//
NarP-Phosphorylated	cadA//nfsA//dkgA//rfe//ubiX//napG//glpQ//argH//hyaB//ahpC//allC//ldtD//purH//glpD//trpB//
NemR	waaH//eda//
NhaR-Na+	gutQ//metL//bioA//yedX//aceE//
NikR-Ni2+	cadA//
NimR	hcp//
NorR	speA//
NrdR-Zn2+	torA//glpK//lysA//betA//
NsrR	murG//mhpA//katE//citC//glyA//leuB//rhaD//torC//metF//torA//ilvA//malQ//rffT//malP//puuA//aceF//wrbA//bacA//ldtD//paaC//prpB//deoA//glxR//sdhA//sodA//mpaA//uvrC//sbcD//glpK//rbsK//glcD//leuD//bioB//bioC//glpX//pgm//moeA//ygeA//mtlD//dacC//
NtrC-Phosphorylated	dhaL//fabD//ftnA//prpD//mpl//trpE//phnI//murQ//yeaG//glpK//gpmA//acnA//cysC//wrbA//deoC//kbaZ//rffT//narH//tauD//pdeH//ssuE//
OmpR-Phosphorylated	dapD//caiB//gltB//gadA//nanA//allD//ygeA//tauD//
OxyR	gpmM//ada//grxA//uxaC//aroA//ulaG//gadB//yedX//adhE//wecB//ilvC//lysC//glpX//rsmH//phnP//recD//ubiX//
PaaX	hcaB//lpxA//paaH//paaB//tdcG//rffC//pck//tdcG//fadM//
PdeL	ilvD//
PdhR	purL//hcaD//pykF//narH//treC//citD//pspE//citX//rutC//folA//rffH//malS//ogt//asnA//speG//relA//caiB//frdC//allC//rffG//gatD//pagP//rbsK//phoA//lysC//
PepA	caiA//cdd//
PgrR	ssuD//purA//
PhoB-Phosphorylated	glcE//nirD//fabB//ampC//nfsB//metL//ubiX//mpaA//fbaB//ygeA//allC//codA//sodA//carA//idnD//ada//ascB//mpaA//nagB//prpE//
PhoP-Phosphorylated	citD//purC//caiB//recB//ldtB//fucU//zwf//sucA//sucD//metF//glmU//hemL//fbaA//glgP//nrdA//poxB//lpxC//nanK//napA//paaZ//mdh//cadA//caiD//hyaB//edd//nrdA//lsrK//mazG//phnH//trpC//argE//glcD//
PrpR-2S3S-2-methylcitrate	rsmH//moaD//gadA//napH//
PspF	metE//
PurR-hypoxanthine	glmS//ilvM//entD//speB//leuB//gltD//glpQ//paaH//prpD//malY//frdD//cysM//galK//rffT//dkgA//nanA//argE//accD//glpQ//pfkA//dadA//nrdB//fadE//ndh//phnO//purN//
PutA	nrfD//gcvT//
PuuR	hyaC//ttdA//phnM//prpB//pgm//nrdD//
QseB-Phosphorylated	
RbsR	mhpB//nanK//frc//glpK//paaF//
RcdA	entE//
RclR	
RcnR	alaC//
RcsAB	glpC//ruvB//nagB//
RcsB-BglJ	glcE//glpD//
RcsB-Pasp56	tdcD//dkgB//aceB//cysC//
RelB	yfdE//
RelB-RelE	fadE//
RhaR-alpha-L-rhamnopyranose	
RhaS	pepD//
RhaS-alpha-L-rhamnopyranose	lsrK//malQ//galT//gpmM//
Rob	kbaZ//entE//rutB//fabA//ulaD//paaK//pyrC//fadB//rtcA//yqhD//uxaB//araD//codA//nanE//astA//tynA//purH//rffG//gloA//
RstA-Phosphorylated	caiC//mhpC//polA//
RtcR	argI//luxS//
RutR	paaA//appA//dmsC//deoD//lacA//araA//rhaD//glgB//hemH//ahpC//folA//
SdiA	
SgrR	melA//gcl//ung//
SlyA	astB//lpxD//puuC//treC//aspC//katE//phnG//avtA//pck//
SoxR	rtcB//cdd//araB//tdcE//betB//iscS//
SoxS	gatY//rbsK//wecE//glxR//malS//speG//psd//allB//speG//gatY//sgbE//fumB//metL//pykF//cysK//dinB//speB//pdeH//aceE//ynfF//kbaZ//aceE//prpD//hcaF//yqjH//frdD//lldD//ppsA//
SrlR	ilvE//sdaA//sbcD//
StpA	citC//gabD//rimK//
SutR	fabB//citD//
TdcA	ndh//glxR//argF//tyrA//mraY//
TdcR	eno//polB//ahpC//lyxK//tdcD//
TorR-Phosphorylated	glnA//sdhD//uxaA//tauD//
TorR-TorI	glyA//
TreR	ubiX//alkA//
TrpR-tryptophan	glpB//aceA//fumB//cyoE//citE//allE//rffM//uxaC//argE//
TyrR	paaB//
TyrR-phenylalanine	rtcB//dsdA//
TyrR-tyrosine	ruvA//yeaE//deoD//dgcC//waaY//lhgO//allE//moeA//
UhpA-Phosphorylated	ulaD//
UidR	dkgB//fumB//
UlaR	ppsA//pdeH//bioF//prpD//nrfD//
UvrY-Phosphorylated	bioC//gcl//
UxuR	uxaC//fabG//hycC//pnp//phnI//
XapR-xanthosine	yeaE//speG//
XylR-xylose	moaD//leuC//dapD//
YdeO	allA//ilvI//leuC//
YefM	frdD//
YefM-YoeB	alkA//
YeiL	
YhaJ	
YiaJ	katG//purN//malQ//chbF//waaZ//poxB//
YjjQ	araD//glpK//
YpdB-Phosphorylated	
YqhC	araD//ampC//
YqjI	gabD//
ZntR-Zn2	lysU//
ZntR-Zn2+	hycB//
ZraR-Phosphorylated	
Zur-Zn2	nagB//
Zur-Zn2+	narH//
