# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	paaK//astE//
Ada	mhpE//ogt//sdhD//fabZ//
AdiY	hyi//pnp//psd//bglB//
AgaR	fucO//
AidB	moeB//
AlaS-L-alanine	metE//
AllR-allantoin	gltD//paaH//lldD//uvrB//phnJ//gloA//
AllS-allantoin	allA//avtA//nagA//
AlsR	glpC//appA//fabI//
AppY	fau//acnA//
AraC	lpxC//citC//slt//
AraC-arabinose	uxuA//nrdF//trpA//allE//hcaF//guaA//patD//murG//
ArgP	patD//avtA//appA//sdaA//trpA//nanE//ascB//ppiA//
ArgP-arginine	gapA//
ArgR-L-arginine	lpxC//araD//glcB//argG//galM//pdeR//nirB//frdD//nfsA//eda//purL//pspE//fabZ//frdA//fabA//atoB//hcaD//ppc//alaS//sucC//nfsA//moaA//lpxD//
ArsR	mdh//rimK//
AscG	phnN//malP//
AsnC	phnI//lysU//
AtoC-Phosphorylated	fabI//nanK//pspE//
BCCP	trpE//
BaeR-Phosphorylated	ppc//ilvH//
BasR-Phosphorylated	rffT//uxaA//fabB//
BetI	prs//sdhB//cysN//
BirA-biotinyl-5-adenylate	fabH//astD//rffH//paaI//hycC//
BluR	
BolA	kbl//fabI//
BtsR-Phosphorylated	hcp//
CadC	lysU//glgP//garK//
CaiF-L-carnitine	dgcN//nirD//napG//sgbE//udp//
Cbl	ldtC//fadB//metC//waaH//rsmH//
CdaR	fbaA//recF//fumC//dkgA//prpE//glpD//glpC//ulaG//luxS//
CecR	ilvM//
ChbR	serA//betA//hemH//
ChbR-N-monoacetylchitobiose-6-phosphate	ndh//caiC//wecE//
ComR	
CpxR-Phosphorylated	hemH//paaZ//argE//adhE//nrdE//ubiA//rffT//leuA//glxK//dhaM//folA//galK//tdcG//sgbH//nagA//mdh//fbaA//entA//adiA//carA//ruvA//
Cra	edd//aceF//icd//leuB//paaG//entH//guaA//pgi//allE//carA//citE//chbF//allB//ccp//argH//aceB//purA//rutE//alaS//purH//phnI//ung//galE//rutC//murC//recB//ynfE//fadM//frdC//nfsB//astB//uxuB//tdh//sucA//trpC//pgi//allB//pyrC//fbaB//nagB//fadA//entE//caiD//icd//ulaF//dsdA//waaZ//sodA//lysA//fumB//sucC//allC//glpK//napB//acnA//argF//dmsC//murC//hcp//
CreB-Phosphorylated	mraY//paaB//
CsgD	dacC//ugpQ//rtcA//aceA//phnJ//
CsiR	paaB//napA//entH//glcD//
CspA	uvrC//
CueR-Cu	edd//entE//yqjH//glnA//lacA//
CusR-Pasp	dhaL//relA//ssuD//oxc//
CynR	
CynR-cyanate	nrfD//garR//fumB//
CysB	alaS//tktB//
CysB-O-acetyl-L-serine	glgC//gadB//dgcN//rhaB//fdhF//yqhD//ynfF//alkA//ubiA//galM//accD//speB//alkB//leuC//sucC//
CytR	napH//ada//rffM//sodA//lsrF//garL//argI//mtlD//entF//glyA//
Dan-L-tartrate	fabZ//waaZ//
DcuR-Phosphorylated	fbaA//entD//speG//pykF//
DeoR	metL//purC//psd//cysK//deoC//epd//
DhaR	tauD//
DicA	
DinJ-YafQ	purA//
DnaA-ATP	murF//gntK//malQ//atoD//hemL//tdcB//
DpiA-Pasp	pdeR//mhpF//sgbU//phr//polB//
DsdC-D-serine	lysU//glxK//
EbgR	
EnvR	hycF//hycC//
EnvY	sucB//glgB//
EvgA-Phosphorylated	deoC//ccp//leuA//fes//moaC//gdhA//
ExuR	rutC//purF//trpD//nanA//putA//phnI//
ExuR-alpha-D-galacturonate	
FabR	napB//rutA//truB//
FadR	sucB//ogt//puuB//cysC//metE//rbsK//argF//fabB//ribA//gpmA//phnG//bioD//citX//mhpF//allC//purC//rhaB//nanE//ilvD//
FadR-acyl-CoA	
FeaR	ilvH//pheT//
FhlA-formate	purD//mhpE//acnA//fadB//dadA//purF//pheT//napH//
FlhDC	pfkA//nemA//ldtB//hcaD//rtcA//torA//cysD//leuD//uxuA//sdhD//ruvA//dkgA//purK//fau//
FliZ	pyrD//gapA//caiC//rbsD//hycE//
FucR-L-fuculose-1-P	pgpC//glcD//lsrF//frdC//tdcG//ldtB//
Fur-Fe2	wecE//rffH//fabI//aceE//araB//uvrB//ynfE//cysM//sdaA//fdhF//ulaF//moaE//ssuD//garK//acnB//nfsB//srkA//gor//narG//dkgA//fadH//nirB//rutB//paaY//wecE//rpiB//alkA//nrdA//ruvB//amn//murE//cysN//paaE//pykF//rsmH//galE//tynA//lysC//tyrB//moaE//pgpC//fadH//idnD//purH//ahpC//dgcC//ttdA//gatZ//garD//dadX//entB//appA//ldtB//paaA//ygeA//wrbA//metL//wecE//polA//xylB//fbaA//phnP//
GadE	sdhA//purH//lsrK//hcaE//puuB//truB//dadA//alkB//garK//gutQ//
GadE-RcsB	fruK//icd//aroF//iscS//fau//
GadW	ilvM//speA//cadA//ttdB//
GadX	leuA//gudD//malZ//avtA//iscS//paaA//astD//bglB//nrfD//pgk//alaS//narI//pgk//rutA//
GalR	pspE//fruK//ada//pgaB//glpX//tpiA//
GalR-beta-D-galactose	srlD//prpC//prs//gadB//tktB//
GalS	hycG//mngB//phnL//frc//sbcC//ung//
