# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	sdhB//lsrG//
Ada	leuC//caiB//ung//mhpF//
AdiY	glcF//glmU//glcF//fau//
AgaR	garD//
AidB	dmsA//
AlaS-L-alanine	mhpC//
AllR-allantoin	hycG//fadI//phnP//purD//phnO//alaC//
AllS-allantoin	hycF//citG//mnmG//
AlsR	leuC//paaK//bioB//
AppY	gatY//tyrB//
AraC	paaE//nirB//mhpE//
AraC-arabinose	malY//argG//ynfE//uxaB//dsdA//ulaG//purE//puuA//
ArgP	allE//glpX//paaC//rffC//treC//lysA//polB//ampC//
ArgP-arginine	ulaE//
ArgR-L-arginine	waaZ//lsrG//carA//chbG//wecE//moeA//fucI//sodA//nagA//puuB//hycF//dhaM//araA//aspA//fucU//ndh//wecC//nanA//napH//folE//kbaY//ilvC//allC//
ArsR	sdhA//nanA//
AscG	purM//ppiA//
AsnC	fumB//umuC//
AtoC-Phosphorylated	rimK//prpB//hycB//
BCCP	acnB//
BaeR-Phosphorylated	allB//rffG//
BasR-Phosphorylated	prs//nagA//entE//
BetI	glgC//narH//speA//
BirA-biotinyl-5-adenylate	lacZ//pck//pykF//glpB//ubiA//
BluR	
BolA	pgi//citX//
BtsR-Phosphorylated	glgA//
CadC	mpaA//ychF//adhE//
CaiF-L-carnitine	murG//gntK//oxc//wrbA//paaF//
Cbl	allE//cysH//glpK//zwf//gpmM//
CdaR	adhE//trpA//gapA//carA//asnB//fumC//purC//tdh//gltD//
CecR	narH//
ChbR	glpD//talA//speB//
ChbR-N-monoacetylchitobiose-6-phosphate	tdh//alsE//cysJ//
ComR	
CpxR-Phosphorylated	sdhA//tnaA//astB//tdcG//allB//tdcG//sgbU//malP//argB//aldA//uvrA//mtlD//murG//glsA//alaA//nrfA//glnA//lpd//uvrC//umuC//galM//
Cra	recD//gadB//purD//leuC//lpxD//dinB//trpB//gnd//putA//mpaA//uvrA//kbaZ//glgB//pncB//waaY//metB//metH//rbsD//aceA//yedX//chbF//deoB//asnB//pykF//argI//murG//chbF//araB//fbaA//rutC//entE//fes//polB//uidA//glyA//tpiA//citF//lhgO//pck//dkgA//ubiX//accC//lacZ//fes//purL//nrdE//feaB//dgkA//lpxA//alkB//phnN//glsA//ilvE//pgpC//malQ//aroL//waaZ//metK//glpC//
CreB-Phosphorylated	appA//gadB//
CsgD	entF//sucD//pgpC//narG//katE//
CsiR	nagB//fumC//aceA//patD//
CspA	asnA//
CueR-Cu	ynfE//sucB//ynfH//hycC//narH//
CusR-Pasp	nanE//ulaF//cynS//glgC//
CynR	
CynR-cyanate	wrbA//trpA//sbcC//
CysB	hycG//pheT//
CysB-O-acetyl-L-serine	entD//cysM//ycjG//trpB//sdhC//rbsK//rbsK//ada//rutE//paaI//recD//ttdB//hcaC//wrbA//nirD//
CytR	ilvH//citX//nirD//nrfA//ilvM//citF//kbl//glpA//purD//gabD//
Dan-L-tartrate	ftnA//ldtC//
DcuR-Phosphorylated	fbaA//nfsB//putA//appA//
DeoR	rbsD//pncB//narI//phnH//dgkA//lacZ//
DhaR	gatD//
DicA	
DinJ-YafQ	gudD//
DnaA-ATP	feaB//pgaC//entC//paaI//alsE//paaG//
DpiA-Pasp	talA//feaB//citF//hcaD//gadA//
DsdC-D-serine	hyaB//prpB//
EbgR	
EnvR	rutD//dhaM//
EnvY	ilvH//glpA//
EvgA-Phosphorylated	ruvB//ynfH//luxS//ppsA//speB//citX//
ExuR	folE//grxA//eno//ruvB//ahpC//dadA//
ExuR-alpha-D-galacturonate	
FabR	yfdE//fabA//purF//
FadR	uvrB//moaD//metE//murF//murG//gapA//fucK//caiB//bioD//glcD//trpA//entA//aceF//sucD//deoD//garK//patD//rsmH//metL//
FadR-acyl-CoA	
FeaR	dmsB//psd//
FhlA-formate	ldtD//nanE//tynA//fumC//nadA//fadB//rimK//moaD//
FlhDC	prs//nrdE//murF//bioF//allA//gutQ//entF//ruvB//torC//gltB//atoA//glpQ//polA//epd//
FliZ	edd//rffT//puuA//pdeR//argD//
FucR-L-fuculose-1-P	nirB//ychF//sucB//cysK//dhaM//rutA//
Fur-Fe2	pdeH//edd//phnO//speA//torA//serA//kbaY//icd//hycB//gadB//guaB//gudD//lpxD//glcE//dhaM//dapD//gatD//gcl//prpB//gor//idnO//nfsA//lsrG//ppc//hemH//nrdD//gpmA//mraY//rffG//rutC//cyoE//dgcN//rffH//bioF//speG//glgP//wzc//lyxK//tynA//paaF//tdcD//nrdB//hcaF//caiC//amn//pdeR//yqhD//ynfF//argH//srlD//speA//nadA//mtlD//xylA//hcaF//grxA//caiD//fabH//mltF//ybjG//mpl//ldtB//
GadE	rffM//lysU//glpB//waaH//purF//dhaK//trpE//rsmH//frdB//serA//
GadE-RcsB	glxK//aroA//ynfE//dmsB//prpB//
GadW	talA//pepD//wzc//nanE//
GadX	tauD//xylA//uxuA//poxB//uxaA//psd//moeA//purB//astA//murG//leuB//ulaE//fadE//fbaA//
GalR	idnO//wecC//idnD//murD//aroA//uxaB//
GalR-beta-D-galactose	asnB//bioB//tdcD//purE//fucU//
GalS	uvrA//paaH//sufS//murI//gntK//wecB//
GalS-beta-D-galactose	dmsA//alsE//sdhD//glnA//fadE//
GatR	chbG//nagB//argI//
GcvA	nanE//nfsA//rtcB//
GlcC-glycolate	glgC//hcaE//rimK//
