# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	prs//fadI//
Ada	paaH//speA//pgpC//wecC//
AdiY	glmS//waaH//gltB//metH//
AgaR	ndh//
AidB	atoB//
AlaS-L-alanine	mazG//
AllR-allantoin	putA//fucO//tyrA//rtcB//polA//psd//
AllS-allantoin	srkA//mhpC//argI//
AlsR	glmU//cueO//kbl//
AppY	phnI//dhaK//
AraC	entC//rsmH//purN//
AraC-arabinose	trpC//pflB//phnP//torA//araB//guaA//mtlD//rutE//
ArgP	dmsC//tynA//ruvB//purM//metC//dgkA//astB//glxR//
ArgP-arginine	udp//
ArgR-L-arginine	paaH//uxaC//ulaF//glk//mngB//betA//ssuE//rffT//malQ//gnd//glpD//hyaC//uxuB//speG//pncB//nemA//rbsK//fucO//leuA//hycF//psd//hemH//mhpD//
ArsR	galE//aroA//
AscG	ynfH//cysH//
AsnC	patA//adiA//
AtoC-Phosphorylated	ychF//mltF//cadA//
BCCP	hypB//
BaeR-Phosphorylated	idnK//zwf//
BasR-Phosphorylated	phnL//waaY//patD//
BetI	yeaE//leuA//galK//
BirA-biotinyl-5-adenylate	allE//truB//dmsB//nrfC//rhaB//
BluR	
BolA	fucK//wzb//
BtsR-Phosphorylated	xylA//
CadC	cysI//rffM//recB//
CaiF-L-carnitine	lpxD//narH//gabD//wecB//gltD//
Cbl	gpmM//cysK//chbF//deoA//sgbE//
CdaR	pyrC//uxaC//slt//icd//napG//citD//lhgO//aroF//tdcG//
CecR	recB//
ChbR	gcvH//pgm//waaY//
ChbR-N-monoacetylchitobiose-6-phosphate	nrfA//rutE//sdhD//
ComR	
