# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	alkB//nanA//
Ada	malS//ogt//leuA//glxR//
AdiY	yqjH//atoD//fabA//moaC//
AgaR	aroL//
AidB	dkgB//
AlaS-L-alanine	nrdF//
AllR-allantoin	sufS//slt//fruK//tktB//sodB//appA//
AllS-allantoin	dgcZ//patD//trpE//
AlsR	gpmA//epd//glk//
AppY	nrdF//cysE//
AraC	feaB//pck//glcD//
AraC-arabinose	malY//fruK//talA//deoA//adhE//sgbU//cysC//speB//
ArgP	dgkA//ulaF//rutC//gdhA//frdA//fabH//bioA//hemL//
ArgP-arginine	frdC//
ArgR-L-arginine	phr//ruvB//cysE//tdcE//glgP//atoB//lacA//hcaC//cysC//ppiA//sdhA//paaE//mdh//hmp//mngB//deoD//ccp//fabZ//caiB//avtA//truB//adiA//pgaC//
ArsR	nadB//metA//
AscG	allB//sdaA//
AsnC	accA//tdcB//
AtoC-Phosphorylated	aceA//prpD//garR//
BCCP	narG//
BaeR-Phosphorylated	hyaB//gloA//
BasR-Phosphorylated	napA//sucC//cynT//
BetI	rutC//glmS//purE//
BirA-biotinyl-5-adenylate	nanM//citE//narI//gloA//cysC//
BluR	
BolA	gatY//yeaE//
BtsR-Phosphorylated	pgpC//
CadC	aroH//galE//prs//
CaiF-L-carnitine	fruK//garL//accC//aldA//allC//
Cbl	sucD//gcvH//srkA//gutQ//rffH//
CdaR	ndh//allE//nrfA//pykF//uxaA//cysE//pfkA//ahpC//argB//
CecR	speB//
ChbR	cueO//feaB//gntK//
ChbR-N-monoacetylchitobiose-6-phosphate	sbcD//nrdB//phnH//
ComR	
CpxR-Phosphorylated	accD//ydcS//pykF//uvrC//pgi//bioC//cdd//paaB//ynfH//aroF//aceB//tpiA//aceE//paaA//torA//nadA//sgbU//phnI//lsrK//hyaA//ynfF//
Cra	rtcB//mhpA//wzb//nrfD//pgaD//gatY//glcB//pdeH//pgi//lpxC//argB//pgk//dgcC//nadA//purH//sodA//fumC//phoA//lysC//murE//wecB//entC//alaC//allC//purH//ilvD//garR//speA//adhE//glxR//lhgO//nirD//purF//rhaD//allE//slt//ldtC//hyi//ppc//fabA//cysK//aceB//nrdA//murE//epd//ruvB//hcp//ynfG//phnH//nrdF//nanK//fadB//dadA//fabD//rutA//melA//gudD//pgm//rffC//
CreB-Phosphorylated	ilvH//trpB//
CsgD	fabB//caiC//serA//phnG//speA//
CsiR	ruvB//relA//glgA//cysC//
CspA	ilvH//
CueR-Cu	purB//argH//allC//fbaA//phnM//
CusR-Pasp	cysJ//glpQ//glpK//nfsB//
CynR	
CynR-cyanate	pheS//cdd//malZ//
CysB	fadM//dkgA//
CysB-O-acetyl-L-serine	frc//speG//malY//glcD//pgk//alaA//sgbE//cysE//glcF//dhaM//lacZ//mraY//gntK//nagA//sdaA//
CytR	icd//murE//rfe//gatZ//tdh//rbsK//hemH//argH//treC//hycC//
Dan-L-tartrate	glnA//nrdB//
DcuR-Phosphorylated	purA//rnpB//caiB//treC//
DeoR	ubiC//gcl//glmU//recF//malY//puuE//
DhaR	frdA//
DicA	
DinJ-YafQ	waaY//
DnaA-ATP	ilvE//sgbE//aroF//frdA//glpC//caiB//
DpiA-Pasp	puuE//argH//galM//cysC//mnmG//
DsdC-D-serine	umpH//tauD//
EbgR	
EnvR	gadA//rffT//
EnvY	entH//ugpQ//
EvgA-Phosphorylated	purK//avtA//adhE//pheT//astC//galE//
ExuR	puuD//allA//rffC//trpD//hemH//purE//
ExuR-alpha-D-galacturonate	
FabR	ycjG//leuD//aceA//
FadR	dgkA//cynT//ppsA//nagA//deoA//kbaY//dadX//uxuA//hyaB//eno//paaF//phnI//malY//caiB//mpaA//ascB//gapA//sbcD//lsrK//
FadR-acyl-CoA	
FeaR	waaY//rpiB//
FhlA-formate	allA//hcaC//deoA//ilvE//fabI//carA//trpC//ogt//
FlhDC	fadH//glpQ//nfsB//srkA//galM//hyaB//malZ//adiA//gloA//moeA//speB//dadX//sgbH//ilvM//
FliZ	hcaC//sucD//fucO//purN//fabZ//
FucR-L-fuculose-1-P	dacC//tyrB//srlD//mhpA//hcaC//glsA//
Fur-Fe2	fau//cdd//gabT//hcaE//gor//dgcC//nanM//cysN//ascB//paaK//recF//glcF//wrbA//mazG//xapA//aldA//nrfA//galE//alkB//metC//fabG//mhpD//fucU//betA//yedX//napA//torA//napB//xapA//lpd//sodB//hyaC//atoD//kbaZ//hycG//pgm//glpK//astD//garK//phnG//nagA//lpd//nrfD//nirB//purN//rimK//hcaC//acnA//malY//pspE//aceA//pgaD//atoA//dhaM//hcp//lsrF//rffT//entA//purL//allB//udp//bioC//
GadE	ssuD//nirD//ilvC//aroL//tyrB//rnpB//fadM//aspA//ahpF//sdhD//
GadE-RcsB	cysM//glxK//nrfA//psd//uvrB//
GadW	alaS//ilvG_1//accC//ahpF//
GadX	dapD//speB//hycG//oxc//patD//phnI//glnA//aroF//napB//polA//ynfF//nrdD//pck//speB//
GalR	dkgA//serC//serA//lyxK//uvrC//glgA//
GalR-beta-D-galactose	dmsC//hcaC//gatZ//rffC//metL//
GalS	pgaC//tauD//napA//narG//idnO//hemH//
GalS-beta-D-galactose	astB//wzc//lacZ//hyaB//tdcB//
GatR	fbaB//fucI//asnB//
GcvA	ilvI//ppc//caiC//
GlcC-glycolate	moaC//sgbH//eno//
GlpR	ugpQ//hcp//puuE//frdB//sgbU//metH//yfdE//
GlrR-Pasp56	
GntR	ynfE//mpl//uxuB//gatD//ugpQ//pfkA//pdeR//nrdD//trpE//
GutM	moaA//hyaC//dkgA//
HU	rhaD//mazG//malP//pfkA//nfsA//purK//paaH//
HcaR	
HcaR-HCA	lsrK//psd//
HdfR	
HigA	araB//
HigB-HigA	chbF//
HipAB	ygeA//aceF//
HipB	mtlD//ybjG//cysE//
HprR-Phosphorylated	nrfD//hemL//glnA//aceA//
HyfR	fabZ//
HypT-Met-oxidized	fabD//phnI//hycE//nirD//umuD//eda//mhpE//
IclR-pyruvate	nadB//fabA//srkA//
IdnR-5-ketogluconate	sufS//ynfE//lacZ//guaA//rbsD//
IlvY	
IlvY-S-2-acetolactate	talA//
IscR	tyrA//appA//sucA//ynfE//citE//uxuA//
IscR-2Fe-2S	cueO//nfsA//
KdgR	ahpF//pheS//
KdpE-Phosphorylated	chbG//
LacI	leuB//alaC//trpE//
LeuO	alkB//cysC//phnP//aspC//sodA//pheS//
LexA	paaK//hcaE//nrdE//relA//rpiB//gabT//eno//aspA//iscS//rpiB//ulaE//srkA//recD//alkA//pgm//nrdD//hyi//relA//rffM//eno//poxB//deoB//pdeR//
LldR	murF//gor//
LldR-S-lactate	puuB//lacA//
LrhA	
Lrp	prpE//grxA//argH//ftsI//entA//hyaA//astE//trpB//argG//fumB//ygeA//lysC//puuD//hypB//mltF//ilvE//pepD//ahpC//cysC//ulaE//nfsB//nrdD//sgbE//dkgB//frdB//yedX//pflB//glpX//pyrC//metL//argE//
Lrp-leucine	dhaM//aceE//pflB//nrdE//mazG//acnB//puuC//ndh//eno//metA//trpA//ppiA//uxaC//paaZ//edd//luxS//phnL//
LsrR	bioD//ppc//nanE//paaJ//rffT//
LysR	glgP//
MalI	cysM//garK//
MalT-maltotriose-ATP	wecB//entB//ulaG//ppiA//narH//rimK//
MarA	ulaF//glxK//dmsA//patD//nanM//cysM//purF//alsE//ilvM//napG//cysH//paaF//purC//pck//epd//gabD//zwf//nrfA//lsrF//mnmG//murG//sucC//puuC//mazG//
MarR	
MatA	ilvA//
MazE	rutD//
MazE-MazF	fadD//
McbR	
MelR	rffH//gadB//
MelR-melibiose	tynA//caiB//
MetJ-adenosylmethionine	entD//garD//glmS//fabA//katG//rhaB//yedX//gabD//asnA//purK//
MetR	ruvA//chbG//
MetR-L-homocysteine	murD//atoA//
MhpR-3HPP	gcvT//rffC//dkgA//glsA//fucI//alkA//
Mlc	speA//trpA//malS//metF//
MlrA	paaZ//
MngR	wecC//tauD//
MntR-Mn2+	tam//accD//
ModE-MoO42-	adhE//caiC//glpK//gatY//hemL//rimK//prpD//malQ//fabA//nemA//cysH//puuD//grxA//umuD//ilvG_1//allD//ilvE//
MprA	ascB//paaF//rutC//
MqsA	talA//glpD//
MraZ	cysH//cysD//nrdD//prpD//fucA//metF//frdA//gabT//malS//gapA//
MurR	narG//asnB//ahpC//
Nac	argG//fabH//ycjG//ftsI//purB//cyoE//ttdB//murF//ahpF//gatY//paaH//
NadR	waaY//frdC//rtcA//narI//
NagC	ttdB//pgk//dapD//ldtC//fbaA//ftsI//astB//deoC//phnL//metL//srlD//accD//argA//fes//hycG//puuB//sucA//purL//purC//
NanR	pykF//ttdB//entF//lysU//deoB//allC//
NarL-Phosphorylated	murD//glpQ//nagB//paaE//purF//bioD//dapB//dadX//argD//glsA//srlD//glcF//mhpF//rffC//galT//frdB//ppiA//bioD//nrdA//waaZ//gntK//sdaA//ppsA//speA//wrbA//polA//fumB//nrdE//fbaB//ddlB//yeaG//paaB//glmU//cysJ//uvrC//moaA//aroH//rffH//gloA//mhpA//luxS//
NarP-Phosphorylated	nrdA//mpl//lpxD//ynfH//ilvH//wecE//prs//nrfC//hycD//gcvH//garL//trpB//uxuA//trpD//ttdA//
NemR	ynfE//edd//
NhaR-Na+	ynfG//ilvC//metB//araD//gcl//
NikR-Ni2+	astA//
NimR	psd//
NorR	phnN//
NrdR-Zn2+	purH//deoB//mnmG//aroG//
NsrR	nagA//hycD//araD//melA//cdd//entC//metH//garK//iscS//paaK//fabD//fadD//purB//speG//ribA//ogt//puuD//napG//aceF//uxaB//ulaD//malQ//katE//ung//ydcS//nrfC//ygeA//mazG//nadA//astB//moaC//astC//citE//aceF//metA//bioD//sdhB//caiB//rutB//fabZ//
NtrC-Phosphorylated	wecE//hemH//cysM//umuC//sgbU//citF//glmS//rsmH//hmp//pflB//serA//ruvA//moaE//purA//cueO//gudD//bglB//pykF//prpC//treC//prpC//
OmpR-Phosphorylated	nirB//hcaC//dhaM//aroF//mtlD//nfsB//kbaY//rffM//
OxyR	rbsD//glgA//argD//atoA//hemH//aroG//lsrF//kbaZ//mnmG//ppsA//cadA//araA//yeaG//ddlB//carA//cysG//slt//
PaaX	argF//frc//nrdB//glsA//pagP//glcF//purN//fadJ//caiB//
PdeL	fadE//
PdhR	dapB//pck//gcvT//cysI//ppiA//mhpD//ynfH//mnmG//hcaF//ppiA//cynS//fadJ//ulaD//feaB//cueO//fbaB//glgX//bioD//accC//argG//uvrB//pagP//astD//ynfH//citC//
PepA	astE//oxc//
PgrR	fucI//gabT//
PhoB-Phosphorylated	ulaG//phnL//ung//gnd//aroH//ssuE//uxuB//rutB//citE//mhpD//ndh//moeA//citX//leuA//gatD//nfsB//frdD//pgaB//uvrA//ilvD//
PhoP-Phosphorylated	sgbH//torC//glpX//argI//hypB//pdeR//fadA//idnK//pheT//folE//pck//puuB//alsE//ribA//ycjG//bioA//grxA//polB//cysK//xylB//katG//yqjH//cysE//moeB//metL//allC//entE//mpaA//edd//araD//hypB//atoD//
PrpR-2S3S-2-methylcitrate	rbsD//dkgA//dgcZ//malQ//
PspF	xylB//
PurR-hypoxanthine	allA//citG//hcaB//argA//pheT//prpD//rfe//nrdD//glcB//aceE//pncB//ung//caiC//dmsC//kbl//adiA//sucC//nrdA//pnp//garR//metH//cysC//ftnA//ppc//ftsI//paaB//
PutA	dacC//mhpB//
PuuR	paaE//ygeA//frdD//paaY//patA//dgkA//
QseB-Phosphorylated	
RbsR	srlD//glgC//cyoE//cdd//edd//
RcdA	waaZ//
RclR	
RcnR	mhpA//
RcsAB	ampC//wecB//aroG//
RcsB-BglJ	nagB//rutC//
RcsB-Pasp56	metE//ilvC//ynfH//ulaE//
RelB	dgcN//
RelB-RelE	wecB//
RhaR-alpha-L-rhamnopyranose	
RhaS	paaK//
RhaS-alpha-L-rhamnopyranose	rffM//pyrD//dgkA//metE//
Rob	gapA//ung//cysH//garD//pgk//uvrC//narH//nrdF//mpaA//nrdF//epd//ttdB//glxK//hycB//metF//citD//lysC//hcaE//recF//
RstA-Phosphorylated	hycB//hmp//argE//
RtcR	relA//allE//
RutR	metF//nanK//argI//ahpC//rtcA//ulaD//pyrD//eda//murC//folE//ampC//
SdiA	
SgrR	epd//ynfG//moeA//
