# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gadB//lsrG//
Ada	ybjG//glcF//uxaB//idnK//
AdiY	entD//argE//aceB//nrfD//
AgaR	phoA//
AidB	hcaD//
AlaS-L-alanine	argD//
AllR-allantoin	argH//metL//phnH//aspC//dgkA//glgA//
AllS-allantoin	lpxA//lysA//paaG//
AlsR	ilvG_1//rffG//katE//
AppY	hcaC//hyi//
AraC	fumB//phr//uxuA//
AraC-arabinose	citF//metK//kbaZ//tdh//rimK//mdh//prpE//ulaD//
ArgP	dgcZ//bioA//waaH//gadA//pgm//fabD//puuE//betA//
ArgP-arginine	entH//
ArgR-L-arginine	acnB//alaS//asnB//ttdB//caiA//puuE//lpd//amn//lsrF//adhE//ynfF//aroH//udp//purE//ribA//mtlD//aroL//purH//recF//patD//iscS//astE//alaS//
ArsR	dapB//pgm//
AscG	lacA//rbsD//
AsnC	bioF//citD//
AtoC-Phosphorylated	betB//uvrC//ilvI//
BCCP	aceE//
BaeR-Phosphorylated	tehB//speA//
BasR-Phosphorylated	bioA//pdeR//polB//
BetI	ddlB//avtA//dkgA//
BirA-biotinyl-5-adenylate	citD//mtlD//pheS//argH//lyxK//
BluR	
BolA	sucA//ttdA//
BtsR-Phosphorylated	wrbA//
CadC	tadA//uvrA//citE//
CaiF-L-carnitine	lpxC//nrfC//rpiB//hemH//citG//
Cbl	fadJ//paaY//avtA//aceE//ogt//
CdaR	ada//ybjG//sodB//citX//paaG//tnaA//gapA//wecB//murQ//
CecR	truB//
ChbR	gutQ//talA//gatD//
ChbR-N-monoacetylchitobiose-6-phosphate	ldtD//srkA//phr//
ComR	
