# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	prpE//hcaE//
Ada	pgpC//ilvA//moaE//araB//
AdiY	glgC//malY//hcaC//idnK//
AgaR	metK//
AidB	cynS//
AlaS-L-alanine	entH//
AllR-allantoin	puuD//ftsI//folE//paaI//hcp//narG//
AllS-allantoin	umpH//pyrC//fbaB//
AlsR	umpH//fucA//gatZ//
AppY	mltF//gpmM//
AraC	lyxK//citG//cysH//
AraC-arabinose	galM//tdcE//garK//ilvC//gnd//fabB//rhaB//pflB//
ArgP	murI//leuB//cadA//bglB//garK//amn//fucI//astA//
ArgP-arginine	accC//
ArgR-L-arginine	pyrC//purF//udp//purE//lsrF//phnO//ccp//sgbH//psd//aceF//cynS//rhaA//leuC//ilvA//gatY//melA//glpA//trpE//deoD//hycD//glpK//dapD//uidA//
ArsR	citC//murD//
AscG	rsmH//entE//
AsnC	udp//moaA//
AtoC-Phosphorylated	phnL//aldA//nrdD//
BCCP	nanA//
BaeR-Phosphorylated	prpB//iscS//
BasR-Phosphorylated	wrbA//paaK//atoD//
BetI	uidA//malQ//talA//
BirA-biotinyl-5-adenylate	hcaE//gcvP//recB//ynfE//sufS//
BluR	
BolA	wecB//tadA//
BtsR-Phosphorylated	dhaM//
CadC	phnN//paaC//sucB//
CaiF-L-carnitine	oxc//glxK//sdhD//dgcN//atoD//
Cbl	ilvE//sucB//serA//pgaB//napB//
CdaR	citC//fabZ//rffT//leuC//pykF//cysH//aspC//paaC//waaZ//
CecR	phr//
ChbR	srlD//hcaB//murE//
ChbR-N-monoacetylchitobiose-6-phosphate	astB//fabH//betA//
ComR	
CpxR-Phosphorylated	cysH//prpE//allB//cysN//hmp//srlD//ascB//avtA//ynfE//ilvG_1//tdcE//lpxA//cdd//idnD//glxR//wzc//appA//speG//waaY//ynfG//argF//
