# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	talA//hcaC//
Ada	malP//frdA//betB//nirB//
AdiY	nagA//fadJ//cysE//caiD//
AgaR	dhaL//
AidB	sgbH//
AlaS-L-alanine	rhaA//
AllR-allantoin	bglB//alkA//glgC//katG//fbaA//hycC//
AllS-allantoin	rfe//glpD//hypF//
AlsR	alkA//paaK//alaS//
AppY	argC//glpB//
AraC	hycG//metH//glpX//
AraC-arabinose	torC//tpiA//lsrF//ssuD//phnN//paaJ//adhE//slt//
ArgP	ilvH//fbaB//folE//chbG//gabT//rffM//aspC//tpiA//
ArgP-arginine	entE//
ArgR-L-arginine	pyrC//purB//glmS//aroL//bioC//kbaZ//paaE//pncB//hcaF//yedX//lpd//lpxD//fadH//malQ//trpA//fes//gdhA//paaZ//recB//dadA//atoA//pgaB//glxK//
ArsR	speA//ppiA//
AscG	cysM//mpaA//
AsnC	glxK//icd//
AtoC-Phosphorylated	cadA//mngB//trpE//
BCCP	rbsD//
BaeR-Phosphorylated	tdcD//mhpD//
BasR-Phosphorylated	glnA//mdh//lpxD//
BetI	sdhC//fruK//truB//
BirA-biotinyl-5-adenylate	frdA//dmsB//murI//nirB//pdeR//
BluR	
BolA	lsrG//argA//
BtsR-Phosphorylated	malS//
CadC	ppc//murG//ilvE//
CaiF-L-carnitine	rutC//napB//lsrF//nagB//tyrB//
Cbl	lacA//uvrB//moaE//katG//torC//
CdaR	argA//paaF//metC//murQ//tdcG//puuB//paaA//yiaK//pagP//
CecR	dapB//
ChbR	dgkA//rffM//glpB//
ChbR-N-monoacetylchitobiose-6-phosphate	thrS//fadM//caiD//
ComR	
CpxR-Phosphorylated	tyrA//nrdB//malS//puuD//ulaF//yqjH//fadI//glpX//rffC//luxS//rhaB//sucD//sdhB//gpmA//yedX//purH//astE//kbl//ygeA//udp//ynfH//
Cra	hycF//pgaC//argI//gpmA//xylA//ppsA//cysM//dhaK//purH//aspC//malZ//moaC//sdhC//serA//deoA//kbaZ//alsE//garK//adhE//fabZ//malZ//dmsB//argC//cysC//cysM//hcaF//cysM//aspC//cdd//fadB//tyrA//hycE//purH//rnpB//dacC//phnP//glpC//purK//pgaC//torA//aspC//hemH//phnP//malQ//ulaF//mpl//mdh//dadA//ampC//prpE//dgcC//fucU//nrfA//argG//lpxC//sodA//trpB//rffM//bioA//
CreB-Phosphorylated	paaJ//rutE//
CsgD	alsE//nfsB//waaY//nrdA//fabA//
CsiR	gabT//fbaB//mdh//folA//
CspA	cysH//
CueR-Cu	hyi//luxS//nanA//fumC//ascB//
CusR-Pasp	hcaC//pgaB//alaS//nfsA//
CynR	
CynR-cyanate	relA//glpK//slt//
CysB	xylB//mpaA//
CysB-O-acetyl-L-serine	pdeH//mhpE//tam//uxaC//waaZ//nrfA//rnpB//torA//rutB//rutD//udp//ycjG//yqjH//uxaA//hycG//
CytR	entC//waaY//gcvP//glmS//ycjG//pdeR//dkgB//icd//yqjH//hycG//
Dan-L-tartrate	uvrC//umpH//
DcuR-Phosphorylated	astC//metE//argI//melA//
DeoR	phnO//nrdA//argH//metH//hypF//cynS//
DhaR	hemH//
DicA	
DinJ-YafQ	gcl//
DnaA-ATP	dgcN//phnN//gabD//dmsB//rutB//purA//
DpiA-Pasp	yfdE//ppc//gor//pgm//cysH//
DsdC-D-serine	uvrA//tdcG//
EbgR	
EnvR	rffG//atoB//
EnvY	uxaA//atoD//
EvgA-Phosphorylated	ssuD//phr//nfsB//phr//dhaK//paaZ//
ExuR	tpiA//mpaA//uxaA//ldtB//codA//hypF//
ExuR-alpha-D-galacturonate	
FabR	entF//rutB//metF//
FadR	citC//glpQ//allD//hycG//araB//purA//icd//leuC//murQ//frdD//purE//ndh//yeaE//phnI//relA//deoB//purL//purL//ppiA//
FadR-acyl-CoA	
FeaR	glk//idnO//
FhlA-formate	fucU//ilvC//luxS//oxc//mpl//paaG//tehB//nemA//
FlhDC	murD//napH//icd//galK//nrdA//cysD//mhpC//luxS//ydcS//ynfE//sufS//recB//frdA//gltB//
FliZ	fucK//icd//glcD//hcaF//wzb//
FucR-L-fuculose-1-P	prpE//ynfG//glgA//lldD//dhaM//deoD//
Fur-Fe2	cynS//gcl//purD//fadJ//malY//phnJ//phnI//truB//araD//phoA//frdB//ulaD//argI//avtA//trpB//idnD//nanK//wrbA//pgaC//leuC//glcD//metH//malP//rffH//pnp//hcaE//nagB//allA//mhpD//polB//aceA//aroL//argE//talA//pdeH//treC//nemA//paaB//lpxC//sucB//trpE//folE//codA//chbG//moaD//purM//rfe//truB//ppc//zwf//caiB//guaB//trpD//cysN//betA//leuC//ogt//pgi//cyoE//garK//yqjH//dsdA//
GadE	yqhD//guaA//pdeR//sgbU//pheT//tdcE//mhpA//astB//gcvP//torA//
GadE-RcsB	bioF//glpB//fabD//murQ//ampC//
GadW	patA//napB//guaB//luxS//
GadX	pgaD//alkA//fabI//pheT//asnB//pepD//gabT//dhaM//citX//glpQ//dmsC//sucA//entA//pyrC//
GalR	moeA//garD//glpD//alkB//ssuE//argD//
GalR-beta-D-galactose	truB//pncB//paaG//hycG//nirB//
GalS	polB//narI//metH//ubiX//sgbE//mhpA//
GalS-beta-D-galactose	cysD//chbF//fadD//purN//moaE//
GatR	cynS//entF//araB//
GcvA	dadA//lpxC//acnB//
GlcC-glycolate	ttdB//glgP//ahpF//
GlpR	paaK//treC//moaA//sdhD//aroH//putA//aldA//
GlrR-Pasp56	
