# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	sufS//mazG//
Ada	nrfC//rpiB//nagB//mtlD//
AdiY	ftsI//nrfA//moeA//hycB//
AgaR	cysN//
AidB	nrdB//
AlaS-L-alanine	bioD//
AllR-allantoin	malP//purH//glpC//aroA//metF//uvrB//
AllS-allantoin	torC//alkA//paaK//
AlsR	dsdA//hycG//dadA//
AppY	nirB//moaD//
AraC	nfsA//sdhB//glgA//
AraC-arabinose	rutA//paaG//paaJ//leuD//ilvA//mdh//ycjG//wzb//
ArgP	nfsB//trpC//citX//napG//xylA//ynfH//fumB//citC//
ArgP-arginine	dhaL//
ArgR-L-arginine	paaK//rtcA//ssuE//cysJ//ahpC//mhpA//bacA//frdB//sdhC//aceF//prpC//hcp//tauD//glcD//nanE//alaC//hycB//psd//bioC//purB//caiC//gatZ//fabH//
ArsR	napH//frdC//
AscG	yeaE//purL//
AsnC	wzb//nadB//
AtoC-Phosphorylated	patA//cueO//glcD//
BCCP	rutA//
BaeR-Phosphorylated	pgk//deoB//
BasR-Phosphorylated	tdcG//polB//purD//
BetI	malY//arsC//purE//
BirA-biotinyl-5-adenylate	napA//rutE//ada//ahpF//sbcC//
BluR	
BolA	pyrD//malZ//
BtsR-Phosphorylated	arsC//
CadC	ftsI//yfdE//cyoE//
CaiF-L-carnitine	sodB//argG//rfe//purA//appA//
Cbl	pnp//asnB//cueO//rffG//bioF//
CdaR	astD//sgbU//deoB//puuE//dmsC//pepD//cynS//pspE//phnI//
CecR	fabD//
ChbR	lysA//caiD//hemH//
ChbR-N-monoacetylchitobiose-6-phosphate	phnI//dmsB//prpC//
ComR	
CpxR-Phosphorylated	cysN//asnA//truB//recB//glcB//ssuE//idnK//aroG//folA//accD//ssuD//garD//tyrB//citE//moaA//tdcD//pncB//malY//fucO//gnd//murQ//
