# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	tpiA//idnD//
Ada	mltF//katG//gutQ//allC//
AdiY	rimK//fadE//cysM//tpiA//
AgaR	atoD//
AidB	dgcC//
AlaS-L-alanine	torA//
AllR-allantoin	nrfD//ugpQ//pgaC//glpC//fadE//frdC//
AllS-allantoin	nrfA//ldtD//wecB//
AlsR	caiC//uvrB//prpE//
AppY	iscS//yeaG//
AraC	argC//rffT//paaK//
AraC-arabinose	metH//dgcZ//betA//hyaB//ubiA//malZ//mhpA//glgA//
ArgP	mpaA//ynfF//eda//accD//araD//entD//glxR//tauD//
ArgP-arginine	ccp//
ArgR-L-arginine	poxB//narH//nrfC//fau//fadI//ychF//trpD//tynA//paaH//entF//serA//sucA//gcvT//uidA//rhaD//hycF//trpE//rsmH//uxaA//fdhF//glnA//purN//galE//
ArsR	katE//glxK//
AscG	argE//phnN//
AsnC	fabB//sdhA//
AtoC-Phosphorylated	ulaG//pyrC//cynS//
BCCP	purK//
BaeR-Phosphorylated	ccp//ygeA//
BasR-Phosphorylated	dapD//aroF//ldtB//
BetI	mhpF//gabT//metA//
BirA-biotinyl-5-adenylate	ulaD//tyrA//frdB//ugpQ//hycC//
BluR	
BolA	purD//glpA//
BtsR-Phosphorylated	aldA//
CadC	alkB//ttdB//metB//
CaiF-L-carnitine	bioB//lysU//ttdA//ychF//ppc//
Cbl	glk//fadJ//betB//purD//narI//
CdaR	citG//phoA//tam//fucU//ynfF//prs//deoA//puuB//icd//
CecR	hcp//
ChbR	puuE//hycF//pfkA//
ChbR-N-monoacetylchitobiose-6-phosphate	purE//fadE//aroL//
ComR	
CpxR-Phosphorylated	astC//bioF//acnB//eda//astB//polB//ftsI//rhaB//sucB//cysI//prpE//rsmH//gloA//mhpF//nagB//uvrB//mraY//uxaA//entF//hyaB//bglB//
Cra	rbsD//folE//cysD//lyxK//citF//malY//glmU//nadA//malS//aceE//purN//yqjH//narH//purN//ynfE//sodB//deoD//poxB//ilvI//phnL//srkA//dgcN//fabG//gudD//gabD//tyrB//aroF//astD//sgbU//uxaB//alkB//sgbU//ynfG//wzc//kbaZ//frdB//araB//fadJ//garD//murC//glpD//malY//mazG//pncB//ampC//moaA//dadX//hyaB//garL//fbaB//glpX//dhaM//betA//aceE//uvrA//torA//idnO//tynA//metK//
CreB-Phosphorylated	wecC//ldtD//
CsgD	ygeA//recB//puuC//dacC//dgkA//
CsiR	trpD//mtlD//betB//tpiA//
CspA	putA//
CueR-Cu	torC//dsdA//argD//gltD//argG//
CusR-Pasp	prpB//sodB//serC//nemA//
CynR	
CynR-cyanate	aroH//ftnA//napG//
CysB	lpxC//aceE//
CysB-O-acetyl-L-serine	gutQ//chbF//caiB//fucK//ulaG//metF//argH//gudD//hemH//moaD//pdeR//fabI//metH//fumC//sgbE//
CytR	gloA//ppc//argG//srlD//gdhA//aroF//caiC//trpD//yiaK//alaC//
Dan-L-tartrate	sucA//fbaB//
DcuR-Phosphorylated	sodB//ulaF//leuD//glgX//
DeoR	mhpA//wecE//yfdE//bioB//cadA//ulaD//
DhaR	ribA//
DicA	
DinJ-YafQ	bglB//
DnaA-ATP	putA//ahpF//malQ//waaH//rpiB//metK//
DpiA-Pasp	cysJ//fadM//fucK//lpd//psd//
DsdC-D-serine	cysN//glxK//
EbgR	
EnvR	alaS//sdhD//
EnvY	serA//rutD//
EvgA-Phosphorylated	alkA//allC//fadI//asnB//cysI//gltD//
ExuR	frdA//rffC//bioF//hycB//pdeR//idnK//
ExuR-alpha-D-galacturonate	
FabR	gudD//gloA//tyrA//
FadR	sdhB//ulaF//glpC//metE//fabD//dkgA//galT//ubiA//ppiA//dapD//hypF//leuD//uxaC//malQ//glk//recB//allC//mhpA//araA//
FadR-acyl-CoA	
FeaR	lacZ//luxS//
FhlA-formate	araB//murQ//luxS//kbaY//malP//bioF//purL//purK//
FlhDC	astB//napA//gatD//tdcE//ppiA//hyaB//umuC//ynfG//murQ//caiD//caiB//garR//hcp//dsdA//
FliZ	hmp//napB//moaE//galE//sgbH//
FucR-L-fuculose-1-P	phnO//paaZ//narG//murE//purC//pheT//
Fur-Fe2	rffM//nrfD//glgX//wrbA//ynfG//hcaD//tynA//oxc//glnA//paaE//putA//accA//purK//avtA//ppsA//argI//ubiC//fucU//rffG//rbsK//malP//frc//paaA//rbsK//rimK//mhpB//nemA//pgaD//fucO//ydcS//hcaC//sbcD//tadA//rnpB//pgaC//sucC//dhaL//napG//accC//bioC//yfdE//uvrA//ilvI//cadA//dgcN//betB//cysM//sdhB//pgpC//hycC//uidA//murE//glpQ//sdaA//puuC//yfdE//amn//purC//pfkA//leuD//entF//glpA//
GadE	glcF//aroL//argB//dkgB//fes//lsrF//lacA//cysH//wecE//rutD//
GadE-RcsB	sdhA//rnpB//nemA//purC//paaY//
GadW	astD//murI//yqjH//ilvM//
GadX	glcE//ssuD//trpB//frdD//deoD//allD//mhpC//putA//betA//ribA//nrdE//fdhF//xylB//frdD//
GalR	ilvE//mngB//mazG//ynfG//mhpE//adhE//
GalR-beta-D-galactose	dmsA//argB//nrdD//pgk//gutQ//
GalS	paaH//entH//cueO//wzc//pagP//mltF//
GalS-beta-D-galactose	purE//argG//dmsC//sucD//ftnA//
GatR	tdcE//eda//torA//
GcvA	gdhA//rhaD//betB//
GlcC-glycolate	nirD//entE//fadM//
GlpR	ssuD//gcvT//pgpC//argD//nrdF//recD//moaC//
GlrR-Pasp56	
GntR	asnB//murI//alaS//murE//pgm//galK//pgaD//pflB//sdhC//
GutM	glyA//entF//malY//
HU	ttdB//ccp//pgm//aspA//ubiC//fdhF//paaY//
HcaR	
HcaR-HCA	cysN//wrbA//
HdfR	
HigA	grxA//
HigB-HigA	ahpF//
HipAB	murE//metK//
HipB	pepD//hycC//carA//
HprR-Phosphorylated	feaB//dinB//mraY//allC//
HyfR	cysG//
HypT-Met-oxidized	nadA//aspA//epd//yfdE//trpD//astA//nanM//
IclR-pyruvate	fadJ//ilvG_1//paaC//
IdnR-5-ketogluconate	araD//bioB//pepD//carA//paaA//
IlvY	
IlvY-S-2-acetolactate	ynfG//
IscR	nanK//lldD//malZ//rhaB//ubiA//nagA//
IscR-2Fe-2S	melA//prpD//
KdgR	folA//garD//
KdpE-Phosphorylated	nrfC//
LacI	nagB//ilvD//purD//
LeuO	dgcN//ynfH//sbcC//pgi//gcvH//tadA//
LexA	nirB//idnK//tauD//nagA//ilvE//prpD//leuC//waaY//ychF//carB//tyrA//glsA//galM//ampC//mpaA//phr//paaG//ccp//accC//yeaE//tadA//lysC//phnL//
LldR	asnA//dhaM//
LldR-S-lactate	deoC//nirD//
LrhA	
Lrp	dadX//paaI//ssuE//sbcC//purC//rutC//hyaC//frdD//aldA//asnB//pyrC//wzc//gnd//xylB//murI//paaJ//patA//mhpA//yeaE//hemH//prs//araB//pgpC//ttdB//hycC//ddlB//ulaE//dinB//epd//cysH//mngB//
Lrp-leucine	murF//nemA//murG//mazG//narI//phnO//alaS//citD//tyrA//rutA//nrfD//alaC//umpH//gadB//argF//hycF//gcvP//
LsrR	murE//glsA//ahpF//cyoE//luxS//
LysR	mhpC//
MalI	fumB//sgbE//
MalT-maltotriose-ATP	bioC//lpxD//astD//purA//epd//citG//
MarA	cysH//napB//frdA//fabH//katG//rnpB//deoA//malP//malZ//paaE//treC//ndh//narG//uvrA//malQ//murG//leuC//sdhD//oxc//ulaF//recF//murC//frdA//gdhA//
MarR	
MatA	gcvP//
MazE	bioF//
MazE-MazF	ruvA//
McbR	
MelR	aceF//rfe//
MelR-melibiose	umpH//pspE//
MetJ-adenosylmethionine	kbaY//ynfG//srlD//carA//astB//alkA//fucI//nadB//wecC//narG//
MetR	allC//cadA//
MetR-L-homocysteine	ilvG_1//speG//
MhpR-3HPP	hcaC//gcvT//uxaB//gabD//gnd//rhaA//
Mlc	entH//moaC//ygeA//yiaK//
MlrA	nrfD//
MngR	nanE//atoB//
MntR-Mn2+	metC//wrbA//
ModE-MoO42-	ynfF//trpE//glk//aroA//rfe//yqjH//phnL//hycB//paaZ//purL//tynA//betA//phnO//purH//mhpE//rutE//ilvM//
MprA	ilvC//araB//glxR//
MqsA	rtcA//phnN//
MraZ	ynfG//purN//dkgB//mhpA//ilvD//ldtD//metE//ampC//phnI//tyrB//
MurR	ccp//srlD//ssuE//
Nac	pspE//paaY//mhpC//idnO//purD//uxuB//ribA//aroA//hycG//tdh//pheT//
NadR	phnL//cysE//paaF//citG//
NagC	hycE//tpiA//dhaM//gpmM//allB//hycC//poxB//katG//caiC//yeaE//pdeL//pepD//torC//lyxK//xylA//malQ//fadD//deoD//aceA//
NanR	metB//lacA//gloA//entH//paaH//dmsC//
NarL-Phosphorylated	mtlD//mngB//murD//mdh//rfe//fumC//feaB//puuB//lpxC//ilvC//cysH//glgP//ygeA//atoA//ugpQ//yfdE//glgA//ynfG//amn//fruK//gltB//allC//pyrD//lhgO//sucC//glxR//glnA//cysD//nanA//argI//mltF//cadA//mraY//appA//entF//yeaG//ugpQ//sbcD//waaY//rhaA//arsC//
NarP-Phosphorylated	wzb//ascB//entC//paaI//purA//cysH//glpA//araB//fucA//sdhD//folA//yqhD//metL//eda//ahpF//
NemR	purD//mhpA//
NhaR-Na+	sdhB//galM//adiA//pncB//mnmG//
NikR-Ni2+	idnO//
NimR	idnO//
NorR	phnN//
NrdR-Zn2+	mhpD//moeB//lysU//allA//
NsrR	astC//gdhA//epd//glgP//gltD//dacC//rhaB//putA//mtlD//pnp//aroG//truB//lysU//recD//dmsC//mhpB//puuD//aceE//adiA//nanA//malP//cueO//malY//purD//patA//napA//cdd//hemL//carA//purE//dmsB//nirB//umpH//gcvT//ftsI//oxc//kbaY//pfkA//astB//rhaA//
NtrC-Phosphorylated	ppsA//katE//aroH//umuC//murG//idnK//uxuB//dgcC//tdcD//malQ//hycD//ddlB//purH//narI//sgbU//ppc//murD//gcl//alaS//alsE//dhaM//
OmpR-Phosphorylated	argH//hycE//ttdB//dhaK//purF//pyrD//betA//epd//
OxyR	pflB//aspC//gcvH//rbsD//metA//alkB//ssuD//allE//nadB//metK//paaE//glpB//murC//hcp//fruK//entC//waaH//
