# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	allE//pncB//
Ada	betA//citC//malS//waaY//
AdiY	dgkA//idnD//umuC//idnO//
AgaR	alkB//
AidB	amn//
AlaS-L-alanine	gudD//
AllR-allantoin	yqjH//fucA//allB//ampC//malP//araD//
AllS-allantoin	mpl//sucA//uvrC//
AlsR	rhaB//ulaE//recF//
AppY	feaB//dsdA//
AraC	phr//garK//sodB//
AraC-arabinose	pck//cyoE//glcB//wrbA//pgaC//moaD//edd//puuC//
ArgP	gabT//gloA//frc//nrdA//gloA//hyi//ribA//deoA//
ArgP-arginine	talA//
ArgR-L-arginine	purB//ilvC//trpC//paaG//cysE//wecB//melA//sgbE//moaD//gnd//grxA//nrdE//acnA//glgC//asnB//ppc//carA//fumC//mltF//sdhA//citG//wecB//aldA//
ArsR	cysN//prpB//
AscG	ttdB//dmsA//
AsnC	tdcD//cynS//
AtoC-Phosphorylated	murI//speB//moaA//
BCCP	hycC//
BaeR-Phosphorylated	fdhF//paaH//
BasR-Phosphorylated	ychF//cueO//alsE//
BetI	asnA//citC//fbaB//
BirA-biotinyl-5-adenylate	ascB//cysN//speG//hycF//hcp//
BluR	
BolA	tynA//aroH//
BtsR-Phosphorylated	nagB//
CadC	dsdA//ulaG//speA//
CaiF-L-carnitine	araD//garR//entE//fruK//dsdA//
Cbl	recB//zwf//tyrB//dgcZ//glpQ//
CdaR	mhpA//dmsB//phnM//gntK//glcF//dadX//ascB//udp//glpX//
CecR	moaE//
ChbR	appA//argD//slt//
ChbR-N-monoacetylchitobiose-6-phosphate	lpd//leuB//glpC//
ComR	
CpxR-Phosphorylated	gdhA//relA//dmsA//wecE//betA//yeaG//frdC//wrbA//torC//moaC//uxaC//metH//paaI//folE//pgi//napA//speG//fdhF//cysC//astA//recB//
