# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	frdC//prpB//
Ada	gpmA//pgm//galT//yedX//
AdiY	phnJ//glgB//sucA//paaJ//
AgaR	entH//
AidB	ulaF//
AlaS-L-alanine	recD//
AllR-allantoin	uxaA//ampC//glcE//aroH//pck//mnmG//
AllS-allantoin	tyrB//paaI//caiC//
AlsR	gloA//sgbE//ldtB//
AppY	yqjH//gabT//
AraC	aceA//gloA//fadB//
AraC-arabinose	rnpB//mhpE//yiaK//idnO//nrdA//umuC//thrS//pnp//
ArgP	cysE//moeA//glpC//moaD//uvrC//gatZ//allD//aroG//
ArgP-arginine	paaA//
ArgR-L-arginine	narG//lacA//adhE//dkgB//pnp//cyoE//ddlB//codA//fdhF//moaA//pgaD//entF//dadA//recF//alkA//dapD//nanE//ilvC//patA//metF//katE//cueO//fes//
ArsR	glxK//melA//
AscG	ssuD//hcaD//
AsnC	citF//cysI//
AtoC-Phosphorylated	glcF//ulaG//gor//
BCCP	rbsK//
BaeR-Phosphorylated	leuC//glpX//
BasR-Phosphorylated	aspC//rtcA//sdhB//
BetI	purL//hycB//glgB//
BirA-biotinyl-5-adenylate	aspA//fumB//narH//purF//fadA//
BluR	
BolA	fabH//hcaE//
BtsR-Phosphorylated	fes//
CadC	astD//rhaB//prpE//
CaiF-L-carnitine	leuD//fabH//dmsB//alkA//serA//
Cbl	uvrB//aroA//aceB//murG//lysU//
CdaR	ilvC//chbG//napA//purA//gcvP//deoA//aceA//rffT//malY//
CecR	cueO//
ChbR	putA//dapD//nanA//
ChbR-N-monoacetylchitobiose-6-phosphate	tyrA//talA//glxR//
ComR	
CpxR-Phosphorylated	umuD//sucD//fadE//alkB//mhpF//sbcC//citE//metL//ilvD//bioC//tnaA//ttdA//trpE//pdeR//purL//rpiB//nfsA//fau//lsrG//nrfC//phnG//
Cra	gcl//gcvP//rbsD//murF//argD//accA//dapB//dadA//ppc//sufS//prpE//mpaA//hyi//malQ//codA//paaB//sodB//garL//xylA//alaC//ldtC//ampC//rffC//malS//purF//ldtB//moaD//narG//prs//sodB//citE//malS//pgaB//fadD//lacA//ppsA//sdhB//caiD//yqjH//folE//paaF//pheS//tauD//hcaE//rnpB//xylB//ubiX//uxaC//lpxA//hypF//fadA//ttdB//metB//bioB//allB//icd//phr//hemL//deoC//
CreB-Phosphorylated	truB//fabD//
CsgD	ldtC//cysC//ascB//astC//lyxK//
CsiR	dsdA//luxS//fruK//yeaE//
CspA	phnH//
CueR-Cu	mraY//folA//cdd//tdh//nrfA//
CusR-Pasp	dhaL//lsrF//dgcZ//paaK//
CynR	
CynR-cyanate	sbcD//purE//uvrB//
CysB	gloA//tyrB//
CysB-O-acetyl-L-serine	paaG//purM//fbaB//entB//sufS//deoA//speB//wzb//aroG//lldD//pgm//umpH//lpd//metC//fadE//
CytR	alkA//acnB//nadB//dhaK//fes//rhaB//katG//sdaA//araD//aceE//
Dan-L-tartrate	caiA//alaS//
DcuR-Phosphorylated	speG//glcF//rtcB//bioB//
DeoR	citX//sodB//caiA//serC//mnmG//aroG//
DhaR	cysI//
DicA	
DinJ-YafQ	ogt//
DnaA-ATP	purC//glpD//ascB//sucC//feaB//alkA//
DpiA-Pasp	ilvE//fadJ//fadB//gatD//sgbH//
DsdC-D-serine	astA//glmU//
EbgR	
EnvR	ada//ribA//
EnvY	argB//ubiC//
EvgA-Phosphorylated	ilvH//glk//gpmM//ttdA//fucA//arsC//
ExuR	asnB//metF//rsmH//metB//lacZ//purM//
ExuR-alpha-D-galacturonate	
FabR	wecE//ubiA//fabH//
FadR	bioD//grxA//murI//narG//nanE//pncB//moeA//cysD//deoB//ulaG//ddlB//bioF//guaB//serC//ilvE//alaA//uvrA//phnN//deoD//
FadR-acyl-CoA	
FeaR	fadA//uxaA//
FhlA-formate	paaK//xylB//mhpA//phnP//gabD//garR//speB//accC//
FlhDC	srlD//pepD//ppiA//astA//murF//purL//talA//glk//glnA//dinB//sbcC//sbcD//entE//gpmA//
FliZ	hcaB//pgk//alkB//lysC//dgcN//
FucR-L-fuculose-1-P	chbG//glgX//wecE//glpQ//garK//paaH//
Fur-Fe2	fadA//mraY//aroL//gcvT//malS//phnN//idnD//fabA//gcvP//fadM//cdd//mhpF//sodA//galK//nanK//astE//fabD//rffC//deoC//frdD//glgC//idnO//ndh//cysE//metB//fadI//aceB//tyrB//tnaA//pflB//cadA//recD//grxA//ugpQ//lpxA//gatZ//prs//nagA//glxK//hcaE//puuB//trpD//pfkA//fabZ//glcD//nrdF//glmS//citX//nrfA//wrbA//fabB//ddlB//fucA//hyaA//rpiB//fabD//ppc//patD//eno//fadA//purD//rtcB//
