# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gdhA//nirD//
Ada	purL//amn//sufS//ugpQ//
AdiY	fadJ//dacC//cysD//glxR//
AgaR	bioF//
AidB	ahpF//
AlaS-L-alanine	purA//
AllR-allantoin	hyaC//glsA//fadH//speB//ubiA//fucA//
AllS-allantoin	pagP//ynfF//napA//
AlsR	rbsD//allD//chbF//
AppY	metH//fabB//
AraC	eno//glmU//tdcG//
AraC-arabinose	entF//tktB//tdcD//fabD//alkB//hyaA//lysU//speG//
ArgP	entC//hyaA//ycjG//cysG//carA//hyaB//ddlB//glgC//
ArgP-arginine	galT//
ArgR-L-arginine	prpB//dkgA//hyi//trpE//guaA//sbcC//glpA//sufS//lsrG//trpE//prpE//citG//cysM//mtlD//acnA//aspC//tdcE//murD//ygeA//nanM//caiB//mhpD//gadA//
ArsR	ydcS//nagA//
AscG	metF//gatZ//
AsnC	glgA//glmS//
AtoC-Phosphorylated	argH//mpl//galT//
BCCP	hcaB//
BaeR-Phosphorylated	sdhA//aroL//
BasR-Phosphorylated	gatD//rtcB//yqjH//
BetI	garK//gpmM//lpxD//
BirA-biotinyl-5-adenylate	mtlD//xapA//accC//fabH//lysC//
BluR	
BolA	sgbE//gltB//
BtsR-Phosphorylated	hemH//
CadC	cynT//hyaC//bioD//
CaiF-L-carnitine	epd//entF//puuB//ddlB//napG//
Cbl	glxK//ubiA//dinB//murD//alkB//
CdaR	lyxK//cueO//pgaC//yeaE//gdhA//hycG//murD//xylA//gpmA//
CecR	gor//
ChbR	alaC//napA//folE//
ChbR-N-monoacetylchitobiose-6-phosphate	tadA//phnG//mhpF//
ComR	
CpxR-Phosphorylated	grxA//dgcN//tynA//tehB//hycE//citF//rffH//pgi//purK//entB//tyrA//aroL//srkA//uxuA//cysK//sdaA//fadB//caiA//nanA//zwf//pck//
Cra	argH//purL//gdhA//glcF//ndh//fumB//rhaB//cadA//slt//frc//dgcC//astD//idnO//gpmA//gcvT//glgX//tdh//nfsB//rutC//mazG//mhpA//araB//fucO//entF//fucK//galM//fau//napG//rutB//frdD//rnpB//betA//frdC//fbaA//murG//paaF//fau//puuC//metC//sodB//rutD//argI//rimK//tynA//lacA//araA//metE//ygeA//uvrA//ampC//lsrG//speB//fadB//purE//fadI//entB//paaZ//dhaM//guaA//
CreB-Phosphorylated	aroA//moaD//
CsgD	nadB//speG//thrS//folE//mhpA//
CsiR	icd//aroA//astE//cueO//
CspA	phnI//
CueR-Cu	gcvT//bioC//lyxK//alaS//ruvA//
CusR-Pasp	dmsA//nfsB//glk//sufS//
CynR	
CynR-cyanate	nrfA//cysM//bioB//
CysB	xylB//mhpD//
CysB-O-acetyl-L-serine	hyi//ynfE//phnL//prpE//rimK//entC//pyrC//accD//tktB//fdhF//hycF//folE//fabZ//ilvH//atoA//
CytR	pepD//purN//tdcB//phnP//napA//dmsC//slt//napH//prs//glxR//
Dan-L-tartrate	betA//dmsA//
DcuR-Phosphorylated	ilvD//metB//serA//psd//
DeoR	mhpB//sucB//ulaF//ldtC//phnI//sgbU//
DhaR	galT//
DicA	
DinJ-YafQ	rpiB//
DnaA-ATP	gcl//dacC//ldtC//allE//lysC//puuE//
DpiA-Pasp	glyA//glgC//metB//deoA//galT//
DsdC-D-serine	arsC//polA//
EbgR	
EnvR	garK//appA//
EnvY	murF//torA//
EvgA-Phosphorylated	gabD//phoA//citD//fabD//asnB//argE//
ExuR	glpB//dadA//pepD//wzb//ddlB//ubiA//
ExuR-alpha-D-galacturonate	
FabR	argI//yedX//tyrB//
FadR	nrfC//gatD//rimK//cysK//rutA//caiA//folE//galE//adhE//napG//malS//metK//narG//nrdD//hcaF//pgi//cynS//allA//cysC//
FadR-acyl-CoA	
FeaR	aceE//ubiA//
FhlA-formate	murE//ynfH//edd//cysJ//fadE//thrS//hycB//ppc//
FlhDC	tyrA//ppsA//tdh//uvrC//hypF//hypF//murC//astD//rffH//pyrC//garL//araB//fabZ//asnB//
FliZ	lyxK//citF//frdD//ygeA//bioD//
FucR-L-fuculose-1-P	nirB//tktB//napA//recB//tadA//entH//
Fur-Fe2	murG//citX//lsrG//allC//wzb//ung//dapD//rsmH//dhaK//fumC//aldA//ynfH//argD//asnB//ilvE//leuB//purK//phnI//lpxA//mnmG//recB//ilvE//umuD//rbsK//dadX//dkgB//guaA//pheT//pdeR//gor//sgbH//cysM//glcB//adhE//ldtC//caiC//mraY//nrdA//tdcD//argA//gutQ//fadA//purM//speG//metA//pykF//cysE//citX//arsC//treC//phnH//fes//narG//metK//fabZ//glpQ//ilvG_1//ppsA//wecB//hycD//paaK//eda//
GadE	ldtB//rutD//wecB//fadA//fruK//galE//purB//eno//cysM//cysI//
GadE-RcsB	gcl//fadM//fabB//speA//mhpB//
GadW	pspE//sbcD//araA//tdcB//
GadX	ulaG//murF//adhE//pgi//cynT//pnp//waaZ//gatY//speG//ada//speG//tauD//fbaA//hcaB//
GalR	murQ//mhpC//srlD//idnD//gudD//ilvD//
GalR-beta-D-galactose	puuE//ddlB//pflB//polA//gutQ//
GalS	tdcE//aroA//prpB//recD//pheT//purH//
GalS-beta-D-galactose	prpD//dgkA//kbaZ//glpQ//talA//
GatR	lyxK//murQ//tynA//
GcvA	nagB//ubiA//phnM//
GlcC-glycolate	hypB//ung//hycD//
GlpR	argG//udp//phr//entE//entF//lpxC//rfe//
GlrR-Pasp56	
GntR	uxuB//prpB//hycE//rutB//purM//melA//cadA//citX//murG//
GutM	bacA//lacZ//metF//
HU	rtcB//nirD//phr//tyrB//eno//ulaG//phnI//
HcaR	
HcaR-HCA	fadM//deoB//
HdfR	
HigA	ruvA//
HigB-HigA	fumB//
HipAB	citX//cysJ//
HipB	hyaC//atoB//cysI//
HprR-Phosphorylated	hycC//hycD//fucO//puuE//
HyfR	napB//
HypT-Met-oxidized	fucO//nrfA//cdd//polB//fumC//trpE//nrdA//
IclR-pyruvate	puuB//xylA//tdcG//
IdnR-5-ketogluconate	rbsK//ynfG//yqjH//murF//purH//
IlvY	
IlvY-S-2-acetolactate	hemL//
IscR	tehB//rhaD//lacZ//bglB//udp//entB//
IscR-2Fe-2S	metK//phnJ//
KdgR	ynfH//ilvC//
KdpE-Phosphorylated	malS//
LacI	atoD//tdh//gcvH//
LeuO	argD//yeaG//iscS//oxc//allE//hypB//
LexA	hycB//gcl//murC//tdh//rbsD//rffT//argB//murE//garR//glpK//rutE//tyrB//nrfC//nagA//ulaD//allC//rtcB//fbaA//ung//purN//glcB//cadA//nanK//
LldR	waaY//garD//
LldR-S-lactate	puuE//allA//
LrhA	
Lrp	tnaA//paaY//gcl//trpA//cysC//allC//napB//ygeA//waaY//ppiA//narH//fruK//tdcB//argI//talA//wzb//phnG//entA//citF//entA//rsmH//narG//ulaF//fucK//citE//nfsA//rhaA//speA//lyxK//dadA//patA//
