# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	lsrK//rtcB//
Ada	trpB//rhaA//bacA//acnA//
AdiY	citF//nrdE//rpiB//fucI//
AgaR	paaF//
AidB	purH//
AlaS-L-alanine	mhpA//
AllR-allantoin	caiC//wecC//rutB//citC//aroH//ilvM//
AllS-allantoin	fabD//rffM//ampC//
AlsR	ada//pspE//ynfE//
AppY	pdeH//phnJ//
AraC	slt//frdA//moeA//
AraC-arabinose	nanM//dinB//ychF//acnB//puuB//wzb//ldtD//astD//
ArgP	mhpC//galT//wzc//galM//puuA//ubiX//ftnA//caiD//
ArgP-arginine	ruvA//
ArgR-L-arginine	dgcC//ndh//wzb//relA//alaA//gcl//araB//glpD//pykF//acnB//araA//yeaG//phnP//nagB//ldtC//sgbU//wrbA//gatD//murC//dmsB//poxB//gapA//entH//
ArsR	speG//astA//
AscG	bglB//truB//
AsnC	aroG//guaA//
AtoC-Phosphorylated	bioF//phnI//bioF//
BCCP	argG//
BaeR-Phosphorylated	serA//hyaB//
BasR-Phosphorylated	rnpB//gloA//betB//
BetI	galT//polB//trpC//
BirA-biotinyl-5-adenylate	zwf//puuA//caiB//edd//ddlB//
BluR	
BolA	glnA//dsdA//
BtsR-Phosphorylated	aspA//
CadC	fadA//ssuE//rhaA//
CaiF-L-carnitine	glk//truB//sodA//betA//cysE//
Cbl	dhaL//melA//adhE//mhpF//pyrC//
CdaR	galM//ascB//folA//hcaB//narI//trpD//betA//fucI//mltF//
CecR	udp//
ChbR	nrdB//caiD//nirD//
ChbR-N-monoacetylchitobiose-6-phosphate	sbcD//prpC//argG//
ComR	
