# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	caiA//yiaK//
Ada	ynfH//caiA//gudD//napA//
AdiY	slt//cynT//argE//dgkA//
AgaR	sbcC//
AidB	asnB//
AlaS-L-alanine	speG//
AllR-allantoin	phr//lsrK//leuC//astA//napA//putA//
AllS-allantoin	fau//hmp//phr//
AlsR	yfdE//ahpF//malZ//
AppY	pdeL//hycC//
AraC	dadA//gnd//gadA//
AraC-arabinose	psd//paaA//paaB//rhaB//amn//ruvB//cysJ//accC//
ArgP	fadM//umpH//frdC//cysI//betA//uxaC//nfsA//argB//
ArgP-arginine	wecC//
ArgR-L-arginine	aceA//nrdA//sodA//polB//narH//gloA//galK//hypF//hemL//leuB//garL//pdeR//alsE//rpiB//lldD//astE//hcaC//glxK//rhaD//narI//lyxK//hyaC//rsmH//
ArsR	guaB//mngB//
AscG	hcp//phr//
AsnC	fruK//serC//
AtoC-Phosphorylated	glnA//glgX//fucA//
BCCP	kbaY//
BaeR-Phosphorylated	dgcZ//argG//
BasR-Phosphorylated	lsrK//poxB//wecE//
BetI	paaZ//astA//rnpB//
BirA-biotinyl-5-adenylate	ilvE//fruK//cysD//argF//aroA//
BluR	
BolA	purF//ubiX//
BtsR-Phosphorylated	cysD//
CadC	hcaD//accC//xylB//
CaiF-L-carnitine	speB//trpD//tdh//purA//glk//
Cbl	galK//gltD//metC//uxaB//nrdD//
CdaR	ilvA//glmS//rnpB//uvrC//narG//fabA//prpC//fabD//purM//
CecR	gatD//
ChbR	purK//gabD//sdhD//
ChbR-N-monoacetylchitobiose-6-phosphate	rbsK//atoD//acnB//
ComR	
CpxR-Phosphorylated	glnA//ilvH//fucU//ulaD//citG//araA//glpC//lysC//ftnA//accA//nanK//folA//yeaG//ldtC//ssuE//aspA//sgbE//hemL//carA//glpK//rtcB//
Cra	umuC//epd//citD//citF//leuB//fadA//mpl//dgkA//sdhA//glyA//malY//ahpF//ilvA//frc//fucU//ssuD//pykF//lsrK//hemL//dinB//sucC//metH//trpC//pflB//paaZ//paaK//metF//fbaA//argI//lsrF//garD//entB//wzb//fadI//nanM//dgcZ//ynfF//garK//nfsB//nrfA//lysC//pgaB//galT//glpK//ruvA//ubiX//pheT//bioD//gcvH//dhaL//lpxA//glcE//dkgA//rsmH//atoD//murF//ilvG_1//tadA//nirD//
CreB-Phosphorylated	rbsD//argG//
CsgD	leuC//sucB//hmp//srlD//moaD//
CsiR	lysU//glmU//accC//fucA//
CspA	sucD//
CueR-Cu	chbG//fumB//hycD//pdeL//ulaE//
CusR-Pasp	mhpD//dgkA//accD//glxR//
CynR	
CynR-cyanate	ampC//yeaG//purL//
CysB	phnP//ssuE//
CysB-O-acetyl-L-serine	kbaZ//garD//garK//glgX//cysG//dmsC//phnH//rutB//phnO//entA//phnJ//frdB//lyxK//puuC//ychF//
CytR	hemL//ssuD//hcaD//phoA//bioA//purN//pgk//citG//rffT//citX//
Dan-L-tartrate	accC//rsmH//
DcuR-Phosphorylated	purH//mtlD//uxuB//nrdD//
DeoR	ulaG//mhpD//sbcC//hcaC//nanM//murC//
DhaR	puuC//
DicA	
DinJ-YafQ	dhaM//
DnaA-ATP	rffT//polA//fucK//murQ//eno//ccp//
DpiA-Pasp	wecC//lsrK//fadE//dmsC//astD//
DsdC-D-serine	paaG//polA//
EbgR	
EnvR	pncB//ung//
EnvY	pgk//lpxA//
EvgA-Phosphorylated	allB//hypF//glgB//atoA//gpmM//fabB//
ExuR	fabH//ppiA//glcF//metF//fau//rimK//
ExuR-alpha-D-galacturonate	
FabR	araD//pgk//lpd//
FadR	entD//ynfG//galT//mhpA//tauD//ribA//acnA//ilvI//fadB//recF//sodA//feaB//argE//galK//puuC//paaZ//leuB//malQ//uxaB//
FadR-acyl-CoA	
FeaR	hycB//ftnA//
FhlA-formate	sgbU//rhaD//hmp//fbaA//torA//argD//eno//rbsK//
FlhDC	ilvC//cysC//rffH//fabG//phnM//cyoE//argD//atoD//uxaB//ttdB//ydcS//mazG//leuB//wecE//
FliZ	nrfA//glsA//glpC//murD//dkgA//
FucR-L-fuculose-1-P	idnD//grxA//ndh//glgX//garD//sgbU//
Fur-Fe2	gltB//galK//sdhA//metB//purD//fadM//fbaB//lldD//pgaB//fabA//cysI//lpxC//citE//atoA//murI//ribA//yqhD//aceE//lldD//gatY//rffT//cysD//glcD//bioF//gltB//asnB//glnA//glcE//lysA//glgP//pgaC//pgaB//torA//mhpE//murF//serC//hcaB//pgi//purA//paaF//mhpC//prpE//moaE//ftnA//katG//melA//tyrB//kbaZ//malY//lpxD//ilvE//paaF//phnM//lpxC//pgpC//umuD//mhpD//gatY//glmU//mltF//pfkA//trpC//
GadE	malQ//glpB//rffH//ugpQ//galM//dhaM//entC//lsrF//bioF//uidA//
GadE-RcsB	cysC//fadD//aroA//phnO//hyaB//
GadW	lacZ//ttdB//gapA//pyrC//
GadX	fumC//nadB//gabD//galM//folA//aroH//lpxC//rutC//codA//hycF//deoC//argB//phnP//gpmA//
GalR	fadB//tktB//sdhB//nfsB//moaE//rfe//
GalR-beta-D-galactose	purB//gcvT//fau//phr//bioB//
GalS	dsdA//treC//lpxA//yedX//sdhD//trpE//
GalS-beta-D-galactose	glgP//paaA//fruK//nrdD//gadA//
GatR	aldA//dacC//frdC//
GcvA	mngB//napA//trpA//
GlcC-glycolate	cysJ//fumB//fucK//
GlpR	ssuD//nrdB//gltD//hycB//citF//ahpC//ada//
GlrR-Pasp56	
GntR	alkA//fucA//kbaZ//yiaK//nirB//nemA//argG//wzc//phnG//
GutM	rnpB//gcvP//glmS//
HU	rutA//leuD//rffC//pgaB//hycB//umpH//ascB//
HcaR	
HcaR-HCA	metK//sbcC//
HdfR	
HigA	amn//
HigB-HigA	argH//
HipAB	waaZ//tdcG//
HipB	paaG//purC//glxR//
HprR-Phosphorylated	frdC//gutQ//ssuD//moeA//
HyfR	lsrF//
HypT-Met-oxidized	garR//glxR//atoB//lyxK//rutE//bioB//paaH//
IclR-pyruvate	tauD//fadM//tyrA//
IdnR-5-ketogluconate	rffT//dhaK//glk//bioC//phnP//
IlvY	
IlvY-S-2-acetolactate	icd//
IscR	caiD//arsC//phnO//lpxD//hypF//mhpA//
IscR-2Fe-2S	cysD//hycC//
KdgR	aceE//gudD//
KdpE-Phosphorylated	uvrC//
LacI	glpC//dadA//icd//
LeuO	acnA//chbF//moaC//yqhD//uvrA//iscS//
LexA	frdD//glcF//bacA//idnD//rffG//alaC//hcaF//lpd//malY//talA//purF//glcB//rutA//nrdD//aroA//kbl//paaJ//glyA//narG//frdD//dgkA//argF//tadA//
LldR	ubiC//fadE//
LldR-S-lactate	uxuA//ttdA//
LrhA	
Lrp	eno//psd//aceA//fes//purN//cysN//ldtC//fabA//pyrD//paaK//paaB//hemL//ychF//ssuD//rffC//fucA//lacA//nanE//glcD//grxA//tnaA//ahpF//nrdE//tyrA//nrdE//pfkA//uxaA//glcF//hcaD//folA//udp//
Lrp-leucine	gutQ//metH//yeaE//prs//astA//sucB//glmU//garR//bioB//metK//fruK//lyxK//slt//citG//caiB//uvrC//argI//
LsrR	allD//tehB//fadD//ynfH//mngB//
LysR	sucB//
MalI	gnd//phnL//
MalT-maltotriose-ATP	mpaA//bacA//citC//entH//argB//pgpC//
MarA	gatY//wzc//glnA//ahpC//pagP//cysC//hemH//araA//kbaZ//argI//prs//luxS//garR//rimK//wzc//napH//amn//pdeR//argA//grxA//mdh//malS//mhpF//cueO//
MarR	
MatA	tehB//
MazE	cynT//
MazE-MazF	katG//
McbR	
MelR	sgbE//pfkA//
MelR-melibiose	glpD//hycG//
MetJ-adenosylmethionine	betB//murG//recD//fbaB//phoA//argH//bioC//ulaE//pgk//nrdF//
MetR	ynfH//pgpC//
MetR-L-homocysteine	ycjG//kbl//
MhpR-3HPP	ahpF//fadE//hcaC//ilvA//polA//accA//
Mlc	ddlB//feaB//grxA//ulaF//
MlrA	trpE//
MngR	nrdD//alsE//
MntR-Mn2+	entF//dgcC//
ModE-MoO42-	atoB//prpE//pepD//mnmG//wecC//cysC//mngB//ahpC//gloA//deoC//hycB//uvrB//uvrB//aroF//lsrF//dkgA//amn//
MprA	dapB//astE//aroL//
MqsA	prpE//phnN//
MraZ	dadX//trpC//garL//astB//fabH//frdD//yqhD//aldA//napB//purD//
MurR	mazG//bioF//prpE//
Nac	ttdB//oxc//mltF//pagP//napB//hcaC//gcvH//phnP//fau//fabD//ilvM//
NadR	glcE//astB//asnA//tam//
NagC	aroG//tam//garR//uxaC//garL//tam//torC//udp//mhpE//metA//malQ//hmp//dacC//kbl//lsrF//idnO//uxaB//sucC//fucA//
NanR	entD//nrfA//gor//narI//leuA//allD//
NarL-Phosphorylated	metH//accA//tdcB//glcF//fadJ//fumC//pdeH//tdcE//ftsI//cyoE//tauD//dgcN//rffG//dadX//fes//ldtC//kbaZ//nanK//paaA//treC//gadB//murI//fabH//deoD//ung//hcaC//talA//pagP//fumB//sgbH//entA//rimK//bacA//gdhA//purN//idnD//allE//rfe//pgaD//hmp//paaI//
NarP-Phosphorylated	moaA//allA//gatY//mhpB//malS//hmp//rpiB//adiA//mltF//leuD//tdcB//glgA//speA//ldtD//hyaC//
NemR	wecC//rimK//
NhaR-Na+	fbaB//dkgA//phnL//fumB//slt//
NikR-Ni2+	nanE//
NimR	bioB//
NorR	citX//
NrdR-Zn2+	alaS//entA//rffH//hycB//
NsrR	paaJ//nrfD//tdcB//uvrC//gcvP//lysA//glnA//wecB//polA//nrdD//citC//aroA//ttdB//purN//frc//galK//argC//nrdF//pyrC//pgaD//glsA//ubiC//fadD//dapB//patA//ycjG//paaI//ygeA//glpD//cyoE//guaA//appA//purB//glpC//adhE//uvrC//tnaA//alkB//galK//deoC//
NtrC-Phosphorylated	rutA//citC//ilvD//trpC//ynfH//cysN//rutA//dmsA//fucA//ftsI//wzc//entH//caiA//srkA//putA//paaA//ycjG//cynS//recD//araA//leuC//
OmpR-Phosphorylated	narI//ppiA//gcvH//cynT//ynfE//gltD//moeA//uvrC//
