# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	phoA//aroA//
Ada	metE//fadE//gntK//bioF//
AdiY	rffM//pspE//yfdE//glpK//
AgaR	lpxD//
AidB	wrbA//
AlaS-L-alanine	tehB//
AllR-allantoin	nirB//oxc//pdeH//glpA//relA//lpxC//
AllS-allantoin	leuC//sodA//melA//
AlsR	nrfA//kbaZ//guaB//
AppY	aroA//hyi//
AraC	moaE//lysA//araD//
AraC-arabinose	galM//ppc//hycF//lldD//uidA//rhaA//katG//araB//
ArgP	nfsB//mltF//pgaD//patD//adhE//guaB//dmsB//yedX//
ArgP-arginine	deoC//
ArgR-L-arginine	tdcD//nanM//tdcB//purF//patD//gltB//ahpF//torA//guaA//argC//rhaA//glnA//fbaA//nemA//waaH//gadA//pnp//galK//codA//cyoE//truB//tadA//fadH//
ArsR	eno//ruvB//
AscG	glxK//guaB//
AsnC	phnL//dhaL//
AtoC-Phosphorylated	pfkA//lsrG//glpD//
BCCP	poxB//
BaeR-Phosphorylated	pdeH//torC//
BasR-Phosphorylated	sdhD//argD//gabT//
BetI	paaZ//phnO//rtcA//
BirA-biotinyl-5-adenylate	epd//thrS//paaY//cynS//pykF//
BluR	
BolA	pdeL//bioC//
BtsR-Phosphorylated	glmS//
CadC	fucO//fruK//phnO//
CaiF-L-carnitine	rhaA//gdhA//guaA//leuB//uvrA//
Cbl	gadB//eno//pyrD//yfdE//sdhA//
CdaR	garL//glnA//garK//argC//yedX//umpH//hycE//ruvA//fes//
CecR	ulaD//
ChbR	murE//gltD//cysK//
ChbR-N-monoacetylchitobiose-6-phosphate	tdcD//gloA//dgkA//
ComR	
CpxR-Phosphorylated	bioD//moaA//yeaG//glpD//glpK//pgk//nfsB//aceF//nagA//idnO//rtcA//alkB//mpaA//puuA//epd//phr//araB//dmsC//chbF//cysI//gor//
Cra	truB//fadA//uxaA//sodA//cynT//entH//ilvE//wecC//citC//moeA//frc//ung//fau//puuC//pdeR//phr//murG//lsrF//rffT//sgbU//phnP//paaE//pgm//bioA//accD//ldtD//aceA//nagB//umuC//rffH//frc//phnH//gutQ//aroL//yfdE//tpiA//trpE//carB//puuB//dkgA//umuD//fadA//rimK//nadA//purH//argD//pepD//astE//paaI//arsC//paaC//umpH//ddlB//napH//bioA//arsC//lsrF//dmsA//napA//
CreB-Phosphorylated	gutQ//fabG//
