# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ynfG//lacZ//
Ada	prpB//puuE//ada//araB//
AdiY	rffH//alaC//purN//slt//
AgaR	paaA//
AidB	ppc//
AlaS-L-alanine	astA//
AllR-allantoin	gor//nirB//yiaK//glyA//sucA//ampC//
AllS-allantoin	fadA//ubiA//lacA//
AlsR	gcl//hycC//puuE//
AppY	hycC//wecC//
AraC	hmp//talA//citE//
AraC-arabinose	talA//rtcB//ilvC//ilvG_1//mnmG//moaC//adhE//metA//
ArgP	trpB//aceB//nagA//guaB//pheT//dapD//lldD//dgcN//
ArgP-arginine	citX//
ArgR-L-arginine	deoC//narH//glpQ//hycD//paaA//yqhD//caiA//rhaB//deoB//pheT//lysA//citX//gltB//astC//rutD//galK//purL//paaC//cyoE//appA//napB//wrbA//gpmA//
ArsR	fabA//umuD//
AscG	kbl//rhaA//
AsnC	puuC//patA//
AtoC-Phosphorylated	purE//gabD//lsrK//
BCCP	hycC//
BaeR-Phosphorylated	alaA//adiA//
BasR-Phosphorylated	ynfG//sucD//nanM//
BetI	sodA//hemL//edd//
BirA-biotinyl-5-adenylate	aceB//malZ//argA//hyaA//allC//
BluR	
BolA	galE//uxuA//
BtsR-Phosphorylated	astE//
CadC	moaE//uxuA//epd//
CaiF-L-carnitine	nanM//udp//torC//dmsB//leuC//
Cbl	gor//xylB//epd//dsdA//phnO//
CdaR	malQ//deoB//lyxK//katG//gltD//deoD//leuB//sodA//trpD//
CecR	truB//
ChbR	leuB//mazG//xapA//
ChbR-N-monoacetylchitobiose-6-phosphate	recF//cysE//garK//
ComR	
CpxR-Phosphorylated	leuD//dhaM//ahpC//moeA//cysC//ampC//cysM//sbcC//speB//nanM//tauD//hycB//rffG//amn//fumC//rfe//uxaC//nemA//ddlB//paaH//malY//
Cra	xylB//tynA//hycB//leuB//malS//argD//nanK//mhpD//ldtB//ftnA//ssuD//pspE//araA//yqhD//paaJ//astD//iscS//sgbH//metH//hycB//pheS//ssuE//hcaC//rbsK//xapA//kbl//bioC//paaK//truB//glpX//hyaB//pyrD//luxS//dmsB//rsmH//recD//galE//argE//rpiB//citF//mnmG//sdaA//pncB//waaZ//leuB//fabB//entF//glmU//metH//pgpC//dadA//mhpE//dmsA//gatY//fadB//fadE//napG//sdhD//uvrA//
CreB-Phosphorylated	frc//codA//
CsgD	nrdA//fabD//glnA//murI//gor//
CsiR	alaS//tyrA//cysN//feaB//
CspA	nadA//
CueR-Cu	lyxK//hycD//puuA//glpD//rffT//
CusR-Pasp	ahpF//ilvM//ftsI//gdhA//
CynR	
CynR-cyanate	wzc//astA//hmp//
CysB	fabI//aceE//
CysB-O-acetyl-L-serine	aroA//yfdE//yeaG//bioD//oxc//murI//tdcE//araD//gnd//citX//melA//aspA//gloA//melA//talA//
CytR	epd//metF//ilvG_1//ycjG//allA//araA//ssuE//idnD//metB//aroA//
Dan-L-tartrate	chbF//gntK//
DcuR-Phosphorylated	prpD//rbsD//iscS//idnO//
DeoR	fabD//hypB//uvrA//tyrA//sdhC//argE//
DhaR	gcl//
DicA	
DinJ-YafQ	glnA//
DnaA-ATP	glgC//uidA//ppc//melA//ydcS//galM//
DpiA-Pasp	nrdD//pyrD//bioF//uxaA//hyaB//
DsdC-D-serine	rhaA//leuB//
EbgR	
EnvR	dgkA//pgpC//
EnvY	mhpC//metA//
EvgA-Phosphorylated	luxS//trpE//cysI//argE//sucD//cynT//
ExuR	ruvA//rffM//sdhB//metB//ppc//bioC//
ExuR-alpha-D-galacturonate	
FabR	citX//napA//gcvT//
FadR	rfe//fumC//tdcG//ilvC//gabD//dmsC//mhpD//caiD//pgm//allA//purK//ilvC//purH//ppiA//katG//paaG//idnK//rutE//nanK//
FadR-acyl-CoA	
FeaR	rffC//glpK//
